productID,productName,category,unitPrice,unitsInStock
P00163,Edge,Clothing,1930.25,102
P00164,Floor,Toys,1740.19,247
P00165,Speak,Electronics,158.95,374
P00166,Tend,Clothing,89.14,413
P00167,Test,Books,1382.35,233
P00168,Language,Grocery,894.04,498
P00169,Authority,Toys,1608.04,373
P00170,Second,Grocery,121.56,470
P00171,Fill,Home,316.62,389
P00172,Ahead,Electronics,1448.66,96
P00173,Join,Home,466.81,60
P00174,Word,Books,1871.59,298
P00175,Cultural,Home,251.53,316
P00176,Hold,Clothing,923.59,107
P00177,Identify,Toys,540.82,162
P00178,Since,Books,686.24,391
P00179,Minute,Electronics,167.39,73
P00180,Wife,Home,1482.16,443
P00181,Subject,Grocery,1167.11,177
P00182,Writer,Grocery,114.27,316
P00183,News,Home,279.83,270
P00184,Once,Grocery,382.56,351
P00185,Until,Books,1904.69,42
P00186,Kind,Home,125.0,36
P00187,Word,Electronics,599.1,155
P00188,True,Clothing,1955.81,104
P00189,Skin,Clothing,454.11,216
P00190,Our,Grocery,999.27,357
P00191,Resource,Electronics,964.49,12
P00192,Region,Toys,813.9,341
P00193,Admit,Clothing,453.54,51
P00194,Who,Grocery,565.86,442
P00195,Identify,Home,1448.54,150
P00196,Newspaper,Grocery,363.79,353
P00197,Billion,Clothing,628.06,487
P00198,Party,Home,1861.76,287
P00199,First,Toys,1289.18,338
P00200,Ask,Clothing,255.49,399
P00201,Fire,Books,632.53,244
P00202,Food,Clothing,318.47,438
P00203,Professor,Electronics,988.48,320
P00204,Approach,Grocery,1281.82,261
P00205,Risk,Books,351.21,113
P00206,Join,Clothing,878.37,226
P00207,Generation,Toys,1880.29,56
P00208,Effect,Books,1244.58,143
P00209,Contain,Home,684.0,189
P00210,Story,Toys,536.42,27
P00211,Short,Home,774.73,44
P00212,Enough,Books,385.73,461
P00213,Region,Grocery,677.97,425
P00214,Try,Books,1714.3,91
P00215,Pull,Clothing,658.7,422
P00216,Answer,Toys,1672.37,395
P00217,Road,Home,651.73,373
P00218,Class,Home,460.28,190
P00219,Meet,Grocery,167.52,98
P00220,Bed,Electronics,928.51,186
P00221,Throw,Electronics,600.32,280
P00222,Represent,Clothing,1558.85,247
P00223,Worker,Clothing,1448.74,8
P00224,Fight,Electronics,1677.35,149
P00225,Certainly,Home,263.24,411
P00226,Although,Books,1170.4,468
P00227,Lose,Books,89.66,454
P00228,Ground,Home,67.37,351
P00229,Less,Books,741.91,296
P00230,Help,Toys,1315.63,424
P00231,View,Home,1578.15,67
P00232,Picture,Grocery,1358.54,454
P00233,Goal,Home,1572.77,485
P00234,Officer,Electronics,950.15,377
P00235,Actually,Books,1781.31,288
P00236,Use,Clothing,1385.5,201
P00237,Receive,Home,722.24,70
P00238,Fast,Electronics,1474.43,328
P00239,Surface,Home,1940.56,348
P00240,Teach,Home,1761.02,70
P00241,Firm,Electronics,105.91,195
P00242,Provide,Clothing,452.05,488
P00243,Southern,Toys,1782.69,396
P00244,Almost,Home,1237.45,31
P00245,Tax,Grocery,1036.53,467
P00246,Few,Electronics,200.6,169
P00247,Nor,Books,281.86,67
P00248,Which,Toys,487.66,210
P00249,Ball,Books,881.6,321
P00250,Office,Grocery,1535.52,395
P00251,Although,Electronics,357.39,188
P00252,Talk,Electronics,874.68,373
P00253,Turn,Books,408.44,53
P00254,Reason,Books,614.4,432
P00255,Style,Home,740.46,449
P00256,Very,Toys,350.17,136
P00257,Office,Electronics,869.99,468
P00258,Among,Electronics,356.2,351
P00259,Produce,Clothing,1003.11,399
P00260,Record,Home,1544.7,240
P00261,Stay,Books,790.35,56
P00262,Accept,Clothing,650.09,90
P00263,Deep,Grocery,1968.33,471
P00264,Way,Grocery,1673.87,429
P00265,Message,Clothing,449.08,143
P00266,Hotel,Books,1173.95,471
P00267,Produce,Grocery,691.04,201
P00268,Same,Home,869.76,474
P00269,Nearly,Clothing,1685.79,301
P00270,Will,Clothing,1408.18,226
P00271,Key,Toys,1887.74,414
P00272,Single,Clothing,1244.67,168
P00273,Student,Grocery,601.42,341
P00274,Mean,Toys,1911.1,368
P00275,Company,Books,845.53,150
P00276,Indeed,Toys,831.95,265
P00277,Any,Grocery,1694.41,259
P00278,Move,Grocery,1634.56,28
P00279,Another,Home,513.39,350
P00280,Position,Clothing,1095.25,407
P00281,Buy,Books,872.26,466
P00282,Both,Grocery,671.43,50
P00283,Finish,Clothing,1896.94,158
P00284,Best,Books,1764.47,374
P00285,By,Clothing,1451.47,355
P00286,Performance,Electronics,1966.44,418
P00287,Traditional,Electronics,6.07,103
P00288,Tv,Books,1174.5,290
P00289,Identify,Clothing,1241.02,318
P00290,Including,Clothing,324.32,369
P00291,Onto,Toys,1866.9,31
P00292,With,Grocery,1929.3,203
P00293,Important,Electronics,1217.06,261
P00294,Soon,Home,273.52,33
P00295,Painting,Toys,50.83,338
P00296,Measure,Books,514.19,223
P00297,About,Toys,1799.83,328
P00298,Government,Clothing,1144.67,204
P00299,Ball,Home,397.89,74
P00300,Scene,Grocery,670.35,87
P00301,Wife,Toys,1606.85,42
P00302,Design,Grocery,887.58,327
P00303,Such,Grocery,1044.38,498
P00304,Water,Clothing,520.44,172
P00305,On,Clothing,1823.56,24
P00306,Night,Electronics,1001.84,51
P00307,Lead,Clothing,1118.34,314
P00308,Image,Grocery,252.85,468
P00309,Financial,Grocery,1068.29,13
P00310,Adult,Books,1765.93,60
P00311,Realize,Books,1570.7,186
P00312,Up,Home,1278.36,267
P00313,Kid,Clothing,649.7,1
P00314,Rest,Electronics,278.43,185
P00315,Relate,Books,1210.95,61
P00316,Sound,Toys,596.31,254
P00317,Produce,Toys,1870.78,212
P00318,Hair,Grocery,418.61,412
P00319,Accept,Clothing,1834.44,197
P00320,Between,Electronics,381.84,126
P00321,With,Home,1841.11,93
P00322,Bad,Toys,391.93,104
P00323,World,Clothing,1724.76,408
P00324,Above,Electronics,1449.11,240
P00325,Behind,Toys,1854.37,136
P00326,About,Books,1233.6,225
P00327,Turn,Clothing,654.3,266
P00328,Whose,Home,1700.15,181
P00329,Owner,Toys,1981.05,421
P00330,Quickly,Toys,1553.53,64
P00331,Culture,Toys,455.85,318
P00332,Professor,Home,1697.85,233
P00333,Story,Grocery,41.95,340
P00334,Ground,Electronics,1952.25,473
P00335,Available,Electronics,1977.57,300
P00336,Mean,Home,368.05,105
P00337,Meet,Home,139.18,125
P00338,Discover,Home,584.74,391
P00339,Woman,Home,344.46,29
P00340,Likely,Home,1553.72,109
P00341,And,Clothing,801.27,367
P00342,On,Books,978.01,277
P00343,Level,Books,157.77,382
P00344,List,Books,1525.38,206
P00345,Talk,Home,1997.96,175
P00346,Support,Electronics,871.61,473
P00347,Space,Books,47.0,432
P00348,Lead,Electronics,235.22,311
P00349,Than,Clothing,1476.49,374
P00350,Doctor,Clothing,729.31,250
P00351,End,Grocery,1438.71,490
P00352,Use,Grocery,1550.79,325
P00353,Significant,Grocery,50.46,289
P00354,Professor,Electronics,573.03,250
P00355,Nearly,Toys,274.08,494
P00356,Outside,Home,237.18,217
P00357,Debate,Toys,324.29,50
P00358,Information,Electronics,1647.78,351
P00359,Smile,Books,1534.51,31
P00360,Happen,Toys,578.48,35
P00361,Easy,Toys,449.34,407
P00362,Early,Books,74.07,208
P00363,Easy,Grocery,904.06,326
P00364,Check,Toys,1823.22,234
P00365,Movement,Grocery,1435.22,334
P00366,Sort,Clothing,44.87,383
P00367,Debate,Books,663.33,135
P00368,Develop,Grocery,266.6,313
P00369,Head,Grocery,713.79,7
P00370,Professional,Books,1494.06,178
P00371,Black,Grocery,1890.33,470
P00372,Conference,Home,1842.71,258
P00373,Fine,Electronics,552.13,422
P00374,Less,Grocery,1605.78,218
P00375,From,Clothing,1666.91,405
P00376,Democrat,Home,1652.53,477
P00377,Professional,Electronics,1855.95,138
P00378,He,Electronics,59.32,72
P00379,Visit,Toys,912.92,184
P00380,State,Books,10.28,46
P00381,Carry,Electronics,435.26,250
P00382,Ready,Clothing,412.05,110
P00383,Financial,Toys,294.31,231
P00384,Account,Clothing,129.9,422
P00385,Most,Home,1532.4,325
P00386,Glass,Electronics,66.03,195
P00387,Customer,Toys,338.88,175
P00388,Article,Clothing,444.63,86
P00389,Than,Home,391.94,407
P00390,Yourself,Clothing,1809.19,283
P00391,Difference,Home,719.29,323
P00392,Trade,Electronics,1616.33,10
P00393,Perhaps,Home,1768.21,321
P00394,Less,Home,1892.7,368
P00395,Say,Electronics,1399.96,177
P00396,Sit,Toys,276.71,338
P00397,Common,Home,1521.48,335
P00398,Fill,Books,754.91,216
P00399,Value,Clothing,556.21,149
P00400,Rock,Home,372.44,466
P00401,Catch,Books,11.46,478
P00402,Open,Books,1360.2,308
P00403,Sort,Toys,858.7,53
P00404,Focus,Clothing,1187.41,174
P00405,He,Electronics,66.07,96
P00406,To,Grocery,235.6,213
P00407,Argue,Home,1601.22,477
P00408,Nor,Electronics,958.18,127
P00409,Reduce,Electronics,1165.96,38
P00410,Dream,Clothing,359.87,393
P00411,Site,Grocery,1575.73,272
P00412,Get,Toys,1680.96,350
P00413,Pattern,Electronics,199.15,343
P00414,Expert,Books,944.6,7
P00415,Image,Clothing,455.54,51
P00416,Mrs,Toys,169.45,28
P00417,Discuss,Toys,517.07,186
P00418,Top,Grocery,252.6,288
P00419,Choose,Electronics,1495.5,31
P00420,Type,Home,1538.52,56
P00421,See,Clothing,1555.36,444
P00422,Soon,Toys,1177.83,34
P00423,Line,Clothing,1983.85,411
P00424,Nice,Electronics,1995.65,14
P00425,Institution,Home,1789.72,96
P00426,Back,Clothing,1377.75,382
P00427,Perhaps,Toys,570.3,338
P00428,Usually,Toys,509.23,316
P00429,Them,Grocery,985.12,278
P00430,Only,Books,1947.24,84
P00431,Remember,Grocery,1316.74,407
P00432,Feeling,Toys,1727.08,159
P00433,Somebody,Electronics,1301.98,354
P00434,Born,Clothing,915.46,420
P00435,Impact,Home,636.48,69
P00436,Growth,Toys,1064.41,181
P00437,Resource,Clothing,1746.93,271
P00438,Free,Home,1360.79,63
P00439,Even,Toys,553.9,60
P00440,Option,Books,442.1,50
P00441,Already,Books,1787.93,255
P00442,Group,Books,663.48,221
P00443,Major,Electronics,311.06,1
P00444,Change,Grocery,1888.0,354
P00445,Majority,Books,231.12,393
P00446,Guy,Grocery,848.93,194
P00447,Congress,Home,37.26,118
P00448,Commercial,Home,34.69,69
P00449,Force,Electronics,181.25,235
P00450,Attack,Electronics,914.51,374
P00451,Beyond,Clothing,1065.65,320
P00452,Friend,Clothing,1486.94,153
P00453,Bring,Grocery,1812.88,37
P00454,Cut,Electronics,112.78,476
P00455,Anyone,Clothing,73.93,110
P00456,Better,Grocery,1704.82,232
P00457,Culture,Clothing,1152.75,98
P00458,Often,Books,284.03,429
P00459,Yeah,Books,1437.1,152
P00460,Two,Clothing,1577.08,163
P00461,Add,Books,1651.96,262
P00462,Decision,Home,16.63,144
P00463,Word,Grocery,1997.95,308
P00464,Bit,Home,1420.52,466
P00465,Executive,Toys,1689.19,246
P00466,Read,Books,130.96,63
P00467,Stuff,Electronics,937.56,335
P00468,Decade,Toys,907.12,347
P00469,Term,Clothing,1979.85,327
P00470,Machine,Clothing,159.7,321
P00471,Environmental,Clothing,1755.74,22
P00472,Just,Books,1542.11,392
P00473,Tough,Clothing,689.38,12
P00474,Last,Electronics,259.72,60
P00475,List,Home,1564.59,389
P00476,Recent,Grocery,1656.17,477
P00477,Now,Clothing,540.49,157
P00478,Consumer,Grocery,634.63,178
P00479,Point,Toys,232.43,278
P00480,Fight,Home,56.79,388
P00481,Party,Clothing,1832.51,481
P00482,Design,Clothing,526.45,472
P00483,Exactly,Home,1311.14,275
P00484,Leader,Electronics,344.47,35
P00485,Indeed,Clothing,687.95,56
P00486,Finally,Electronics,1575.86,42
P00487,Amount,Books,1895.92,28
P00488,Simply,Grocery,1008.26,204
P00489,Perform,Electronics,750.89,257
P00490,Bill,Toys,1599.49,215
P00491,Accept,Toys,324.57,407
P00492,Water,Books,912.5,92
P00493,Them,Clothing,746.19,216
P00494,Feeling,Toys,18.44,130
P00495,Thank,Clothing,1980.25,150
P00496,Apply,Clothing,749.56,35
P00497,Get,Books,1330.66,291
P00498,Candidate,Grocery,1274.35,303
P00499,Military,Electronics,775.77,64
P00500,World,Toys,918.31,93
P00501,Arrive,Toys,1791.57,285
P00502,Give,Clothing,1901.43,486
P00503,Off,Clothing,1277.04,252
P00504,Explain,Toys,670.85,428
P00505,Manager,Books,140.02,240
P00506,Spend,Toys,1497.35,238
P00507,Week,Grocery,655.2,306
P00508,She,Clothing,1837.73,235
P00509,Movie,Home,1554.13,107
P00510,Main,Clothing,206.36,31
P00511,Road,Electronics,422.75,444
P00512,Drop,Books,699.79,324
P00513,Sell,Clothing,566.8,232
P00514,Success,Clothing,1374.08,48
P00515,Professor,Grocery,1656.68,70
P00516,Color,Grocery,1344.81,155
P00517,Property,Grocery,1482.55,27
P00518,Message,Electronics,735.77,237
P00519,Protect,Home,375.11,265
P00520,Until,Grocery,1143.41,298
P00521,Market,Electronics,1648.86,5
P00522,Three,Electronics,1571.47,430
P00523,Sister,Toys,388.29,29
P00524,Establish,Toys,1196.02,343
P00525,How,Books,631.59,393
P00526,Throughout,Home,784.82,312
P00527,Senior,Toys,1052.59,125
P00528,Issue,Electronics,788.64,337
P00529,Prevent,Toys,451.8,180
P00530,Raise,Toys,448.04,482
P00531,Language,Home,175.69,3
P00532,Stock,Toys,580.62,478
P00533,Rest,Books,921.64,130
P00534,Price,Toys,472.54,139
P00535,Hospital,Toys,816.74,321
P00536,More,Books,981.91,82
P00537,Establish,Books,793.18,365
P00538,Whole,Grocery,1771.25,396
P00539,Long,Clothing,316.91,410
P00540,Through,Home,1506.47,365
P00541,Onto,Clothing,210.13,354
P00542,Thousand,Books,1939.43,460
P00543,Big,Home,1476.04,238
P00544,Central,Home,439.9,110
P00545,After,Toys,662.93,20
P00546,Minute,Grocery,1951.92,109
P00547,Ok,Grocery,117.28,148
P00548,Finish,Clothing,208.06,390
P00549,Series,Electronics,1742.61,82
P00550,Cut,Home,92.0,328
P00551,Church,Books,1872.36,238
P00552,Win,Toys,868.35,130
P00553,Here,Books,255.66,381
P00554,Tonight,Electronics,197.44,303
P00555,Car,Books,651.3,322
P00556,Popular,Home,431.26,316
P00557,Whatever,Electronics,401.93,231
P00558,Up,Grocery,962.65,335
P00559,Health,Electronics,1881.42,204
P00560,Somebody,Clothing,1650.4,436
P00561,Form,Toys,423.88,272
P00562,Pressure,Clothing,454.17,60
P00563,Clear,Electronics,349.3,500
P00564,Address,Grocery,673.86,466
P00565,Customer,Electronics,626.64,469
P00566,Everybody,Electronics,408.02,131
P00567,Able,Clothing,1873.33,420
P00568,Party,Home,215.72,444
P00569,Stock,Toys,376.4,322
P00570,Hand,Home,494.73,134
P00571,Head,Home,1543.71,204
P00572,Military,Home,935.78,349
P00573,Also,Home,1154.35,28
P00574,Itself,Grocery,1697.99,143
P00575,Particularly,Toys,284.93,120
P00576,Tree,Home,287.99,355
P00577,Pull,Home,156.55,302
P00578,Front,Electronics,989.15,86
P00579,Test,Electronics,214.63,335
P00580,Reveal,Grocery,602.01,407
P00581,Mother,Clothing,558.51,193
P00582,Somebody,Books,1715.42,248
P00583,Anything,Grocery,1233.82,314
P00584,East,Grocery,786.35,340
P00585,Not,Home,559.64,93
P00586,Close,Clothing,1423.23,314
P00587,Method,Clothing,873.99,55
P00588,Us,Books,95.28,421
P00589,Already,Home,899.52,456
P00590,Environmental,Books,655.23,39
P00591,From,Grocery,378.86,128
P00592,Stage,Electronics,1090.56,173
P00593,Write,Clothing,1993.46,236
P00594,Nothing,Electronics,1585.8,194
P00595,Party,Home,420.71,343
P00596,Picture,Electronics,1455.66,306
P00597,Usually,Home,657.14,377
P00598,Age,Toys,170.03,279
P00599,Voice,Books,813.74,173
P00600,Agree,Electronics,1629.12,279
P00601,Seem,Toys,925.52,483
P00602,Happy,Grocery,1258.67,467
P00603,Sound,Toys,731.24,106
P00604,Hear,Grocery,130.62,467
P00605,Simple,Electronics,1479.72,228
P00606,Usually,Toys,1947.93,219
P00607,Fact,Home,1740.04,70
P00608,More,Home,1248.62,376
P00609,Opportunity,Electronics,1459.69,152
P00610,Page,Electronics,594.42,283
P00611,Child,Toys,1437.56,71
P00612,Camera,Toys,1304.57,329
P00613,Able,Toys,1417.9,406
P00614,Single,Clothing,1693.14,70
P00615,Analysis,Toys,1987.69,26
P00616,Theory,Clothing,1076.52,433
P00617,Foot,Clothing,1101.89,127
P00618,Six,Home,793.48,357
P00619,Main,Electronics,1981.44,54
P00620,There,Toys,114.6,96
P00621,Instead,Clothing,389.53,435
P00622,Drop,Clothing,1587.19,109
P00623,Truth,Books,464.33,346
P00624,Current,Electronics,1767.83,425
P00625,Bed,Toys,177.23,374
P00626,Hospital,Books,25.83,321
P00627,Both,Clothing,1916.36,112
P00628,True,Electronics,1513.65,234
P00629,Feeling,Electronics,529.68,206
P00630,Far,Grocery,1913.09,3
P00631,Hot,Electronics,279.42,482
P00632,Though,Electronics,1888.95,24
P00633,Rule,Electronics,715.45,327
P00634,Garden,Books,734.82,342
P00635,Wind,Toys,1300.74,90
P00636,Present,Grocery,661.89,31
P00637,Commercial,Toys,1600.08,194
P00638,Citizen,Toys,1590.55,258
P00639,Financial,Toys,1735.63,166
P00640,Trial,Clothing,1226.45,292
P00641,Level,Grocery,906.26,7
P00642,Choice,Home,483.53,62
P00643,Partner,Clothing,1411.12,340
P00644,Many,Toys,910.97,425
P00645,Century,Grocery,431.42,332
P00646,Discussion,Grocery,818.87,151
P00647,Soldier,Books,1498.2,345
P00648,Red,Toys,742.75,232
P00649,Democratic,Clothing,1409.59,375
P00650,Question,Home,1430.08,120
P00651,Rise,Toys,446.43,215
P00652,Baby,Books,1491.95,301
P00653,Together,Electronics,1659.72,266
P00654,What,Grocery,1087.48,156
P00655,Adult,Clothing,102.39,113
P00656,Traditional,Grocery,1464.83,342
P00657,Tonight,Home,1543.6,289
P00658,Then,Toys,1133.47,115
P00659,Animal,Clothing,1466.14,70
P00660,Firm,Electronics,538.12,478
P00661,Fund,Home,107.77,105
P00662,Gas,Toys,1050.48,160
P00663,Language,Home,502.51,14
P00664,Election,Electronics,406.64,446
P00665,Within,Clothing,1611.58,118
P00666,With,Toys,1718.72,80
P00667,Rate,Electronics,348.91,44
P00668,Fear,Clothing,968.6,327
P00669,Medical,Books,446.92,4
P00670,Worker,Toys,1747.09,175
P00671,Push,Home,1963.93,41
P00672,Price,Books,997.07,101
P00673,First,Home,1808.03,365
P00674,People,Grocery,837.65,3
P00675,Rich,Electronics,672.4,304
P00676,Smile,Home,1406.75,77
P00677,Market,Electronics,845.82,139
P00678,Set,Toys,5.14,176
P00679,Yard,Clothing,338.76,364
P00680,The,Home,673.24,5
P00681,More,Home,834.76,302
P00682,Role,Toys,1780.07,364
P00683,Spend,Toys,334.82,123
P00684,Year,Books,1401.13,28
P00685,Often,Clothing,15.68,289
P00686,Involve,Clothing,832.84,351
P00687,State,Home,1656.72,208
P00688,Partner,Clothing,529.24,162
P00689,Big,Clothing,260.78,52
P00690,Into,Grocery,1156.0,160
P00691,Rather,Electronics,368.4,162
P00692,Image,Books,1058.68,318
P00693,Half,Home,1780.12,392
P00694,Great,Home,1651.03,450
P00695,Stand,Grocery,893.41,307
P00696,Region,Books,663.98,53
P00697,Public,Toys,1554.16,2
P00698,Best,Books,750.35,145
P00699,Spend,Books,425.56,483
P00700,Use,Toys,252.2,247
P00701,Dinner,Clothing,661.55,12
P00702,Yard,Clothing,455.26,12
P00703,No,Grocery,477.59,318
P00704,He,Grocery,1619.91,264
P00705,Help,Books,896.7,38
P00706,Option,Clothing,603.71,94
P00707,Analysis,Grocery,217.33,401
P00708,Need,Grocery,499.93,186
P00709,Ever,Toys,1459.92,69
P00710,Experience,Grocery,1286.99,383
P00711,Family,Home,351.96,402
P00712,Painting,Grocery,106.59,231
P00713,Light,Books,1315.58,401
P00714,Yard,Clothing,704.57,197
P00715,Heavy,Books,18.41,287
P00716,Beautiful,Books,1125.28,398
P00717,Unit,Grocery,1270.04,331
P00718,Hospital,Clothing,1584.96,361
P00719,Run,Electronics,863.61,410
P00720,Tax,Home,998.13,207
P00721,Recently,Books,1806.16,161
P00722,President,Books,871.8,185
P00723,Election,Toys,924.86,346
P00724,Son,Clothing,1458.36,14
P00725,Election,Electronics,1627.08,191
P00726,Religious,Electronics,1766.09,132
P00727,White,Clothing,1247.97,112
P00728,Ground,Clothing,227.32,42
P00729,Increase,Clothing,1735.45,89
P00730,Happen,Toys,342.55,374
P00731,Thousand,Books,1684.42,495
P00732,Show,Electronics,276.27,190
P00733,Represent,Books,723.83,63
P00734,Audience,Clothing,946.16,301
P00735,Realize,Grocery,37.48,185
P00736,Put,Clothing,81.78,26
P00737,Wish,Home,1935.05,124
P00738,Best,Clothing,1689.16,221
P00739,Down,Books,883.83,240
P00740,Much,Toys,199.24,353
P00741,From,Toys,1487.1,396
P00742,Hundred,Electronics,284.72,420
P00743,Old,Home,306.34,234
P00744,Already,Clothing,1861.57,431
P00745,Do,Grocery,418.08,297
P00746,Recognize,Grocery,791.67,341
P00747,Far,Toys,1291.19,450
P00748,Training,Grocery,656.38,428
P00749,Go,Books,108.1,4
P00750,Send,Electronics,1747.48,438
P00751,Full,Grocery,1738.81,130
P00752,Even,Grocery,808.69,404
P00753,Green,Clothing,828.68,183
P00754,Clearly,Clothing,36.13,475
P00755,Smile,Electronics,1481.31,486
P00756,Outside,Electronics,550.59,466
P00757,Author,Books,1018.64,418
P00758,Forget,Grocery,515.82,25
P00759,Hundred,Books,382.18,357
P00760,Walk,Electronics,467.78,53
P00761,Follow,Grocery,1555.18,394
P00762,System,Books,896.52,34
P00763,Physical,Books,898.52,136
P00764,Beat,Grocery,1760.86,249
P00765,Although,Clothing,1011.63,386
