orderID,userID,productID,orderDate,quantity,status
O20148,U00431,P00803,2024-01-01,3,Cancelled
O20149,U01390,P01426,2023-12-19,5,Shipped
O20150,U02944,P01221,2023-11-13,5,Delivered
O20151,U02690,P01307,2025-05-13,1,Shipped
O20152,U01508,P00653,2024-04-30,5,Cancelled
O20153,U00344,P00811,2024-05-28,5,Cancelled
O20154,U01719,P01106,2025-04-04,2,Cancelled
O20155,U01325,P00872,2025-04-29,1,Delivered
O20156,U01915,P00563,2023-12-05,5,Placed
O20157,U01865,P00769,2024-12-05,1,Cancelled
O20158,U00362,P01416,2024-05-17,1,Cancelled
O20159,U01642,P00536,2024-05-03,2,Delivered
O20160,U01111,P00546,2025-05-17,1,Shipped
O20161,U00482,P00423,2025-01-20,4,Placed
O20162,U01203,P00547,2024-12-29,1,Placed
O20163,U00807,P00708,2025-02-07,4,Shipped
O20164,U01713,P00625,2023-10-06,5,Placed
O20165,U00683,P00644,2025-01-21,2,Shipped
O20166,U02367,P00605,2024-10-10,1,Shipped
O20167,U00276,P00220,2025-03-01,1,Cancelled
O20168,U02482,P01410,2023-12-02,2,Placed
O20169,U02836,P01418,2024-12-20,5,Cancelled
O20170,U00790,P00744,2023-10-15,3,Placed
O20171,U01890,P00016,2024-02-13,2,Placed
O20172,U00193,P01333,2025-05-03,2,Cancelled
O20173,U00171,P00419,2025-03-30,2,Delivered
O20174,U00291,P00635,2024-08-08,3,Cancelled
O20175,U01944,P00396,2024-11-01,4,Shipped
O20176,U00678,P00129,2025-05-22,5,Cancelled
O20177,U02522,P01106,2024-05-22,5,Delivered
O20178,U00752,P00573,2024-10-14,5,Cancelled
O20179,U00144,P00051,2024-04-04,4,Placed
O20180,U01152,P00272,2023-07-06,3,Cancelled
O20181,U02867,P01160,2024-06-11,3,Delivered
O20182,U00689,P00569,2023-09-25,5,Shipped
O20183,U00797,P01020,2023-10-08,3,Delivered
O20184,U00625,P00802,2024-06-11,4,Delivered
O20185,U00067,P00706,2023-12-16,3,Delivered
O20186,U00211,P01406,2023-10-25,3,Delivered
O20187,U01827,P00332,2023-12-30,4,Placed
O20188,U02237,P00186,2025-01-26,4,Shipped
O20189,U00069,P01471,2024-05-09,3,Cancelled
O20190,U01097,P01030,2024-09-15,2,Shipped
O20191,U01647,P01321,2023-06-19,1,Delivered
O20192,U02610,P00201,2024-06-18,1,Shipped
O20193,U00077,P01208,2024-02-06,5,Cancelled
O20194,U01766,P00539,2023-08-09,5,Delivered
O20195,U02020,P00144,2024-04-09,5,Shipped
O20196,U00742,P01440,2024-01-28,3,Delivered
O20197,U01220,P00941,2024-01-27,4,Delivered
O20198,U02576,P00781,2025-05-22,1,Placed
O20199,U00854,P01355,2024-09-09,3,Shipped
O20200,U02482,P00999,2023-12-10,2,Delivered
O20201,U01410,P00092,2024-10-14,2,Placed
O20202,U02111,P00546,2023-10-10,1,Delivered
O20203,U00398,P00324,2023-11-14,2,Shipped
O20204,U02805,P00605,2024-04-21,2,Shipped
O20205,U02636,P00903,2024-07-28,3,Shipped
O20206,U00684,P00506,2023-06-25,2,Placed
O20207,U01930,P00867,2024-01-12,4,Delivered
O20208,U02195,P01320,2025-02-17,2,Placed
O20209,U00100,P00097,2024-08-31,2,Delivered
O20210,U02435,P00386,2025-03-18,1,Shipped
O20211,U01135,P01287,2024-03-02,4,Delivered
O20212,U02385,P01321,2024-03-18,2,Delivered
O20213,U01468,P00686,2024-03-05,3,Delivered
O20214,U01331,P01020,2024-11-12,5,Placed
O20215,U01382,P01385,2024-03-06,3,Delivered
O20216,U01122,P00343,2025-03-26,5,Cancelled
O20217,U02378,P00528,2024-03-11,1,Delivered
O20218,U01060,P00829,2024-10-30,2,Delivered
O20219,U00557,P01401,2025-03-01,3,Shipped
O20220,U01567,P00440,2025-02-08,4,Delivered
O20221,U01185,P00136,2023-10-03,5,Placed
O20222,U00451,P00803,2024-09-02,5,Shipped
O20223,U02371,P00872,2023-09-24,4,Delivered
O20224,U01799,P00818,2025-05-01,2,Cancelled
O20225,U01548,P00245,2024-12-20,5,Shipped
O20226,U02569,P01313,2024-10-26,3,Shipped
O20227,U00751,P00869,2024-03-08,4,Placed
O20228,U02371,P01128,2023-09-13,1,Placed
O20229,U02428,P00816,2024-12-13,1,Shipped
O20230,U00625,P01300,2024-03-31,5,Shipped
O20231,U02160,P00390,2023-09-29,5,Cancelled
O20232,U02000,P00540,2025-01-24,1,Cancelled
O20233,U02658,P00362,2023-08-19,3,Shipped
O20234,U02778,P00492,2024-08-18,3,Cancelled
O20235,U00461,P00014,2025-05-25,3,Placed
O20236,U00379,P00413,2024-11-05,5,Shipped
O20237,U02433,P00784,2025-03-03,4,Placed
O20238,U02050,P01105,2025-04-10,5,Placed
O20239,U00862,P01191,2025-01-01,1,Delivered
O20240,U01680,P00104,2024-10-30,1,Placed
O20241,U00774,P00432,2025-05-10,5,Cancelled
O20242,U01835,P00169,2024-10-27,4,Cancelled
O20243,U02926,P00906,2025-01-06,5,Cancelled
O20244,U01343,P00992,2024-03-08,1,Placed
O20245,U00599,P00079,2023-12-06,4,Placed
O20246,U00849,P00862,2023-07-30,3,Delivered
O20247,U02153,P00376,2025-02-14,3,Placed
O20248,U02720,P01449,2025-01-22,4,Shipped
O20249,U02081,P00199,2024-10-07,1,Cancelled
O20250,U00404,P00873,2024-07-27,3,Shipped
O20251,U01409,P00682,2024-11-23,2,Shipped
O20252,U01865,P00432,2025-01-19,3,Delivered
O20253,U00188,P00993,2023-08-15,2,Shipped
O20254,U00749,P00372,2023-10-09,2,Placed
O20255,U01383,P00628,2024-03-19,5,Delivered
O20256,U02630,P01259,2024-04-25,2,Delivered
O20257,U00106,P00114,2024-12-22,1,Shipped
O20258,U01966,P01326,2025-05-31,3,Shipped
O20259,U02535,P00190,2024-11-01,5,Placed
O20260,U00483,P00088,2024-08-11,3,Placed
O20261,U00855,P00643,2024-06-27,4,Shipped
O20262,U02137,P00091,2023-10-11,2,Delivered
O20263,U01598,P00142,2025-06-15,1,Shipped
O20264,U00233,P00318,2023-12-20,5,Delivered
O20265,U01085,P01419,2024-05-05,3,Placed
O20266,U00559,P00978,2023-10-18,2,Shipped
O20267,U00363,P01061,2025-02-02,2,Shipped
O20268,U02751,P00249,2023-10-30,4,Shipped
O20269,U02266,P01339,2023-12-24,2,Shipped
O20270,U00302,P00942,2025-04-11,3,Shipped
O20271,U01982,P00530,2023-10-06,5,Delivered
O20272,U02887,P00494,2023-10-13,4,Placed
O20273,U00903,P01158,2023-09-05,3,Cancelled
O20274,U00104,P01178,2024-06-27,2,Placed
O20275,U00983,P00221,2023-12-01,1,Shipped
O20276,U02549,P00280,2023-12-16,2,Placed
O20277,U02003,P00871,2024-12-20,2,Shipped
O20278,U00666,P00573,2024-02-11,4,Cancelled
O20279,U02246,P01285,2023-08-16,3,Placed
O20280,U02115,P00878,2023-11-06,5,Shipped
O20281,U01318,P00199,2024-06-15,5,Delivered
O20282,U01316,P00378,2025-04-07,4,Cancelled
O20283,U01569,P01037,2024-02-18,5,Cancelled
O20284,U02338,P00529,2025-01-31,1,Cancelled
O20285,U02118,P00961,2024-10-14,2,Cancelled
O20286,U01287,P01448,2025-03-13,3,Placed
O20287,U00886,P00802,2025-03-06,1,Delivered
O20288,U00335,P00786,2024-10-20,1,Placed
O20289,U00729,P00381,2024-06-29,4,Delivered
O20290,U01366,P00177,2025-01-02,2,Cancelled
O20291,U00708,P01380,2024-10-30,4,Cancelled
O20292,U01824,P00987,2023-11-09,2,Placed
O20293,U00415,P00299,2024-01-07,2,Shipped
O20294,U01135,P01334,2023-08-22,4,Placed
O20295,U00382,P00468,2024-06-06,4,Cancelled
O20296,U00984,P01305,2024-12-12,4,Cancelled
O20297,U01024,P00254,2024-06-07,1,Cancelled
O20298,U02710,P00808,2025-04-13,4,Delivered
O20299,U00927,P01315,2023-07-02,3,Placed
O20300,U00992,P01252,2025-06-05,1,Cancelled
O20301,U01699,P01234,2025-04-08,5,Delivered
O20302,U00536,P01081,2024-05-09,1,Shipped
O20303,U02964,P01096,2023-12-29,3,Delivered
O20304,U01727,P00627,2024-06-01,4,Delivered
O20305,U00870,P00941,2024-03-02,2,Delivered
O20306,U02417,P00624,2024-02-18,2,Delivered
O20307,U00508,P01040,2024-06-24,5,Shipped
O20308,U01755,P00395,2024-04-13,1,Delivered
O20309,U02580,P00150,2024-03-26,5,Shipped
O20310,U01341,P00179,2024-08-24,2,Delivered
O20311,U02118,P01212,2024-08-01,1,Shipped
O20312,U01904,P01095,2024-01-10,2,Delivered
O20313,U00467,P01339,2025-01-09,2,Cancelled
O20314,U02907,P00102,2025-05-17,3,Placed
O20315,U02010,P00067,2025-03-07,5,Delivered
O20316,U01204,P01114,2024-10-08,1,Cancelled
O20317,U01525,P01015,2025-01-08,2,Delivered
O20318,U00859,P00649,2024-06-04,4,Delivered
O20319,U02645,P01083,2025-05-07,2,Shipped
O20320,U01869,P00698,2024-06-19,2,Delivered
O20321,U00314,P00564,2024-12-09,1,Delivered
O20322,U01235,P00884,2025-05-21,2,Shipped
O20323,U00150,P00484,2024-04-11,1,Shipped
O20324,U02219,P01429,2024-02-21,2,Placed
O20325,U02767,P00809,2024-09-19,1,Placed
O20326,U02413,P00361,2023-09-05,3,Delivered
O20327,U00395,P00410,2024-12-07,5,Shipped
O20328,U02686,P01220,2023-08-15,4,Delivered
O20329,U01660,P00010,2025-04-04,4,Placed
O20330,U02492,P00333,2023-10-26,3,Placed
O20331,U00756,P00548,2024-02-22,2,Delivered
O20332,U00249,P00590,2024-10-15,3,Shipped
O20333,U00036,P00513,2025-05-13,4,Shipped
O20334,U02823,P00864,2025-04-06,5,Placed
O20335,U00605,P00835,2023-11-30,3,Shipped
O20336,U01513,P01030,2023-06-20,1,Shipped
O20337,U02126,P00183,2023-06-19,4,Delivered
O20338,U01247,P00627,2024-02-01,3,Placed
O20339,U01347,P01178,2024-09-21,1,Delivered
O20340,U00949,P00168,2023-07-12,5,Cancelled
O20341,U01181,P01394,2024-11-06,3,Delivered
O20342,U02518,P01003,2023-10-19,1,Cancelled
O20343,U02458,P00924,2024-01-24,1,Delivered
O20344,U01072,P00689,2025-02-22,1,Shipped
O20345,U01097,P00146,2025-06-07,1,Cancelled
O20346,U02370,P00900,2024-11-06,2,Delivered
O20347,U01417,P00869,2025-06-17,5,Cancelled
O20348,U01003,P01064,2024-03-17,3,Placed
O20349,U01623,P00935,2024-10-19,5,Cancelled
O20350,U02752,P00806,2023-11-08,4,Cancelled
O20351,U01235,P00343,2024-07-25,1,Cancelled
O20352,U01588,P00266,2024-02-15,4,Cancelled
O20353,U01519,P01002,2024-02-01,4,Delivered
O20354,U00025,P00260,2025-03-26,3,Delivered
O20355,U00431,P01140,2024-11-14,5,Shipped
O20356,U01987,P01364,2023-11-03,5,Cancelled
O20357,U00336,P00412,2024-10-17,1,Delivered
O20358,U02910,P01039,2025-01-22,3,Shipped
O20359,U02842,P00897,2024-04-20,2,Cancelled
O20360,U00588,P00962,2024-04-27,4,Delivered
O20361,U00868,P00629,2023-10-05,4,Cancelled
O20362,U02765,P01318,2023-12-06,4,Delivered
O20363,U01792,P00602,2023-07-07,2,Delivered
O20364,U00845,P00093,2023-08-16,5,Cancelled
O20365,U01879,P00175,2024-01-09,3,Cancelled
O20366,U00484,P01356,2023-12-25,2,Delivered
O20367,U02984,P00576,2024-06-06,2,Cancelled
O20368,U01216,P00202,2025-05-04,4,Cancelled
O20369,U01103,P00771,2023-10-05,2,Cancelled
O20370,U02154,P01215,2025-02-17,3,Cancelled
O20371,U02647,P00283,2023-12-20,1,Placed
O20372,U00704,P01295,2024-12-18,2,Shipped
O20373,U02587,P00808,2024-10-24,2,Shipped
O20374,U02361,P00171,2024-01-06,5,Placed
O20375,U01662,P01457,2024-05-20,4,Shipped
O20376,U01966,P00701,2025-04-18,3,Placed
O20377,U02763,P00938,2023-09-01,5,Cancelled
O20378,U02525,P00246,2024-03-25,4,Delivered
O20379,U00122,P00652,2024-05-26,5,Cancelled
O20380,U01370,P00057,2024-12-31,5,Cancelled
O20381,U01206,P01006,2023-09-28,2,Delivered
O20382,U02792,P00853,2024-07-15,2,Placed
O20383,U00875,P00609,2025-06-16,4,Cancelled
O20384,U01605,P00551,2023-06-23,3,Delivered
O20385,U01108,P00052,2023-09-21,4,Cancelled
O20386,U02839,P00830,2024-09-03,3,Cancelled
O20387,U01370,P00883,2024-03-10,3,Delivered
O20388,U00868,P01272,2024-08-02,4,Cancelled
O20389,U02100,P00974,2024-09-19,3,Delivered
O20390,U01330,P00801,2024-03-08,3,Placed
O20391,U02203,P00124,2023-12-03,3,Delivered
O20392,U01382,P00278,2024-03-22,5,Shipped
O20393,U00163,P00529,2024-05-14,3,Cancelled
O20394,U01069,P00517,2024-01-16,4,Shipped
O20395,U02730,P00214,2024-12-11,1,Cancelled
O20396,U01237,P00511,2024-03-02,1,Cancelled
O20397,U00996,P00221,2024-09-23,1,Placed
O20398,U02944,P01113,2023-07-22,1,Cancelled
O20399,U01762,P00813,2025-02-12,3,Shipped
O20400,U02865,P00278,2024-07-12,3,Shipped
O20401,U01084,P00678,2024-09-10,1,Cancelled
O20402,U01916,P00135,2025-01-25,4,Shipped
O20403,U01418,P01086,2025-02-25,2,Placed
O20404,U01866,P01293,2024-07-04,2,Shipped
O20405,U02099,P01087,2025-05-07,3,Placed
O20406,U00880,P00004,2025-01-10,1,Delivered
O20407,U01646,P00044,2024-10-11,1,Cancelled
O20408,U00028,P01176,2025-01-29,4,Cancelled
O20409,U01827,P00294,2024-10-30,1,Shipped
O20410,U02129,P00650,2023-09-13,2,Shipped
O20411,U00704,P00046,2025-06-17,5,Placed
O20412,U00038,P00293,2023-07-11,4,Shipped
O20413,U01902,P01064,2023-10-11,3,Placed
O20414,U00761,P00738,2024-07-04,4,Placed
O20415,U02353,P00072,2023-07-30,1,Placed
O20416,U00245,P01456,2024-02-28,5,Delivered
O20417,U02989,P00604,2024-04-16,1,Shipped
O20418,U00103,P00144,2023-08-30,2,Delivered
O20419,U01370,P00883,2025-06-09,2,Cancelled
O20420,U01620,P00996,2024-08-06,1,Shipped
O20421,U02580,P00046,2024-03-04,4,Delivered
O20422,U00206,P01289,2024-01-02,4,Cancelled
O20423,U01811,P00670,2025-03-19,4,Placed
O20424,U01404,P01287,2023-09-13,2,Delivered
O20425,U00620,P01221,2025-05-11,1,Placed
O20426,U00519,P01465,2024-11-28,2,Placed
O20427,U01752,P00471,2025-05-29,5,Delivered
O20428,U00492,P01199,2023-07-14,3,Placed
O20429,U02674,P00075,2023-10-08,1,Placed
O20430,U02022,P00172,2025-02-26,2,Shipped
O20431,U02481,P01493,2024-03-03,4,Delivered
O20432,U02736,P00611,2023-10-23,4,Cancelled
O20433,U01858,P00051,2024-06-11,3,Placed
O20434,U02403,P00236,2024-11-26,5,Placed
O20435,U01791,P01003,2023-09-12,3,Placed
O20436,U02950,P00912,2024-12-22,2,Cancelled
O20437,U01382,P00088,2024-06-24,3,Placed
O20438,U02104,P01323,2025-02-24,2,Cancelled
O20439,U02865,P00134,2025-02-10,2,Cancelled
O20440,U01633,P00482,2025-04-05,1,Shipped
O20441,U01882,P00360,2024-01-28,1,Placed
O20442,U01067,P00698,2024-11-18,5,Cancelled
O20443,U01394,P00765,2024-01-12,4,Placed
O20444,U00129,P00863,2023-09-19,1,Delivered
O20445,U01609,P01056,2024-08-10,3,Delivered
O20446,U01428,P01326,2024-04-06,5,Shipped
O20447,U01751,P00194,2025-02-08,3,Delivered
O20448,U01636,P00148,2023-09-29,4,Placed
O20449,U01378,P00150,2024-02-15,5,Placed
O20450,U00335,P00987,2025-04-26,5,Cancelled
O20451,U00185,P00938,2024-12-09,1,Delivered
O20452,U00350,P01204,2025-04-16,1,Delivered
O20453,U02943,P00196,2025-05-01,1,Placed
O20454,U01357,P00731,2023-06-20,1,Shipped
O20455,U00076,P00889,2025-04-16,5,Placed
O20456,U01702,P00448,2024-05-24,2,Cancelled
O20457,U00473,P00233,2023-10-14,5,Shipped
O20458,U01351,P01476,2024-09-13,3,Delivered
O20459,U00271,P00156,2023-08-14,1,Cancelled
O20460,U01844,P00217,2023-12-22,4,Delivered
O20461,U00264,P00265,2024-04-16,5,Delivered
O20462,U00381,P01192,2024-08-13,5,Placed
O20463,U01506,P01308,2025-05-09,4,Placed
O20464,U01805,P00312,2025-04-30,3,Placed
O20465,U01099,P00184,2025-03-25,3,Placed
O20466,U02966,P00517,2023-07-19,1,Placed
O20467,U02193,P01414,2024-08-14,5,Cancelled
O20468,U01088,P00329,2024-02-11,3,Placed
O20469,U01059,P00892,2023-10-20,2,Placed
O20470,U01730,P00280,2023-12-30,4,Shipped
O20471,U00754,P00669,2025-01-15,5,Delivered
O20472,U00087,P00137,2024-04-27,3,Delivered
O20473,U02399,P01430,2024-12-30,5,Delivered
O20474,U01331,P00739,2024-05-24,1,Shipped
O20475,U01301,P00976,2025-03-17,2,Shipped
O20476,U02992,P00989,2025-01-10,1,Cancelled
O20477,U00206,P00338,2024-08-19,4,Shipped
O20478,U01123,P01200,2024-01-04,5,Shipped
O20479,U02451,P00521,2023-11-03,3,Delivered
O20480,U01480,P01068,2025-04-16,2,Placed
O20481,U01330,P00705,2025-06-14,4,Delivered
O20482,U02233,P00338,2024-09-17,1,Delivered
O20483,U00564,P01182,2024-08-30,3,Shipped
O20484,U00402,P00529,2024-01-05,3,Placed
O20485,U02635,P01070,2024-01-31,3,Placed
O20486,U01239,P00936,2024-09-21,2,Cancelled
O20487,U01285,P00032,2024-12-26,1,Shipped
O20488,U00918,P00947,2024-11-11,5,Shipped
O20489,U01021,P00937,2024-11-25,4,Cancelled
O20490,U00628,P00255,2023-12-14,4,Cancelled
O20491,U01742,P00647,2024-02-08,1,Cancelled
O20492,U01983,P00488,2025-06-07,5,Delivered
O20493,U02660,P00234,2024-06-21,4,Delivered
O20494,U00347,P01116,2024-11-19,4,Shipped
O20495,U02070,P00149,2024-07-27,4,Delivered
O20496,U01094,P00897,2025-05-29,2,Delivered
O20497,U01413,P00696,2023-08-12,5,Cancelled
O20498,U00546,P00200,2023-11-12,5,Placed
O20499,U00858,P00575,2023-07-11,4,Delivered
O20500,U00704,P01234,2025-02-06,4,Shipped
O20501,U01594,P00524,2024-09-13,2,Delivered
O20502,U02070,P01225,2024-02-03,5,Shipped
O20503,U01323,P01398,2024-11-29,1,Placed
O20504,U00796,P01330,2023-09-24,1,Placed
O20505,U02996,P00778,2024-05-12,3,Cancelled
O20506,U02005,P01368,2023-12-22,1,Shipped
O20507,U02913,P01245,2023-09-02,5,Delivered
O20508,U02513,P01089,2024-01-03,3,Cancelled
O20509,U02397,P01226,2025-06-02,1,Cancelled
O20510,U00423,P00998,2025-05-07,4,Cancelled
O20511,U02293,P01348,2024-03-01,3,Cancelled
O20512,U02971,P00413,2024-11-12,2,Shipped
O20513,U01673,P01378,2025-02-23,5,Delivered
O20514,U00011,P01246,2024-06-30,5,Shipped
O20515,U01742,P01253,2024-12-15,5,Delivered
O20516,U00055,P01440,2024-06-12,5,Shipped
O20517,U02948,P01382,2024-07-18,5,Delivered
O20518,U00784,P01159,2023-08-10,2,Delivered
O20519,U00494,P00099,2023-08-24,2,Shipped
O20520,U00522,P00844,2025-01-27,2,Placed
O20521,U02042,P00922,2024-10-07,4,Shipped
O20522,U02410,P01354,2024-03-17,1,Shipped
O20523,U02214,P00391,2024-08-29,3,Shipped
O20524,U02447,P00070,2024-07-13,3,Delivered
O20525,U00656,P00177,2025-01-08,5,Cancelled
O20526,U02448,P00981,2024-12-25,2,Shipped
O20527,U00671,P01287,2023-08-04,5,Cancelled
O20528,U02293,P00513,2024-04-09,3,Delivered
O20529,U00210,P00543,2024-12-07,5,Shipped
O20530,U00434,P00789,2024-11-27,5,Shipped
O20531,U01105,P01279,2023-07-31,1,Placed
O20532,U02994,P00810,2024-04-12,5,Cancelled
O20533,U01070,P01293,2025-01-23,1,Delivered
O20534,U02634,P00428,2024-12-25,2,Cancelled
O20535,U01159,P00163,2024-11-19,1,Shipped
O20536,U02598,P01372,2025-06-15,5,Cancelled
