transactionID,accountID,amount,transactionDate,type,description
TX20057,A13556,9118.99,2023-03-05,Withdrawal,Final above occur.
TX20058,A14169,6111.03,2022-01-29,Payment,Center while plan.
TX20059,A11549,14470.87,2024-05-31,Transfer,Parent hit.
TX20060,A15533,-4486.57,2023-03-07,Transfer,Market thus feeling air.
TX20061,A15039,2473.52,2021-07-07,Transfer,Similar future public.
TX20062,A16736,18807.74,2023-09-23,Deposit,Require name program.
TX20063,A10288,-882.0,2021-08-19,Deposit,Tax maintain.
TX20064,A16295,17856.01,2023-07-25,Deposit,As late father stuff.
TX20065,A13745,3330.8,2021-10-30,Withdrawal,Mother history.
TX20066,A10296,-2107.99,2024-10-05,Deposit,Skin vote fine.
TX20067,A15963,6213.5,2023-10-30,Transfer,Meet policy foreign bad of.
TX20068,A15205,-251.27,2023-02-26,Transfer,Degree lose many life.
TX20069,A14190,6766.96,2023-09-09,Payment,Stuff Democrat design message wife.
TX20070,A11762,10628.67,2021-08-18,Deposit,Could contain program.
TX20071,A11143,12957.08,2021-12-06,Deposit,Among west final rule for.
TX20072,A10070,7210.27,2022-03-03,Withdrawal,Up sort finally.
TX20073,A11977,11736.92,2023-05-06,Withdrawal,Throw sometimes impact actually finally.
TX20074,A16352,11874.92,2020-07-05,Payment,Ball politics yard level.
TX20075,A13052,7699.98,2025-06-04,Withdrawal,Newspaper college but baby.
TX20076,A16388,8196.06,2022-09-19,Payment,Huge where responsibility.
TX20077,A15958,-3029.79,2023-05-24,Withdrawal,Baby night.
TX20078,A17796,15144.64,2021-12-20,Transfer,Around wonder fast.
TX20079,A17502,7215.18,2022-09-22,Withdrawal,Brother ground stage.
TX20080,A14122,774.36,2022-02-22,Withdrawal,Gas like.
TX20081,A12203,8439.13,2022-09-10,Payment,Style politics here respond establish.
TX20082,A12592,11947.05,2021-05-13,Deposit,Itself big although make.
TX20083,A11376,9659.53,2025-05-23,Withdrawal,Pretty ok place.
TX20084,A16999,9269.47,2021-06-10,Transfer,Town condition.
TX20085,A13177,702.54,2024-10-12,Withdrawal,Them follow again.
TX20086,A15327,-3473.56,2024-07-23,Payment,Production approach go wait during.
TX20087,A12563,13209.8,2021-10-21,Withdrawal,Throw dinner agreement form former.
TX20088,A10173,5793.66,2021-06-14,Transfer,Energy summer cause.
TX20089,A15729,-294.88,2021-04-25,Deposit,Be success allow still.
TX20090,A14679,-4230.8,2023-04-18,Deposit,Single break near serious training.
TX20091,A13111,16336.58,2020-12-21,Withdrawal,So likely play medical.
TX20092,A17335,19425.08,2021-03-12,Transfer,Avoid police gas check.
TX20093,A17114,16860.23,2021-04-10,Payment,Very five wind themselves reflect.
TX20094,A17662,14672.88,2022-06-10,Transfer,Book use.
TX20095,A10240,-2870.2,2021-10-13,Transfer,Care challenge music popular.
TX20096,A16932,-3929.22,2024-03-29,Payment,Hit health part.
TX20097,A13939,7961.99,2023-03-20,Withdrawal,Network cause consumer admit.
TX20098,A12285,-1947.51,2022-07-26,Transfer,Up you role painting between.
TX20099,A17895,630.6,2023-06-09,Transfer,Family about require her idea.
TX20100,A10051,16456.97,2024-06-16,Payment,Loss dog huge.
TX20101,A11882,16865.12,2020-10-07,Withdrawal,Artist drug.
TX20102,A11050,-2264.68,2022-06-11,Transfer,Remain power family.
TX20103,A15070,12693.01,2024-11-13,Transfer,Summer begin candidate return.
TX20104,A11328,13068.27,2023-08-30,Withdrawal,Serve likely window.
TX20105,A17358,6985.99,2024-11-12,Payment,Enjoy bill sometimes piece process.
TX20106,A11099,1440.29,2021-04-17,Payment,Too whatever try.
TX20107,A13181,16100.48,2024-07-11,Transfer,Fire movement near news indeed.
TX20108,A12648,13291.85,2023-11-19,Transfer,Public same hard.
TX20109,A13243,-4304.7,2023-05-17,Withdrawal,Organization box.
TX20110,A13179,1939.41,2021-11-23,Payment,Culture key dream quickly.
TX20111,A11884,12576.73,2023-03-25,Payment,Would popular end.
TX20112,A16670,9611.51,2022-01-24,Deposit,Fly recognize some sister.
TX20113,A15318,12651.06,2025-06-10,Transfer,Avoid then simple.
TX20114,A16070,3710.85,2024-04-28,Withdrawal,Step new.
TX20115,A14852,18862.84,2020-09-04,Payment,Church because.
TX20116,A10976,3659.46,2024-05-14,Deposit,Off or economy item.
TX20117,A11658,4682.31,2024-12-05,Deposit,Situation arrive office develop.
TX20118,A15417,16943.62,2022-05-26,Transfer,Major particularly race around.
TX20119,A16717,4307.27,2022-05-03,Transfer,Accept seat their skill.
TX20120,A17017,19755.33,2025-04-04,Withdrawal,Full manager social hundred staff.
TX20121,A11252,12763.39,2023-03-04,Payment,Goal she could.
TX20122,A14175,-2830.88,2021-09-21,Withdrawal,Particularly method region main matter.
TX20123,A13800,1403.22,2020-08-17,Deposit,Candidate poor college strategy.
TX20124,A11336,12006.21,2020-10-01,Withdrawal,Enough next hand sense most.
TX20125,A13299,16152.23,2023-02-26,Transfer,Story final seek.
TX20126,A13656,18032.98,2021-06-12,Withdrawal,Decide admit.
TX20127,A17751,16272.27,2025-05-04,Withdrawal,Civil light everything worry center.
TX20128,A14142,18099.54,2020-09-01,Deposit,Benefit can mind.
TX20129,A11115,3966.0,2024-08-23,Deposit,Mrs item senior news answer.
TX20130,A15748,661.34,2021-10-15,Payment,Son either strategy.
TX20131,A13451,19274.66,2021-04-01,Transfer,Discuss power serious all under.
TX20132,A15684,13027.22,2024-05-26,Withdrawal,Let experience establish.
TX20133,A12025,1252.76,2024-04-22,Payment,Leave traditional company election.
TX20134,A14814,17509.56,2024-01-12,Deposit,Raise source agent degree.
TX20135,A10665,6096.39,2023-07-01,Payment,Already he medical along.
TX20136,A14728,4730.84,2024-02-21,Transfer,Current travel than stage.
TX20137,A17046,-2500.82,2025-05-15,Payment,Explain quite.
TX20138,A16971,681.83,2023-06-10,Payment,Enjoy all national great.
TX20139,A14062,11505.63,2024-11-05,Withdrawal,Strong everybody themselves author.
TX20140,A15494,-2528.15,2021-05-26,Transfer,Nature information city.
TX20141,A17437,12777.09,2020-12-04,Payment,Increase customer think which.
TX20142,A15579,19346.67,2021-06-29,Deposit,East key follow.
TX20143,A13954,1826.86,2024-05-17,Withdrawal,Born couple American inside role.
TX20144,A13693,10425.07,2023-11-15,Deposit,Lot fly compare western.
TX20145,A11211,6381.74,2023-12-18,Payment,Difference like.
TX20146,A11792,2428.89,2020-07-02,Payment,Term instead.
TX20147,A15926,13531.16,2020-09-22,Withdrawal,Must believe threat him industry.
TX20148,A17261,-3299.97,2023-05-23,Withdrawal,Us yourself maintain order.
TX20149,A14870,355.66,2022-09-01,Deposit,Provide city else quite increase.
TX20150,A12551,13225.57,2020-08-03,Payment,Before citizen itself fly heavy.
TX20151,A12045,4862.87,2021-10-18,Transfer,Film able create avoid official.
TX20152,A16782,-4980.7,2020-06-18,Withdrawal,His write wife bed deal.
TX20153,A11351,-4072.76,2024-12-25,Withdrawal,Assume daughter.
TX20154,A17360,14066.2,2022-11-05,Deposit,Tonight miss.
TX20155,A17702,6522.65,2021-07-31,Deposit,Follow foot.
TX20156,A14611,3344.86,2021-05-03,Withdrawal,Teach hear very.
TX20157,A16506,-1765.3,2022-07-22,Deposit,Wife relate line direction.
TX20158,A13649,-1210.21,2024-11-13,Payment,Happen civil.
TX20159,A15144,14813.5,2023-07-30,Transfer,Side near year.
TX20160,A15152,5889.54,2022-07-28,Payment,Some many me.
TX20161,A13615,8701.4,2021-09-02,Transfer,Shoulder about whether remember third.
TX20162,A11400,7284.08,2021-04-13,Deposit,Candidate artist prevent.
TX20163,A15524,-3442.98,2022-03-18,Transfer,When land Mr economy those.
TX20164,A16119,272.6,2024-01-16,Withdrawal,Green maintain score new bit.
TX20165,A13099,12932.54,2022-10-12,Withdrawal,Score fish.
TX20166,A14521,17747.2,2021-04-02,Transfer,Have point hospital apply air.
TX20167,A11979,-1331.35,2023-12-03,Deposit,Technology series rock she.
TX20168,A11900,9879.59,2021-04-18,Payment,Consumer lay certainly time.
TX20169,A13461,5360.16,2023-07-23,Transfer,Often give education another exactly.
TX20170,A17449,16358.36,2024-03-10,Transfer,Offer skill last.
TX20171,A15997,4058.13,2021-12-24,Deposit,Become base outside very.
TX20172,A17923,9153.76,2023-02-08,Deposit,Early door music.
TX20173,A16341,798.14,2023-12-03,Withdrawal,Live great tonight under.
TX20174,A10434,13595.48,2024-10-01,Transfer,Few billion through.
TX20175,A10889,15418.24,2022-02-23,Withdrawal,Carry strong.
TX20176,A15831,11045.86,2023-12-12,Withdrawal,Father property example marriage carry.
TX20177,A15398,10827.58,2021-09-26,Deposit,Research boy small notice.
TX20178,A12026,-3805.2,2023-08-01,Payment,Family indicate stand down.
TX20179,A15630,5463.34,2024-04-21,Payment,Animal face.
TX20180,A12539,-4793.26,2024-05-14,Deposit,Never three lawyer down month.
TX20181,A10765,5283.84,2020-12-26,Payment,Paper window police.
TX20182,A16210,14182.32,2025-01-09,Payment,Few event someone.
TX20183,A13707,4754.69,2023-05-07,Transfer,To would.
TX20184,A17352,-2715.18,2022-02-04,Withdrawal,Response leader on girl.
TX20185,A17306,6921.65,2021-01-01,Deposit,Share wish cup.
TX20186,A13301,17033.82,2021-04-29,Deposit,Hundred goal speak every.
TX20187,A12934,904.08,2022-06-24,Withdrawal,Trade method production now list.
TX20188,A16691,2558.98,2025-06-03,Transfer,Drug author seven.
TX20189,A13151,-3124.25,2021-04-08,Deposit,Next many window.
TX20190,A15150,-3615.2,2023-08-06,Deposit,Moment idea ground.
TX20191,A14630,14699.53,2023-05-14,Deposit,Scene like dinner.
TX20192,A10140,4710.08,2021-03-22,Payment,Them somebody power vote watch.
TX20193,A12162,6051.32,2024-01-26,Transfer,Safe glass.
TX20194,A13532,5500.81,2021-07-26,Payment,They group maybe.
TX20195,A14518,3120.53,2021-12-07,Deposit,Trouble suddenly source.
TX20196,A14250,13068.16,2024-12-22,Deposit,Collection however visit today.
TX20197,A10454,8227.12,2020-08-23,Deposit,Mouth four beyond.
TX20198,A17188,14969.21,2024-05-09,Withdrawal,Argue traditional town.
TX20199,A12603,-4719.74,2023-03-04,Transfer,Yard believe sense hospital account.
TX20200,A12838,11843.27,2020-10-25,Withdrawal,Apply story.
TX20201,A15782,11714.25,2021-06-21,Withdrawal,Relationship standard account.
TX20202,A15311,12159.95,2022-08-25,Deposit,Film leave total.
TX20203,A10884,17764.37,2022-03-13,Transfer,Yard truth.
TX20204,A15411,16854.0,2020-10-22,Payment,Life bad rich.
TX20205,A17119,1211.49,2022-10-22,Deposit,Box result goal.
TX20206,A13280,-339.3,2020-09-16,Payment,Democratic have peace stand those.
TX20207,A10068,7557.28,2024-05-19,Transfer,North wrong church church.
TX20208,A15144,-2252.68,2021-09-24,Transfer,End book system people.
TX20209,A10768,-4711.43,2021-07-18,Withdrawal,Final eat memory.
TX20210,A12321,-3724.25,2023-01-27,Transfer,Kind economic best.
TX20211,A12059,11957.3,2020-09-03,Payment,Guy any.
TX20212,A10630,19991.15,2020-10-06,Transfer,Type child that surface.
TX20213,A15284,12250.85,2024-03-11,Deposit,Front wide often during second.
TX20214,A15104,1509.12,2025-01-06,Transfer,Tax born.
TX20215,A17317,8124.6,2025-04-27,Transfer,Cover similar accept different.
TX20216,A16857,11723.47,2023-11-24,Withdrawal,Pm both state pressure.
TX20217,A16861,-1935.98,2025-03-08,Withdrawal,Expert present middle.
TX20218,A14526,15788.82,2021-04-04,Withdrawal,Agreement such.
TX20219,A12663,3646.08,2025-01-19,Payment,Piece place among after.
TX20220,A12156,-2280.74,2024-10-07,Withdrawal,Congress throw short future.
TX20221,A10969,19754.49,2024-10-29,Deposit,Southern everything recently poor.
TX20222,A13670,8112.52,2023-12-13,Payment,Need song the maybe.
TX20223,A14626,-1110.69,2023-06-22,Withdrawal,Study president guess.
TX20224,A13621,12057.1,2022-02-16,Payment,Western common.
TX20225,A10714,11887.58,2021-01-07,Deposit,Fine say.
TX20226,A12652,13247.29,2023-11-07,Withdrawal,Recognize huge away.
TX20227,A10440,17172.04,2023-08-10,Transfer,Move one.
TX20228,A11343,11788.85,2020-10-08,Deposit,Own turn system.
TX20229,A16120,1907.18,2020-11-04,Deposit,Hair particular.
TX20230,A14110,12319.0,2021-03-08,Withdrawal,Wear recognize debate.
TX20231,A15558,7823.22,2021-12-18,Transfer,Fine light history dinner well.
TX20232,A16315,15561.76,2023-06-13,Withdrawal,Cut financial.
TX20233,A10263,8572.59,2022-08-28,Deposit,Issue voice.
TX20234,A12909,19556.21,2023-10-22,Deposit,Much everyone car last performance.
TX20235,A13465,2098.75,2024-03-07,Transfer,South trip world resource.
TX20236,A10410,1489.42,2024-10-04,Deposit,Information between.
TX20237,A14321,12307.23,2023-02-26,Withdrawal,Begin radio chance in industry.
TX20238,A14582,17913.49,2022-06-22,Transfer,Threat student woman surface.
TX20239,A12924,4632.75,2020-09-01,Payment,Kind leg lay just affect.
TX20240,A14641,6813.35,2023-01-20,Deposit,War by station very.
TX20241,A13547,15364.76,2024-12-01,Deposit,Themselves interesting second.
TX20242,A13826,8078.13,2021-01-05,Deposit,Attack out level better within.
TX20243,A14300,-1331.81,2022-09-02,Transfer,Attention war describe owner local.
TX20244,A17207,15697.27,2021-12-07,Payment,Professor reality.
TX20245,A12079,14940.28,2023-07-12,Payment,Dinner author professor.
TX20246,A13066,-3753.61,2023-10-30,Deposit,Them ago nice wall.
TX20247,A10658,-3248.86,2023-02-11,Withdrawal,Republican company southern world.
TX20248,A10972,4484.31,2023-01-03,Transfer,Study perform spring social.
TX20249,A16017,-3587.17,2021-06-14,Deposit,Reach ready however hard.
TX20250,A12252,16590.22,2024-06-10,Payment,Professional behavior.
TX20251,A13393,4321.6,2022-02-12,Deposit,Building seven dog.
TX20252,A14419,15401.77,2021-10-06,Withdrawal,Help along leg game exist.
TX20253,A17151,-3413.35,2025-05-20,Payment,Throw special degree draw.
TX20254,A13015,9796.27,2021-04-08,Deposit,Now land game support.
TX20255,A17619,-1408.37,2022-07-25,Transfer,Behavior attention language avoid.
TX20256,A13752,1186.46,2020-11-19,Transfer,Imagine approach most.
TX20257,A17614,1831.5,2020-11-27,Deposit,To break soon.
TX20258,A10831,353.68,2023-07-19,Deposit,Point town.
TX20259,A16471,-4635.64,2024-05-23,Transfer,Republican rock board.
TX20260,A16850,8405.29,2021-11-29,Withdrawal,Way through evidence meet store.
TX20261,A14362,17043.74,2022-10-17,Withdrawal,Form recognize know realize.
TX20262,A10337,19907.55,2025-03-13,Withdrawal,Share door although he.
TX20263,A10832,628.85,2021-04-12,Payment,Image laugh local training stage.
TX20264,A17987,2974.21,2024-02-22,Deposit,Child value behind test.
TX20265,A11751,-2902.07,2024-08-20,Deposit,Will young into century.
TX20266,A15714,3092.02,2022-01-29,Deposit,Before for hope.
TX20267,A16261,-1199.37,2022-11-03,Payment,Pattern player other.
TX20268,A12384,-2445.9,2022-02-06,Payment,Close major kitchen.
TX20269,A11035,4855.36,2022-06-24,Withdrawal,Turn especially middle out.
TX20270,A10156,6032.84,2024-06-13,Deposit,Child say provide.
TX20271,A13495,-4439.22,2022-07-07,Withdrawal,Able operation camera less population.
TX20272,A15757,5785.73,2022-07-08,Payment,However raise keep central.
TX20273,A11421,18230.12,2022-10-12,Deposit,Worker today.
TX20274,A13115,2453.06,2024-07-22,Transfer,Also society leader.
TX20275,A10778,-3604.23,2023-05-08,Withdrawal,Debate fear despite risk by.
TX20276,A13763,-3472.99,2022-12-23,Deposit,Set evening central for.
TX20277,A11183,18175.52,2024-12-04,Deposit,Member woman.
TX20278,A10641,4010.99,2023-09-19,Withdrawal,Social stop.
TX20279,A11235,12253.64,2020-09-11,Payment,Show six.
TX20280,A15352,218.19,2022-02-17,Deposit,Admit professional ever fire.
TX20281,A12495,13198.63,2022-12-07,Payment,Its grow political worry.
TX20282,A12099,16173.6,2021-03-14,Transfer,Company people.
TX20283,A14867,6737.28,2021-06-03,Deposit,Account fact.
TX20284,A14533,-826.02,2024-09-03,Withdrawal,Standard face upon later family.
TX20285,A12167,-2136.21,2021-10-11,Transfer,Member pretty listen.
TX20286,A14539,3286.6,2021-09-12,Withdrawal,Parent treatment region several.
TX20287,A14108,10302.14,2024-01-01,Transfer,Entire cause little.
TX20288,A16921,1787.76,2024-01-25,Transfer,Foot these.
TX20289,A15423,9161.33,2023-11-28,Deposit,History suffer realize age mention.
TX20290,A16627,-194.99,2023-12-07,Transfer,Wall loss hour.
TX20291,A10145,1330.25,2025-02-01,Withdrawal,Model support.
TX20292,A12481,5449.52,2023-01-16,Withdrawal,Participant sort professor tonight.
TX20293,A11473,-689.0,2025-03-19,Withdrawal,Area throughout.
TX20294,A12489,-1452.17,2023-04-12,Payment,Responsibility close style also guy.
TX20295,A15085,1671.76,2024-09-03,Withdrawal,Whose movie husband professional.
TX20296,A16979,7631.57,2025-06-03,Withdrawal,Guess head three claim join.
TX20297,A11143,-396.47,2024-01-28,Payment,Nearly return cut.
TX20298,A16534,11070.22,2025-03-19,Payment,Become mission blue down.
TX20299,A13857,-2510.15,2021-01-19,Transfer,Also adult doctor ahead indeed.
TX20300,A10265,1116.24,2025-03-16,Deposit,Campaign case fund series.
TX20301,A12337,4389.04,2020-08-12,Transfer,Until national side sometimes.
TX20302,A13263,18368.56,2022-05-27,Transfer,Performance audience say behind so.
TX20303,A14725,17014.19,2025-02-13,Deposit,Claim try wind visit.
TX20304,A10247,-2269.94,2024-05-12,Payment,Whose four city top energy.
TX20305,A14579,4056.8,2024-08-20,Transfer,Something popular executive movement.
TX20306,A11601,-2941.5,2024-03-18,Deposit,Value college no later ever.
TX20307,A14363,16038.01,2022-09-07,Withdrawal,Than which account go.
TX20308,A15864,-305.71,2024-08-18,Transfer,Store two citizen hundred.
TX20309,A12211,4643.51,2022-02-20,Deposit,Process final near standard.
TX20310,A12417,-921.51,2025-06-09,Deposit,Ask nice born manager.
TX20311,A10664,10144.84,2021-01-29,Withdrawal,Speech somebody give.
TX20312,A13606,-2592.33,2023-12-23,Payment,Trouble assume follow.
TX20313,A13992,7396.38,2022-09-25,Withdrawal,Direction American attention wish.
TX20314,A10544,11800.97,2021-04-09,Transfer,The building election.
TX20315,A12417,-1752.94,2023-08-23,Deposit,Send fill maintain big lawyer.
TX20316,A11576,-945.04,2022-03-20,Transfer,Long why station quality.
TX20317,A14680,16794.61,2024-11-26,Transfer,Action fine.
TX20318,A11829,17596.39,2020-06-19,Transfer,Month various four.
TX20319,A15022,16781.62,2020-07-09,Withdrawal,Finish continue official real state.
TX20320,A17156,10503.17,2025-01-22,Withdrawal,Attorney whatever increase.
TX20321,A11030,11541.24,2024-01-25,Deposit,Identify probably arrive member.
TX20322,A14318,1660.63,2021-08-08,Transfer,Product trial build before south.
TX20323,A17844,-1223.25,2025-01-21,Withdrawal,Store hospital reduce direction.
TX20324,A12579,-2977.7,2020-12-13,Withdrawal,Court present hot box.
TX20325,A11717,1681.27,2022-05-26,Payment,Business term television letter.
TX20326,A12637,18503.94,2021-03-23,Deposit,Discuss thing record serve.
TX20327,A13202,9149.1,2024-02-23,Withdrawal,Ok their day.
TX20328,A15389,4681.43,2020-08-22,Withdrawal,Within rich hit describe.
TX20329,A12555,17560.77,2021-07-13,Payment,Oil eye.
TX20330,A13072,8555.23,2023-03-18,Payment,Everybody class collection difference.
TX20331,A11846,14789.26,2024-04-16,Transfer,Keep book few.
TX20332,A11163,-3764.95,2025-05-29,Withdrawal,Popular nearly job table always.
TX20333,A14687,-545.56,2024-10-10,Transfer,Forward already feeling rule religious.
TX20334,A13446,1691.49,2023-08-14,Withdrawal,Else reduce yard.
TX20335,A17178,2291.92,2020-10-09,Deposit,Firm image near analysis.
TX20336,A10670,-642.03,2024-09-03,Deposit,Fill notice visit matter.
TX20337,A17234,6935.07,2020-10-23,Transfer,Various easy trial red.
TX20338,A15286,9220.0,2021-03-07,Withdrawal,Control suddenly approach environment.
TX20339,A17831,7543.06,2023-03-24,Deposit,Building class choice experience agency.
TX20340,A14341,18803.31,2021-09-16,Withdrawal,Someone trade group cup half.
TX20341,A12000,4680.32,2024-11-30,Deposit,She soldier month wall size.
TX20342,A17561,10603.89,2021-05-29,Withdrawal,Central building senior situation.
TX20343,A14820,3640.1,2022-11-21,Withdrawal,Building less.
TX20344,A13914,15874.17,2022-10-01,Deposit,Maybe cell main news southern.
TX20345,A11950,15245.69,2025-04-13,Withdrawal,Like to off such however.
TX20346,A15548,18379.46,2022-03-30,Transfer,Central move be discover.
TX20347,A16525,-1908.09,2021-05-09,Transfer,Thank color board.
TX20348,A12690,5015.42,2020-12-07,Transfer,Remember challenge church.
TX20349,A12584,14591.64,2023-11-10,Payment,Necessary who among.
TX20350,A13419,5642.17,2022-01-22,Deposit,Effort including occur radio specific.
TX20351,A14746,12637.4,2023-03-13,Deposit,Sense these hot.
TX20352,A17042,10637.67,2023-09-23,Deposit,Event individual boy.
TX20353,A11613,-4183.7,2023-03-06,Transfer,Audience present.
TX20354,A13882,-1349.56,2023-09-05,Transfer,Serious collection kind.
TX20355,A14100,-462.86,2024-12-08,Withdrawal,Very small raise.
TX20356,A16899,9305.94,2020-10-27,Payment,Record test vote collection.
TX20357,A11019,17270.35,2023-03-01,Payment,Six discussion whole.
TX20358,A17999,-3229.65,2024-09-02,Payment,Anyone class writer place street.
TX20359,A12366,17402.97,2021-01-18,Withdrawal,Arm idea issue.
TX20360,A17980,9912.96,2023-04-04,Withdrawal,To expert oil behind.
TX20361,A11817,-4802.14,2022-01-29,Withdrawal,Floor treat.
TX20362,A12755,4686.23,2023-01-22,Transfer,Coach instead.
TX20363,A15469,16618.43,2023-07-12,Transfer,Audience choice then doctor region.
TX20364,A13444,15092.46,2021-10-26,Payment,Of common bill staff leave.
TX20365,A11053,-1994.35,2023-04-17,Deposit,Administration administration send thank local.
TX20366,A17642,388.03,2022-11-26,Transfer,Level statement perform.
TX20367,A13284,19277.6,2024-09-03,Transfer,Performance draw radio see former.
TX20368,A16477,11742.01,2023-01-14,Payment,Between music occur service.
TX20369,A10204,562.15,2023-03-21,Transfer,Others raise chair.
TX20370,A17070,1692.86,2025-01-17,Payment,Already room growth.
TX20371,A11489,2924.64,2022-10-11,Transfer,Table industry particularly treat.
TX20372,A13152,8007.11,2024-12-31,Withdrawal,Safe language after.
TX20373,A11761,18061.43,2021-01-02,Payment,Medical from.
TX20374,A11779,8729.72,2023-09-30,Withdrawal,Man meeting.
TX20375,A17226,6127.57,2020-09-22,Payment,Voice any message.
TX20376,A10375,4581.6,2025-04-24,Payment,Board big student.
TX20377,A15104,18449.39,2025-06-01,Payment,Social military.
TX20378,A17449,14635.57,2021-08-22,Deposit,Consider make player ask.
TX20379,A15280,5972.73,2021-07-19,Transfer,The ahead half surface garden.
TX20380,A12920,14492.92,2024-08-24,Payment,Exactly everybody strong make south.
TX20381,A10374,19444.46,2025-03-12,Deposit,Right agent seven professor.
TX20382,A17833,8368.49,2023-09-20,Payment,Person that prove politics.
TX20383,A16966,6509.34,2020-09-26,Transfer,Become I science.
TX20384,A12285,2358.05,2023-08-08,Deposit,Worker put pull baby.
TX20385,A13688,19855.35,2024-05-13,Withdrawal,Participant billion letter certainly.
TX20386,A15049,2213.43,2022-02-16,Transfer,While today design particularly.
TX20387,A13689,-3231.75,2023-11-18,Payment,Future call capital piece.
TX20388,A10864,-2964.1,2020-08-11,Deposit,Work sport improve.
TX20389,A10640,1101.75,2022-09-22,Transfer,Push anyone.
TX20390,A12674,1173.13,2021-03-11,Withdrawal,Manager south professional.
TX20391,A15224,-4869.3,2024-12-18,Deposit,Make three opportunity indicate.
TX20392,A14911,19417.36,2020-10-07,Deposit,Window in offer behind star.
TX20393,A11026,6737.15,2023-02-14,Transfer,Trouble short direction state around.
TX20394,A13449,6799.29,2021-06-28,Withdrawal,So line.
TX20395,A16911,-1261.18,2021-07-19,Deposit,Red almost art today big.
