productID,supplierID,productName,category,unitPrice,unitsInStock,reorderLevel
PR00054,S0423,Discussion,Electronics,4271.01,94,94
PR00055,S0265,Any,Electronics,445.55,794,12
PR00056,S0496,Respond,Clothing,1627.12,325,86
PR00057,S0054,His,Pharma,1304.48,915,12
PR00058,S0184,Control,Automotive,4077.26,419,82
PR00059,S0289,As,Food,2580.3,609,62
PR00060,S0184,Player,Food,3218.95,641,22
PR00061,S0170,Statement,Furniture,1363.11,330,73
PR00062,S0394,East,Clothing,4756.31,501,99
PR00063,S0222,Above,Electronics,2420.04,640,41
PR00064,S0399,Official,Clothing,2306.48,832,46
PR00065,S0084,Yeah,Pharma,1881.43,43,77
PR00066,S0058,Improve,Pharma,3408.92,382,89
PR00067,S0471,Hit,Furniture,4805.31,687,67
PR00068,S0267,Bad,Food,138.12,126,15
PR00069,S0353,Develop,Electronics,3870.74,792,89
PR00070,S0164,Care,Food,1523.86,340,53
PR00071,S0443,Voice,Automotive,4716.63,658,88
PR00072,S0007,Its,Clothing,2844.1,245,66
PR00073,S0060,Pass,Automotive,4494.58,702,90
PR00074,S0276,Body,Automotive,2055.33,901,47
PR00075,S0473,Television,Pharma,2891.55,254,14
PR00076,S0150,Heavy,Electronics,3948.97,606,38
PR00077,S0404,Impact,Electronics,3956.14,706,38
PR00078,S0427,Statement,Pharma,3577.18,858,72
PR00079,S0201,Middle,Electronics,4313.5,491,32
PR00080,S0401,Herself,Electronics,3326.35,790,71
PR00081,S0063,Wish,Furniture,1658.05,214,35
PR00082,S0196,Forget,Food,4009.59,39,25
PR00083,S0461,Bill,Furniture,4600.06,299,37
PR00084,S0162,There,Furniture,2110.49,568,47
PR00085,S0288,Character,Pharma,4312.46,480,77
PR00086,S0459,Rock,Food,724.4,776,77
PR00087,S0127,Participant,Pharma,4118.86,654,40
PR00088,S0151,Simply,Electronics,2605.8,703,87
PR00089,S0022,Music,Automotive,2407.73,101,54
PR00090,S0227,Feel,Food,3875.08,390,90
PR00091,S0224,Summer,Food,2204.12,880,57
PR00092,S0447,Minute,Clothing,753.0,40,79
PR00093,S0099,Else,Food,4964.1,186,23
PR00094,S0413,Billion,Furniture,3589.74,665,48
PR00095,S0208,Enough,Furniture,4359.7,535,70
PR00096,S0373,Kind,Food,4807.07,94,40
PR00097,S0356,Big,Electronics,2075.84,56,16
PR00098,S0013,Hospital,Food,4572.33,558,100
PR00099,S0416,Girl,Automotive,4044.96,794,39
PR00100,S0017,Different,Pharma,4051.95,936,72
PR00101,S0379,Project,Furniture,4358.07,673,71
PR00102,S0035,Security,Pharma,1612.87,199,16
PR00103,S0294,Hot,Automotive,1280.68,452,52
PR00104,S0446,Piece,Furniture,802.47,973,24
PR00105,S0111,Site,Pharma,4339.01,49,31
PR00106,S0429,Why,Automotive,848.59,965,17
PR00107,S0091,Question,Automotive,4037.83,379,80
PR00108,S0234,Quality,Food,3560.69,958,33
PR00109,S0237,Industry,Pharma,1914.9,189,16
PR00110,S0344,Important,Furniture,1989.86,85,52
PR00111,S0066,Allow,Food,4827.92,166,99
PR00112,S0084,Beyond,Furniture,4680.85,573,10
PR00113,S0332,Film,Clothing,2104.45,760,55
PR00114,S0376,Strategy,Furniture,3381.11,144,12
PR00115,S0458,Interest,Automotive,3022.09,821,88
PR00116,S0134,Painting,Electronics,1828.51,922,74
PR00117,S0102,Exactly,Clothing,2146.97,563,67
PR00118,S0193,Nice,Automotive,380.88,105,29
PR00119,S0040,Everybody,Food,1414.93,66,48
PR00120,S0070,Ten,Furniture,4316.97,991,39
PR00121,S0297,Too,Pharma,1349.47,116,41
PR00122,S0145,Economy,Clothing,3057.36,593,72
PR00123,S0422,Authority,Automotive,4388.0,355,32
PR00124,S0081,Name,Food,1717.86,69,67
PR00125,S0234,Population,Automotive,3480.61,770,84
PR00126,S0224,Want,Furniture,3691.37,917,22
PR00127,S0110,Campaign,Furniture,4187.22,512,82
PR00128,S0291,Performance,Automotive,1444.85,341,80
PR00129,S0399,Poor,Electronics,744.17,594,39
PR00130,S0370,News,Clothing,321.63,278,47
PR00131,S0146,Would,Food,2719.4,572,66
PR00132,S0401,Past,Furniture,1659.98,654,28
PR00133,S0032,Over,Electronics,894.63,887,49
PR00134,S0207,Executive,Furniture,988.94,35,80
PR00135,S0200,Picture,Clothing,3200.93,824,10
PR00136,S0320,Everyone,Clothing,2889.7,666,35
PR00137,S0383,Source,Automotive,2332.67,461,70
PR00138,S0494,Design,Automotive,3910.82,940,88
PR00139,S0405,During,Clothing,650.81,87,14
PR00140,S0154,Fast,Clothing,2892.37,804,24
PR00141,S0188,Choice,Automotive,4730.7,250,98
PR00142,S0106,Hundred,Electronics,929.04,871,100
PR00143,S0268,Western,Pharma,1358.84,455,29
PR00144,S0390,Range,Clothing,3710.38,530,24
PR00145,S0288,Teach,Electronics,1807.35,306,80
PR00146,S0078,Election,Automotive,460.91,393,41
PR00147,S0244,Police,Automotive,2137.79,10,76
PR00148,S0418,Bring,Pharma,136.45,989,54
PR00149,S0120,Not,Pharma,1449.6,91,18
PR00150,S0160,Around,Electronics,773.79,357,88
PR00151,S0027,Show,Pharma,4196.19,756,57
PR00152,S0073,Executive,Clothing,4834.66,317,25
PR00153,S0320,Reveal,Electronics,1838.97,592,51
PR00154,S0068,Ask,Pharma,3544.06,411,10
PR00155,S0041,Statement,Furniture,142.77,449,95
PR00156,S0272,Family,Pharma,4926.05,479,30
PR00157,S0461,Senior,Electronics,940.61,683,86
PR00158,S0383,Somebody,Furniture,2569.54,846,63
PR00159,S0376,Trial,Electronics,1817.36,670,32
PR00160,S0292,Alone,Clothing,4621.49,843,78
PR00161,S0100,Bill,Pharma,1140.71,418,79
PR00162,S0165,Other,Automotive,531.2,259,100
PR00163,S0002,Become,Clothing,817.17,880,96
PR00164,S0132,Business,Electronics,2957.77,434,98
PR00165,S0186,Receive,Food,2691.84,942,74
PR00166,S0453,Already,Clothing,2374.73,964,32
PR00167,S0061,Check,Clothing,1143.92,398,96
PR00168,S0170,Consider,Furniture,3677.84,859,93
PR00169,S0080,Actually,Automotive,411.17,742,100
PR00170,S0415,Glass,Automotive,3107.92,846,12
PR00171,S0321,Detail,Pharma,1347.6,123,59
PR00172,S0043,Social,Electronics,4522.93,745,15
PR00173,S0264,Tough,Automotive,4213.85,686,64
PR00174,S0141,Give,Automotive,70.08,164,99
PR00175,S0214,Where,Furniture,3939.97,293,74
PR00176,S0082,Low,Automotive,2170.51,278,85
PR00177,S0232,Feeling,Food,3662.69,672,27
PR00178,S0160,Off,Electronics,60.88,625,14
PR00179,S0379,Brother,Furniture,1083.73,699,57
PR00180,S0391,At,Clothing,4510.71,777,38
PR00181,S0433,Rate,Food,1107.6,935,37
PR00182,S0213,Box,Clothing,3874.52,563,79
PR00183,S0153,Able,Furniture,250.8,772,86
PR00184,S0098,Attorney,Automotive,2344.74,252,83
PR00185,S0204,Staff,Furniture,1012.29,938,30
PR00186,S0243,Magazine,Automotive,1653.63,695,79
PR00187,S0072,Model,Furniture,2079.96,832,69
PR00188,S0026,Computer,Food,493.27,486,88
PR00189,S0489,Everyone,Clothing,3666.91,208,63
PR00190,S0061,History,Pharma,4672.65,274,49
PR00191,S0405,Nor,Electronics,2605.2,834,79
PR00192,S0405,Current,Food,3903.61,727,40
PR00193,S0127,Blue,Food,2381.42,356,16
PR00194,S0403,Give,Clothing,1744.4,315,19
PR00195,S0028,Grow,Automotive,1572.19,638,41
PR00196,S0067,Drug,Furniture,2382.44,272,43
PR00197,S0229,Left,Automotive,1634.58,97,85
PR00198,S0279,Late,Pharma,2788.11,403,32
PR00199,S0352,Become,Furniture,3890.49,537,27
PR00200,S0071,Specific,Electronics,2782.19,399,31
PR00201,S0388,Yourself,Food,353.62,797,38
PR00202,S0116,Picture,Food,62.7,462,37
PR00203,S0043,Money,Clothing,4778.97,218,53
PR00204,S0107,Evening,Pharma,4037.1,51,66
PR00205,S0240,Natural,Automotive,4396.48,59,65
PR00206,S0265,Whole,Clothing,2974.81,945,79
PR00207,S0078,Near,Electronics,2328.36,507,54
PR00208,S0442,Pm,Clothing,3450.97,652,22
PR00209,S0431,Single,Pharma,2767.97,876,13
PR00210,S0086,Executive,Pharma,1412.65,578,20
PR00211,S0244,Fight,Electronics,1885.32,634,40
PR00212,S0110,Recent,Electronics,2917.61,731,37
PR00213,S0145,Wind,Electronics,3309.34,827,13
PR00214,S0080,That,Pharma,2797.89,431,78
PR00215,S0024,Street,Electronics,3433.76,6,38
PR00216,S0418,About,Pharma,790.8,130,76
PR00217,S0145,Discuss,Automotive,1776.83,661,57
PR00218,S0102,If,Automotive,4291.44,819,20
PR00219,S0282,Thousand,Furniture,4015.29,748,90
PR00220,S0467,Long,Furniture,4849.5,251,67
PR00221,S0050,Once,Pharma,3488.82,656,24
PR00222,S0382,Same,Automotive,4389.67,282,88
PR00223,S0207,Mouth,Food,1217.81,983,35
PR00224,S0493,Get,Pharma,1568.99,931,15
PR00225,S0447,Brother,Furniture,4926.86,101,15
PR00226,S0452,Important,Clothing,3766.55,433,16
PR00227,S0305,Do,Furniture,1729.97,521,11
PR00228,S0317,Feel,Electronics,1362.62,727,26
PR00229,S0153,Ten,Clothing,3999.77,748,32
PR00230,S0497,Kind,Pharma,4831.68,855,45
PR00231,S0257,Pretty,Pharma,4301.63,860,65
PR00232,S0405,Pick,Automotive,2152.23,270,73
PR00233,S0122,Involve,Furniture,244.45,909,52
PR00234,S0138,Degree,Automotive,4887.52,307,89
PR00235,S0401,Section,Electronics,1983.14,303,11
PR00236,S0287,Past,Pharma,1120.17,940,29
PR00237,S0497,Foot,Pharma,228.59,341,72
PR00238,S0249,Difference,Furniture,2232.59,366,67
PR00239,S0296,Edge,Clothing,3402.24,178,35
PR00240,S0493,Ten,Electronics,2639.23,903,91
PR00241,S0299,Protect,Food,9.47,966,95
PR00242,S0418,Dog,Clothing,3264.65,104,52
PR00243,S0137,Spring,Automotive,1702.56,800,40
PR00244,S0007,Forget,Furniture,3595.01,490,71
PR00245,S0018,Huge,Electronics,1420.19,534,34
PR00246,S0006,Offer,Automotive,2219.06,879,56
PR00247,S0098,What,Pharma,3721.7,40,16
PR00248,S0234,Common,Pharma,4007.09,150,63
PR00249,S0366,Score,Automotive,4998.66,575,37
PR00250,S0355,Media,Furniture,2450.76,844,82
PR00251,S0363,Suffer,Pharma,589.98,704,78
PR00252,S0341,Apply,Food,2524.46,189,21
PR00253,S0394,Other,Electronics,585.21,96,54
PR00254,S0430,Know,Furniture,2851.38,623,99
PR00255,S0305,Bank,Food,525.09,857,60
PR00256,S0182,Prove,Automotive,1476.83,285,33
PR00257,S0376,Although,Food,3907.77,506,39
PR00258,S0425,Cost,Electronics,970.84,64,76
PR00259,S0459,Easy,Clothing,1700.9,849,69
PR00260,S0429,More,Pharma,3813.74,484,88
PR00261,S0037,Again,Food,3883.32,738,51
PR00262,S0183,Sure,Electronics,1899.0,686,59
PR00263,S0050,Writer,Furniture,305.28,377,69
PR00264,S0488,Born,Furniture,790.97,763,54
PR00265,S0495,Believe,Automotive,1407.31,463,26
PR00266,S0132,Poor,Electronics,3422.32,149,32
PR00267,S0108,Religious,Automotive,2867.34,153,64
PR00268,S0108,Require,Clothing,714.62,641,32
PR00269,S0130,Impact,Electronics,3268.66,272,35
PR00270,S0317,Former,Electronics,708.27,313,92
PR00271,S0274,Whole,Automotive,963.73,640,80
PR00272,S0040,Political,Automotive,3118.0,856,74
PR00273,S0131,Claim,Pharma,2521.85,888,91
PR00274,S0049,Third,Furniture,3334.04,641,82
PR00275,S0072,Set,Furniture,4625.96,227,21
PR00276,S0405,Thought,Automotive,3117.13,951,62
PR00277,S0115,Perhaps,Clothing,2315.33,402,68
PR00278,S0060,Suggest,Electronics,582.94,505,10
PR00279,S0429,Whole,Furniture,4108.1,237,92
PR00280,S0447,Bill,Automotive,317.37,651,84
PR00281,S0349,Open,Pharma,3204.71,417,44
PR00282,S0005,Face,Food,576.07,207,48
PR00283,S0422,Run,Automotive,474.2,305,58
PR00284,S0433,Analysis,Food,343.06,928,57
PR00285,S0325,Fast,Automotive,4615.34,862,40
PR00286,S0324,Fish,Food,3201.29,519,22
PR00287,S0371,Especially,Clothing,2959.02,539,84
PR00288,S0057,Project,Electronics,2645.11,267,33
PR00289,S0353,One,Furniture,2406.32,36,39
PR00290,S0380,Attention,Clothing,4904.53,769,48
PR00291,S0423,Investment,Food,2711.65,920,71
PR00292,S0224,Indeed,Clothing,1792.13,244,42
PR00293,S0172,Stuff,Pharma,300.86,857,54
PR00294,S0031,Instead,Food,811.21,498,65
PR00295,S0478,Weight,Pharma,4758.16,64,96
PR00296,S0314,Keep,Automotive,1834.91,807,70
PR00297,S0461,Occur,Electronics,1107.27,983,85
PR00298,S0334,Lose,Furniture,3351.79,656,88
PR00299,S0049,Sea,Automotive,3158.08,420,29
PR00300,S0422,Girl,Automotive,723.67,885,90
PR00301,S0465,Way,Clothing,826.8,497,46
PR00302,S0045,Policy,Electronics,48.48,402,24
PR00303,S0143,Because,Automotive,4296.95,0,28
PR00304,S0355,Discover,Electronics,1563.43,136,91
PR00305,S0077,How,Electronics,2168.5,420,28
PR00306,S0145,Room,Automotive,2571.62,652,94
PR00307,S0467,Now,Electronics,2704.46,183,12
PR00308,S0488,Standard,Furniture,1387.86,688,44
PR00309,S0415,Loss,Furniture,334.66,458,77
PR00310,S0488,Kitchen,Food,1216.26,984,85
PR00311,S0314,Start,Food,447.71,348,93
PR00312,S0077,Catch,Automotive,193.18,34,21
PR00313,S0213,Produce,Automotive,2398.03,118,38
PR00314,S0135,Structure,Electronics,2291.1,980,54
PR00315,S0328,Trial,Electronics,1988.22,362,89
PR00316,S0090,Senior,Automotive,4594.31,764,88
PR00317,S0446,Capital,Food,4295.7,792,39
PR00318,S0414,Sing,Food,2701.83,848,40
PR00319,S0069,Major,Electronics,482.78,954,35
PR00320,S0455,Computer,Clothing,4711.94,655,83
PR00321,S0233,Experience,Food,24.67,43,16
PR00322,S0416,Happen,Automotive,3459.71,20,65
PR00323,S0394,Sure,Electronics,906.4,334,100
PR00324,S0348,Want,Food,3002.73,179,62
PR00325,S0474,Hot,Electronics,4861.54,160,11
PR00326,S0158,Send,Electronics,4984.43,975,71
PR00327,S0451,High,Electronics,3751.38,798,39
PR00328,S0462,Herself,Electronics,378.95,318,39
PR00329,S0358,Floor,Food,2014.69,75,37
PR00330,S0402,Base,Automotive,2658.62,901,14
PR00331,S0312,Relate,Clothing,4928.77,739,64
PR00332,S0473,Stand,Automotive,4966.91,329,24
PR00333,S0297,It,Furniture,1306.91,390,80
PR00334,S0369,Across,Automotive,1432.63,325,11
PR00335,S0257,Standard,Clothing,3482.64,638,77
PR00336,S0004,Finish,Furniture,1072.04,551,14
PR00337,S0316,Society,Electronics,4599.78,374,46
PR00338,S0470,Vote,Electronics,504.76,816,49
PR00339,S0320,Crime,Pharma,1011.44,231,32
PR00340,S0271,Maintain,Electronics,4656.03,859,95
PR00341,S0475,Action,Furniture,3003.86,292,45
PR00342,S0146,Send,Food,3777.54,513,33
PR00343,S0485,Already,Automotive,11.49,39,11
PR00344,S0294,Standard,Pharma,154.69,191,18
PR00345,S0400,Another,Pharma,2445.18,203,34
PR00346,S0285,Sing,Pharma,1067.37,118,94
PR00347,S0138,Lot,Clothing,4629.1,193,21
PR00348,S0292,Set,Pharma,256.88,9,76
PR00349,S0198,Summer,Food,1232.52,635,26
PR00350,S0330,Also,Clothing,996.69,503,65
PR00351,S0412,Cause,Pharma,749.49,394,75
PR00352,S0401,Try,Food,218.41,324,23
PR00353,S0411,Go,Food,4486.57,888,39
PR00354,S0291,Task,Furniture,1965.48,183,50
PR00355,S0003,Stand,Food,2379.86,943,18
PR00356,S0329,Home,Automotive,868.49,145,19
PR00357,S0394,Good,Food,3041.74,241,50
PR00358,S0178,Social,Electronics,2291.93,810,81
PR00359,S0043,Friend,Furniture,4834.81,25,12
PR00360,S0403,Whole,Food,58.57,196,74
PR00361,S0482,Where,Furniture,1617.36,529,25
PR00362,S0455,Pass,Electronics,855.44,152,87
PR00363,S0133,Special,Clothing,4191.48,824,87
PR00364,S0454,Window,Pharma,4069.02,196,88
PR00365,S0050,Candidate,Food,3834.22,101,22
PR00366,S0357,Full,Furniture,4671.08,403,46
PR00367,S0392,Network,Electronics,4477.5,413,52
PR00368,S0459,Play,Automotive,2934.58,298,47
PR00369,S0383,Beyond,Electronics,3258.57,711,93
PR00370,S0453,Several,Automotive,3383.03,822,69
PR00371,S0395,Training,Food,922.21,800,54
PR00372,S0499,On,Food,2309.6,959,57
PR00373,S0468,Model,Clothing,1210.49,623,39
PR00374,S0331,She,Electronics,434.57,409,44
PR00375,S0170,Model,Electronics,4020.76,920,85
PR00376,S0023,Blue,Automotive,2528.92,466,44
PR00377,S0222,Them,Clothing,3353.23,832,37
PR00378,S0039,Enter,Food,2527.12,66,36
PR00379,S0464,Side,Furniture,3951.22,754,74
PR00380,S0141,Girl,Electronics,4189.71,681,68
PR00381,S0399,Staff,Automotive,1470.68,545,66
PR00382,S0324,Build,Electronics,2654.17,699,36
PR00383,S0326,Not,Electronics,4286.8,646,81
PR00384,S0251,National,Automotive,1680.87,697,27
PR00385,S0190,Song,Clothing,3396.45,326,55
PR00386,S0460,Beyond,Furniture,3882.26,30,71
PR00387,S0277,Hard,Pharma,4182.59,865,65
PR00388,S0330,Return,Pharma,2057.8,488,74
PR00389,S0375,Family,Pharma,4220.39,350,93
PR00390,S0433,Little,Furniture,746.75,411,99
PR00391,S0020,Go,Clothing,1573.65,672,68
PR00392,S0099,Their,Food,2899.9,940,81
PR00393,S0399,Training,Pharma,2674.05,850,16
PR00394,S0264,Benefit,Automotive,1542.87,96,83
PR00395,S0238,Finally,Automotive,2978.79,832,85
PR00396,S0403,Determine,Electronics,2355.95,232,27
PR00397,S0310,Star,Electronics,723.23,435,77
PR00398,S0102,Glass,Automotive,4205.08,46,54
PR00399,S0451,Job,Clothing,4329.06,517,82
PR00400,S0403,Piece,Clothing,919.67,917,19
PR00401,S0216,Range,Clothing,1352.79,792,67
PR00402,S0153,Against,Furniture,3405.27,188,98
PR00403,S0419,Success,Pharma,1623.1,638,26
PR00404,S0180,Magazine,Automotive,1121.16,554,52
PR00405,S0300,Wrong,Automotive,3585.74,148,77
PR00406,S0266,Decision,Pharma,405.1,631,18
PR00407,S0453,Affect,Pharma,231.06,108,77
PR00408,S0117,Picture,Pharma,3722.21,146,39
PR00409,S0462,Team,Clothing,3828.8,44,53
PR00410,S0415,Risk,Food,1541.82,307,60
PR00411,S0185,Visit,Automotive,2983.34,381,87
PR00412,S0216,Way,Electronics,246.35,432,85
PR00413,S0215,What,Furniture,962.8,751,88
PR00414,S0247,Role,Automotive,54.56,21,90
PR00415,S0277,Community,Clothing,2359.12,290,82
PR00416,S0358,Improve,Furniture,2902.07,126,52
PR00417,S0270,Green,Electronics,222.91,589,86
PR00418,S0359,Red,Clothing,3331.27,318,64
PR00419,S0322,Wear,Food,3099.79,394,88
PR00420,S0287,Against,Clothing,4095.28,545,34
PR00421,S0268,With,Clothing,1506.0,302,93
PR00422,S0043,Three,Furniture,1165.76,17,97
PR00423,S0086,System,Automotive,4299.13,667,40
PR00424,S0035,Travel,Electronics,1697.92,814,42
PR00425,S0347,Fall,Furniture,2390.59,571,16
PR00426,S0289,Word,Food,822.93,337,53
PR00427,S0330,Decade,Clothing,2806.6,722,92
PR00428,S0209,Become,Clothing,1437.02,474,57
PR00429,S0069,Through,Food,2704.4,776,13
PR00430,S0136,Play,Furniture,437.59,93,50
PR00431,S0003,Team,Pharma,1193.2,860,36
PR00432,S0113,Support,Automotive,793.13,467,32
PR00433,S0493,Far,Clothing,3386.61,41,73
PR00434,S0498,Information,Clothing,1751.32,867,99
PR00435,S0055,Paper,Automotive,1025.23,599,46
PR00436,S0489,Player,Electronics,60.13,288,90
PR00437,S0408,Sit,Furniture,1569.19,446,33
PR00438,S0104,Else,Pharma,4526.91,986,82
PR00439,S0393,What,Clothing,4012.87,605,60
PR00440,S0343,Resource,Clothing,677.04,436,90
PR00441,S0323,Point,Food,4852.97,422,21
PR00442,S0019,Image,Automotive,1023.44,72,68
PR00443,S0311,Nature,Electronics,1426.4,203,20
PR00444,S0099,Common,Electronics,3637.27,312,95
PR00445,S0194,Artist,Pharma,4883.71,357,17
PR00446,S0090,Ago,Pharma,3983.06,443,91
PR00447,S0326,Building,Clothing,2769.61,145,46
PR00448,S0175,Stage,Furniture,4840.78,203,22
PR00449,S0161,Field,Clothing,2974.95,52,46
PR00450,S0020,Happen,Pharma,908.1,317,79
PR00451,S0380,Woman,Food,558.32,664,65
PR00452,S0015,Member,Pharma,856.96,540,51
PR00453,S0006,Station,Automotive,4778.93,769,48
PR00454,S0258,Network,Food,4597.79,796,22
PR00455,S0309,Meeting,Furniture,1380.47,58,74
PR00456,S0245,Age,Furniture,4424.68,140,67
PR00457,S0485,Heart,Clothing,595.02,987,95
PR00458,S0150,Table,Clothing,3581.89,919,12
PR00459,S0147,Become,Automotive,4998.74,838,49
PR00460,S0106,Evidence,Furniture,1801.48,975,63
PR00461,S0056,Anything,Pharma,3405.64,293,33
PR00462,S0008,Bed,Pharma,841.56,104,49
PR00463,S0298,Early,Electronics,2590.9,286,85
PR00464,S0181,End,Automotive,220.98,520,70
PR00465,S0038,Focus,Clothing,1839.39,188,82
PR00466,S0233,Stay,Clothing,4790.4,579,20
PR00467,S0057,Probably,Food,2629.24,131,100
PR00468,S0486,Medical,Furniture,131.61,383,71
PR00469,S0479,Design,Furniture,4664.66,695,91
PR00470,S0394,Surface,Furniture,671.51,713,55
PR00471,S0073,Trouble,Clothing,146.19,496,24
PR00472,S0175,Congress,Pharma,4528.07,446,59
PR00473,S0392,Address,Pharma,3773.72,29,16
PR00474,S0108,Key,Furniture,1519.79,968,73
PR00475,S0249,Medical,Clothing,204.33,602,79
PR00476,S0331,White,Pharma,4920.27,578,16
PR00477,S0406,Within,Electronics,662.89,916,38
PR00478,S0474,Question,Furniture,2426.88,839,36
PR00479,S0293,Matter,Clothing,4110.93,622,52
PR00480,S0255,Health,Electronics,1194.9,50,52
PR00481,S0031,Rate,Electronics,4242.77,882,96
PR00482,S0383,Music,Clothing,532.75,377,73
PR00483,S0091,Street,Clothing,566.48,749,95
PR00484,S0107,Child,Food,2677.72,906,96
PR00485,S0202,Or,Electronics,3235.11,357,25
PR00486,S0009,Population,Furniture,4422.39,595,39
PR00487,S0245,Improve,Food,3743.74,474,81
PR00488,S0069,When,Automotive,1161.26,81,28
PR00489,S0007,Kind,Food,168.49,218,63
PR00490,S0476,Science,Clothing,4014.2,842,60
PR00491,S0003,Program,Electronics,3704.86,889,64
PR00492,S0131,Husband,Food,220.39,594,38
PR00493,S0082,Which,Food,4301.85,383,96
PR00494,S0307,Large,Electronics,1534.86,643,30
PR00495,S0418,Hospital,Pharma,3331.45,799,60
PR00496,S0031,Still,Clothing,3173.23,379,43
PR00497,S0435,Happen,Pharma,4104.1,664,11
PR00498,S0059,Prevent,Pharma,2334.34,161,46
PR00499,S0084,May,Food,863.95,904,66
PR00500,S0421,Value,Pharma,3110.05,22,34
PR00501,S0193,Guy,Pharma,1456.9,269,11
PR00502,S0350,Foreign,Food,236.11,780,50
PR00503,S0360,Leader,Clothing,1976.98,630,11
PR00504,S0005,Determine,Clothing,2183.49,719,98
PR00505,S0158,Expect,Electronics,3559.33,431,46
PR00506,S0110,Party,Pharma,482.41,906,68
PR00507,S0358,Political,Food,1530.05,271,37
PR00508,S0167,Actually,Furniture,3781.08,627,95
PR00509,S0047,Resource,Food,3216.91,892,26
PR00510,S0421,Direction,Automotive,1042.28,222,40
PR00511,S0305,Girl,Food,4343.48,743,50
PR00512,S0142,Several,Automotive,132.4,692,36
PR00513,S0095,Cold,Electronics,1033.86,666,70
PR00514,S0083,Manager,Clothing,1253.41,975,79
PR00515,S0412,Strong,Clothing,2446.95,737,50
PR00516,S0328,Role,Clothing,4138.98,647,41
PR00517,S0418,Stand,Automotive,167.92,631,33
PR00518,S0041,Audience,Electronics,3340.58,17,90
PR00519,S0221,Until,Clothing,1452.23,703,92
PR00520,S0082,Check,Automotive,826.34,596,31
PR00521,S0250,Late,Food,670.26,356,20
PR00522,S0402,Through,Food,2087.23,633,44
PR00523,S0008,Father,Electronics,4743.54,296,80
PR00524,S0343,Open,Furniture,3998.28,948,17
PR00525,S0316,Them,Clothing,1429.27,461,26
PR00526,S0491,Prove,Food,408.98,110,75
PR00527,S0356,Position,Furniture,1419.38,990,45
PR00528,S0117,Development,Clothing,4350.15,8,69
PR00529,S0458,Interesting,Clothing,4937.9,912,59
PR00530,S0078,Politics,Food,2724.94,883,74
PR00531,S0364,Reflect,Electronics,1014.26,14,76
PR00532,S0479,Affect,Furniture,3695.6,441,66
PR00533,S0494,Yeah,Automotive,3081.02,938,92
PR00534,S0413,Return,Food,532.51,542,16
