shipmentID,orderID,shipDate,deliveryDate,carrier,status
SH20030,O15869,2024-06-25,2024-06-25,"Ross, Boyer and Fitzgerald",In Transit
SH20031,O16641,2025-02-08,2025-02-08,Gates LLC,Delivered
SH20032,O17051,2024-10-22,,"Cooper, Garcia and Hartman",Delivered
SH20033,O17505,2024-02-20,2024-02-20,Reid Inc,Delivered
SH20034,O14372,2024-07-29,,Roberts LLC,In Transit
SH20035,O16528,2025-03-10,2025-03-10,"Perry, Chan and Jimenez",Delivered
SH20036,O16193,2024-03-13,2024-03-13,"Hart, Ellis and Mcintyre",Delivered
SH20037,O12283,2025-06-14,2025-06-14,"Vaughan, Harrington and Vance",Delivered
SH20038,O11018,2024-11-12,2024-11-12,"Sanders, Williams and Stevenson",Lost
SH20039,O14709,2023-11-18,2023-11-18,"Watson, Bolton and Hawkins",In Transit
SH20040,O11144,2023-10-23,2023-10-23,Potter Group,In Transit
SH20041,O15324,2024-09-21,2024-09-21,"Wise, Jacobs and Sweeney",Lost
SH20042,O14613,2025-01-07,2025-01-07,Nelson Group,Lost
SH20043,O17635,2023-07-02,2023-07-02,Fernandez-Haynes,In Transit
SH20044,O16096,2024-01-25,2024-01-25,"Bullock, Chambers and Stanton",In Transit
SH20045,O15612,2024-10-26,,Richard Group,Delivered
SH20046,O11933,2024-01-19,2024-01-19,Meyer-Lam,In Transit
SH20047,O17610,2025-04-14,2025-04-14,West-Hensley,Delayed
SH20048,O10712,2024-01-24,2024-01-24,Ramsey-Simpson,Delayed
SH20049,O16280,2024-07-21,2024-07-21,Johnson and Sons,Delayed
SH20050,O14113,2023-12-06,,Young-Frey,Delayed
SH20051,O10091,2025-04-22,2025-04-22,"Friedman, Cooper and Keith",In Transit
SH20052,O11087,2024-04-07,2024-04-07,Ho Group,Delayed
SH20053,O14641,2024-01-03,2024-01-03,"Wolfe, Morgan and Long",Delivered
SH20054,O11575,2024-03-11,2024-03-11,"Ortega, Hunt and Crosby",In Transit
SH20055,O15603,2024-07-10,,"Valenzuela, Williams and Brown",Delivered
SH20056,O10487,2025-03-18,,Cook-Brown,Delayed
SH20057,O15123,2024-06-25,2024-06-25,Phillips PLC,Delivered
SH20058,O15803,2025-06-07,,Wallace Ltd,In Transit
SH20059,O12223,2024-10-31,2024-10-31,"Martin, Atkinson and Mendoza",In Transit
SH20060,O14213,2024-09-10,2024-09-10,Holmes PLC,Delivered
SH20061,O17186,2024-12-14,,Ramos-Russell,Lost
SH20062,O10686,2024-10-21,2024-10-21,Lopez-Guzman,Delivered
SH20063,O17568,2023-12-01,2023-12-01,Hayes-Mccoy,In Transit
SH20064,O10061,2025-04-25,,Coleman Group,Lost
SH20065,O14668,2023-08-01,2023-08-01,Marquez-Jacobs,Lost
SH20066,O16535,2025-04-11,2025-04-11,King-Robbins,Lost
SH20067,O15645,2025-02-17,2025-02-17,"Henderson, Hill and Murphy",Delivered
SH20068,O16275,2025-01-20,2025-01-20,Diaz-White,Lost
SH20069,O15528,2023-08-24,2023-08-24,Poole Ltd,Delivered
SH20070,O16605,2024-01-26,2024-01-26,Brown-Washington,Delivered
SH20071,O13881,2024-03-31,2024-03-31,"Cortez, Torres and Schmitt",In Transit
SH20072,O15435,2024-12-04,,Roberts-Hoffman,Delivered
SH20073,O16945,2025-04-25,,"Ortiz, Barr and Riley",Delivered
SH20074,O15661,2024-05-04,,Vargas Inc,Delivered
SH20075,O10700,2025-05-24,,"Walker, Anderson and Gillespie",Delayed
SH20076,O13312,2024-08-27,2024-08-27,Gibson-Terry,In Transit
SH20077,O11478,2025-03-14,2025-03-14,Dean-Camacho,Delivered
SH20078,O15731,2023-11-27,2023-11-27,Ramos-Marks,Lost
SH20079,O14091,2023-08-10,2023-08-10,"Cardenas, Williamson and Steele",Delivered
SH20080,O13204,2023-08-24,2023-08-24,Murray Group,Lost
SH20081,O11810,2024-01-31,2024-01-31,Fisher Inc,In Transit
SH20082,O17942,2025-01-19,,Russell-Miller,In Transit
SH20083,O15951,2024-04-14,2024-04-14,Fields LLC,Lost
SH20084,O15714,2024-03-26,2024-03-26,Davis Group,Delivered
SH20085,O16798,2023-08-23,2023-08-23,"English, Torres and Brown",Delayed
SH20086,O12797,2025-06-06,2025-06-06,Robinson LLC,In Transit
SH20087,O13791,2024-02-13,2024-02-13,"Rodriguez, Robinson and Dixon",Delayed
SH20088,O10144,2024-04-07,,Duran LLC,Delayed
SH20089,O16686,2023-07-27,2023-07-27,"Ramirez, Thomas and Rivas",Delivered
SH20090,O10154,2024-09-25,,"Brown, Bauer and Johnson",Lost
SH20091,O17165,2025-03-02,2025-03-02,"Carlson, Horne and King",In Transit
SH20092,O15987,2023-09-25,,"Lin, Kelly and Nunez",Delivered
SH20093,O14623,2025-05-16,,Keller Group,Lost
SH20094,O11559,2025-02-03,2025-02-03,"Powell, Porter and Boyd",In Transit
SH20095,O14369,2025-01-25,2025-01-25,"Mccoy, Parsons and Higgins",Lost
SH20096,O13483,2025-03-31,2025-03-31,"Hayes, Webb and Huffman",Delayed
SH20097,O14191,2024-09-27,2024-09-27,"Mckenzie, Ingram and Hodge",Lost
SH20098,O17334,2025-04-06,2025-04-06,"Benson, Lyons and Nguyen",In Transit
SH20099,O11468,2024-12-22,2024-12-22,"Gilmore, Ryan and Long",Delivered
SH20100,O12824,2024-10-04,2024-10-04,Merritt and Sons,Delayed
SH20101,O11293,2024-12-19,2024-12-19,Collins-Campos,In Transit
SH20102,O12065,2024-04-30,,Peterson Group,Delivered
SH20103,O11743,2024-11-07,2024-11-07,Ingram-Sanchez,In Transit
SH20104,O17563,2023-10-31,2023-10-31,Ferrell PLC,Delivered
SH20105,O10672,2025-01-26,,Moore-Gonzalez,Delivered
SH20106,O12672,2024-10-01,,Estrada-Davis,Delivered
SH20107,O17975,2024-08-30,,Taylor-Fleming,In Transit
SH20108,O11212,2024-06-18,2024-06-18,Carter Inc,Delivered
SH20109,O11868,2023-11-03,2023-11-03,Davis Group,In Transit
SH20110,O12912,2023-10-10,,White-Choi,Delayed
SH20111,O15808,2023-12-08,2023-12-08,Wilcox PLC,Delayed
SH20112,O12715,2023-07-19,2023-07-19,"Miller, Sharp and Nelson",Lost
SH20113,O16131,2024-07-24,2024-07-24,Silva Group,Lost
SH20114,O12760,2023-06-25,2023-06-25,"Gonzales, Wallace and Thomas",Delivered
SH20115,O16178,2024-08-13,2024-08-13,Gonzales-Boyle,In Transit
SH20116,O14192,2024-10-03,2024-10-03,Larson-Roberts,Delayed
SH20117,O15458,2024-09-06,2024-09-06,"Tucker, Reid and Rodriguez",Delayed
SH20118,O10169,2023-12-08,,"May, Chambers and Silva",Delivered
SH20119,O17697,2024-05-12,,"Hicks, Haas and Mercado",Lost
SH20120,O12705,2024-07-15,2024-07-15,Cain-Scott,Lost
SH20121,O14589,2023-08-01,2023-08-01,Mcdonald-Campbell,Lost
SH20122,O13393,2024-08-26,,Gonzalez-Washington,Lost
SH20123,O15121,2024-08-24,2024-08-24,"Rogers, Guzman and Valdez",Delayed
SH20124,O11130,2024-01-21,2024-01-21,Crawford-Mckenzie,In Transit
SH20125,O13997,2023-12-09,,"Le, Bennett and Miller",Delivered
SH20126,O17600,2024-10-20,2024-10-20,Lucero and Sons,In Transit
SH20127,O12798,2024-01-26,2024-01-26,"Green, Anderson and Dunlap",Delayed
SH20128,O14393,2024-02-27,2024-02-27,Griffin Inc,Delivered
SH20129,O14364,2024-02-29,2024-02-29,"Wilson, Ponce and Hernandez",Delivered
SH20130,O14527,2024-11-07,2024-11-07,Haas-Decker,Delivered
SH20131,O13728,2024-07-17,,"Ware, Lopez and Nguyen",Delivered
SH20132,O16783,2023-09-11,2023-09-11,Martinez PLC,Delivered
SH20133,O14857,2025-03-23,2025-03-23,"Jackson, Franklin and Hoover",Delivered
SH20134,O10518,2025-03-06,2025-03-06,Harris PLC,In Transit
SH20135,O17543,2025-05-01,2025-05-01,Smith-Fox,In Transit
SH20136,O13826,2023-11-14,2023-11-14,Miller-Richard,Delayed
SH20137,O15219,2025-01-02,2025-01-02,"Foster, Hayes and Villa",Delivered
SH20138,O12814,2024-08-27,2024-08-27,"Martinez, Acosta and Gamble",Delayed
SH20139,O16804,2024-07-08,2024-07-08,Perkins-Bradley,In Transit
SH20140,O15579,2023-08-25,2023-08-25,"Cruz, Alexander and Harris",Delivered
SH20141,O16824,2024-06-15,2024-06-15,Pearson-Goodwin,Delivered
SH20142,O14906,2024-08-02,2024-08-02,"Espinoza, Todd and Meyer",Lost
SH20143,O10334,2025-05-27,2025-05-27,Hutchinson Inc,Lost
SH20144,O12494,2024-05-30,2024-05-30,"Lamb, Chambers and Baker",Delayed
SH20145,O15781,2023-12-24,2023-12-24,"Terrell, Hudson and Wilson",Delivered
SH20146,O11161,2025-03-05,2025-03-05,Perez and Sons,Delayed
SH20147,O14063,2024-07-12,2024-07-12,Guzman Group,Delayed
SH20148,O15428,2023-08-15,,"Fox, Wilson and Nelson",Delivered
SH20149,O13816,2025-06-02,2025-06-02,"Bowman, Brown and Johnson",In Transit
SH20150,O16632,2024-04-25,,Cook LLC,In Transit
SH20151,O16343,2023-08-13,2023-08-13,Howard-Scott,Delivered
SH20152,O14947,2024-12-18,2024-12-18,Baker-Camacho,Delivered
SH20153,O10451,2023-06-29,,Medina-Huang,In Transit
SH20154,O14096,2024-05-07,2024-05-07,"Taylor, Velez and Mckee",Delayed
SH20155,O13638,2024-04-19,2024-04-19,"Hobbs, Cain and Ortega",Delayed
SH20156,O12884,2025-04-22,2025-04-22,Anderson-Salazar,In Transit
SH20157,O10184,2025-01-16,2025-01-16,"Young, Lee and Fisher",Delivered
SH20158,O10248,2024-10-07,2024-10-07,"Burton, Long and Hammond",Lost
SH20159,O12291,2024-02-09,2024-02-09,Snyder PLC,Lost
SH20160,O14341,2023-08-13,2023-08-13,Kennedy Ltd,Lost
SH20161,O11396,2024-12-16,2024-12-16,"Hamilton, Johnson and Moss",Lost
SH20162,O16381,2024-06-27,2024-06-27,Holland Group,Delivered
SH20163,O15174,2025-06-11,2025-06-11,Everett and Sons,Lost
SH20164,O14508,2024-09-10,2024-09-10,"Moore, Abbott and Anderson",Delayed
SH20165,O12757,2023-11-21,2023-11-21,"Carter, Mitchell and Kim",In Transit
SH20166,O11423,2023-11-13,2023-11-13,"Kelly, Zuniga and Carr",Delivered
SH20167,O16924,2025-06-10,2025-06-10,"Yoder, Diaz and Smith",Delayed
SH20168,O17007,2024-04-17,2024-04-17,Baker-Martin,In Transit
SH20169,O11475,2024-05-03,2024-05-03,"Rivera, Rogers and Michael",In Transit
SH20170,O16251,2023-09-03,,"Fowler, Sanders and Ford",In Transit
SH20171,O12325,2024-12-23,2024-12-23,"Wells, Frazier and Valdez",Lost
SH20172,O13934,2023-09-18,2023-09-18,Foster Inc,Lost
SH20173,O14641,2025-04-22,2025-04-22,"Burnett, Garcia and Smith",Delayed
SH20174,O11155,2023-10-19,2023-10-19,Levine-Green,Lost
SH20175,O14449,2024-06-27,2024-06-27,Hernandez-Freeman,Lost
SH20176,O13828,2025-05-20,2025-05-20,"Robinson, Edwards and Osborne",In Transit
SH20177,O13256,2024-01-03,2024-01-03,Jackson and Sons,In Transit
SH20178,O15091,2023-10-31,2023-10-31,Smith PLC,Delayed
SH20179,O15728,2025-05-23,2025-05-23,Murphy-Gibson,Delivered
SH20180,O10058,2023-08-19,2023-08-19,Reeves-Smith,In Transit
SH20181,O15531,2024-01-19,2024-01-19,Martinez-Murray,Delayed
SH20182,O17806,2023-12-16,2023-12-16,Hunter Inc,Lost
SH20183,O16108,2025-05-09,2025-05-09,Crawford and Sons,In Transit
SH20184,O13741,2024-11-11,,Gilbert-Lambert,In Transit
SH20185,O13337,2023-12-27,2023-12-27,Grant Inc,Delivered
SH20186,O14593,2023-10-28,2023-10-28,Schneider-Bowers,Lost
SH20187,O11181,2025-06-09,2025-06-09,"Thomas, Hill and Williams",Delayed
SH20188,O13973,2025-05-14,2025-05-14,"Odom, Brooks and White",Delivered
SH20189,O15071,2025-02-03,2025-02-03,Mccoy-Smith,In Transit
SH20190,O15672,2025-03-10,2025-03-10,Haynes PLC,Delivered
SH20191,O17000,2024-02-17,2024-02-17,Cross-Smith,Delayed
SH20192,O13287,2024-06-13,,Simpson-Mitchell,Delayed
SH20193,O11360,2024-09-20,2024-09-20,Richards-Nelson,Delayed
SH20194,O11632,2023-10-26,,Barajas-Anderson,In Transit
SH20195,O11095,2023-07-28,2023-07-28,Cortez Inc,In Transit
SH20196,O14205,2023-09-10,2023-09-10,Reyes Ltd,Delayed
SH20197,O10063,2024-05-19,,"Terry, Adams and Norton",In Transit
SH20198,O11504,2024-06-15,2024-06-15,"Miller, Morgan and Conner",Delayed
SH20199,O16863,2024-10-04,2024-10-04,Riddle-Rodriguez,Lost
SH20200,O11930,2024-05-25,2024-05-25,"Robinson, May and Anderson",Delayed
SH20201,O15856,2023-11-28,2023-11-28,"Freeman, Woodward and Chavez",Delayed
SH20202,O14716,2024-03-29,2024-03-29,Castro PLC,Lost
SH20203,O11404,2024-11-07,2024-11-07,"Garcia, Cardenas and Davis",Delayed
SH20204,O10463,2024-06-17,,Torres-Guzman,In Transit
SH20205,O13465,2024-07-02,2024-07-02,Hansen Inc,Lost
SH20206,O15504,2025-01-19,2025-01-19,Rodriguez-Powers,Delayed
SH20207,O16309,2024-02-08,2024-02-08,"Henderson, Jackson and Powell",Lost
SH20208,O15938,2024-04-21,,"Mitchell, Martinez and Green",Delivered
SH20209,O16375,2024-06-23,2024-06-23,"Leonard, Allen and Roy",Lost
SH20210,O16954,2024-05-18,2024-05-18,"Wilson, Bush and Hicks",Delivered
SH20211,O16013,2023-08-20,2023-08-20,Novak Group,Delivered
SH20212,O15623,2023-09-21,2023-09-21,Bonilla-Abbott,In Transit
SH20213,O14204,2024-03-12,2024-03-12,"Daniels, Diaz and Lee",Delayed
SH20214,O16004,2024-04-28,,"Garcia, Spence and Harris",Delivered
SH20215,O16418,2024-03-30,2024-03-30,Baldwin LLC,Lost
SH20216,O11739,2024-10-18,2024-10-18,Porter-Camacho,Lost
SH20217,O13944,2023-09-17,2023-09-17,Jones-Levine,Lost
SH20218,O14595,2024-05-25,,"Lawson, Henderson and Reed",Lost
SH20219,O11014,2024-06-21,2024-06-21,Arellano Group,In Transit
SH20220,O13776,2025-02-23,,Murray-Baker,In Transit
SH20221,O16025,2023-06-29,2023-06-29,"Johnson, Lawrence and Sanders",Delivered
SH20222,O11461,2024-10-14,2024-10-14,Rodriguez-Curtis,Lost
SH20223,O11071,2025-02-04,2025-02-04,Montgomery-Campbell,Delayed
SH20224,O14528,2024-03-01,2024-03-01,"Robinson, Raymond and Morton",In Transit
SH20225,O17491,2023-08-22,2023-08-22,Barry Group,In Transit
SH20226,O11698,2024-05-05,,Sanchez-Thornton,Delayed
SH20227,O17086,2023-06-21,,"Bishop, Keller and Herring",Delayed
SH20228,O13895,2024-05-26,2024-05-26,"Hanson, Jackson and Ewing",In Transit
SH20229,O13306,2024-01-29,2024-01-29,Williams and Sons,In Transit
SH20230,O17482,2023-10-11,2023-10-11,Thomas-Bradley,Delayed
SH20231,O10185,2025-01-23,2025-01-23,"Roy, Flores and Parsons",Delivered
SH20232,O16431,2024-07-22,2024-07-22,"Odonnell, Logan and Wright",Delayed
SH20233,O16957,2025-05-04,2025-05-04,Chapman Group,In Transit
SH20234,O11219,2024-10-26,,Smith LLC,Delivered
SH20235,O16084,2024-03-30,2024-03-30,Myers-Barton,In Transit
SH20236,O14411,2023-10-20,,"Douglas, Nichols and Williams",Delayed
SH20237,O15971,2025-03-06,,Nunez-Garcia,Lost
SH20238,O10324,2024-10-19,,Chen PLC,Lost
SH20239,O15026,2023-11-05,2023-11-05,Stanton-Camacho,Delivered
SH20240,O10218,2024-03-05,2024-03-05,"Escobar, Weiss and Richards",Delayed
SH20241,O14719,2023-10-22,2023-10-22,"White, Carpenter and Bell",Delayed
SH20242,O17346,2025-04-17,,"Miller, Young and Jones",Lost
SH20243,O13463,2024-07-01,,Cook-Daniel,Delivered
SH20244,O10630,2023-11-23,2023-11-23,Rose PLC,In Transit
SH20245,O12185,2024-08-26,2024-08-26,Wong PLC,Delayed
SH20246,O17155,2024-07-28,2024-07-28,Gallagher LLC,In Transit
SH20247,O15576,2025-01-08,2025-01-08,Nelson-Hartman,In Transit
SH20248,O15614,2024-03-20,2024-03-20,Castillo-Mccoy,Lost
SH20249,O16964,2024-05-27,2024-05-27,Brown LLC,In Transit
SH20250,O16946,2025-01-19,2025-01-19,Simpson Ltd,Lost
SH20251,O11675,2024-02-17,2024-02-17,"Gibson, Anderson and Drake",Delivered
SH20252,O14545,2025-05-22,2025-05-22,Page LLC,Delayed
SH20253,O17798,2024-10-27,,Fitzgerald-Neal,Delayed
SH20254,O10562,2025-05-08,2025-05-08,Figueroa and Sons,Lost
SH20255,O16353,2024-07-16,2024-07-16,Miller Inc,Delivered
SH20256,O13343,2024-09-22,2024-09-22,Rodgers Inc,Delivered
SH20257,O16620,2025-05-17,2025-05-17,Donaldson Inc,Lost
SH20258,O10508,2024-07-17,2024-07-17,Short-Carroll,In Transit
SH20259,O11974,2024-01-03,2024-01-03,Taylor-Hunter,Delivered
SH20260,O12383,2023-09-18,2023-09-18,"Garner, Patel and Clark",Delayed
SH20261,O14219,2024-05-23,,"Bennett, Walters and Harris",Lost
SH20262,O17447,2024-07-16,2024-07-16,Craig-Walker,Lost
SH20263,O16139,2024-06-25,2024-06-25,"Rasmussen, Reynolds and Hurst",In Transit
SH20264,O14314,2024-02-07,2024-02-07,Lewis PLC,Delivered
SH20265,O14544,2024-08-25,2024-08-25,"Fletcher, Zuniga and White",Delivered
SH20266,O13818,2023-09-21,2023-09-21,Johnson Ltd,Delayed
SH20267,O13576,2023-06-26,,Harris-Wilson,Delayed
SH20268,O14933,2023-11-15,2023-11-15,"Owens, Strickland and Morris",Lost
SH20269,O11557,2023-08-10,2023-08-10,Hines LLC,Delayed
SH20270,O10447,2024-06-22,2024-06-22,"Cortez, Wilson and Allison",Delivered
SH20271,O15301,2024-07-24,2024-07-24,"Harper, Rodriguez and Ortega",In Transit
SH20272,O12388,2024-10-26,2024-10-26,Barker Inc,Lost
SH20273,O16535,2024-04-27,2024-04-27,Cervantes Group,Lost
SH20274,O11708,2023-11-06,2023-11-06,"Lawrence, Carlson and James",Delayed
SH20275,O16325,2024-01-09,2024-01-09,Keith Group,Lost
SH20276,O17913,2023-09-01,,Hernandez-Walters,In Transit
SH20277,O12533,2023-08-26,2023-08-26,"Munoz, Gordon and Schroeder",Lost
SH20278,O10578,2025-03-06,2025-03-06,Phillips PLC,Lost
SH20279,O13471,2024-01-12,2024-01-12,Hill LLC,Delayed
SH20280,O11931,2024-09-18,2024-09-18,"Mitchell, Barrett and Davis",Lost
SH20281,O14815,2023-11-01,2023-11-01,"Porter, Simmons and Cross",In Transit
SH20282,O11693,2023-09-28,2023-09-28,Valdez and Sons,In Transit
SH20283,O11690,2025-05-04,,Golden-Maxwell,Delivered
SH20284,O16076,2023-08-09,2023-08-09,Davis-Beasley,In Transit
SH20285,O16333,2024-01-02,2024-01-02,Lopez-Porter,Delivered
SH20286,O11541,2023-10-19,,Simpson-Herrera,Delayed
SH20287,O11422,2024-09-06,,"Ruiz, Cordova and Richards",Delivered
SH20288,O12717,2024-05-24,2024-05-24,"Goodwin, Thomas and Miller",Delayed
SH20289,O14542,2023-09-09,2023-09-09,"Perez, Roy and Gomez",Delayed
SH20290,O16626,2024-05-24,2024-05-24,Pittman-Perez,Lost
SH20291,O13284,2023-07-28,2023-07-28,"Hogan, Jenkins and Maldonado",Lost
SH20292,O15621,2023-10-30,2023-10-30,Johnson-Riggs,Delivered
SH20293,O13024,2024-08-26,2024-08-26,Barrett-Gamble,In Transit
SH20294,O11455,2024-06-22,2024-06-22,"Hartman, Ward and Smith",Delayed
SH20295,O17195,2024-06-06,2024-06-06,"Vasquez, Downs and Lester",Delayed
SH20296,O14619,2024-04-05,2024-04-05,Martinez and Sons,Lost
SH20297,O13399,2024-10-17,2024-10-17,Boone and Sons,Lost
SH20298,O11948,2023-10-16,,"Andrews, Rodriguez and Taylor",In Transit
SH20299,O14857,2024-05-08,2024-05-08,"Gallegos, White and Lynch",In Transit
SH20300,O17113,2024-03-26,2024-03-26,Phelps Ltd,Delivered
SH20301,O12506,2025-04-21,2025-04-21,"Reyes, Wolf and Brown",Lost
SH20302,O10358,2024-11-24,2024-11-24,"Griffin, Diaz and Russell",In Transit
SH20303,O15381,2025-02-17,,Allen Ltd,Lost
SH20304,O12757,2024-07-28,2024-07-28,Fields-Obrien,Lost
SH20305,O15975,2024-09-06,2024-09-06,Mills-Andrews,Delayed
SH20306,O15524,2025-06-11,2025-06-11,Romero-Adams,Lost
SH20307,O16447,2024-04-28,2024-04-28,Lowery-Harrison,Delivered
SH20308,O13090,2023-11-29,,Briggs Ltd,Lost
SH20309,O10844,2023-08-11,2023-08-11,"Collier, Miller and Beasley",Lost
SH20310,O16330,2023-08-27,2023-08-27,"Abbott, Burton and Bennett",Delivered
SH20311,O13472,2024-05-16,2024-05-16,"Walsh, Mathis and Dickerson",Lost
SH20312,O15177,2025-03-15,,Terrell-Rivera,Delayed
SH20313,O14742,2025-05-24,2025-05-24,Goodman-Velasquez,Lost
SH20314,O16031,2024-09-09,2024-09-09,"Coleman, Camacho and Brown",Delivered
SH20315,O12524,2023-07-10,2023-07-10,"Washington, Shepherd and Ford",In Transit
SH20316,O13245,2025-05-03,2025-05-03,"Rodriguez, Hoover and Riley",In Transit
SH20317,O17202,2025-05-25,2025-05-25,Carter and Sons,Delivered
SH20318,O11086,2023-12-05,2023-12-05,Maxwell Ltd,Lost
SH20319,O12695,2024-01-22,2024-01-22,Carpenter Ltd,Delivered
SH20320,O10915,2024-12-29,2024-12-29,Moore-Flores,In Transit
SH20321,O17432,2023-07-18,2023-07-18,"Sanchez, Hernandez and Campbell",Lost
SH20322,O14665,2025-04-16,2025-04-16,Brooks LLC,Delayed
SH20323,O12806,2024-06-30,,"Warner, Smith and Burton",In Transit
SH20324,O16393,2024-09-01,2024-09-01,Ramos and Sons,Lost
SH20325,O12144,2023-07-17,2023-07-17,Palmer LLC,Delayed
SH20326,O10669,2024-08-11,,"Holt, Nicholson and Jackson",Delayed
SH20327,O12791,2024-11-16,2024-11-16,Cook LLC,Lost
SH20328,O15166,2025-01-09,2025-01-09,"Cruz, Mcclure and Hernandez",Lost
SH20329,O10040,2023-11-05,,Griffin-Bryant,Delivered
SH20330,O14677,2024-09-30,2024-09-30,Armstrong LLC,Delivered
SH20331,O14386,2024-06-29,2024-06-29,"Anderson, Garner and Welch",Delayed
SH20332,O13137,2025-01-24,2025-01-24,"Hernandez, Taylor and Fry",Delivered
SH20333,O14008,2024-03-23,2024-03-23,Scott-Macdonald,Delayed
SH20334,O11017,2023-07-07,2023-07-07,Gonzales-Melton,Lost
SH20335,O14126,2024-01-12,,"Fowler, Gross and Miller",Delayed
SH20336,O17597,2023-11-03,2023-11-03,Vazquez LLC,Lost
SH20337,O10197,2024-07-05,2024-07-05,"Hinton, Adams and Wade",Delayed
SH20338,O13544,2024-11-04,2024-11-04,Erickson Group,In Transit
SH20339,O16389,2024-10-01,2024-10-01,Hancock LLC,Delivered
SH20340,O12170,2023-12-08,2023-12-08,Tyler LLC,Delivered
SH20341,O14509,2024-03-23,2024-03-23,"Bryant, Brown and Wong",Delivered
SH20342,O16672,2023-09-27,2023-09-27,Steele-Lamb,Lost
SH20343,O15339,2024-11-17,,"Smith, Taylor and Vazquez",In Transit
SH20344,O16650,2025-04-13,,Dawson-Griffith,Delayed
SH20345,O13448,2025-04-19,,Stafford-Hansen,Lost
SH20346,O15438,2024-04-08,2024-04-08,Bell-Frazier,Lost
SH20347,O11806,2024-08-21,2024-08-21,Abbott-Schneider,Delivered
SH20348,O17183,2024-05-10,2024-05-10,Mccullough-Jones,Lost
SH20349,O16846,2023-12-28,2023-12-28,Vasquez-Casey,In Transit
SH20350,O15748,2025-06-04,2025-06-04,"Mccarthy, Cox and Ramsey",Lost
SH20351,O12889,2024-08-06,2024-08-06,Hamilton-Smith,Delivered
SH20352,O11880,2025-01-25,2025-01-25,Franco Ltd,In Transit
SH20353,O12461,2024-08-15,2024-08-15,Jones Group,Delayed
SH20354,O16015,2025-04-25,,"Mcdonald, Hinton and Avila",Delayed
SH20355,O16036,2024-10-23,2024-10-23,"Franco, Carroll and Gutierrez",Delivered
SH20356,O14511,2024-06-02,2024-06-02,"Waters, Fritz and Keller",Lost
SH20357,O12180,2025-02-15,2025-02-15,Rodriguez-Torres,Delivered
SH20358,O11059,2024-12-10,2024-12-10,"Watkins, Randall and Lewis",Lost
SH20359,O11341,2023-11-17,2023-11-17,Grant-Andersen,In Transit
SH20360,O10168,2025-04-27,2025-04-27,Davis PLC,In Transit
SH20361,O13597,2025-02-11,2025-02-11,"Morris, Whitney and Carson",In Transit
SH20362,O16863,2025-02-22,,Bryant PLC,Delivered
SH20363,O12822,2025-06-12,2025-06-12,Olson PLC,Lost
SH20364,O17896,2025-01-10,,Kirk Inc,In Transit
SH20365,O13030,2023-10-05,2023-10-05,Lin Inc,In Transit
SH20366,O16378,2023-11-10,2023-11-10,"Rice, Casey and Ramirez",Lost
SH20367,O17298,2023-07-23,2023-07-23,Allen PLC,In Transit
SH20368,O10444,2023-10-26,2023-10-26,Reese LLC,Delivered
SH20369,O16211,2024-01-22,,Dixon-Wong,In Transit
