usageID,meterID,date,kWh
U10122,M01084,2025-05-16,86.56
U10123,M01165,2025-06-18,20.65
U10124,M00782,2025-02-16,76.92
U10125,M00991,2025-04-30,48.12
U10126,M00945,2023-12-31,61.72
U10127,M01385,2024-02-26,13.33
U10128,M01159,2024-11-24,24.01
U10129,M00926,2025-01-27,16.2
U10130,M02073,2024-05-13,72.01
U10131,M02363,2023-09-22,98.94
U10132,M00118,2024-06-20,20.65
U10133,M00694,2023-07-13,40.13
U10134,M00653,2023-10-10,49.7
U10135,M01785,2025-02-05,57.28
U10136,M02074,2024-12-09,9.35
U10137,M00902,2023-09-25,57.73
U10138,M00329,2024-01-11,21.55
U10139,M01946,2024-12-04,17.2
U10140,M00796,2023-06-28,14.8
U10141,M00430,2023-10-04,79.57
U10142,M01988,2024-03-20,50.35
U10143,M00514,2023-12-11,54.42
U10144,M01577,2025-01-01,41.04
U10145,M01566,2025-03-29,50.92
U10146,M02409,2024-03-28,18.79
U10147,M00009,2023-09-29,9.9
U10148,M00279,2024-12-01,15.32
U10149,M02328,2023-08-30,97.35
U10150,M02219,2023-08-17,27.84
U10151,M01681,2024-07-01,79.64
U10152,M02288,2024-02-25,10.15
U10153,M00775,2024-07-01,18.95
U10154,M00337,2025-04-12,50.62
U10155,M01571,2025-04-08,34.36
U10156,M01218,2025-03-08,11.06
U10157,M01795,2024-07-27,34.04
U10158,M00828,2025-03-08,50.48
U10159,M02270,2024-03-26,89.26
U10160,M00595,2024-12-17,77.5
U10161,M00502,2024-05-17,15.73
U10162,M01908,2024-10-22,7.74
U10163,M01548,2024-12-01,94.27
U10164,M01337,2023-07-14,51.24
U10165,M02481,2025-01-14,72.28
U10166,M01468,2024-02-29,52.74
U10167,M01851,2024-02-23,20.54
U10168,M00272,2025-03-26,80.1
U10169,M01953,2024-01-18,61.18
U10170,M01013,2023-09-23,28.71
U10171,M00198,2024-11-28,73.16
U10172,M01674,2023-12-20,57.2
U10173,M00995,2024-05-22,14.31
U10174,M01537,2024-01-03,39.0
U10175,M01592,2024-03-11,64.47
U10176,M01906,2024-03-15,87.92
U10177,M00913,2024-05-10,58.15
U10178,M01222,2024-08-08,57.67
U10179,M02110,2024-08-12,13.8
U10180,M01000,2023-09-10,11.48
U10181,M00774,2025-02-17,94.55
U10182,M01543,2025-04-04,64.33
U10183,M01702,2024-05-22,79.17
U10184,M01057,2025-05-26,92.53
U10185,M00313,2023-11-02,67.79
U10186,M00042,2024-03-13,87.69
U10187,M01733,2024-08-07,25.14
U10188,M00352,2025-04-09,16.32
U10189,M01672,2023-12-20,22.97
U10190,M02348,2024-10-10,39.23
U10191,M00637,2025-03-26,9.84
U10192,M01158,2024-07-05,96.65
U10193,M02055,2023-06-22,91.71
U10194,M01843,2025-02-11,4.92
U10195,M00707,2025-05-08,99.19
U10196,M00298,2025-05-25,17.33
U10197,M01808,2023-10-18,42.83
U10198,M01799,2023-10-28,86.69
U10199,M02428,2024-06-08,53.29
U10200,M01216,2024-07-14,50.89
U10201,M01070,2024-08-17,5.09
U10202,M02250,2023-09-03,64.95
U10203,M00062,2024-05-23,24.62
U10204,M01160,2024-11-18,69.81
U10205,M00098,2024-02-23,83.97
U10206,M02323,2023-11-18,13.92
U10207,M00072,2024-11-29,59.97
U10208,M00572,2023-11-06,40.38
U10209,M02376,2025-01-25,62.7
U10210,M01034,2024-10-09,52.08
U10211,M01425,2024-05-14,71.07
U10212,M02094,2024-01-28,44.22
U10213,M01885,2024-01-05,67.37
U10214,M01735,2024-05-22,24.3
U10215,M00497,2024-11-29,41.6
U10216,M02389,2024-06-21,41.09
U10217,M01253,2025-02-17,53.34
U10218,M01707,2025-02-26,71.72
U10219,M00140,2024-11-07,15.97
U10220,M00275,2024-10-22,21.71
U10221,M00727,2025-03-18,49.65
U10222,M01553,2023-09-30,26.42
U10223,M01456,2023-12-30,25.58
U10224,M02245,2025-01-19,18.0
U10225,M02312,2023-11-02,75.66
U10226,M00430,2024-02-29,18.48
U10227,M01871,2025-06-06,17.85
U10228,M00439,2023-06-23,55.14
U10229,M00553,2024-11-08,3.47
U10230,M01781,2025-04-26,9.86
U10231,M01805,2025-01-05,64.72
U10232,M01273,2024-10-11,46.79
U10233,M02132,2025-02-07,50.23
U10234,M02105,2025-03-23,44.15
U10235,M02234,2023-07-13,24.52
U10236,M02022,2023-12-21,7.23
U10237,M00500,2025-03-02,68.34
U10238,M00932,2024-04-25,69.74
U10239,M02056,2025-05-18,29.4
U10240,M00178,2024-03-15,73.45
U10241,M01097,2025-04-12,91.32
U10242,M00496,2024-07-25,50.04
U10243,M02322,2023-11-29,17.85
U10244,M02476,2024-10-19,32.44
U10245,M00583,2024-11-19,33.51
U10246,M00553,2025-05-29,55.72
U10247,M00298,2023-07-03,79.93
U10248,M01398,2023-09-05,40.47
U10249,M00455,2024-01-20,70.3
U10250,M02015,2024-09-05,17.54
U10251,M00010,2023-11-17,79.61
U10252,M01842,2025-05-29,59.87
U10253,M00705,2024-11-06,4.22
U10254,M01430,2024-01-13,7.91
U10255,M01596,2023-07-03,53.38
U10256,M01670,2024-03-12,60.1
U10257,M01801,2024-08-18,51.57
U10258,M01691,2025-02-05,70.13
U10259,M00635,2024-04-27,16.91
U10260,M01959,2024-04-20,44.67
U10261,M02114,2023-11-01,69.67
U10262,M01151,2025-04-12,49.87
U10263,M00488,2023-10-23,64.91
U10264,M01680,2023-10-12,17.25
U10265,M01250,2024-07-04,71.12
U10266,M00542,2025-06-12,93.81
U10267,M02331,2024-06-12,49.33
U10268,M00962,2024-10-14,35.5
U10269,M02245,2025-04-08,14.89
U10270,M00080,2024-12-05,13.39
U10271,M02348,2023-11-06,75.63
U10272,M01591,2024-01-14,44.44
U10273,M00411,2024-12-11,76.07
U10274,M00433,2024-08-24,54.17
U10275,M02013,2023-09-25,7.5
U10276,M01536,2024-04-11,2.65
U10277,M01583,2024-07-12,90.71
U10278,M01648,2024-12-25,55.45
U10279,M02487,2024-08-22,44.03
U10280,M02174,2025-03-19,51.48
U10281,M02494,2024-10-27,35.22
U10282,M00921,2024-03-11,29.06
U10283,M01377,2024-12-05,53.94
U10284,M00159,2025-03-07,96.02
U10285,M01848,2023-09-27,43.24
U10286,M01905,2023-10-09,52.33
U10287,M00707,2023-12-23,7.69
U10288,M01157,2024-11-24,63.01
U10289,M01359,2024-02-24,20.59
U10290,M00259,2024-05-14,21.95
U10291,M02428,2024-05-23,9.12
U10292,M01706,2024-09-06,10.13
U10293,M00892,2023-11-18,65.57
U10294,M01213,2023-06-28,4.3
U10295,M01657,2024-11-16,29.59
U10296,M01783,2023-10-24,19.21
U10297,M01162,2023-12-25,38.95
U10298,M00922,2024-03-03,89.73
U10299,M00222,2024-09-06,31.07
U10300,M00407,2024-08-25,64.15
U10301,M01684,2024-06-02,9.35
U10302,M01666,2025-04-26,46.48
U10303,M01407,2024-02-24,8.22
U10304,M00578,2025-05-23,81.19
U10305,M00494,2023-09-06,58.21
U10306,M00884,2024-11-24,45.49
U10307,M01930,2024-09-25,43.56
U10308,M02258,2024-04-08,73.74
U10309,M01766,2023-07-31,75.75
U10310,M01214,2023-12-26,79.29
U10311,M00965,2024-04-08,73.66
U10312,M02386,2025-01-08,53.37
U10313,M01572,2025-04-13,14.95
U10314,M02169,2024-08-08,3.82
U10315,M01774,2024-02-28,9.96
U10316,M00633,2023-12-19,44.54
U10317,M01618,2025-06-01,60.44
U10318,M01538,2025-03-01,90.2
U10319,M02230,2025-05-18,44.06
U10320,M02186,2024-02-13,66.46
U10321,M00759,2024-03-30,31.55
U10322,M00197,2024-06-07,84.05
U10323,M00800,2023-11-18,98.87
U10324,M01840,2025-03-27,83.69
U10325,M01305,2025-04-09,72.32
U10326,M00257,2024-01-22,92.23
U10327,M01218,2025-01-09,99.77
U10328,M00061,2024-12-16,20.45
U10329,M01365,2025-05-05,6.69
U10330,M01773,2025-01-07,41.31
U10331,M00817,2024-11-06,41.88
U10332,M01104,2025-03-26,59.81
U10333,M02274,2024-06-13,75.35
U10334,M01223,2024-08-05,46.62
U10335,M00943,2023-10-21,89.34
U10336,M01622,2024-06-17,2.2
U10337,M00745,2023-08-20,53.77
U10338,M02024,2023-10-06,89.14
U10339,M00822,2023-07-19,25.94
U10340,M00353,2024-03-24,23.05
U10341,M01880,2024-02-18,16.91
U10342,M01825,2024-01-02,23.47
U10343,M01101,2024-03-04,48.72
U10344,M01075,2023-08-27,40.1
U10345,M01699,2024-07-09,92.06
U10346,M02439,2025-05-28,74.57
U10347,M02293,2024-04-13,67.54
U10348,M02090,2025-05-14,60.44
U10349,M01295,2023-11-19,15.04
U10350,M00484,2024-11-11,10.53
U10351,M02070,2024-12-29,38.34
U10352,M00254,2025-03-27,2.14
U10353,M00517,2023-10-29,84.42
U10354,M01346,2023-11-22,34.94
U10355,M02277,2024-07-22,36.79
U10356,M00215,2024-04-15,23.34
U10357,M00231,2024-10-12,95.44
U10358,M00844,2023-11-05,44.99
U10359,M01073,2025-04-25,91.42
U10360,M01077,2025-05-10,41.53
U10361,M00433,2024-10-06,40.41
U10362,M01275,2025-06-15,92.86
U10363,M01305,2024-12-02,8.01
U10364,M00900,2025-05-24,82.39
U10365,M00872,2025-04-05,46.86
U10366,M01989,2023-08-02,16.03
U10367,M01904,2024-08-20,20.9
U10368,M02125,2024-12-24,36.99
U10369,M02387,2023-08-18,19.53
U10370,M00843,2024-10-22,1.64
U10371,M00836,2023-07-08,30.26
U10372,M02367,2025-04-01,22.18
U10373,M00102,2024-10-16,91.11
U10374,M01881,2024-02-27,27.59
U10375,M00612,2024-11-06,64.24
U10376,M01700,2025-02-01,95.71
U10377,M02246,2025-01-30,10.7
U10378,M00062,2025-04-05,81.16
U10379,M00925,2024-12-26,3.49
U10380,M01077,2025-05-29,57.94
U10381,M00177,2023-07-11,6.79
U10382,M01441,2024-09-08,84.49
U10383,M00470,2023-08-15,12.77
U10384,M00965,2023-09-23,26.08
U10385,M02304,2024-12-26,13.16
U10386,M00515,2025-04-10,83.17
U10387,M01692,2024-09-29,57.16
U10388,M00118,2024-08-18,21.62
U10389,M02108,2023-12-19,18.15
U10390,M00651,2024-11-29,95.36
U10391,M01164,2023-07-31,19.02
U10392,M00717,2025-02-25,49.0
U10393,M02407,2024-05-18,15.72
U10394,M01399,2024-08-07,93.97
U10395,M01915,2025-06-12,96.74
U10396,M01489,2024-06-08,20.5
U10397,M00860,2024-01-19,95.01
U10398,M02049,2023-12-13,58.64
U10399,M00640,2023-12-01,14.38
U10400,M00945,2023-08-30,70.13
U10401,M01486,2023-09-10,76.04
U10402,M01064,2024-05-19,76.27
U10403,M01992,2024-05-11,95.32
U10404,M00246,2025-05-11,48.26
U10405,M01817,2025-02-24,89.58
U10406,M00113,2024-09-28,27.41
U10407,M01498,2025-02-24,36.35
U10408,M01460,2025-05-23,35.01
U10409,M01648,2025-02-10,66.27
U10410,M01086,2023-09-09,33.84
U10411,M02105,2024-11-18,22.96
U10412,M02327,2023-11-09,35.8
U10413,M00895,2023-09-28,46.87
U10414,M00080,2024-12-06,59.68
U10415,M00864,2025-04-26,93.61
U10416,M01134,2024-07-12,88.69
U10417,M01714,2023-08-16,91.84
U10418,M01944,2023-07-13,73.58
U10419,M00766,2023-07-05,46.47
U10420,M02487,2024-12-06,90.16
U10421,M01301,2024-04-09,77.12
U10422,M02057,2023-12-30,15.41
U10423,M01015,2025-02-24,11.05
U10424,M00228,2024-05-05,64.57
U10425,M00738,2024-08-19,91.21
U10426,M00337,2024-06-04,83.34
U10427,M00435,2024-06-16,26.69
U10428,M01462,2025-01-03,45.87
U10429,M02109,2025-03-28,38.3
U10430,M01567,2024-10-08,91.96
U10431,M02313,2024-06-30,58.79
U10432,M01526,2025-03-01,61.76
U10433,M02343,2024-02-04,99.85
U10434,M00688,2024-01-18,74.23
U10435,M00494,2024-10-23,64.0
U10436,M02019,2025-04-02,64.19
U10437,M00423,2023-07-19,86.39
U10438,M01370,2024-06-02,54.08
U10439,M02173,2024-12-31,52.99
U10440,M01345,2025-05-02,56.29
U10441,M01600,2023-10-31,95.01
U10442,M02462,2024-06-11,9.6
U10443,M01497,2023-10-19,78.86
U10444,M01589,2024-07-17,40.4
U10445,M00936,2023-11-17,77.29
U10446,M01774,2024-11-05,76.33
U10447,M01692,2025-04-05,84.86
U10448,M00594,2024-10-23,65.65
U10449,M01906,2024-03-17,1.63
U10450,M01657,2024-08-09,21.68
U10451,M00826,2023-11-03,30.91
U10452,M00976,2024-05-08,50.23
U10453,M00459,2025-04-16,54.65
U10454,M01111,2023-09-06,97.71
U10455,M00907,2024-08-01,82.89
U10456,M00041,2025-06-08,15.77
U10457,M01286,2024-06-21,25.28
U10458,M00186,2024-04-28,75.81
U10459,M01687,2023-12-22,49.84
U10460,M02064,2024-09-30,89.64
U10461,M01284,2024-05-23,41.02
U10462,M00055,2024-11-17,57.53
U10463,M00526,2024-06-04,31.52
U10464,M02284,2023-09-15,33.62
U10465,M01208,2024-10-30,77.76
U10466,M00726,2025-06-09,71.51
U10467,M00730,2023-07-07,79.13
U10468,M00817,2023-07-05,7.66
U10469,M01315,2025-05-08,94.69
U10470,M00531,2023-10-15,25.3
U10471,M02454,2024-04-14,95.43
U10472,M00311,2025-05-03,17.08
U10473,M00628,2024-09-15,61.57
U10474,M01512,2024-03-23,74.94
U10475,M02056,2024-05-27,37.98
U10476,M00311,2024-04-22,61.03
U10477,M02184,2023-09-09,79.04
U10478,M00242,2024-06-24,61.57
U10479,M01214,2024-12-11,61.67
U10480,M01647,2025-05-01,26.16
U10481,M01024,2024-02-22,81.7
U10482,M01175,2024-04-16,32.32
U10483,M00370,2025-01-30,5.63
U10484,M01190,2024-03-07,99.24
U10485,M01801,2025-02-24,89.8
U10486,M01301,2024-02-18,75.74
U10487,M00526,2024-12-02,71.04
U10488,M02492,2023-12-27,77.87
U10489,M02385,2023-11-11,93.25
U10490,M00398,2023-11-25,12.95
U10491,M00323,2023-07-16,2.28
U10492,M01700,2025-04-05,52.41
U10493,M01254,2023-10-08,61.74
U10494,M00664,2024-11-16,82.85
U10495,M00511,2025-01-28,62.03
U10496,M00530,2024-10-19,26.69
U10497,M01585,2023-07-29,99.3
U10498,M01679,2024-08-13,52.91
U10499,M01706,2024-09-04,56.18
U10500,M02268,2024-09-08,87.52
U10501,M01549,2024-01-22,6.02
U10502,M00911,2024-09-18,84.72
U10503,M00539,2024-07-25,41.85
U10504,M00247,2024-11-30,27.78
U10505,M01575,2024-11-07,36.22
U10506,M00886,2024-01-14,45.51
U10507,M01473,2024-02-03,6.21
U10508,M01989,2023-10-01,54.78
U10509,M01816,2024-07-04,93.54
U10510,M00412,2025-03-19,66.81
U10511,M00634,2024-04-23,38.25
U10512,M01618,2023-11-02,5.73
U10513,M01857,2024-01-15,14.18
U10514,M00929,2024-08-01,8.3
U10515,M01543,2023-07-19,34.4
U10516,M00935,2025-03-18,89.64
U10517,M00841,2025-01-10,52.68
U10518,M02184,2024-10-04,35.75
U10519,M00752,2025-02-04,23.54
U10520,M00589,2025-02-19,4.89
U10521,M00106,2023-10-16,74.62
U10522,M02058,2025-04-30,18.06
U10523,M01607,2024-08-21,71.5
U10524,M01162,2024-02-02,8.24
U10525,M02083,2025-03-17,56.65
U10526,M02203,2024-03-10,51.61
U10527,M01912,2024-09-10,3.82
U10528,M00915,2024-07-05,91.15
U10529,M01479,2024-03-16,3.62
U10530,M01244,2024-03-23,49.13
U10531,M02218,2024-09-08,37.17
U10532,M02362,2024-05-17,54.02
U10533,M01719,2024-07-31,20.56
U10534,M00108,2024-07-05,17.13
U10535,M02356,2024-10-09,86.22
U10536,M02446,2024-05-18,95.34
U10537,M01006,2025-04-24,50.98
U10538,M01364,2025-04-29,51.05
U10539,M00030,2024-07-14,57.84
U10540,M00827,2024-09-12,5.7
U10541,M02360,2024-06-02,62.25
U10542,M01133,2025-01-01,33.44
U10543,M01999,2024-01-28,29.24
U10544,M01887,2025-06-18,58.39
U10545,M01633,2024-04-02,41.97
U10546,M01211,2023-07-01,24.1
U10547,M02478,2023-07-29,17.05
U10548,M01227,2025-06-04,31.92
U10549,M02167,2024-07-17,28.13
U10550,M01895,2023-09-27,3.15
U10551,M01434,2025-01-13,54.9
U10552,M00226,2023-10-27,95.27
U10553,M01298,2025-03-03,4.87
U10554,M01947,2025-02-09,93.27
U10555,M01873,2024-08-29,19.93
U10556,M01180,2025-05-24,72.44
U10557,M00159,2025-05-24,2.71
U10558,M00231,2024-03-23,16.3
U10559,M00892,2025-02-20,1.97
U10560,M02227,2024-01-09,10.23
U10561,M00645,2025-02-08,1.76
U10562,M00586,2024-05-22,85.74
U10563,M01247,2025-01-23,72.16
U10564,M01133,2024-06-25,66.55
U10565,M00885,2024-02-13,43.64
U10566,M02041,2024-08-08,92.58
U10567,M01449,2024-05-27,58.69
U10568,M01821,2025-02-04,36.92
U10569,M02444,2024-05-17,84.59
U10570,M00033,2024-07-05,1.75
U10571,M02367,2025-04-15,26.19
U10572,M00699,2023-06-20,67.15
U10573,M00167,2024-12-10,43.53
U10574,M02264,2025-05-28,18.1
U10575,M00124,2024-05-23,83.14
U10576,M00051,2025-04-21,61.26
U10577,M01638,2023-12-21,68.41
U10578,M02158,2024-04-12,7.55
U10579,M00648,2023-09-13,56.58
U10580,M00361,2024-09-14,43.93
U10581,M00221,2023-09-24,95.45
U10582,M02482,2024-03-30,58.13
U10583,M01804,2024-06-26,85.71
U10584,M01703,2025-02-15,86.43
U10585,M01166,2024-07-16,10.2
U10586,M00228,2025-03-02,31.35
U10587,M01085,2023-07-07,60.53
U10588,M02295,2025-04-08,74.62
U10589,M01774,2025-05-11,23.06
U10590,M01548,2024-04-08,23.52
U10591,M02217,2023-08-19,66.22
U10592,M02135,2023-12-23,88.16
U10593,M00470,2024-08-03,13.59
U10594,M01936,2025-06-16,25.12
U10595,M00047,2024-01-13,55.07
U10596,M01458,2025-01-03,73.7
U10597,M00231,2025-02-24,18.08
U10598,M01990,2025-06-18,83.55
U10599,M00168,2023-08-08,8.13
U10600,M01920,2025-05-26,29.8
U10601,M00175,2024-03-01,23.9
U10602,M01321,2023-09-18,18.08
U10603,M02341,2023-11-25,49.24
U10604,M00267,2025-04-23,96.48
U10605,M00067,2025-01-03,70.07
U10606,M01963,2024-03-29,52.57
U10607,M02300,2023-11-25,16.11
U10608,M01051,2024-10-19,81.72
U10609,M02498,2024-07-29,50.93
U10610,M00003,2024-10-13,20.61
U10611,M01000,2024-03-09,37.17
U10612,M02199,2023-09-21,23.99
U10613,M01896,2024-04-08,29.52
U10614,M02270,2023-08-08,49.07
U10615,M02271,2024-12-27,39.43
U10616,M02038,2025-04-16,46.76
U10617,M02307,2025-04-07,86.91
U10618,M00531,2023-07-27,74.15
U10619,M01820,2023-12-11,30.86
U10620,M00803,2023-12-17,81.67
U10621,M01611,2023-09-22,64.59
U10622,M02287,2024-06-02,56.81
U10623,M02438,2023-06-23,44.61
U10624,M00320,2024-12-31,64.14
U10625,M01440,2025-03-13,32.02
U10626,M00264,2025-02-09,57.16
U10627,M00856,2024-11-25,8.32
U10628,M01126,2024-06-06,10.25
U10629,M01741,2025-03-20,40.39
U10630,M02192,2025-03-07,57.16
U10631,M00466,2024-02-12,46.11
U10632,M01393,2023-07-23,28.24
U10633,M01754,2025-03-03,71.14
U10634,M01344,2023-11-22,56.6
U10635,M00792,2024-12-18,75.66
U10636,M01449,2023-10-08,75.44
U10637,M00787,2023-06-20,71.59
U10638,M02083,2025-06-17,89.13
U10639,M01657,2024-06-08,65.28
U10640,M00933,2023-06-27,37.7
U10641,M02462,2023-11-25,53.96
U10642,M00349,2024-12-13,71.45
U10643,M01133,2024-03-01,99.92
U10644,M00829,2024-03-10,53.28
U10645,M00080,2024-03-30,9.8
U10646,M02304,2024-02-12,10.85
U10647,M02417,2023-08-31,10.57
U10648,M00436,2023-07-05,8.41
U10649,M01091,2024-12-24,19.5
U10650,M00448,2023-08-24,54.77
U10651,M02324,2024-12-28,30.34
U10652,M00027,2025-02-20,68.56
U10653,M02231,2024-05-26,59.06
U10654,M02407,2025-01-24,24.21
U10655,M01056,2023-11-02,6.64
U10656,M00405,2024-11-29,5.46
U10657,M00762,2025-02-06,6.41
U10658,M01044,2023-09-12,57.89
U10659,M01859,2024-01-04,39.44
U10660,M01975,2024-04-26,73.21
U10661,M00018,2023-09-03,50.3
U10662,M01162,2023-12-27,33.95
U10663,M02206,2024-08-23,33.87
U10664,M02414,2023-09-25,62.42
U10665,M01788,2025-06-01,31.86
U10666,M01484,2023-08-24,88.68
U10667,M02328,2024-11-18,54.12
U10668,M00779,2024-05-03,98.94
U10669,M01282,2024-01-09,37.09
U10670,M00416,2024-02-19,69.9
U10671,M02035,2024-12-16,26.12
U10672,M01543,2023-09-08,29.45
U10673,M01992,2024-07-26,55.62
U10674,M00297,2024-10-23,88.2
U10675,M00484,2025-01-01,99.34
U10676,M01623,2025-06-08,33.5
U10677,M01658,2024-01-09,11.04
U10678,M00328,2025-04-03,34.28
U10679,M00934,2024-03-20,61.15
U10680,M01495,2024-10-02,99.4
U10681,M02367,2023-06-28,39.48
U10682,M01985,2025-01-12,15.99
U10683,M00175,2024-11-16,78.82
U10684,M00071,2024-02-15,19.91
U10685,M00908,2024-03-23,57.13
U10686,M01900,2024-12-23,76.26
U10687,M02246,2023-12-14,30.24
U10688,M02163,2023-06-24,19.19
U10689,M00024,2025-03-14,68.12
U10690,M00278,2024-03-07,35.33
U10691,M00435,2024-09-17,54.09
U10692,M01447,2023-07-10,62.29
U10693,M01430,2025-03-05,96.23
U10694,M02046,2023-07-13,92.14
U10695,M01634,2023-08-24,57.9
U10696,M01874,2025-02-17,93.17
U10697,M01763,2025-05-20,13.98
U10698,M02048,2023-07-13,16.79
U10699,M01189,2024-05-18,25.25
U10700,M01093,2025-03-04,49.63
U10701,M01726,2024-11-23,41.49
U10702,M01032,2025-06-17,5.18
U10703,M00278,2024-04-10,80.77
U10704,M01937,2023-12-14,71.99
U10705,M02401,2024-10-26,64.69
U10706,M02256,2023-08-31,69.09
U10707,M02296,2024-01-22,82.07
U10708,M00521,2025-05-14,31.34
U10709,M00061,2025-04-06,71.04
U10710,M01348,2025-04-30,74.11
U10711,M00362,2023-08-10,90.94
U10712,M01738,2023-06-29,8.23
U10713,M01594,2024-06-07,54.75
U10714,M00212,2023-08-03,35.16
U10715,M00060,2025-05-20,77.89
U10716,M01143,2024-09-24,13.89
U10717,M00763,2025-04-27,9.06
U10718,M01345,2023-08-12,5.06
U10719,M01471,2025-06-09,43.19
U10720,M00139,2023-12-22,50.51
U10721,M00201,2023-06-20,54.73
U10722,M00175,2023-08-29,38.62
U10723,M01645,2024-12-23,64.59
U10724,M02432,2024-02-15,64.66
U10725,M00951,2025-01-09,19.81
U10726,M00137,2024-05-12,62.75
U10727,M00037,2023-11-23,89.83
U10728,M01961,2024-11-09,77.93
U10729,M01816,2024-07-28,3.93
U10730,M01718,2023-06-25,43.07
U10731,M00172,2023-09-28,4.99
U10732,M00067,2024-02-23,68.16
U10733,M01523,2024-07-01,24.72
U10734,M01920,2023-08-15,6.28
U10735,M00631,2025-04-26,17.15
