paymentID,policyID,amount,paymentDate,method,status
PAY30094,P17179,2872,2023-11-01,Credit,Success
PAY30095,P17649,964,2024-08-24,Bank Transfer,Failed
PAY30096,P12609,1639,2024-09-15,Debit,Success
PAY30097,P15638,542,2025-05-21,Debit,Success
PAY30098,P11396,2046,2020-08-14,Debit,Success
PAY30099,P16724,917,2024-01-18,Credit,Failed
PAY30100,P12857,1612,2025-03-06,Credit,Success
PAY30101,P17528,4858,2023-01-08,Bank Transfer,Failed
PAY30102,P12674,1595,2022-05-22,Credit,Failed
PAY30103,P14398,4410,2024-09-17,Bank Transfer,Success
PAY30104,P17857,3673,2022-08-07,Bank Transfer,Failed
PAY30105,P14533,1418,2024-01-31,Credit,Failed
PAY30106,P13418,3937,2021-07-27,Credit,Failed
PAY30107,P16384,2879,2025-02-09,Bank Transfer,Failed
PAY30108,P11096,1053,2023-08-08,Debit,Failed
PAY30109,P15702,4780,2021-04-03,Credit,Success
PAY30110,P16424,2366,2025-03-31,Debit,Success
PAY30111,P13171,2298,2023-05-03,Credit,Success
PAY30112,P13362,1585,2020-11-29,Credit,Failed
PAY30113,P15834,2506,2024-11-09,Credit,Success
PAY30114,P14792,2944,2025-02-01,Credit,Failed
PAY30115,P14501,1361,2022-05-09,Bank Transfer,Failed
PAY30116,P15465,4978,2024-08-12,Debit,Failed
PAY30117,P10082,4796,2024-06-06,Debit,Failed
PAY30118,P16796,682,2023-04-11,Credit,Success
PAY30119,P12409,2250,2024-03-12,Credit,Success
PAY30120,P12694,4808,2022-10-12,Credit,Failed
PAY30121,P16231,594,2024-05-28,Bank Transfer,Failed
PAY30122,P12961,419,2024-12-24,Debit,Success
PAY30123,P15297,4021,2023-10-28,Bank Transfer,Failed
PAY30124,P17220,2318,2023-03-03,Debit,Failed
PAY30125,P14801,2856,2023-03-30,Credit,Success
PAY30126,P17189,2116,2022-04-22,Credit,Success
PAY30127,P13349,1475,2024-03-15,Credit,Failed
PAY30128,P14440,3958,2021-10-01,Bank Transfer,Success
PAY30129,P16357,461,2022-01-10,Credit,Failed
PAY30130,P11829,1618,2021-06-20,Bank Transfer,Success
PAY30131,P17893,3012,2024-03-18,Bank Transfer,Success
PAY30132,P16235,4668,2024-10-07,Bank Transfer,Success
PAY30133,P13938,3468,2024-12-01,Credit,Success
PAY30134,P10620,825,2025-01-17,Credit,Failed
PAY30135,P15401,2325,2021-08-15,Bank Transfer,Failed
PAY30136,P15998,2310,2022-08-25,Bank Transfer,Success
PAY30137,P13684,4827,2023-10-22,Bank Transfer,Success
PAY30138,P13455,4349,2023-08-15,Bank Transfer,Failed
PAY30139,P15293,843,2024-01-06,Debit,Failed
PAY30140,P15859,4260,2024-06-11,Bank Transfer,Failed
PAY30141,P10630,2653,2024-07-12,Credit,Success
PAY30142,P12648,3532,2021-06-12,Debit,Failed
PAY30143,P17864,4310,2023-04-08,Debit,Success
PAY30144,P12541,2061,2021-01-01,Bank Transfer,Success
PAY30145,P17625,951,2023-04-10,Debit,Failed
PAY30146,P12609,3837,2021-04-30,Bank Transfer,Success
PAY30147,P10606,1284,2021-12-21,Credit,Failed
PAY30148,P14259,669,2021-10-20,Credit,Failed
PAY30149,P17674,2067,2021-07-21,Bank Transfer,Success
PAY30150,P12725,3144,2024-07-02,Credit,Success
PAY30151,P10947,423,2023-02-25,Credit,Success
PAY30152,P17082,4671,2023-10-08,Bank Transfer,Failed
PAY30153,P12830,4256,2024-07-24,Credit,Success
PAY30154,P15308,4669,2024-06-26,Debit,Failed
PAY30155,P14337,387,2023-11-30,Bank Transfer,Failed
PAY30156,P17721,4885,2020-12-28,Credit,Success
PAY30157,P11372,996,2021-09-05,Bank Transfer,Failed
PAY30158,P16320,3897,2021-12-01,Credit,Failed
PAY30159,P10146,1404,2022-07-11,Debit,Success
PAY30160,P13356,334,2020-11-26,Debit,Failed
PAY30161,P12884,2780,2024-02-16,Bank Transfer,Failed
PAY30162,P12957,4084,2023-08-28,Credit,Success
PAY30163,P16791,1258,2021-11-20,Bank Transfer,Failed
PAY30164,P17034,2088,2022-09-22,Credit,Success
PAY30165,P13949,1657,2023-05-26,Debit,Failed
PAY30166,P16407,2354,2021-01-02,Debit,Success
PAY30167,P10229,3266,2025-04-29,Credit,Success
PAY30168,P13111,1842,2022-03-22,Bank Transfer,Success
PAY30169,P12921,1174,2022-10-08,Debit,Success
PAY30170,P11349,785,2023-01-07,Credit,Failed
PAY30171,P15906,2730,2023-08-13,Debit,Success
PAY30172,P14687,4074,2024-06-11,Debit,Failed
PAY30173,P14264,936,2024-11-12,Debit,Success
PAY30174,P15743,4651,2021-01-12,Credit,Failed
PAY30175,P14098,4163,2020-09-05,Credit,Success
PAY30176,P12086,2356,2023-12-15,Bank Transfer,Success
PAY30177,P16185,1909,2024-03-01,Debit,Failed
PAY30178,P15024,2522,2022-10-21,Bank Transfer,Failed
PAY30179,P16352,2278,2023-09-23,Debit,Failed
PAY30180,P15501,4736,2023-08-28,Bank Transfer,Success
PAY30181,P17728,2801,2024-09-16,Debit,Failed
PAY30182,P13747,4304,2021-10-29,Debit,Failed
PAY30183,P14669,3659,2022-04-06,Bank Transfer,Failed
PAY30184,P16689,1617,2023-09-27,Bank Transfer,Failed
PAY30185,P17672,4260,2020-08-07,Bank Transfer,Failed
PAY30186,P13261,4289,2021-03-31,Bank Transfer,Success
PAY30187,P13339,3010,2025-05-20,Debit,Success
PAY30188,P14274,2078,2023-08-16,Bank Transfer,Failed
PAY30189,P16583,3633,2023-11-07,Debit,Failed
PAY30190,P15603,2193,2022-09-03,Credit,Failed
PAY30191,P13522,1256,2020-07-04,Debit,Success
PAY30192,P15008,326,2020-09-30,Bank Transfer,Success
PAY30193,P16082,2192,2024-01-22,Bank Transfer,Success
PAY30194,P12270,4784,2023-10-14,Bank Transfer,Failed
PAY30195,P11806,2940,2024-09-18,Bank Transfer,Failed
PAY30196,P12846,2747,2024-08-12,Credit,Success
PAY30197,P13730,1729,2022-01-01,Debit,Success
PAY30198,P10920,4105,2024-06-27,Bank Transfer,Success
PAY30199,P13510,1972,2021-09-08,Bank Transfer,Success
PAY30200,P17671,669,2020-12-18,Credit,Failed
PAY30201,P14409,1115,2023-03-03,Credit,Success
PAY30202,P14046,3313,2025-03-12,Debit,Success
PAY30203,P14775,2184,2023-02-09,Bank Transfer,Success
PAY30204,P12809,573,2024-12-23,Debit,Failed
PAY30205,P13065,960,2023-06-25,Credit,Success
PAY30206,P11610,1774,2022-09-02,Debit,Failed
PAY30207,P15738,3488,2021-09-05,Debit,Success
PAY30208,P14286,2385,2023-03-01,Bank Transfer,Failed
PAY30209,P14002,4587,2024-06-10,Bank Transfer,Failed
PAY30210,P10560,2878,2021-12-12,Debit,Success
PAY30211,P16250,2822,2025-03-24,Credit,Success
PAY30212,P16983,3027,2022-09-06,Bank Transfer,Success
PAY30213,P14081,2890,2023-06-05,Debit,Success
PAY30214,P10214,1222,2025-02-20,Credit,Failed
PAY30215,P14982,999,2024-02-15,Debit,Success
PAY30216,P15470,725,2020-10-22,Debit,Success
PAY30217,P16022,2756,2020-10-20,Bank Transfer,Success
PAY30218,P15983,4709,2021-05-23,Debit,Failed
PAY30219,P16103,3749,2025-03-17,Bank Transfer,Failed
PAY30220,P17385,1404,2023-09-30,Debit,Success
PAY30221,P16073,4672,2020-09-28,Bank Transfer,Success
PAY30222,P13269,1871,2023-09-25,Debit,Success
PAY30223,P10118,4175,2024-02-24,Debit,Success
PAY30224,P13678,4120,2021-12-29,Debit,Failed
PAY30225,P16585,2601,2023-07-24,Credit,Success
PAY30226,P16681,2789,2023-01-10,Bank Transfer,Failed
PAY30227,P10067,2394,2022-09-16,Debit,Failed
PAY30228,P11799,1087,2023-01-20,Debit,Success
PAY30229,P12835,1453,2024-11-09,Bank Transfer,Failed
PAY30230,P10110,4856,2022-04-22,Credit,Success
PAY30231,P11331,3163,2024-10-11,Credit,Success
PAY30232,P12928,1931,2021-04-03,Credit,Failed
PAY30233,P14255,4126,2021-01-28,Credit,Failed
PAY30234,P15814,4556,2023-11-05,Debit,Failed
PAY30235,P15846,952,2024-07-29,Bank Transfer,Success
PAY30236,P15947,4633,2022-04-08,Debit,Failed
PAY30237,P15210,3947,2024-12-16,Debit,Failed
PAY30238,P11220,2918,2025-05-30,Debit,Success
PAY30239,P12109,837,2025-03-24,Bank Transfer,Failed
PAY30240,P17182,3324,2020-11-28,Debit,Failed
PAY30241,P15351,3564,2021-10-13,Debit,Success
PAY30242,P14850,588,2022-06-16,Debit,Failed
PAY30243,P16056,611,2023-05-03,Bank Transfer,Success
PAY30244,P12874,745,2023-02-07,Bank Transfer,Success
PAY30245,P15692,799,2024-02-03,Debit,Success
PAY30246,P16212,4156,2023-07-07,Credit,Failed
PAY30247,P12423,3202,2020-10-13,Bank Transfer,Failed
PAY30248,P10106,4351,2024-03-21,Credit,Failed
PAY30249,P14421,4176,2023-04-08,Debit,Success
PAY30250,P12885,2569,2022-10-19,Debit,Failed
PAY30251,P10801,1699,2021-02-06,Debit,Success
PAY30252,P11128,1273,2024-12-16,Debit,Success
PAY30253,P10737,1366,2023-02-14,Debit,Success
PAY30254,P11572,3511,2022-08-12,Bank Transfer,Success
PAY30255,P14204,2705,2023-01-26,Bank Transfer,Failed
PAY30256,P10832,3944,2024-10-31,Credit,Success
PAY30257,P10885,4911,2022-07-29,Bank Transfer,Success
PAY30258,P15153,2746,2022-09-17,Debit,Failed
PAY30259,P15720,3300,2025-01-27,Credit,Success
PAY30260,P16908,3830,2022-12-12,Debit,Failed
PAY30261,P15254,3987,2022-07-28,Debit,Success
PAY30262,P15010,1945,2024-04-30,Debit,Success
PAY30263,P10994,1315,2023-12-19,Bank Transfer,Success
PAY30264,P15058,1988,2024-06-28,Bank Transfer,Success
PAY30265,P17110,3052,2023-03-25,Debit,Failed
PAY30266,P14565,3112,2021-09-26,Debit,Failed
PAY30267,P10055,4940,2021-02-10,Bank Transfer,Success
PAY30268,P15624,3673,2024-07-04,Credit,Success
PAY30269,P13001,932,2024-02-01,Credit,Failed
PAY30270,P10858,1074,2023-07-18,Debit,Success
PAY30271,P16445,3640,2025-06-17,Debit,Failed
PAY30272,P16455,3029,2022-04-23,Debit,Failed
PAY30273,P17737,3849,2022-07-01,Bank Transfer,Failed
PAY30274,P11487,2417,2021-04-09,Bank Transfer,Failed
PAY30275,P12418,530,2024-07-28,Credit,Success
PAY30276,P13552,3890,2020-07-13,Credit,Failed
PAY30277,P11692,1081,2022-12-25,Bank Transfer,Success
PAY30278,P10705,796,2025-06-05,Debit,Success
PAY30279,P15863,716,2024-05-12,Bank Transfer,Failed
PAY30280,P13789,1057,2021-12-12,Credit,Failed
PAY30281,P12417,4665,2025-03-09,Debit,Failed
PAY30282,P12832,990,2023-09-11,Bank Transfer,Failed
PAY30283,P16361,2105,2023-04-08,Credit,Failed
PAY30284,P15222,4815,2024-04-30,Debit,Success
PAY30285,P14046,4663,2020-10-17,Debit,Success
PAY30286,P16083,2501,2021-06-08,Credit,Success
PAY30287,P16446,3164,2024-07-06,Bank Transfer,Failed
PAY30288,P15553,1796,2024-12-27,Bank Transfer,Failed
PAY30289,P10328,1725,2023-08-31,Bank Transfer,Failed
PAY30290,P16194,4478,2025-02-13,Debit,Success
PAY30291,P11685,1278,2022-06-30,Debit,Failed
PAY30292,P11886,4338,2021-02-06,Bank Transfer,Failed
PAY30293,P16023,4010,2025-02-08,Debit,Failed
PAY30294,P15196,1489,2024-01-05,Debit,Success
PAY30295,P10502,4448,2023-07-14,Credit,Failed
PAY30296,P11073,2388,2024-06-29,Bank Transfer,Failed
PAY30297,P17780,1184,2021-04-29,Credit,Success
PAY30298,P15779,2802,2024-05-29,Credit,Failed
PAY30299,P17951,1421,2022-01-21,Credit,Success
PAY30300,P14666,969,2021-08-20,Credit,Success
PAY30301,P15217,1513,2020-10-09,Credit,Success
PAY30302,P10881,2068,2022-02-27,Bank Transfer,Success
PAY30303,P10389,3285,2023-07-11,Debit,Failed
PAY30304,P12660,1317,2021-09-09,Credit,Failed
PAY30305,P11457,4435,2022-01-08,Debit,Failed
PAY30306,P17669,926,2025-04-26,Credit,Success
PAY30307,P10819,741,2023-09-15,Credit,Success
PAY30308,P11178,3695,2020-07-08,Credit,Success
PAY30309,P11792,3643,2020-10-16,Credit,Failed
PAY30310,P12555,3425,2023-12-05,Debit,Success
PAY30311,P12803,4950,2025-05-15,Debit,Success
PAY30312,P11589,1824,2024-10-05,Bank Transfer,Success
PAY30313,P15493,3837,2022-07-29,Debit,Failed
PAY30314,P15790,636,2023-07-23,Bank Transfer,Failed
PAY30315,P13430,2362,2021-08-16,Credit,Failed
PAY30316,P13138,4490,2023-01-24,Debit,Success
PAY30317,P13001,960,2022-10-10,Credit,Failed
PAY30318,P17804,1392,2021-08-10,Debit,Failed
PAY30319,P11761,1585,2022-05-09,Debit,Success
PAY30320,P14837,1183,2024-12-25,Credit,Failed
PAY30321,P13528,1679,2022-05-26,Bank Transfer,Success
PAY30322,P17846,365,2024-04-04,Credit,Failed
PAY30323,P17895,648,2020-10-02,Credit,Failed
PAY30324,P16481,323,2022-10-17,Credit,Success
PAY30325,P16986,3006,2024-08-01,Bank Transfer,Failed
PAY30326,P10461,418,2021-12-31,Credit,Success
PAY30327,P15131,644,2022-06-12,Debit,Success
PAY30328,P15637,4146,2022-05-02,Credit,Failed
PAY30329,P12982,4449,2022-05-10,Debit,Failed
PAY30330,P16795,4202,2022-07-12,Bank Transfer,Failed
PAY30331,P11968,4331,2023-10-30,Debit,Failed
PAY30332,P14359,1552,2020-09-30,Debit,Success
PAY30333,P15789,4934,2021-01-07,Debit,Success
PAY30334,P15814,2221,2022-08-06,Bank Transfer,Success
PAY30335,P10744,4302,2022-07-11,Bank Transfer,Success
PAY30336,P10014,2504,2022-10-28,Bank Transfer,Success
PAY30337,P10508,1941,2021-12-17,Credit,Failed
PAY30338,P16321,2844,2021-01-24,Debit,Failed
PAY30339,P15340,564,2023-04-27,Bank Transfer,Success
PAY30340,P14301,2423,2023-12-09,Credit,Success
PAY30341,P14569,2884,2023-05-10,Bank Transfer,Success
PAY30342,P15570,423,2022-09-03,Bank Transfer,Success
PAY30343,P12616,2082,2023-11-14,Debit,Failed
PAY30344,P12279,1238,2025-02-07,Credit,Failed
PAY30345,P13796,657,2022-04-21,Debit,Success
PAY30346,P13254,4485,2024-10-27,Credit,Success
PAY30347,P15588,4592,2024-06-03,Credit,Success
PAY30348,P13009,2429,2023-11-14,Debit,Failed
PAY30349,P12742,3473,2022-08-05,Debit,Failed
PAY30350,P13207,4282,2024-06-07,Credit,Failed
PAY30351,P14576,462,2021-09-09,Debit,Failed
PAY30352,P14704,3064,2024-08-12,Bank Transfer,Failed
PAY30353,P16841,2882,2022-03-08,Debit,Success
PAY30354,P11487,4738,2020-09-21,Bank Transfer,Success
PAY30355,P13311,3795,2025-03-11,Debit,Success
PAY30356,P16166,2337,2021-12-28,Bank Transfer,Success
PAY30357,P12400,4083,2024-03-11,Credit,Failed
PAY30358,P14349,4465,2024-01-23,Credit,Failed
PAY30359,P15648,838,2024-01-27,Debit,Success
PAY30360,P10122,1716,2025-03-02,Credit,Success
PAY30361,P14612,4398,2022-06-06,Debit,Failed
PAY30362,P12464,2351,2024-09-19,Credit,Success
PAY30363,P15132,2477,2023-06-20,Credit,Failed
PAY30364,P15815,670,2021-01-09,Bank Transfer,Failed
PAY30365,P16581,1634,2022-06-25,Credit,Failed
PAY30366,P15930,2936,2021-05-29,Credit,Failed
PAY30367,P12409,488,2020-07-25,Credit,Success
PAY30368,P16770,869,2021-10-06,Bank Transfer,Failed
PAY30369,P16271,3746,2020-11-02,Bank Transfer,Success
PAY30370,P13093,4155,2021-10-21,Credit,Success
PAY30371,P11007,4446,2023-04-08,Credit,Failed
PAY30372,P14989,4553,2023-05-24,Debit,Failed
PAY30373,P11624,4107,2024-08-09,Credit,Success
PAY30374,P15417,3841,2023-08-15,Debit,Success
PAY30375,P12931,2244,2021-09-13,Debit,Success
PAY30376,P15489,2373,2023-12-30,Credit,Success
PAY30377,P13265,3300,2021-04-03,Debit,Failed
PAY30378,P10990,3074,2024-06-23,Debit,Success
PAY30379,P13769,2214,2025-04-28,Credit,Success
PAY30380,P16427,4158,2022-07-03,Bank Transfer,Success
PAY30381,P11784,1072,2021-11-07,Credit,Failed
PAY30382,P13623,2783,2024-08-04,Credit,Failed
PAY30383,P17400,4297,2025-05-12,Credit,Failed
PAY30384,P12488,808,2023-11-05,Debit,Failed
PAY30385,P14091,1440,2024-02-01,Bank Transfer,Failed
PAY30386,P13095,2051,2023-10-24,Bank Transfer,Success
PAY30387,P17590,4420,2021-10-08,Debit,Failed
PAY30388,P14753,1991,2022-05-10,Debit,Failed
PAY30389,P10012,4074,2022-06-03,Credit,Success
PAY30390,P12759,4048,2023-07-31,Credit,Success
PAY30391,P14721,967,2022-06-22,Bank Transfer,Success
PAY30392,P16921,3324,2023-06-14,Credit,Failed
PAY30393,P15879,3064,2021-04-05,Credit,Failed
PAY30394,P10987,2497,2023-09-07,Bank Transfer,Success
PAY30395,P13250,1257,2022-09-23,Bank Transfer,Success
PAY30396,P16336,1963,2023-11-20,Credit,Success
PAY30397,P12672,1263,2022-12-02,Debit,Failed
PAY30398,P14454,2495,2023-06-02,Bank Transfer,Failed
PAY30399,P12311,3369,2020-07-18,Debit,Failed
PAY30400,P16594,3713,2023-10-09,Bank Transfer,Success
PAY30401,P14021,3938,2021-02-17,Bank Transfer,Success
PAY30402,P10193,1489,2022-12-20,Debit,Failed
PAY30403,P11877,942,2022-02-05,Credit,Success
PAY30404,P14965,1138,2025-03-01,Bank Transfer,Failed
PAY30405,P15144,2091,2025-05-05,Bank Transfer,Success
PAY30406,P14357,4729,2022-04-15,Bank Transfer,Failed
PAY30407,P11794,4911,2024-07-07,Bank Transfer,Success
PAY30408,P17645,756,2022-02-19,Bank Transfer,Success
PAY30409,P17066,645,2023-02-17,Debit,Failed
PAY30410,P17209,2305,2022-07-17,Bank Transfer,Success
PAY30411,P10547,3651,2023-10-25,Debit,Failed
PAY30412,P17424,1032,2024-07-10,Credit,Failed
PAY30413,P15763,3747,2022-02-10,Bank Transfer,Success
PAY30414,P12094,3931,2021-03-30,Debit,Failed
PAY30415,P14551,3588,2022-02-25,Bank Transfer,Success
PAY30416,P13270,2055,2023-04-24,Bank Transfer,Failed
PAY30417,P12858,1467,2025-04-29,Debit,Success
PAY30418,P14286,4863,2021-11-27,Debit,Success
PAY30419,P16157,2624,2023-02-10,Credit,Failed
PAY30420,P13857,4163,2024-03-03,Debit,Failed
PAY30421,P14615,1580,2022-02-02,Credit,Failed
PAY30422,P17554,604,2025-03-31,Bank Transfer,Failed
PAY30423,P10019,3839,2023-07-03,Bank Transfer,Failed
PAY30424,P11084,392,2021-09-30,Credit,Failed
PAY30425,P10799,695,2025-01-17,Bank Transfer,Success
PAY30426,P10788,1788,2021-08-03,Bank Transfer,Failed
PAY30427,P13722,2879,2022-02-20,Debit,Failed
PAY30428,P10597,4578,2020-10-30,Debit,Failed
PAY30429,P14204,4832,2021-11-18,Credit,Failed
PAY30430,P15211,2780,2022-04-25,Bank Transfer,Success
PAY30431,P10921,1056,2024-04-23,Debit,Success
PAY30432,P16510,1539,2020-12-13,Debit,Success
PAY30433,P14098,440,2023-09-05,Credit,Failed
PAY30434,P17269,1583,2021-08-21,Bank Transfer,Failed
PAY30435,P17088,3205,2022-03-17,Bank Transfer,Failed
PAY30436,P11570,2034,2024-08-01,Bank Transfer,Failed
PAY30437,P15281,3239,2021-07-30,Credit,Failed
PAY30438,P10949,4705,2025-01-27,Debit,Failed
PAY30439,P16660,2103,2024-08-03,Bank Transfer,Failed
PAY30440,P13428,341,2021-03-10,Bank Transfer,Success
PAY30441,P16696,3989,2020-10-20,Credit,Failed
PAY30442,P14043,3476,2024-01-26,Bank Transfer,Failed
PAY30443,P15522,449,2023-04-04,Debit,Failed
PAY30444,P12119,3970,2024-04-02,Credit,Failed
PAY30445,P13171,2258,2021-04-11,Credit,Success
PAY30446,P16227,3100,2021-08-07,Credit,Failed
PAY30447,P14447,873,2021-02-06,Credit,Success
PAY30448,P15734,2174,2021-06-11,Bank Transfer,Failed
PAY30449,P16772,3795,2020-12-19,Bank Transfer,Failed
PAY30450,P13795,1815,2023-07-30,Debit,Success
PAY30451,P15664,3776,2022-03-29,Bank Transfer,Success
PAY30452,P14241,681,2021-07-28,Debit,Failed
PAY30453,P10184,3620,2024-09-06,Credit,Success
PAY30454,P15588,2252,2025-02-12,Credit,Failed
PAY30455,P16156,4890,2024-06-15,Bank Transfer,Failed
PAY30456,P12798,1777,2020-11-30,Credit,Failed
PAY30457,P17065,2334,2020-08-07,Bank Transfer,Success
PAY30458,P10984,1563,2024-04-08,Credit,Success
PAY30459,P13651,1867,2022-06-08,Debit,Success
PAY30460,P12036,3624,2024-11-01,Bank Transfer,Failed
PAY30461,P11921,4717,2021-10-17,Debit,Failed
PAY30462,P15074,4533,2024-07-24,Bank Transfer,Success
PAY30463,P12782,314,2020-11-23,Credit,Failed
PAY30464,P16487,2555,2025-04-24,Debit,Failed
PAY30465,P13569,2967,2023-10-12,Debit,Success
PAY30466,P11462,2286,2024-03-14,Bank Transfer,Success
PAY30467,P12377,2444,2020-06-25,Debit,Failed
PAY30468,P13389,2620,2024-06-02,Bank Transfer,Success
PAY30469,P16577,3534,2022-11-07,Debit,Failed
PAY30470,P13274,4818,2022-03-25,Bank Transfer,Success
PAY30471,P16380,3729,2020-07-29,Credit,Success
PAY30472,P11447,2148,2022-01-13,Bank Transfer,Failed
PAY30473,P13036,2425,2025-04-10,Bank Transfer,Failed
PAY30474,P11091,1968,2022-07-11,Bank Transfer,Success
PAY30475,P16641,4057,2021-11-24,Bank Transfer,Failed
PAY30476,P14974,2039,2023-08-30,Bank Transfer,Success
PAY30477,P11444,857,2023-11-16,Debit,Failed
PAY30478,P16695,3104,2023-11-16,Debit,Failed
PAY30479,P17288,2444,2025-01-23,Bank Transfer,Success
PAY30480,P15226,396,2023-10-08,Credit,Failed
PAY30481,P10954,4776,2022-04-24,Bank Transfer,Failed
PAY30482,P13188,2413,2024-08-03,Credit,Success
PAY30483,P12670,2817,2021-05-01,Credit,Failed
PAY30484,P17976,4986,2023-04-09,Credit,Success
PAY30485,P11120,1217,2022-05-02,Debit,Success
PAY30486,P15519,2979,2022-07-17,Bank Transfer,Success
PAY30487,P15041,4866,2021-03-30,Debit,Success
