policyID,customerID,policyType,premium,issueDate,status,coverageAmount,agentID
P10092,C3728,Life,1772,2022-08-21,Expired,272567,A471
P10093,C1707,Home,1637,2021-08-07,Lapsed,377738,A028
P10094,C4479,Home,2399,2024-09-01,Active,310574,A208
P10095,C2396,Life,3880,2022-08-18,Expired,400028,A367
P10096,C0880,Travel,2154,2024-12-28,Lapsed,377184,A186
P10097,C2508,Life,1648,2021-04-21,Active,437419,A360
P10098,C1812,Auto,3091,2024-02-26,Lapsed,240220,A124
P10099,C1164,Life,3854,2020-10-21,Expired,304195,A247
P10100,C2672,Travel,1892,2025-03-25,Expired,20285,A342
P10101,C4153,Health,2996,2020-10-09,Lapsed,216722,A085
P10102,C2444,Health,1371,2021-01-01,Expired,494306,A025
P10103,C4018,Travel,4944,2020-07-09,Active,175845,A021
P10104,C1360,Travel,4028,2020-10-16,Expired,11045,A141
P10105,C3113,Home,2677,2022-07-22,Expired,85991,A322
P10106,C4286,Travel,587,2022-04-14,Expired,168934,A037
P10107,C4654,Life,2969,2024-04-18,Lapsed,457752,A480
P10108,C3142,Travel,3553,2022-12-17,Lapsed,220711,A195
P10109,C2676,Health,2715,2022-10-11,Lapsed,236049,A193
P10110,C0200,Home,3651,2023-11-11,Active,77560,A402
P10111,C1249,Life,3835,2023-10-07,Expired,337303,A215
P10112,C4066,Life,2721,2023-11-18,Lapsed,397582,A079
P10113,C4430,Life,1462,2021-10-21,Lapsed,489248,A354
P10114,C4572,Auto,2648,2022-01-26,Lapsed,442650,A052
P10115,C3062,Health,1458,2020-10-12,Active,409386,A132
P10116,C0327,Health,856,2024-06-28,Lapsed,293032,A486
P10117,C0058,Auto,1151,2024-06-15,Active,202599,A395
P10118,C2360,Life,4781,2024-07-10,Expired,419925,A444
P10119,C3099,Home,447,2021-01-02,Lapsed,456614,A265
P10120,C1682,Life,2278,2022-12-19,Lapsed,341345,A016
P10121,C2687,Home,3792,2021-07-30,Lapsed,389436,A152
P10122,C0451,Health,4852,2022-09-05,Active,441846,A096
P10123,C0863,Auto,2576,2025-05-04,Expired,161841,A223
P10124,C3494,Home,1601,2024-08-09,Lapsed,89546,A132
P10125,C2125,Auto,3428,2020-07-19,Lapsed,51781,A043
P10126,C1266,Auto,4149,2021-07-05,Active,480407,A385
P10127,C3295,Life,2260,2022-06-13,Expired,358376,A170
P10128,C0534,Auto,3492,2023-02-22,Active,331542,A307
P10129,C2474,Home,2509,2023-07-13,Active,125542,A271
P10130,C1522,Auto,4126,2023-02-19,Expired,140102,A209
P10131,C4169,Health,3072,2022-07-29,Lapsed,236321,A301
P10132,C3996,Travel,4860,2021-12-16,Lapsed,332423,A464
P10133,C0603,Travel,1377,2023-04-08,Active,419463,A043
P10134,C4107,Travel,4795,2024-01-21,Active,262109,A040
P10135,C3151,Health,2190,2024-07-18,Expired,341052,A125
P10136,C2396,Home,688,2024-02-08,Expired,452331,A275
P10137,C0533,Travel,1085,2021-04-01,Lapsed,175910,A201
P10138,C1719,Auto,999,2022-07-16,Expired,172997,A442
P10139,C0015,Auto,1220,2021-05-26,Active,348191,A387
P10140,C2894,Home,1758,2023-04-05,Expired,335747,A273
P10141,C0487,Life,4291,2022-02-21,Lapsed,358141,A481
P10142,C4982,Health,4058,2021-06-24,Lapsed,45979,A336
P10143,C0838,Home,4846,2020-07-25,Lapsed,407437,A099
P10144,C1950,Travel,4991,2020-11-28,Expired,384102,A451
P10145,C3112,Travel,4628,2024-02-22,Lapsed,455898,A099
P10146,C2808,Auto,4167,2020-09-02,Expired,243593,A276
P10147,C1114,Health,1722,2023-03-24,Expired,206114,A268
P10148,C0425,Auto,1258,2020-08-20,Active,241498,A076
P10149,C2303,Travel,4650,2024-06-30,Expired,78043,A097
P10150,C0381,Auto,2524,2023-02-07,Expired,156676,A158
P10151,C2486,Health,4132,2024-05-01,Active,245241,A199
P10152,C4413,Auto,1361,2022-03-29,Expired,476043,A160
P10153,C0306,Travel,2519,2020-09-28,Lapsed,136450,A445
P10154,C1443,Travel,4979,2021-01-05,Expired,132350,A324
P10155,C0266,Travel,4176,2021-09-17,Expired,107907,A057
P10156,C0751,Auto,2417,2022-10-02,Lapsed,189768,A314
P10157,C4774,Travel,3480,2022-04-01,Expired,18349,A478
P10158,C4673,Life,1209,2024-11-20,Expired,64621,A275
P10159,C3677,Home,1129,2023-10-01,Lapsed,272820,A006
P10160,C1767,Home,4769,2023-12-27,Active,273591,A141
P10161,C3618,Travel,2305,2021-06-09,Active,353845,A278
P10162,C1308,Auto,4875,2020-12-19,Active,356787,A443
P10163,C1061,Auto,2393,2023-05-24,Expired,103304,A150
P10164,C0659,Life,1510,2023-04-26,Expired,152976,A487
P10165,C0814,Travel,4164,2022-05-23,Lapsed,467067,A367
P10166,C3902,Health,2197,2020-07-11,Expired,166587,A083
P10167,C0710,Auto,4910,2022-07-10,Expired,439206,A208
P10168,C0456,Home,596,2021-09-06,Active,57215,A487
P10169,C0080,Home,1962,2023-01-06,Expired,55469,A361
P10170,C0404,Auto,2937,2024-03-30,Expired,173822,A002
P10171,C0258,Travel,2047,2025-01-15,Lapsed,129258,A085
P10172,C0924,Life,3476,2024-01-04,Active,180488,A130
P10173,C3223,Health,1164,2021-04-07,Lapsed,479166,A306
P10174,C3292,Health,3776,2022-01-14,Expired,389978,A428
P10175,C4628,Auto,2094,2023-05-29,Expired,404098,A229
P10176,C1789,Health,1277,2020-10-01,Expired,228889,A273
P10177,C3251,Life,1445,2020-12-22,Expired,148716,A131
P10178,C1940,Travel,3193,2020-10-27,Lapsed,297070,A215
P10179,C2036,Life,1716,2025-02-08,Lapsed,177625,A341
P10180,C0380,Life,4473,2021-10-25,Lapsed,31610,A095
P10181,C3021,Life,987,2021-09-17,Expired,93220,A056
P10182,C1767,Health,2797,2021-06-22,Active,451882,A366
P10183,C3854,Life,4295,2021-11-05,Expired,238021,A288
P10184,C1952,Travel,3692,2020-10-26,Lapsed,189181,A427
P10185,C2480,Travel,2316,2022-10-04,Expired,139283,A404
P10186,C1586,Home,4985,2024-10-12,Active,223263,A460
P10187,C0790,Health,485,2024-10-17,Lapsed,149205,A419
P10188,C4582,Auto,3965,2023-08-12,Expired,21707,A007
P10189,C0541,Home,4527,2024-07-27,Lapsed,73584,A325
P10190,C0978,Life,2092,2021-06-03,Expired,497368,A237
P10191,C4015,Auto,769,2024-04-10,Active,129594,A241
P10192,C4002,Travel,4435,2023-01-14,Active,139119,A048
P10193,C0633,Life,945,2022-02-09,Lapsed,207258,A182
P10194,C4809,Auto,1802,2021-03-27,Lapsed,473662,A049
P10195,C3372,Health,2016,2021-01-03,Expired,216337,A197
P10196,C3153,Home,3802,2022-04-18,Lapsed,298256,A451
P10197,C2710,Health,1537,2021-01-02,Active,437131,A108
P10198,C1660,Home,3170,2023-11-11,Expired,34238,A363
P10199,C1250,Home,3409,2020-07-02,Expired,292527,A277
P10200,C3323,Travel,4675,2023-09-13,Active,262683,A481
P10201,C2389,Life,3789,2020-08-12,Expired,129793,A327
P10202,C1308,Travel,1606,2025-05-24,Active,43829,A245
P10203,C3416,Life,3681,2025-01-18,Expired,82081,A293
P10204,C3394,Life,2671,2022-07-13,Active,112998,A429
P10205,C4284,Life,585,2024-01-13,Expired,318271,A433
P10206,C1005,Health,2414,2024-03-02,Expired,275166,A110
P10207,C3851,Life,3444,2020-10-18,Lapsed,158791,A035
P10208,C3280,Auto,1772,2022-03-27,Expired,106235,A466
P10209,C4821,Auto,2093,2021-12-05,Active,127138,A404
P10210,C3667,Health,3678,2024-06-30,Expired,359445,A155
P10211,C1208,Life,3140,2021-12-01,Expired,450489,A433
P10212,C1178,Life,4679,2023-11-02,Active,185575,A046
P10213,C3806,Travel,2876,2023-08-27,Lapsed,271845,A071
P10214,C0029,Auto,1084,2024-02-18,Active,316975,A302
P10215,C1236,Health,2725,2021-07-03,Active,194847,A156
P10216,C4290,Life,3379,2025-02-11,Expired,388921,A195
P10217,C0501,Travel,617,2022-05-09,Expired,243537,A426
P10218,C4413,Travel,4787,2025-05-01,Active,241183,A154
P10219,C1335,Travel,1694,2025-04-11,Active,244614,A259
P10220,C2118,Travel,427,2020-07-25,Active,277367,A220
P10221,C2010,Home,4292,2021-03-20,Expired,39438,A288
P10222,C3148,Health,2803,2024-10-03,Active,298743,A007
P10223,C4739,Health,3426,2024-07-20,Lapsed,242587,A345
P10224,C0030,Health,2932,2024-10-06,Lapsed,489527,A273
P10225,C0581,Health,580,2024-10-31,Active,46842,A099
P10226,C1658,Auto,1561,2021-10-29,Expired,328219,A077
P10227,C2218,Life,2307,2024-09-19,Expired,475355,A211
P10228,C4300,Health,2461,2022-09-14,Lapsed,474560,A274
P10229,C1544,Auto,2799,2023-04-18,Lapsed,66782,A022
P10230,C0371,Health,3954,2021-09-02,Active,413276,A465
P10231,C0520,Auto,431,2025-01-23,Expired,120806,A386
P10232,C1962,Life,4950,2022-12-24,Lapsed,194429,A258
P10233,C3623,Health,3792,2024-03-31,Active,98510,A090
P10234,C0226,Home,589,2021-05-19,Active,293486,A253
P10235,C2708,Home,3396,2020-07-12,Expired,185915,A403
P10236,C4564,Auto,1694,2024-09-30,Active,354777,A290
P10237,C2047,Health,3398,2024-05-30,Active,494791,A424
P10238,C1563,Auto,4380,2021-09-26,Lapsed,416487,A068
P10239,C3121,Home,3898,2023-09-23,Active,326093,A144
P10240,C4909,Travel,1419,2020-10-03,Active,43787,A108
P10241,C2976,Auto,3536,2020-12-17,Expired,217385,A328
P10242,C3228,Life,2222,2023-06-29,Active,54479,A048
P10243,C1884,Home,2343,2020-11-07,Active,450945,A024
P10244,C2332,Health,3486,2025-03-13,Lapsed,45401,A106
P10245,C2055,Health,1468,2025-04-01,Expired,106273,A054
P10246,C3810,Travel,576,2025-04-18,Expired,94586,A208
P10247,C3042,Home,532,2021-05-14,Expired,207792,A308
P10248,C0039,Home,1546,2022-03-31,Lapsed,86284,A422
P10249,C0693,Auto,1276,2021-05-02,Expired,262853,A137
P10250,C0068,Home,1913,2023-11-30,Expired,353219,A475
P10251,C4333,Health,3982,2024-11-22,Expired,184774,A107
P10252,C4316,Life,424,2023-04-24,Expired,455330,A353
P10253,C2943,Health,784,2022-11-28,Lapsed,417757,A130
P10254,C1735,Health,3975,2024-11-22,Expired,427803,A061
P10255,C4320,Travel,3095,2021-09-25,Active,226802,A158
P10256,C1871,Travel,1496,2023-11-13,Expired,499362,A432
P10257,C3408,Life,2083,2025-05-14,Lapsed,455086,A007
P10258,C1150,Health,3785,2024-06-13,Active,487571,A427
P10259,C4638,Home,309,2023-12-17,Lapsed,407943,A479
P10260,C0139,Life,1113,2024-12-29,Active,201387,A047
P10261,C3873,Health,1856,2022-07-10,Expired,290568,A483
P10262,C3233,Auto,4307,2022-10-28,Lapsed,468594,A329
P10263,C4835,Health,3458,2024-08-19,Active,349685,A346
P10264,C0683,Travel,3390,2020-09-07,Active,293757,A133
P10265,C3646,Auto,520,2024-08-19,Active,378713,A379
P10266,C1551,Life,414,2022-07-02,Lapsed,105189,A408
P10267,C1055,Home,3404,2023-08-12,Expired,99845,A475
P10268,C0466,Home,4362,2022-06-16,Lapsed,218340,A159
P10269,C1965,Home,834,2023-12-27,Lapsed,474658,A490
P10270,C3665,Health,2072,2021-10-06,Lapsed,141127,A199
P10271,C2228,Health,951,2023-02-06,Active,248645,A300
P10272,C3890,Home,3409,2024-07-29,Expired,451787,A137
P10273,C4360,Travel,3713,2021-01-10,Lapsed,100830,A278
P10274,C4323,Home,3355,2021-10-06,Active,21780,A336
P10275,C3556,Travel,4770,2021-03-02,Active,434760,A323
P10276,C3413,Life,740,2022-07-24,Lapsed,104676,A152
P10277,C3187,Home,1115,2022-02-03,Expired,227959,A428
P10278,C1766,Auto,843,2022-10-15,Active,240914,A106
P10279,C1437,Auto,1707,2024-01-11,Lapsed,48720,A263
P10280,C0273,Travel,1256,2024-03-12,Lapsed,136849,A327
P10281,C1721,Travel,2505,2023-08-24,Lapsed,296156,A381
P10282,C0722,Home,1136,2022-05-12,Lapsed,39015,A397
P10283,C1877,Auto,3513,2020-09-26,Expired,237780,A291
P10284,C3015,Home,3046,2024-01-29,Lapsed,409365,A323
P10285,C3077,Health,3399,2020-12-29,Expired,159820,A001
P10286,C3547,Health,2409,2023-10-24,Lapsed,347553,A236
P10287,C0141,Home,2494,2023-04-01,Active,151148,A263
P10288,C1151,Home,4359,2020-11-12,Active,11604,A485
P10289,C0859,Home,456,2021-08-04,Lapsed,271447,A212
P10290,C2711,Health,3069,2024-01-12,Expired,450162,A133
P10291,C1928,Travel,4663,2020-07-22,Active,215187,A441
P10292,C1751,Travel,4311,2023-01-07,Active,223089,A379
P10293,C4358,Travel,737,2020-10-05,Lapsed,379680,A180
P10294,C2030,Life,4595,2022-08-15,Lapsed,165538,A205
P10295,C4451,Travel,1141,2021-05-27,Active,106259,A390
P10296,C3000,Home,3825,2022-07-28,Expired,488052,A352
P10297,C2129,Auto,4400,2023-09-18,Active,268456,A145
P10298,C0632,Home,2660,2020-09-15,Lapsed,189861,A109
P10299,C1723,Life,4142,2021-09-04,Active,464681,A137
P10300,C2789,Health,2632,2025-04-18,Expired,485201,A296
P10301,C1414,Health,3193,2021-11-18,Active,459609,A393
P10302,C0495,Home,1864,2021-06-28,Lapsed,280495,A427
P10303,C0491,Life,4670,2021-01-26,Lapsed,377747,A242
P10304,C0743,Health,1387,2024-01-15,Lapsed,434363,A211
P10305,C0517,Home,1639,2021-08-12,Expired,377352,A366
P10306,C3324,Life,1465,2021-10-08,Active,120115,A087
P10307,C3311,Life,878,2023-09-18,Lapsed,392652,A093
P10308,C4235,Auto,2379,2024-07-16,Lapsed,144245,A264
P10309,C2729,Health,2766,2021-11-16,Expired,283668,A165
P10310,C1574,Health,2800,2024-05-08,Lapsed,57671,A230
P10311,C2683,Life,4751,2025-03-23,Expired,406329,A371
P10312,C4968,Life,2872,2021-07-03,Expired,235941,A375
P10313,C1728,Auto,1082,2024-02-07,Lapsed,434465,A266
P10314,C0583,Auto,3217,2024-04-16,Active,260716,A282
P10315,C3752,Life,3767,2024-12-22,Lapsed,100619,A111
P10316,C3889,Travel,3850,2023-06-19,Lapsed,376865,A153
P10317,C0908,Auto,958,2022-03-27,Lapsed,119093,A111
P10318,C1330,Auto,3419,2024-08-27,Expired,51554,A400
P10319,C0597,Life,3779,2025-02-23,Expired,472405,A393
P10320,C3239,Travel,3629,2023-12-10,Expired,448685,A500
P10321,C1473,Life,4377,2025-02-05,Expired,160318,A325
P10322,C2092,Travel,814,2023-12-03,Active,180379,A331
P10323,C2385,Life,2268,2022-06-26,Active,291472,A250
P10324,C0286,Health,506,2024-08-07,Lapsed,189624,A029
P10325,C2499,Auto,2917,2022-01-19,Expired,142459,A315
P10326,C1273,Travel,3214,2024-09-27,Lapsed,485642,A416
P10327,C4231,Life,3887,2025-02-22,Expired,371355,A104
P10328,C2623,Travel,367,2024-04-03,Expired,323816,A202
P10329,C1798,Home,2461,2023-11-03,Expired,495047,A218
P10330,C4042,Health,986,2022-06-01,Expired,26944,A093
P10331,C1031,Health,920,2022-10-30,Lapsed,79810,A064
P10332,C0060,Travel,2786,2023-11-22,Expired,65027,A481
P10333,C2445,Home,3815,2020-08-28,Active,289570,A246
P10334,C3140,Travel,3304,2021-02-22,Active,198540,A067
P10335,C4170,Travel,1284,2023-03-08,Expired,104171,A227
P10336,C1361,Home,2209,2020-12-27,Lapsed,165394,A023
P10337,C4969,Health,2155,2023-12-31,Lapsed,149912,A481
P10338,C0670,Health,1253,2023-09-20,Active,229721,A150
P10339,C0500,Health,824,2022-06-11,Lapsed,106898,A441
P10340,C4317,Auto,3765,2021-01-14,Expired,306800,A324
P10341,C4425,Auto,1350,2022-04-02,Active,481904,A369
P10342,C4758,Home,3716,2024-03-25,Lapsed,174878,A492
P10343,C4289,Health,962,2020-12-18,Expired,301360,A235
P10344,C3032,Home,1859,2022-07-01,Active,319471,A328
P10345,C4750,Health,1275,2023-05-15,Active,131438,A053
P10346,C4395,Home,606,2024-10-31,Active,248475,A398
P10347,C2053,Home,647,2021-11-06,Expired,295014,A063
P10348,C1053,Life,3218,2024-04-04,Expired,160638,A403
P10349,C1746,Travel,2939,2021-10-21,Lapsed,44150,A332
P10350,C3008,Health,1517,2020-10-14,Expired,61330,A049
P10351,C1915,Travel,1565,2024-04-28,Expired,299134,A421
P10352,C3102,Auto,1825,2024-12-25,Expired,409077,A243
P10353,C0706,Life,2017,2023-02-16,Active,148442,A267
P10354,C1103,Health,4410,2022-10-03,Expired,311655,A318
P10355,C4863,Home,2325,2021-01-28,Expired,122038,A045
P10356,C2329,Health,1492,2020-09-11,Active,133286,A144
P10357,C2931,Life,4032,2025-02-14,Lapsed,418889,A102
P10358,C1906,Health,1100,2021-11-02,Active,102173,A417
P10359,C3041,Auto,4069,2023-04-28,Expired,403083,A192
P10360,C1362,Home,2302,2022-03-24,Expired,194591,A135
P10361,C2762,Life,4519,2020-11-12,Lapsed,87738,A084
P10362,C3466,Travel,1377,2024-12-11,Expired,344171,A428
P10363,C1009,Auto,3485,2023-12-02,Lapsed,382438,A170
P10364,C2747,Auto,980,2024-06-25,Active,409480,A429
P10365,C1272,Travel,3144,2021-10-08,Expired,488186,A364
P10366,C3941,Travel,3644,2025-03-22,Active,169264,A365
P10367,C4013,Health,2159,2022-07-22,Active,457300,A189
P10368,C1476,Health,765,2021-09-23,Expired,25678,A219
P10369,C0373,Home,614,2021-12-22,Active,427637,A413
P10370,C2019,Home,4415,2024-01-07,Active,277587,A113
P10371,C0922,Life,3765,2021-01-02,Expired,273066,A176
P10372,C1881,Health,2966,2024-07-09,Active,384399,A036
P10373,C4518,Health,1825,2024-11-07,Active,379778,A384
P10374,C4683,Home,3515,2023-04-28,Expired,55036,A215
P10375,C0057,Health,1752,2020-08-31,Active,296467,A103
P10376,C0258,Home,3718,2024-03-19,Active,403878,A220
P10377,C3135,Home,4388,2023-03-08,Expired,99814,A171
P10378,C2319,Health,3902,2024-12-05,Lapsed,199806,A480
P10379,C1011,Health,1688,2022-12-28,Active,210338,A101
P10380,C4739,Home,3515,2025-05-06,Lapsed,149397,A196
P10381,C0510,Health,868,2024-06-06,Expired,495495,A073
P10382,C0720,Home,1556,2022-08-07,Lapsed,39063,A310
P10383,C0144,Health,4106,2020-08-30,Lapsed,124971,A465
P10384,C0094,Auto,2460,2024-06-15,Expired,343551,A215
P10385,C2126,Health,1035,2022-11-14,Expired,34205,A186
P10386,C1006,Health,1227,2022-09-23,Expired,84775,A305
P10387,C1560,Life,2295,2025-06-15,Expired,373619,A334
P10388,C1293,Travel,1613,2022-01-10,Expired,333242,A230
P10389,C1487,Auto,3514,2022-01-23,Lapsed,131929,A301
P10390,C0568,Health,4516,2021-08-25,Expired,353577,A387
P10391,C3278,Health,810,2024-03-12,Lapsed,207090,A234
P10392,C4728,Health,4886,2020-11-14,Expired,350932,A471
P10393,C4295,Auto,4626,2021-08-14,Active,375141,A366
P10394,C3304,Home,303,2023-11-07,Lapsed,317305,A067
P10395,C4484,Health,1277,2020-11-16,Lapsed,106468,A449
P10396,C3341,Auto,1385,2021-08-28,Lapsed,373306,A485
P10397,C2425,Travel,1698,2024-10-01,Active,426533,A299
P10398,C0492,Travel,2598,2025-06-08,Active,355592,A106
P10399,C2978,Health,1016,2022-04-23,Expired,122530,A451
P10400,C2540,Travel,4513,2024-06-21,Lapsed,99968,A305
P10401,C1708,Travel,1705,2023-02-13,Active,299148,A234
P10402,C1424,Travel,3718,2022-04-16,Expired,274856,A493
P10403,C1139,Life,884,2021-04-18,Active,364451,A070
P10404,C3611,Home,4567,2023-07-08,Expired,316831,A460
P10405,C4351,Health,3852,2023-10-11,Lapsed,174807,A011
P10406,C4624,Travel,2302,2022-03-09,Active,231569,A204
P10407,C3520,Life,4667,2024-06-30,Active,251478,A277
P10408,C4393,Home,3140,2020-11-22,Expired,208537,A167
P10409,C2007,Travel,420,2020-12-09,Expired,123936,A089
P10410,C2607,Travel,1379,2021-08-22,Lapsed,234783,A084
P10411,C0104,Auto,1762,2022-12-14,Active,30783,A020
P10412,C0291,Auto,4932,2020-06-22,Expired,75973,A233
P10413,C0788,Health,3059,2024-12-10,Lapsed,465986,A432
P10414,C0588,Health,1742,2020-09-09,Expired,262419,A253
P10415,C4929,Home,2464,2023-05-14,Expired,297913,A411
P10416,C1518,Health,1068,2024-06-19,Active,16045,A284
P10417,C3787,Health,1176,2023-02-05,Lapsed,10168,A046
P10418,C1455,Home,3703,2024-10-12,Lapsed,43631,A004
P10419,C3967,Home,4143,2021-04-25,Expired,385755,A195
P10420,C4282,Travel,3816,2020-09-11,Active,273410,A124
P10421,C0989,Home,2687,2025-02-02,Active,190681,A087
P10422,C2353,Health,4142,2024-06-21,Active,140436,A122
P10423,C0889,Travel,1465,2023-03-19,Expired,480533,A395
P10424,C0327,Auto,1398,2023-02-18,Lapsed,388374,A382
P10425,C0345,Life,3160,2024-04-10,Lapsed,150980,A106
P10426,C4887,Auto,3138,2021-02-08,Expired,315808,A409
P10427,C3632,Home,2452,2020-10-23,Lapsed,224820,A118
P10428,C2175,Life,4351,2022-09-08,Lapsed,84269,A441
P10429,C2709,Travel,1029,2020-07-17,Active,427953,A031
P10430,C3073,Auto,436,2023-09-06,Lapsed,290789,A080
P10431,C4815,Home,4407,2022-10-04,Expired,206947,A133
P10432,C0716,Home,3582,2022-10-20,Lapsed,204215,A332
P10433,C1950,Home,778,2024-04-16,Active,336736,A016
P10434,C3273,Life,2551,2021-04-11,Lapsed,223984,A075
P10435,C1844,Health,2269,2024-03-12,Expired,82399,A436
P10436,C2338,Home,1568,2020-12-31,Active,358797,A196
P10437,C2730,Travel,1219,2023-03-30,Expired,128133,A088
P10438,C0776,Health,623,2022-05-16,Expired,202272,A348
P10439,C0955,Travel,1133,2024-10-27,Active,193606,A493
P10440,C3014,Home,3518,2021-03-13,Lapsed,430757,A060
