gradeID,enrollmentID,grade,gradeDate
G20170,E10701,B,2022-03-15
G20171,E13483,C,2021-04-28
G20172,E14056,C,2024-07-16
G20173,E13621,F,2020-08-16
G20174,E13995,F,2024-03-05
G20175,E13348,A,2022-12-30
G20176,E13293,F,2024-12-10
G20177,E14877,B,2024-06-22
G20178,E10785,B,2022-11-05
G20179,E14071,B,2025-03-15
G20180,E13254,A,2021-10-18
G20181,E11847,C,2022-06-27
G20182,E12198,D,2022-09-26
G20183,E14908,F,2023-04-24
G20184,E12957,A,2022-03-11
G20185,E15316,A,2023-01-18
G20186,E13610,D,2024-11-14
G20187,E12775,A,2025-01-10
G20188,E13388,B,2024-02-03
G20189,E13998,F,2024-03-22
G20190,E11053,B,2020-07-30
G20191,E10911,A,2022-10-04
G20192,E15057,B,2021-05-23
G20193,E11997,D,2024-12-13
G20194,E12870,F,2022-03-03
G20195,E14857,B,2025-06-09
G20196,E10851,C,2022-05-30
G20197,E13599,D,2021-03-07
G20198,E10418,F,2022-06-05
G20199,E13305,F,2020-11-03
G20200,E15218,A,2023-04-06
G20201,E12821,F,2023-08-27
G20202,E12308,C,2021-02-02
G20203,E11563,C,2023-04-24
G20204,E14199,F,2022-04-01
G20205,E14582,B,2025-02-10
G20206,E13070,A,2022-08-13
G20207,E13498,B,2020-11-14
G20208,E10305,B,2023-04-30
G20209,E10829,F,2025-01-10
G20210,E15730,A,2022-12-29
G20211,E11657,C,2023-09-28
G20212,E11225,C,2022-03-05
G20213,E13740,B,2021-08-28
G20214,E10789,F,2021-03-12
G20215,E15568,B,2023-11-29
G20216,E13545,D,2021-03-08
G20217,E13911,C,2024-06-06
G20218,E12422,B,2024-12-15
G20219,E14616,A,2022-02-19
G20220,E11630,F,2022-08-17
G20221,E13572,C,2023-09-12
G20222,E11505,B,2021-09-13
G20223,E15925,F,2022-11-16
G20224,E15538,D,2024-04-08
G20225,E15817,A,2021-03-29
G20226,E11994,D,2021-03-25
G20227,E11579,F,2023-02-11
G20228,E10060,A,2020-10-02
G20229,E10056,D,2023-07-24
G20230,E14551,B,2022-09-12
G20231,E10075,A,2022-08-18
G20232,E13477,C,2021-08-06
G20233,E12724,B,2023-10-20
G20234,E14391,B,2022-08-24
G20235,E12329,C,2022-01-31
G20236,E13638,C,2025-02-01
G20237,E12967,A,2023-06-29
G20238,E13817,F,2023-04-22
G20239,E15620,B,2024-11-01
G20240,E13726,C,2024-01-29
G20241,E13646,D,2025-01-03
G20242,E12864,A,2024-06-16
G20243,E11936,B,2021-04-27
G20244,E10143,B,2023-05-04
G20245,E14754,D,2023-10-09
G20246,E10898,D,2022-07-28
G20247,E11606,A,2021-07-16
G20248,E13351,D,2024-10-05
G20249,E14796,A,2023-08-10
G20250,E10904,B,2020-12-09
G20251,E14741,B,2020-11-14
G20252,E11104,D,2022-06-06
G20253,E12315,D,2024-03-20
G20254,E14314,B,2023-06-19
G20255,E11529,C,2023-07-28
G20256,E14542,B,2021-06-15
G20257,E12008,A,2024-04-23
G20258,E11627,D,2023-03-06
G20259,E10895,F,2022-07-17
G20260,E10542,A,2024-08-25
G20261,E10926,B,2023-10-07
G20262,E10669,D,2021-09-16
G20263,E15302,D,2021-01-22
G20264,E12506,D,2020-10-22
G20265,E14145,B,2023-10-27
G20266,E15198,B,2021-07-23
G20267,E15557,A,2024-01-10
G20268,E10985,A,2023-06-05
G20269,E11105,B,2021-07-30
G20270,E13279,A,2021-07-27
G20271,E14919,D,2022-08-17
G20272,E14662,F,2021-08-15
G20273,E14399,C,2020-07-28
G20274,E14525,C,2021-08-19
G20275,E11481,F,2024-10-30
G20276,E15037,B,2025-05-28
G20277,E15325,D,2024-04-28
G20278,E10645,D,2021-12-16
G20279,E13473,F,2024-06-04
G20280,E15949,F,2022-09-03
G20281,E10948,A,2023-08-26
G20282,E15929,A,2025-05-16
G20283,E13327,B,2023-03-23
G20284,E12228,D,2024-11-09
G20285,E15560,B,2024-03-12
G20286,E12958,C,2021-07-03
G20287,E13157,A,2024-06-12
G20288,E12529,D,2024-07-23
G20289,E11255,D,2023-11-08
G20290,E11755,A,2024-10-06
G20291,E14324,B,2020-09-07
G20292,E15045,B,2021-11-22
G20293,E12204,D,2025-04-25
G20294,E10158,C,2021-09-20
G20295,E12256,B,2022-10-25
G20296,E12901,B,2021-10-15
G20297,E14732,B,2024-08-25
G20298,E12264,F,2022-05-25
G20299,E15539,B,2022-01-19
G20300,E12152,B,2022-09-23
G20301,E10844,C,2025-01-25
G20302,E15571,D,2024-01-23
G20303,E15046,C,2022-09-01
G20304,E14217,B,2023-09-15
G20305,E14388,A,2024-07-10
G20306,E14323,B,2022-12-20
G20307,E11720,C,2023-10-14
G20308,E15804,A,2020-06-20
G20309,E11328,F,2025-01-04
G20310,E14339,C,2022-06-27
G20311,E11292,B,2020-08-24
G20312,E15035,D,2020-08-07
G20313,E11154,D,2025-06-09
G20314,E14105,F,2021-10-21
G20315,E12531,A,2023-09-13
G20316,E11923,D,2022-09-21
G20317,E11554,F,2020-10-29
G20318,E11645,B,2023-01-29
G20319,E11106,A,2021-09-25
G20320,E10202,A,2021-01-21
G20321,E11744,B,2021-12-30
G20322,E12903,D,2024-10-15
G20323,E12617,C,2024-07-02
G20324,E15829,D,2023-05-25
G20325,E15221,C,2023-12-26
G20326,E12297,A,2022-07-20
G20327,E13012,B,2022-05-03
G20328,E13905,B,2023-10-04
G20329,E11526,A,2022-04-10
G20330,E15251,F,2024-07-02
G20331,E12802,F,2021-01-19
G20332,E14869,C,2023-11-13
G20333,E15946,D,2021-07-02
G20334,E15888,A,2022-04-04
G20335,E11619,D,2023-11-17
G20336,E11352,F,2022-05-22
G20337,E13337,F,2021-12-01
G20338,E11774,F,2024-11-10
G20339,E11043,C,2024-02-22
G20340,E10781,B,2021-07-12
G20341,E14853,C,2025-03-08
G20342,E12997,B,2025-06-07
G20343,E10966,C,2021-05-28
G20344,E15426,C,2021-03-25
G20345,E11089,B,2024-07-29
G20346,E12247,B,2020-11-04
G20347,E14395,C,2023-12-10
G20348,E15954,B,2021-08-11
G20349,E15640,F,2020-08-05
G20350,E11086,B,2022-07-25
G20351,E14145,D,2023-12-08
G20352,E13740,F,2024-07-26
G20353,E12113,F,2020-10-18
G20354,E11646,F,2025-01-24
G20355,E14059,A,2021-06-12
G20356,E15181,C,2024-01-01
G20357,E10809,B,2021-04-26
G20358,E13997,F,2023-12-15
G20359,E10267,A,2025-06-07
G20360,E11753,F,2020-10-21
G20361,E15839,F,2022-10-25
G20362,E15945,C,2022-10-19
G20363,E10915,B,2023-07-09
G20364,E13637,C,2023-02-25
G20365,E12534,B,2020-06-19
G20366,E11444,F,2022-10-21
G20367,E15476,F,2022-04-18
G20368,E14686,A,2024-12-09
G20369,E14050,C,2024-05-26
G20370,E11527,B,2024-08-05
G20371,E11540,B,2024-09-02
G20372,E15511,D,2021-01-28
G20373,E14498,A,2024-10-08
G20374,E10488,D,2021-04-27
G20375,E11041,B,2023-01-10
G20376,E15137,A,2022-11-24
G20377,E12506,B,2025-03-25
G20378,E11377,D,2020-07-05
G20379,E14092,F,2024-12-31
G20380,E15596,C,2021-12-29
G20381,E13102,F,2021-07-27
G20382,E14333,C,2021-02-09
G20383,E12292,C,2021-01-23
G20384,E14082,B,2024-03-05
G20385,E15919,B,2020-07-05
G20386,E15578,A,2022-10-06
G20387,E14921,C,2025-01-03
G20388,E11145,B,2022-06-12
G20389,E13524,D,2023-09-28
G20390,E11749,F,2024-08-15
G20391,E12196,A,2023-11-13
G20392,E13704,C,2022-10-15
G20393,E12054,A,2023-10-04
G20394,E12217,B,2021-01-22
G20395,E11872,D,2021-09-26
G20396,E13077,F,2020-11-09
G20397,E11602,F,2021-05-29
G20398,E13481,B,2022-12-07
G20399,E15130,D,2024-07-23
G20400,E15186,F,2023-11-09
G20401,E14065,B,2022-03-16
G20402,E15111,F,2022-01-23
G20403,E15066,F,2024-03-24
G20404,E13097,D,2021-06-18
G20405,E11083,C,2023-07-10
G20406,E15664,D,2024-07-15
G20407,E11911,C,2024-09-05
G20408,E11391,C,2024-10-02
G20409,E11721,D,2024-11-17
G20410,E13463,D,2023-05-27
G20411,E11286,B,2023-12-14
G20412,E12315,F,2025-03-22
G20413,E12842,C,2022-02-02
G20414,E10632,A,2021-12-02
G20415,E12792,D,2022-01-14
G20416,E13112,D,2023-09-10
G20417,E13193,F,2024-01-10
G20418,E13977,B,2025-06-06
G20419,E15534,D,2022-04-27
G20420,E11332,A,2021-12-27
G20421,E13223,F,2020-08-19
G20422,E14254,A,2022-04-30
G20423,E11008,B,2024-09-18
G20424,E13900,D,2022-02-18
G20425,E13186,B,2022-01-17
G20426,E12536,A,2021-08-11
G20427,E10595,F,2024-07-19
G20428,E10311,F,2022-04-07
G20429,E10747,C,2021-03-18
G20430,E10596,D,2022-04-13
G20431,E13182,A,2022-02-11
G20432,E14664,D,2021-07-08
G20433,E13803,A,2021-04-29
G20434,E15081,C,2021-06-09
G20435,E14076,A,2024-06-16
G20436,E15983,C,2020-11-01
G20437,E12009,F,2024-04-17
G20438,E11165,C,2020-07-19
G20439,E15793,F,2024-09-13
G20440,E14010,B,2022-12-20
G20441,E14568,B,2022-03-21
G20442,E13149,F,2023-07-05
G20443,E11737,D,2025-03-17
G20444,E15938,A,2023-02-26
G20445,E11858,C,2023-03-22
G20446,E13849,A,2024-04-15
G20447,E14656,B,2021-11-16
G20448,E13637,C,2023-01-04
G20449,E11790,A,2024-11-19
G20450,E15978,A,2024-10-30
G20451,E14230,C,2025-01-31
G20452,E12467,A,2024-12-25
G20453,E11098,B,2022-06-23
G20454,E13824,F,2020-12-01
G20455,E12456,B,2023-07-12
G20456,E14116,F,2022-12-18
G20457,E13394,D,2020-09-01
G20458,E12710,D,2021-03-19
G20459,E10864,C,2023-03-18
G20460,E14788,D,2021-11-23
G20461,E12128,C,2022-05-01
G20462,E15471,D,2023-08-08
G20463,E13953,F,2025-05-28
G20464,E13458,F,2020-12-24
G20465,E15972,D,2021-03-27
G20466,E15228,F,2023-11-09
G20467,E11039,D,2025-02-08
G20468,E11968,D,2023-02-20
G20469,E15738,B,2022-06-03
G20470,E13835,A,2021-10-06
G20471,E14060,A,2024-03-05
G20472,E12361,C,2023-08-26
G20473,E10275,B,2024-03-05
G20474,E13118,F,2023-06-15
G20475,E13600,C,2023-04-03
G20476,E10775,B,2023-10-11
G20477,E12227,F,2025-03-15
G20478,E12663,D,2021-06-30
G20479,E14696,B,2021-08-21
G20480,E15241,A,2023-10-14
G20481,E12425,C,2021-11-11
G20482,E10685,D,2022-07-24
G20483,E11905,D,2021-10-06
G20484,E15050,F,2021-08-13
G20485,E10619,B,2024-12-16
G20486,E11227,B,2022-10-28
G20487,E10404,F,2021-12-30
G20488,E13975,B,2023-08-01
G20489,E12994,B,2021-10-23
G20490,E14120,D,2025-02-06
G20491,E10894,A,2025-04-12
G20492,E13130,A,2021-04-09
G20493,E15468,F,2022-12-12
G20494,E11076,B,2025-01-01
G20495,E15249,F,2024-03-29
G20496,E13635,C,2024-04-20
G20497,E12417,D,2021-07-15
G20498,E15355,F,2025-04-30
G20499,E12576,B,2020-10-19
G20500,E11906,D,2025-01-24
G20501,E14211,C,2022-09-28
G20502,E13893,F,2021-08-28
G20503,E13826,C,2023-07-08
G20504,E11386,A,2024-04-11
G20505,E11572,F,2023-11-18
G20506,E12944,A,2022-12-15
G20507,E15901,D,2023-01-30
G20508,E12327,B,2023-11-08
G20509,E10151,F,2020-09-14
G20510,E12135,F,2024-08-28
G20511,E11008,B,2023-11-29
G20512,E12013,D,2023-05-19
G20513,E14999,F,2022-10-03
G20514,E15417,A,2024-01-28
G20515,E12428,D,2020-11-05
G20516,E12919,C,2025-05-05
G20517,E13088,C,2023-01-06
G20518,E10936,C,2020-10-12
G20519,E12519,B,2023-05-07
G20520,E14138,F,2021-06-16
G20521,E10443,D,2022-06-20
G20522,E10785,B,2022-02-11
G20523,E15560,C,2024-04-13
G20524,E10061,F,2024-09-13
G20525,E14847,F,2024-05-10
G20526,E14132,F,2021-12-07
G20527,E13951,B,2021-06-21
G20528,E10187,D,2021-12-24
G20529,E11163,D,2022-07-20
G20530,E13456,C,2025-05-27
G20531,E14565,F,2020-07-07
G20532,E11569,D,2023-04-23
G20533,E11477,F,2021-06-15
G20534,E13388,D,2021-04-03
G20535,E14097,C,2022-10-24
G20536,E10659,B,2022-05-14
G20537,E10736,F,2020-07-16
G20538,E15252,C,2022-10-21
G20539,E10564,D,2023-02-16
G20540,E13370,A,2021-09-22
G20541,E14696,A,2024-06-26
G20542,E10865,B,2024-08-30
G20543,E10240,A,2023-01-21
G20544,E14631,A,2024-03-21
G20545,E11715,A,2023-03-12
G20546,E14187,C,2025-04-23
G20547,E13695,F,2024-12-26
G20548,E14345,A,2024-08-26
G20549,E12048,B,2023-11-30
G20550,E11283,F,2023-11-27
G20551,E13308,A,2023-12-20
G20552,E14084,C,2023-08-04
G20553,E14736,D,2020-12-17
G20554,E10621,D,2024-07-12
G20555,E15755,B,2021-03-02
G20556,E11339,B,2025-02-27
G20557,E11357,B,2021-01-17
G20558,E10676,C,2021-07-26
G20559,E10197,A,2020-11-19
G20560,E10695,B,2022-10-07
G20561,E10884,C,2025-01-16
G20562,E14156,C,2024-10-05
G20563,E15087,D,2023-10-12
G20564,E13970,B,2023-05-24
G20565,E14003,C,2024-12-16
G20566,E11806,B,2023-07-07
G20567,E15120,B,2021-05-11
G20568,E12924,A,2022-02-17
G20569,E10595,B,2022-10-01
G20570,E14237,F,2021-04-25
G20571,E10839,C,2021-06-25
G20572,E13691,A,2024-08-19
G20573,E13349,D,2024-12-20
G20574,E12861,F,2022-12-14
G20575,E14376,B,2023-04-08
G20576,E13309,A,2021-08-24
G20577,E12745,D,2023-01-08
G20578,E13016,B,2024-01-16
G20579,E14286,F,2022-08-15
G20580,E10197,A,2021-11-04
G20581,E11779,B,2025-05-13
G20582,E12630,D,2023-07-14
G20583,E15699,F,2025-04-05
G20584,E11493,D,2024-12-18
G20585,E14258,D,2023-06-16
G20586,E15310,A,2021-12-25
G20587,E13501,D,2021-05-09
G20588,E12502,A,2023-09-11
G20589,E11782,B,2022-08-14
G20590,E12630,C,2023-04-21
G20591,E13038,F,2021-12-31
G20592,E15903,A,2022-01-22
G20593,E15149,B,2022-10-18
G20594,E14347,A,2022-07-29
G20595,E11555,D,2025-01-07
G20596,E15292,B,2021-08-11
G20597,E10587,A,2020-08-14
G20598,E14704,D,2024-01-02
G20599,E12535,C,2023-08-22
G20600,E13534,D,2021-06-30
G20601,E11437,A,2022-09-16
G20602,E11309,F,2020-11-29
G20603,E13916,A,2022-09-13
G20604,E14954,C,2020-08-06
G20605,E13152,A,2024-01-29
G20606,E10714,D,2023-09-10
G20607,E11952,D,2022-11-07
G20608,E14483,B,2022-01-04
G20609,E13062,F,2025-01-30
G20610,E10493,F,2020-10-25
G20611,E12305,A,2024-08-09
G20612,E12892,C,2022-02-22
G20613,E15922,B,2020-08-24
G20614,E12849,D,2021-03-08
G20615,E12518,D,2022-07-20
G20616,E12050,A,2023-02-21
G20617,E15210,C,2020-09-29
G20618,E13906,D,2024-03-13
G20619,E13854,C,2022-08-17
G20620,E10973,C,2021-04-08
G20621,E14437,C,2023-05-27
G20622,E10844,D,2023-03-17
G20623,E12903,D,2024-11-26
G20624,E12029,A,2023-03-28
G20625,E15549,C,2023-06-06
G20626,E11004,D,2022-09-20
G20627,E11543,F,2020-10-14
G20628,E11175,D,2022-11-14
G20629,E15782,B,2021-04-09
G20630,E11749,B,2023-04-23
G20631,E12418,A,2024-08-22
G20632,E12813,B,2023-10-01
G20633,E10242,D,2020-09-27
G20634,E15478,F,2025-02-06
G20635,E10510,B,2021-08-11
G20636,E10903,A,2022-01-16
G20637,E12166,F,2024-11-25
G20638,E13269,C,2022-06-19
G20639,E12307,F,2022-08-04
G20640,E13704,F,2021-07-22
G20641,E15235,A,2022-10-19
G20642,E11350,F,2022-11-25
G20643,E10006,D,2022-11-25
G20644,E10056,A,2022-03-04
G20645,E13425,A,2021-06-12
G20646,E10660,F,2020-08-15
G20647,E15810,F,2024-06-13
G20648,E13356,B,2022-10-27
G20649,E13493,A,2023-03-12
G20650,E11105,D,2021-05-02
G20651,E14531,D,2024-02-26
G20652,E14111,B,2023-10-04
G20653,E10947,A,2024-04-17
G20654,E12781,C,2022-02-20
G20655,E10762,C,2021-08-15
G20656,E12631,D,2021-10-05
G20657,E15502,A,2023-01-12
G20658,E10637,A,2021-11-04
G20659,E10277,F,2021-05-04
G20660,E11711,D,2020-12-14
G20661,E13525,A,2023-09-06
G20662,E14408,C,2024-12-04
G20663,E15549,F,2022-11-04
G20664,E12868,B,2020-08-23
G20665,E12347,B,2025-01-23
G20666,E10349,F,2023-01-27
G20667,E11467,C,2024-01-31
G20668,E15641,D,2021-01-19
G20669,E11791,F,2023-12-01
G20670,E15630,F,2024-05-17
G20671,E12942,C,2025-03-22
G20672,E15006,F,2022-05-01
G20673,E11649,C,2025-04-01
G20674,E11946,F,2021-10-15
G20675,E13451,B,2022-08-04
G20676,E13367,F,2022-07-22
G20677,E12708,C,2021-11-30
G20678,E10876,F,2021-10-21
G20679,E11104,F,2023-03-27
G20680,E15193,B,2023-09-19
G20681,E15524,A,2021-07-08
G20682,E11873,C,2023-03-19
G20683,E11254,A,2023-05-04
G20684,E14543,A,2020-12-10
G20685,E15958,D,2024-11-22
G20686,E15662,A,2021-12-02
G20687,E15363,F,2021-06-29
G20688,E15332,B,2021-02-19
G20689,E15074,B,2021-09-13
G20690,E14669,B,2025-04-22
G20691,E10616,B,2024-06-21
G20692,E12964,C,2022-04-15
G20693,E14840,C,2022-01-14
G20694,E14969,D,2023-09-16
G20695,E13645,F,2023-02-27
G20696,E14395,A,2022-08-23
G20697,E15042,A,2024-05-11
G20698,E15378,C,2022-08-10
G20699,E11241,F,2022-08-24
G20700,E12346,F,2024-12-22
G20701,E15014,D,2022-07-03
G20702,E13115,C,2021-04-14
G20703,E15702,F,2021-08-10
G20704,E14110,B,2024-11-02
G20705,E10039,B,2020-09-01
G20706,E11143,B,2020-12-08
G20707,E12603,B,2024-06-29
G20708,E10716,D,2025-03-13
G20709,E15937,B,2025-03-16
G20710,E13272,C,2024-11-22
G20711,E13040,D,2025-05-02
G20712,E13987,D,2022-11-12
G20713,E13501,A,2025-04-19
G20714,E12196,C,2025-03-20
G20715,E15798,C,2023-06-03
G20716,E15442,C,2021-08-14
G20717,E14759,F,2022-08-02
G20718,E14589,F,2024-03-30
G20719,E13490,F,2024-12-10
G20720,E15538,B,2023-02-13
G20721,E14286,D,2022-04-02
G20722,E14462,D,2021-05-28
G20723,E12423,A,2022-04-05
G20724,E15756,D,2020-10-08
G20725,E11182,B,2021-06-28
G20726,E10760,A,2020-06-27
G20727,E11726,C,2021-05-16
G20728,E10035,D,2021-06-12
G20729,E10040,B,2021-05-20
G20730,E14113,B,2025-04-06
G20731,E15098,D,2023-08-17
G20732,E15535,D,2023-05-01
G20733,E13769,A,2022-11-01
G20734,E14118,A,2020-07-10
G20735,E14355,B,2021-02-09
G20736,E15009,C,2023-04-30
G20737,E14751,D,2025-05-23
G20738,E11338,F,2025-04-14
G20739,E14952,C,2023-01-19
G20740,E11786,C,2021-08-13
G20741,E15574,D,2023-07-19
G20742,E13701,F,2020-07-31
G20743,E14918,B,2023-09-29
G20744,E11382,B,2025-05-23
G20745,E10564,D,2024-03-24
G20746,E12761,B,2025-03-27
G20747,E15690,F,2023-09-13
G20748,E10099,C,2021-03-03
G20749,E13910,F,2020-08-19
G20750,E10177,A,2023-01-13
G20751,E12455,F,2022-03-13
G20752,E15445,D,2021-01-10
G20753,E10747,A,2021-11-05
G20754,E10793,F,2022-09-20
G20755,E10963,A,2020-09-05
G20756,E15707,F,2024-10-05
G20757,E10869,D,2023-02-22
G20758,E10491,D,2024-05-01
G20759,E14422,B,2023-09-29
G20760,E13471,C,2022-05-07
G20761,E14150,F,2021-04-10
G20762,E15834,F,2022-09-15
G20763,E15044,F,2024-07-06
G20764,E12501,D,2021-09-08
G20765,E10775,A,2023-09-09
G20766,E13959,A,2020-10-14
G20767,E13366,F,2024-10-28
G20768,E10326,D,2025-02-03
G20769,E11854,A,2023-02-11
G20770,E15278,D,2023-04-20
G20771,E11261,A,2021-09-07
G20772,E13511,C,2021-10-02
G20773,E11966,B,2023-01-01
G20774,E13881,F,2022-07-21
G20775,E13153,B,2025-04-13
G20776,E15545,C,2025-05-25
G20777,E11014,B,2023-05-06
G20778,E11220,D,2024-09-12
G20779,E15046,F,2023-02-28
G20780,E14633,B,2022-01-11
G20781,E10178,B,2025-03-07
G20782,E14193,C,2024-10-03
G20783,E14344,B,2024-01-15
G20784,E10858,D,2023-01-19
G20785,E14563,A,2021-05-11
G20786,E10166,F,2020-12-08
G20787,E15951,B,2023-10-23
G20788,E10133,C,2024-10-27
G20789,E15129,F,2022-03-10
G20790,E13528,D,2023-12-15
G20791,E14419,D,2022-08-29
G20792,E13090,F,2022-05-12
G20793,E10020,D,2024-08-02
G20794,E11282,C,2021-05-10
G20795,E15008,F,2022-03-25
G20796,E14156,A,2024-12-22
G20797,E15856,F,2022-10-20
G20798,E13771,C,2023-06-26
G20799,E11967,B,2021-07-09
G20800,E12427,C,2020-08-01
G20801,E14819,B,2020-12-05
G20802,E14946,F,2022-06-13
G20803,E15063,D,2020-08-24
G20804,E10894,F,2024-12-02
G20805,E12338,F,2021-01-21
G20806,E11111,D,2020-06-26
G20807,E11097,D,2021-07-09
G20808,E10137,F,2021-07-14
G20809,E11663,A,2020-11-19
G20810,E13021,F,2021-01-08
G20811,E15203,C,2024-02-01
G20812,E13428,F,2022-08-08
G20813,E13910,F,2023-07-18
G20814,E14628,F,2023-11-18
G20815,E14691,B,2022-12-09
G20816,E12248,F,2023-04-21
G20817,E13543,B,2022-01-22
G20818,E10751,D,2024-03-16
G20819,E14170,B,2022-10-23
G20820,E12297,D,2021-02-07
G20821,E12221,C,2020-11-27
