enrollmentID,studentID,courseID,enrollDate
E10071,S01291,C095,2023-08-11
E10072,S02476,C075,2021-01-08
E10073,S01340,C076,2021-02-01
E10074,S01563,C080,2023-08-17
E10075,S00200,C082,2024-10-23
E10076,S00860,C032,2025-04-16
E10077,S00035,C009,2021-12-14
E10078,S02703,C041,2024-11-06
E10079,S01001,C027,2022-08-30
E10080,S01150,C033,2023-09-12
E10081,S00783,C043,2024-05-21
E10082,S00873,C038,2020-09-22
E10083,S01948,C039,2022-08-17
E10084,S01655,C042,2024-01-26
E10085,S02476,C017,2024-10-28
E10086,S02889,C071,2024-10-10
E10087,S02889,C041,2022-08-22
E10088,S01000,C094,2023-02-23
E10089,S00237,C041,2022-05-18
E10090,S00996,C054,2025-06-17
E10091,S01329,C081,2022-04-11
E10092,S01522,C095,2023-02-07
E10093,S00915,C004,2022-02-19
E10094,S02493,C008,2024-05-27
E10095,S02453,C013,2023-01-22
E10096,S01958,C001,2024-03-31
E10097,S01337,C098,2022-01-15
E10098,S00518,C096,2024-09-13
E10099,S01044,C006,2024-08-04
E10100,S00177,C089,2021-01-11
E10101,S01422,C068,2024-05-15
E10102,S01531,C081,2024-06-15
E10103,S01535,C002,2024-07-10
E10104,S02610,C014,2021-12-03
E10105,S02573,C027,2024-02-05
E10106,S01346,C081,2024-05-30
E10107,S01181,C032,2025-03-06
E10108,S01872,C010,2023-07-01
E10109,S02939,C058,2024-08-20
E10110,S02662,C063,2025-02-04
E10111,S01061,C081,2024-08-19
E10112,S02371,C045,2021-12-19
E10113,S02622,C009,2024-06-19
E10114,S02396,C056,2022-05-04
E10115,S01046,C033,2022-04-30
E10116,S02088,C048,2020-10-05
E10117,S02331,C097,2020-06-30
E10118,S01910,C071,2024-09-25
E10119,S01088,C005,2021-10-01
E10120,S00872,C041,2023-06-28
E10121,S01883,C059,2023-04-15
E10122,S02781,C019,2022-07-07
E10123,S00115,C073,2023-10-03
E10124,S01448,C044,2022-11-16
E10125,S01733,C068,2024-02-16
E10126,S01840,C043,2025-01-05
E10127,S00624,C070,2025-04-12
E10128,S02924,C075,2022-04-05
E10129,S01362,C098,2021-01-17
E10130,S00596,C046,2021-09-06
E10131,S00369,C034,2025-04-29
E10132,S00600,C097,2024-01-20
E10133,S01580,C040,2023-07-14
E10134,S01540,C073,2025-04-13
E10135,S02067,C089,2024-08-29
E10136,S01678,C079,2023-03-24
E10137,S02361,C049,2023-10-01
E10138,S00326,C005,2023-04-23
E10139,S02230,C082,2025-03-24
E10140,S02707,C078,2023-07-06
E10141,S02207,C025,2021-06-27
E10142,S00550,C064,2023-04-03
E10143,S02075,C002,2024-03-31
E10144,S02807,C014,2024-02-17
E10145,S01250,C062,2022-12-30
E10146,S01119,C060,2022-01-19
E10147,S02113,C017,2023-06-08
E10148,S02800,C034,2021-08-29
E10149,S02900,C083,2023-08-13
E10150,S01718,C062,2024-03-17
E10151,S02165,C011,2025-03-26
E10152,S01186,C091,2021-08-31
E10153,S00756,C100,2021-09-28
E10154,S02003,C032,2023-03-04
E10155,S02390,C034,2023-06-21
E10156,S02637,C045,2022-09-10
E10157,S00983,C018,2025-01-07
E10158,S02696,C021,2021-12-04
E10159,S01351,C092,2025-03-10
E10160,S02109,C045,2024-08-16
E10161,S00703,C062,2023-05-11
E10162,S01326,C077,2021-02-26
E10163,S00037,C005,2023-09-04
E10164,S01839,C018,2024-02-06
E10165,S01079,C061,2023-12-17
E10166,S01361,C010,2023-05-25
E10167,S01945,C073,2020-10-30
E10168,S02457,C031,2023-03-23
E10169,S01790,C045,2021-06-24
E10170,S01171,C068,2022-09-17
E10171,S02937,C094,2023-05-03
E10172,S02168,C098,2021-01-02
E10173,S01259,C018,2020-10-14
E10174,S01830,C091,2023-02-11
E10175,S01485,C074,2025-01-12
E10176,S02849,C034,2023-04-10
E10177,S00446,C022,2021-06-04
E10178,S01996,C048,2025-04-10
E10179,S01805,C018,2023-01-03
E10180,S00278,C068,2023-05-12
E10181,S01061,C022,2024-07-18
E10182,S01742,C084,2022-04-10
E10183,S00272,C076,2025-01-06
E10184,S01618,C038,2022-03-27
E10185,S02977,C045,2024-08-10
E10186,S01717,C069,2021-12-22
E10187,S00544,C013,2021-01-07
E10188,S00032,C041,2025-06-07
E10189,S01244,C016,2021-10-04
E10190,S02461,C047,2024-01-17
E10191,S01386,C003,2024-12-16
E10192,S00734,C023,2025-05-23
E10193,S01888,C059,2024-06-14
E10194,S00298,C024,2023-04-04
E10195,S02389,C034,2020-08-14
E10196,S00343,C038,2022-04-17
E10197,S00550,C052,2023-01-09
E10198,S02374,C040,2020-11-08
E10199,S00609,C015,2022-05-31
E10200,S00410,C062,2021-04-14
E10201,S01419,C022,2023-11-28
E10202,S01093,C072,2023-07-24
E10203,S02534,C007,2021-06-09
E10204,S02594,C072,2022-12-19
E10205,S00473,C060,2024-01-23
E10206,S01390,C099,2022-05-24
E10207,S02090,C050,2022-11-06
E10208,S01140,C059,2021-05-16
E10209,S00984,C015,2021-03-20
E10210,S02285,C091,2025-04-03
E10211,S02059,C085,2024-11-19
E10212,S01984,C032,2024-10-18
E10213,S02082,C074,2021-05-25
E10214,S02754,C079,2023-08-10
E10215,S01447,C006,2023-09-19
E10216,S00853,C065,2022-08-30
E10217,S02728,C013,2023-05-23
E10218,S01763,C067,2021-09-15
E10219,S01350,C083,2024-02-06
E10220,S02658,C061,2021-07-17
E10221,S00754,C056,2025-06-06
E10222,S01513,C002,2023-11-10
E10223,S01971,C083,2020-09-29
E10224,S02906,C014,2022-06-25
E10225,S02062,C039,2024-06-25
E10226,S01993,C032,2021-04-11
E10227,S02463,C033,2022-07-28
E10228,S02570,C056,2022-01-13
E10229,S02597,C071,2021-10-22
E10230,S01245,C034,2023-08-31
E10231,S02505,C092,2022-08-28
E10232,S02846,C064,2021-08-31
E10233,S00727,C006,2025-02-25
E10234,S02500,C099,2022-07-08
E10235,S02219,C018,2022-02-25
E10236,S02585,C050,2020-11-24
E10237,S02802,C016,2021-04-02
E10238,S02353,C079,2024-11-25
E10239,S02467,C097,2021-11-15
E10240,S02572,C082,2024-10-04
E10241,S00894,C061,2023-04-19
E10242,S00794,C004,2022-10-29
E10243,S02258,C047,2022-01-08
E10244,S00761,C094,2020-08-20
E10245,S02204,C064,2020-10-20
E10246,S02285,C034,2024-12-08
E10247,S02454,C054,2024-05-22
E10248,S01627,C006,2023-05-19
E10249,S00659,C034,2023-01-02
E10250,S00918,C063,2024-07-02
E10251,S02209,C020,2024-07-12
E10252,S02207,C011,2024-09-19
E10253,S02389,C050,2022-10-04
E10254,S00942,C096,2024-09-02
E10255,S01343,C099,2022-02-22
E10256,S00698,C095,2024-08-05
E10257,S00792,C082,2020-07-22
E10258,S01238,C063,2024-05-04
E10259,S01958,C042,2023-02-13
E10260,S01950,C044,2024-04-01
E10261,S02478,C013,2020-07-03
E10262,S01909,C034,2024-01-09
E10263,S00597,C034,2023-12-07
E10264,S01759,C027,2020-06-26
E10265,S02607,C026,2024-10-31
E10266,S02561,C043,2022-03-01
E10267,S00572,C021,2023-01-22
E10268,S00115,C033,2021-03-13
E10269,S01337,C044,2021-06-09
E10270,S01677,C043,2020-09-19
E10271,S02217,C032,2023-12-24
E10272,S02603,C024,2022-12-02
E10273,S02114,C032,2023-03-28
E10274,S02125,C071,2021-03-21
E10275,S02385,C083,2022-08-29
E10276,S00778,C045,2024-08-05
E10277,S02825,C083,2024-07-21
E10278,S02513,C088,2023-12-11
E10279,S00732,C024,2023-01-04
E10280,S00737,C083,2024-03-27
E10281,S01564,C047,2022-05-20
E10282,S00881,C100,2023-06-08
E10283,S01854,C023,2023-02-07
E10284,S02474,C062,2023-06-06
E10285,S01417,C090,2024-08-21
E10286,S02968,C092,2025-01-06
E10287,S00645,C020,2023-07-19
E10288,S00943,C060,2023-02-08
E10289,S02250,C007,2020-10-29
E10290,S02057,C067,2020-12-30
E10291,S01843,C025,2021-07-12
E10292,S02267,C020,2022-02-07
E10293,S02277,C025,2024-10-07
E10294,S02923,C017,2021-06-02
E10295,S02673,C033,2023-10-21
E10296,S00401,C038,2021-09-16
E10297,S00460,C020,2023-09-22
E10298,S01579,C019,2024-01-24
E10299,S01371,C093,2022-06-09
E10300,S01081,C027,2022-05-16
E10301,S01023,C067,2021-07-02
E10302,S00659,C040,2023-10-11
E10303,S01966,C006,2022-08-31
E10304,S02161,C028,2023-03-07
E10305,S02476,C078,2022-07-23
E10306,S02566,C080,2023-09-12
E10307,S01023,C023,2021-05-09
E10308,S00045,C073,2022-06-03
E10309,S00739,C034,2023-07-09
E10310,S02856,C031,2024-10-01
E10311,S01760,C044,2022-11-04
E10312,S02983,C064,2022-08-18
E10313,S00745,C095,2025-03-22
E10314,S01440,C066,2022-10-11
E10315,S01645,C031,2024-08-31
E10316,S01885,C038,2022-01-15
E10317,S02536,C025,2020-07-15
E10318,S00464,C016,2024-08-23
E10319,S01880,C052,2024-08-06
E10320,S02234,C082,2025-03-25
E10321,S01405,C023,2020-06-30
E10322,S02710,C024,2022-02-11
E10323,S00781,C063,2021-07-24
E10324,S00146,C098,2024-04-27
E10325,S01065,C026,2021-11-02
E10326,S00073,C037,2022-09-20
E10327,S00277,C052,2020-07-09
E10328,S00994,C015,2022-03-08
E10329,S02239,C010,2021-12-30
E10330,S02278,C014,2022-04-23
E10331,S01408,C014,2020-12-25
E10332,S00654,C033,2022-11-01
E10333,S00341,C043,2023-01-18
E10334,S02678,C008,2024-09-23
E10335,S00465,C073,2020-07-20
E10336,S01812,C048,2023-02-02
E10337,S00131,C046,2020-12-29
E10338,S01672,C057,2020-09-20
E10339,S00953,C016,2023-10-12
E10340,S02582,C051,2024-03-30
E10341,S01819,C081,2022-12-25
E10342,S02996,C003,2025-05-02
E10343,S02762,C054,2022-03-16
E10344,S02978,C015,2020-09-17
E10345,S01472,C072,2022-03-20
E10346,S02547,C069,2024-07-07
E10347,S00508,C043,2021-12-30
E10348,S00065,C041,2022-03-05
E10349,S01459,C022,2024-10-22
E10350,S02827,C028,2021-01-01
E10351,S01989,C059,2020-07-25
E10352,S01817,C012,2024-02-04
E10353,S00649,C021,2024-07-26
E10354,S00410,C004,2023-06-04
E10355,S00602,C047,2024-11-15
E10356,S00898,C058,2024-07-05
E10357,S00309,C021,2023-08-22
E10358,S00797,C005,2021-05-04
E10359,S02194,C048,2024-12-21
E10360,S00667,C040,2023-05-24
E10361,S00218,C064,2025-06-17
E10362,S00565,C014,2025-05-06
E10363,S00630,C014,2025-04-27
E10364,S00762,C089,2022-03-02
E10365,S02192,C087,2022-10-26
E10366,S02684,C069,2023-10-17
E10367,S01773,C007,2023-01-27
E10368,S02908,C043,2021-10-09
E10369,S02875,C092,2022-07-04
E10370,S01451,C086,2023-03-20
E10371,S00839,C070,2021-10-11
E10372,S02587,C081,2022-06-03
E10373,S00561,C068,2024-05-23
E10374,S01145,C022,2024-09-06
E10375,S01763,C050,2022-12-10
E10376,S01483,C045,2024-06-09
E10377,S00036,C003,2025-01-27
E10378,S01999,C093,2021-03-12
E10379,S00185,C002,2022-05-30
E10380,S01920,C033,2023-10-02
E10381,S00095,C055,2025-02-24
E10382,S02183,C025,2023-08-14
E10383,S01600,C067,2021-11-12
E10384,S02141,C053,2025-04-13
E10385,S00300,C093,2024-05-05
E10386,S02810,C079,2022-06-12
E10387,S02270,C083,2021-11-05
E10388,S00037,C089,2020-09-15
E10389,S01473,C092,2024-07-12
E10390,S00517,C021,2025-02-28
E10391,S02801,C051,2021-09-08
E10392,S02023,C001,2020-09-21
E10393,S00485,C084,2021-06-25
E10394,S00540,C012,2023-03-19
E10395,S01484,C021,2023-06-19
E10396,S02983,C021,2020-11-17
E10397,S01267,C046,2020-11-28
E10398,S00829,C011,2022-06-25
E10399,S01360,C075,2021-04-13
E10400,S01683,C007,2022-06-12
E10401,S01218,C045,2025-05-27
E10402,S00428,C030,2021-02-09
E10403,S02147,C004,2021-12-09
E10404,S00740,C023,2023-01-11
E10405,S02480,C071,2023-11-17
E10406,S00409,C047,2020-09-23
E10407,S00740,C062,2022-07-29
E10408,S02894,C081,2022-11-25
E10409,S02193,C006,2022-11-27
E10410,S01382,C006,2020-12-16
E10411,S00222,C017,2021-07-19
E10412,S02329,C063,2025-01-28
E10413,S01375,C007,2023-06-13
E10414,S00850,C028,2024-10-01
E10415,S00136,C097,2024-09-17
E10416,S00680,C037,2023-08-05
E10417,S00780,C070,2021-08-05
E10418,S00126,C100,2021-04-18
E10419,S02838,C014,2021-07-31
E10420,S01353,C059,2024-10-18
E10421,S01413,C024,2021-06-01
E10422,S02230,C089,2024-08-07
E10423,S01300,C071,2024-08-14
E10424,S00234,C025,2023-11-21
E10425,S02805,C088,2021-03-02
E10426,S02428,C011,2020-12-15
E10427,S02353,C037,2020-06-28
E10428,S01415,C059,2021-09-06
E10429,S02811,C059,2022-04-19
E10430,S00762,C076,2022-10-28
E10431,S02685,C074,2020-07-03
E10432,S01683,C026,2023-11-01
E10433,S00628,C082,2021-08-13
E10434,S01984,C074,2024-04-30
E10435,S01585,C020,2024-07-17
E10436,S02730,C064,2022-01-16
E10437,S00668,C054,2024-07-05
E10438,S02995,C077,2020-08-14
E10439,S00045,C098,2020-09-12
E10440,S00588,C011,2025-02-06
E10441,S01687,C011,2023-12-18
E10442,S01674,C067,2020-12-31
E10443,S02468,C072,2024-01-03
E10444,S02532,C085,2022-04-04
E10445,S01187,C074,2020-09-08
E10446,S01487,C030,2022-10-23
E10447,S01121,C078,2024-03-14
E10448,S00007,C064,2022-01-23
E10449,S01151,C057,2025-01-15
E10450,S01365,C015,2021-03-18
E10451,S00162,C069,2020-07-03
E10452,S02382,C058,2025-06-15
E10453,S02735,C094,2023-11-25
E10454,S02692,C019,2020-08-03
E10455,S02392,C016,2025-03-20
E10456,S00949,C097,2022-01-29
E10457,S00916,C004,2024-09-16
E10458,S00424,C089,2021-12-28
E10459,S02528,C085,2024-02-09
E10460,S01100,C079,2025-01-08
E10461,S01394,C038,2025-03-14
E10462,S00846,C049,2020-12-27
E10463,S02844,C018,2020-10-31
E10464,S02968,C095,2021-05-13
E10465,S02750,C066,2021-08-23
E10466,S02996,C100,2021-01-02
E10467,S00898,C071,2021-03-14
E10468,S02274,C014,2022-12-30
E10469,S02546,C066,2022-01-31
E10470,S02621,C083,2020-09-21
E10471,S01276,C099,2022-07-01
E10472,S01705,C097,2022-03-11
E10473,S00403,C079,2023-12-26
E10474,S02317,C069,2022-10-10
E10475,S01384,C014,2022-06-08
E10476,S02228,C015,2025-02-06
E10477,S02854,C090,2021-01-25
E10478,S02322,C058,2025-02-01
E10479,S02824,C083,2020-12-30
E10480,S01132,C040,2022-03-19
E10481,S00125,C074,2024-07-16
E10482,S02447,C053,2021-08-05
E10483,S02685,C070,2022-11-13
E10484,S00549,C052,2022-07-14
E10485,S01602,C095,2025-02-11
E10486,S00003,C061,2024-01-24
E10487,S01747,C005,2025-03-28
E10488,S00473,C074,2025-03-23
E10489,S01050,C100,2024-06-25
E10490,S01925,C082,2023-10-10
E10491,S00496,C038,2023-05-21
E10492,S02341,C041,2020-10-31
E10493,S01397,C022,2021-11-22
E10494,S00468,C057,2024-07-17
E10495,S01289,C014,2024-03-23
E10496,S01749,C079,2024-07-14
E10497,S01226,C096,2021-01-20
E10498,S00575,C086,2022-02-26
E10499,S01630,C016,2022-01-23
E10500,S01072,C016,2022-04-28
E10501,S01985,C089,2022-08-30
E10502,S01390,C090,2023-08-21
E10503,S01977,C014,2024-05-14
E10504,S00532,C018,2021-07-14
E10505,S01896,C071,2022-11-06
E10506,S00432,C013,2021-08-27
E10507,S02049,C044,2025-05-10
E10508,S00340,C096,2022-07-12
E10509,S02138,C025,2023-10-18
E10510,S01695,C086,2023-03-20
E10511,S01046,C095,2024-08-21
E10512,S00184,C068,2022-08-03
E10513,S02249,C058,2021-03-01
E10514,S02396,C087,2023-03-03
E10515,S02440,C076,2022-09-08
E10516,S02073,C021,2024-10-08
E10517,S00514,C003,2022-03-18
E10518,S02381,C082,2025-05-16
E10519,S02678,C042,2021-08-14
E10520,S00109,C057,2021-09-03
E10521,S01365,C092,2025-03-21
E10522,S01005,C062,2022-07-03
E10523,S02991,C014,2024-11-23
E10524,S00464,C061,2022-11-09
E10525,S00559,C030,2023-02-20
E10526,S02955,C066,2023-08-11
E10527,S01884,C053,2022-05-11
E10528,S02341,C023,2022-05-18
E10529,S00405,C056,2023-11-18
E10530,S02318,C049,2023-02-12
E10531,S01379,C004,2022-11-04
E10532,S00071,C055,2024-08-06
E10533,S02443,C039,2021-07-04
E10534,S02604,C060,2024-03-22
E10535,S02853,C004,2022-01-10
E10536,S01885,C007,2021-12-18
E10537,S02405,C044,2024-07-13
E10538,S00944,C010,2023-06-12
E10539,S00009,C012,2021-02-06
E10540,S01297,C078,2025-01-15
E10541,S01734,C071,2025-04-05
E10542,S01152,C079,2025-03-28
E10543,S01408,C078,2022-08-30
E10544,S02225,C076,2022-09-02
E10545,S01965,C079,2023-06-14
E10546,S02685,C043,2021-03-24
E10547,S02726,C006,2021-02-19
E10548,S02993,C021,2022-01-06
E10549,S02867,C077,2022-09-19
E10550,S00563,C092,2021-11-24
E10551,S00887,C062,2023-01-30
E10552,S02151,C081,2022-02-06
E10553,S02811,C062,2022-01-07
E10554,S02726,C065,2023-02-23
E10555,S00654,C095,2022-01-27
E10556,S02284,C037,2020-12-18
E10557,S01812,C011,2022-10-22
E10558,S00082,C044,2021-02-11
E10559,S00397,C038,2024-07-27
E10560,S00968,C040,2022-08-10
E10561,S01046,C061,2020-08-20
E10562,S00074,C016,2022-01-18
E10563,S00708,C056,2022-05-12
E10564,S02664,C013,2025-02-09
E10565,S01969,C060,2021-07-16
E10566,S01996,C099,2024-04-08
E10567,S02724,C073,2023-11-16
E10568,S00974,C078,2021-02-06
E10569,S01366,C095,2020-09-08
E10570,S00552,C007,2021-03-01
E10571,S00834,C081,2022-03-22
E10572,S01540,C059,2024-12-12
E10573,S01918,C027,2021-02-16
E10574,S01260,C040,2020-11-26
E10575,S01233,C096,2021-08-31
E10576,S00368,C044,2024-05-21
E10577,S01864,C027,2025-02-13
E10578,S02638,C021,2023-12-24
E10579,S01234,C039,2024-08-30
E10580,S02457,C100,2020-10-12
E10581,S00667,C047,2022-10-16
E10582,S02222,C015,2021-10-03
E10583,S00669,C027,2022-06-10
E10584,S02388,C097,2024-09-05
E10585,S01989,C040,2022-06-23
E10586,S00322,C065,2022-05-04
E10587,S02946,C004,2020-10-13
E10588,S00226,C062,2021-07-28
E10589,S02596,C061,2024-01-13
E10590,S01663,C091,2021-03-27
E10591,S02492,C096,2024-09-17
E10592,S02535,C064,2024-03-24
E10593,S02131,C052,2024-09-16
E10594,S02533,C012,2023-01-28
E10595,S02467,C027,2023-05-30
E10596,S02362,C081,2024-07-26
E10597,S00987,C056,2022-11-11
E10598,S00167,C036,2021-09-16
E10599,S00527,C078,2024-07-05
E10600,S02782,C079,2023-03-25
E10601,S00555,C015,2021-09-01
E10602,S02019,C004,2023-04-27
E10603,S00866,C047,2023-09-10
E10604,S02327,C010,2025-05-15
E10605,S02691,C045,2023-09-13
E10606,S01325,C086,2023-11-22
E10607,S00255,C011,2022-12-29
E10608,S01763,C012,2022-11-15
E10609,S01020,C059,2021-04-10
E10610,S00402,C085,2020-07-16
E10611,S02970,C061,2021-10-03
E10612,S01784,C087,2023-10-13
E10613,S02624,C053,2023-04-24
E10614,S00438,C032,2024-09-15
E10615,S01109,C067,2025-05-19
E10616,S02250,C088,2023-11-07
E10617,S01186,C087,2020-07-24
E10618,S01685,C088,2025-01-02
E10619,S00677,C096,2021-04-23
E10620,S01194,C062,2023-09-14
E10621,S00488,C037,2022-11-23
E10622,S01187,C099,2023-07-28
E10623,S01090,C003,2023-10-26
E10624,S00537,C059,2024-09-12
E10625,S01908,C039,2020-12-12
E10626,S00367,C021,2021-05-04
E10627,S00435,C065,2025-01-08
E10628,S00860,C067,2024-04-30
E10629,S02200,C006,2021-04-17
E10630,S00882,C067,2023-11-06
E10631,S00975,C016,2022-09-21
E10632,S02204,C076,2023-02-01
E10633,S02837,C045,2022-12-10
E10634,S01460,C026,2024-04-04
E10635,S00337,C059,2023-06-20
E10636,S01193,C046,2024-10-22
E10637,S01367,C084,2023-11-03
E10638,S01330,C018,2024-10-08
E10639,S00953,C061,2021-10-21
E10640,S00232,C043,2022-10-30
E10641,S02354,C002,2024-09-08
E10642,S02130,C093,2020-08-24
E10643,S00491,C056,2022-10-13
E10644,S02879,C088,2022-03-25
E10645,S01956,C051,2023-04-10
E10646,S02460,C085,2021-03-15
E10647,S01961,C043,2025-04-13
E10648,S01837,C009,2022-01-06
E10649,S02391,C082,2021-09-12
E10650,S00464,C048,2022-12-14
E10651,S02531,C016,2025-02-11
E10652,S02238,C100,2022-12-23
E10653,S01978,C001,2021-07-18
E10654,S00260,C008,2023-01-27
E10655,S01283,C009,2020-07-18
E10656,S02200,C085,2023-01-04
E10657,S01584,C011,2023-04-19
E10658,S01645,C036,2023-10-22
E10659,S02390,C032,2021-08-03
E10660,S00215,C039,2023-07-03
E10661,S02322,C094,2024-12-11
E10662,S01518,C081,2021-11-24
E10663,S00420,C047,2023-12-19
E10664,S02619,C045,2025-01-04
E10665,S02986,C065,2023-10-07
E10666,S02839,C060,2024-08-04
E10667,S00749,C003,2020-10-17
E10668,S00770,C014,2023-06-02
E10669,S01515,C005,2022-03-07
E10670,S00289,C011,2021-09-30
E10671,S00413,C059,2024-12-21
E10672,S02570,C014,2023-04-11
E10673,S01454,C075,2024-06-08
E10674,S00776,C024,2021-12-23
E10675,S00227,C057,2022-09-05
E10676,S00961,C071,2021-02-09
E10677,S02659,C062,2021-06-09
E10678,S01816,C024,2020-11-21
E10679,S00153,C049,2020-09-28
E10680,S02849,C098,2021-08-06
E10681,S01948,C095,2022-01-25
E10682,S01171,C067,2021-05-02
E10683,S00610,C090,2022-02-16
E10684,S01760,C077,2020-08-09
E10685,S02128,C005,2020-12-11
E10686,S01131,C012,2022-08-15
E10687,S01187,C093,2024-05-30
E10688,S02739,C031,2023-05-04
E10689,S01549,C027,2023-08-17
E10690,S00067,C013,2025-06-04
E10691,S01967,C097,2023-08-29
E10692,S01531,C097,2022-10-17
E10693,S02873,C083,2021-10-03
E10694,S01391,C090,2021-01-06
E10695,S02931,C056,2023-04-29
E10696,S02345,C096,2022-09-27
E10697,S00114,C052,2022-01-23
E10698,S01851,C003,2021-09-29
E10699,S00350,C009,2022-10-19
E10700,S02831,C022,2022-10-24
E10701,S02723,C040,2021-10-25
E10702,S02885,C042,2022-07-24
E10703,S01204,C082,2024-04-01
E10704,S01506,C038,2023-12-18
E10705,S01073,C021,2024-07-15
E10706,S02104,C020,2023-03-13
E10707,S02842,C015,2022-02-08
E10708,S01599,C052,2023-02-06
E10709,S02971,C033,2025-01-16
E10710,S00094,C084,2020-10-16
E10711,S01745,C058,2025-02-01
E10712,S00970,C010,2023-10-19
E10713,S01909,C001,2024-02-24
E10714,S00963,C081,2024-01-14
E10715,S01179,C080,2022-10-22
E10716,S01522,C014,2024-09-10
E10717,S02237,C016,2024-12-09
E10718,S02329,C085,2024-12-07
E10719,S02140,C023,2021-12-03
E10720,S01841,C057,2023-11-19
E10721,S00536,C021,2024-09-06
E10722,S00985,C098,2023-02-06
E10723,S02805,C033,2023-05-28
E10724,S01974,C086,2021-07-11
E10725,S02756,C065,2021-03-26
E10726,S00690,C008,2021-12-15
E10727,S02992,C025,2023-07-07
E10728,S02837,C048,2023-05-24
E10729,S02369,C085,2021-11-10
E10730,S01395,C028,2024-06-03
E10731,S02402,C011,2024-09-14
E10732,S01380,C005,2024-06-29
E10733,S00600,C071,2023-06-20
E10734,S02413,C011,2025-01-30
E10735,S00075,C076,2023-06-02
E10736,S01820,C069,2023-08-09
E10737,S02587,C023,2021-01-20
E10738,S02581,C005,2021-10-09
E10739,S01144,C044,2020-11-08
E10740,S02099,C029,2020-08-02
E10741,S00670,C052,2025-02-09
E10742,S01216,C086,2023-06-01
E10743,S02394,C026,2022-06-26
E10744,S02012,C015,2021-05-13
E10745,S01059,C066,2025-04-02
E10746,S01452,C023,2023-03-29
E10747,S00130,C018,2024-11-23
E10748,S02331,C014,2021-08-25
E10749,S00709,C074,2024-04-18
E10750,S01660,C011,2023-01-30
E10751,S01075,C100,2022-04-30
E10752,S01699,C064,2021-09-21
E10753,S02009,C049,2025-01-08
E10754,S00061,C093,2021-05-06
E10755,S02609,C064,2021-08-28
E10756,S01339,C050,2023-08-30
E10757,S02527,C019,2021-04-13
E10758,S02756,C037,2023-07-31
E10759,S00493,C052,2024-05-22
E10760,S02517,C092,2022-04-06
E10761,S01002,C066,2021-01-31
E10762,S02271,C056,2021-09-10
E10763,S02675,C023,2024-09-14
E10764,S02021,C008,2022-01-12
E10765,S02761,C031,2022-09-30
E10766,S01577,C082,2021-08-25
E10767,S01394,C082,2022-10-12
E10768,S02885,C028,2021-10-05
E10769,S02150,C032,2024-05-09
E10770,S02066,C098,2023-04-26
E10771,S02077,C070,2023-03-08
E10772,S01694,C029,2023-09-08
E10773,S02192,C001,2025-05-14
E10774,S02016,C027,2024-03-26
E10775,S02977,C015,2021-05-05
