propertyID,address,city,type,price,status
P00042,"026 Lee Court Suite 916, Margarethaven, WA 58508",West Cynthia,Condo,281241,Sold
P00043,"541 Hall Groves, Vincenttown, AK 70499",Williamburgh,Apartment,1489377,Available
P00044,"12845 Moore Extension, Teresaland, NY 97898",Carrieberg,Condo,1771064,Available
P00045,"4310 Graham Springs, Davidland, AZ 29191",Schneiderville,Land,1114644,Rented
P00046,"6297 Tiffany Road, Stevenfort, TN 27655",East Mikayla,Apartment,477883,Rented
P00047,"74813 Mayer Crossing, Zoeside, MS 66812",Hickmanbury,Condo,1848681,Sold
P00048,"5630 Buckley Islands Suite 959, East Margarettown, AL 61898",Davidberg,House,962517,Available
P00049,"787 Holmes Green Apt. 092, Mcgrathview, SD 43310",Frostton,Apartment,1721298,Sold
P00050,"283 Taylor Fort, West Mitchelltown, MH 83611",Robertstad,Apartment,1319778,Rented
P00051,"6269 Sarah Ridge Apt. 212, North Candice, VA 72533",Paulshire,House,1741550,Available
P00052,"USCGC Taylor, FPO AP 63843",Port Rachelberg,Apartment,385424,Available
P00053,"267 Alexander Circle, Erikaland, PW 85103",Port Mirandaport,Condo,1041997,Available
P00054,"2010 Graves Dale Suite 608, New Mary, VI 56066",West Mark,Apartment,1400577,Sold
P00055,"590 Wells Roads Apt. 361, Brownchester, CO 36028",North Reginafurt,House,129334,Rented
P00056,"1839 Garcia Springs, Harristown, CO 38473",Snyderberg,House,197439,Rented
P00057,"4725 Darren Islands Apt. 116, Port Jennifer, CT 81515",South Josephtown,Condo,734722,Available
P00058,"109 Sean Walk Suite 102, Port Joshua, MD 08568",West Andrea,House,125968,Sold
P00059,"361 Preston Key Apt. 783, South Elizabeth, NJ 52445",Port Kelseyland,Condo,1626676,Sold
P00060,"51225 Bill Junctions, New Tamarabury, SD 39243",South Nicholasview,Apartment,979820,Sold
P00061,"407 Goodman Square Apt. 967, Bensonland, MD 80306",East Nathanielhaven,House,1053478,Rented
P00062,"772 Travis Fort Apt. 979, New Philipstad, TN 08645",Thomasside,House,104377,Available
P00063,"056 Michael Divide, Daltonstad, MT 81201",Mistychester,House,492407,Sold
P00064,"415 Alexandria Prairie Apt. 918, Theodoremouth, TX 23678",Jasonhaven,House,1476625,Available
P00065,"7479 Richard Dale, Tiffanyburgh, OH 54400",Lorraineview,Apartment,1299386,Sold
P00066,"942 Vincent Unions, South Jeffrey, RI 30421",Lake Amandachester,House,870904,Available
P00067,"252 Holly Greens Apt. 177, Port Shawn, IL 72888",East Eric,House,113404,Available
P00068,"771 Joseph Roads, Johnstonbury, VA 04803",East Theresaland,Apartment,1577646,Available
P00069,"976 Matthew Stravenue Apt. 667, New Kevinstad, MT 91012",Drakeside,House,1511294,Sold
P00070,"242 Gallagher Islands, Port Cindy, PW 81645",Lake Victoria,Land,1639627,Sold
P00071,"6902 David Light, Lake Stevenshire, IL 03251",East Joseph,Condo,1587045,Rented
P00072,"6019 Lewis Mountains Apt. 374, North Matthew, TX 83308",Matthewstad,Condo,501516,Sold
P00073,"0973 Jessica Junction Suite 415, Kevinchester, MI 72037",Lake Sabrinachester,Condo,1077302,Sold
P00074,"81422 Calvin Divide, Carrollchester, CA 31656",Petersonbury,Condo,467379,Sold
P00075,"018 Ward Freeway, Michaelfort, MA 32124",Parkermouth,Condo,146199,Available
P00076,"727 Wilson Course, Lisaside, WA 13422",North Richardshire,Apartment,446402,Rented
P00077,"5444 Hughes Springs, Port Jefferyshire, CO 17636",Nicolefort,House,1122716,Rented
P00078,"484 Lori Island Suite 539, East Kevin, OH 58159",North Jamesmouth,Condo,1980259,Sold
P00079,"4227 Sandra Course Apt. 726, Port Ashleeview, TN 27500",Beverlyhaven,Condo,615269,Rented
P00080,"0311 Cook Viaduct Apt. 312, Port Cheryl, NC 60253",Josephland,House,795100,Available
P00081,"PSC 4393, Box 6847, APO AP 23346",Sherylview,Apartment,155593,Rented
P00082,"23940 Valerie Curve Suite 143, South John, IN 61170",South Marissa,House,1264150,Rented
P00083,"133 Day Course Suite 855, New Justin, SC 83501",Taylortown,Apartment,502641,Available
P00084,"680 Lewis Corner, Bradyberg, SD 41243",Thomaschester,Apartment,1643098,Available
P00085,"700 Hill Shore, Lopezhaven, AK 25096",Erinside,Condo,1911584,Available
P00086,"8711 Jose Stream, New Michaelchester, FM 56261",Johnton,Land,1440012,Rented
P00087,"9601 Montgomery Forges Suite 105, West Courtney, WV 08211",Port Charlesmouth,House,1549036,Rented
P00088,"18378 Leah Club Apt. 648, Lake Monicaberg, TN 75486",Mariaside,House,768257,Rented
P00089,"592 Phillips Estates Apt. 868, Lake Kelsey, WV 16811",Lewismouth,Land,127079,Rented
P00090,"4433 Edwards Rest Apt. 299, Andreashire, GU 84883",Jennifermouth,House,1572247,Available
P00091,"488 Jordan Fields Apt. 075, Kevinstad, WI 77083",West Alyssastad,House,846774,Rented
P00092,"7615 Samuel Vista Suite 703, West Joshuachester, FL 26289",West Jamie,Condo,1917148,Available
P00093,"7890 Smith Valley Suite 995, North Bradleyport, OH 07251",East Pamelaton,House,1668022,Rented
P00094,"PSC 9039, Box 2431, APO AE 14619",Port Stevenborough,Apartment,921322,Available
P00095,"74740 Nash Ramp, Herrerafurt, UT 20283",East Kevinstad,House,253266,Sold
P00096,"8634 Kimberly Course Apt. 092, Harrishaven, AR 96536",Port Tiffanyton,Condo,491857,Sold
P00097,"Unit 4094 Box 6842, DPO AP 84933",Kimberlyland,Land,1242983,Rented
P00098,"89106 Rodriguez Underpass, Hicksview, NC 39455",Reynoldsfurt,Condo,1025638,Sold
P00099,"320 Nelson Springs, North Cristian, GU 89849",Port Annmouth,Land,1116261,Available
P00100,"3309 Ronald Street, West Sarahburgh, IA 97183",North Roberto,Apartment,1596927,Sold
P00101,"906 Jason Shore Suite 206, Lake Carlahaven, NE 60374",Bautistafurt,Apartment,570110,Available
P00102,"792 Cheryl Court, Lozanomouth, NY 66155",Rothmouth,Apartment,82273,Rented
P00103,"846 Amy Crossing Apt. 009, Port Kimberly, NM 66771",South Nicoleburgh,House,722675,Sold
P00104,"180 Julie Overpass, Maryhaven, NH 93626",Chelseaport,Condo,1669454,Available
P00105,"74404 Kathryn Motorway, West Johnland, TX 02432",North Maryberg,Apartment,761666,Rented
P00106,"PSC 8249, Box 1720, APO AP 83667",South Tommy,Land,1008332,Sold
P00107,"06020 Rodriguez Fall Suite 122, Scottstad, SC 31078",Marthastad,Apartment,595915,Rented
P00108,"061 Wright Green Suite 321, Lake Nicholaschester, KS 61348",Nathanfurt,Condo,1439516,Rented
P00109,"20247 Jenkins Radial Suite 849, Baileybury, DC 06704",Woodberg,House,210946,Available
P00110,"599 Williams Island, Lydiahaven, NM 35475",East Leeburgh,Condo,1057113,Rented
P00111,"12627 Butler Viaduct, Maryton, VI 76045",Avilaland,Apartment,1487632,Available
P00112,"401 Sean Dale, Benjaminmouth, TN 66862",Lake Cheryl,Land,1618540,Available
P00113,"1815 Weaver Roads, Port Johnny, DE 48439",Morseburgh,Condo,1119295,Rented
P00114,"1259 Hammond Club, New Mitchellberg, IN 77497",North Lindafort,Land,131387,Sold
P00115,"USS Massey, FPO AA 80479",Lake Joshua,Condo,1039507,Available
P00116,"87244 Molina View, Gregoryshire, MN 78521",North Frankville,Apartment,281940,Sold
P00117,"38722 Strong Drives, Lake Billybury, WV 47379",Washingtonshire,House,1932305,Sold
P00118,"8298 Jacob Lodge, East Williamchester, NV 74180",Martinezfurt,Condo,1772361,Available
P00119,"PSC 6936, Box 4742, APO AP 72748",Port Johnny,Condo,1194376,Available
P00120,"274 Bradshaw Run, North Aaron, CT 52116",Port Michael,House,984245,Rented
P00121,"43975 Johnny Plain, North Adam, CT 10599",Port Joseph,House,187893,Rented
P00122,"43577 Dean Cove Suite 265, Craneport, IA 37872",Rogersburgh,Apartment,1276010,Rented
P00123,"247 Juan Rue, Jeffreyview, SD 15325",Rogerfurt,Land,787940,Sold
P00124,"PSC 0683, Box 8832, APO AP 04244",South Melissaville,Condo,1920385,Sold
P00125,"95525 Rachel Green Suite 339, South John, FL 95575",Sharpville,Condo,841137,Sold
P00126,"9774 Watson Meadows Suite 725, Lake Joshua, KY 57942",West Isabellastad,Land,1868523,Sold
P00127,"85978 Joseph Gardens Apt. 096, New Jennifer, CO 52421",Robinsonbury,Land,1391166,Rented
P00128,"913 Christian Rapids, Robinsonfurt, MH 86973",West Pamelatown,Land,842957,Rented
P00129,"8553 Hughes Green Suite 086, Robertmouth, AZ 69734",Smithhaven,Condo,1842991,Sold
P00130,"USNV Martinez, FPO AA 64698",Longhaven,Condo,1753014,Rented
P00131,"85091 Arnold Crescent Suite 717, Danielborough, AZ 48229",South Jacob,Apartment,236230,Available
P00132,"2662 Mendoza Drive Suite 667, Williebury, HI 05325",Adamton,House,132536,Rented
P00133,"36385 Bond Manor Apt. 719, South Kimberly, AZ 36731",Lindseyborough,Apartment,630004,Rented
P00134,"3672 Pugh Fall Suite 846, South Alex, MD 19137",Port Sandra,Condo,1920234,Rented
P00135,"4659 Deborah Estates, South Kimberlyland, KY 93014",Ebonyside,Condo,1674822,Rented
P00136,"PSC 1431, Box 6675, APO AA 14030",Port Saraside,Apartment,1993772,Available
P00137,"15161 Miller Spring Suite 842, Andersonborough, DE 70005",North Traceyside,Condo,1098797,Available
P00138,"7222 Rhonda Courts, Johnberg, NY 13821",South Vanessa,Condo,566210,Available
P00139,"56368 Herrera Path Apt. 626, Wandahaven, HI 64690",Kevintown,Apartment,205780,Sold
P00140,"18641 Kelly Trail Apt. 336, Garciaburgh, VT 97647",West Jonathanchester,Land,391894,Available
P00141,"PSC 8500, Box 0503, APO AP 46130",Chanland,House,1601703,Rented
P00142,"PSC 5592, Box 9664, APO AA 28712",Lake Tabithastad,House,726486,Available
P00143,"08807 Timothy Circle, East Jameshaven, WI 13291",Lesliefurt,House,1551811,Available
P00144,"5413 Day Lake Suite 421, Edwardsberg, OR 51601",North Ashley,House,1189208,Rented
P00145,"08835 Brooke Crescent Apt. 661, New Natashaville, MP 30398",East Kimberlyborough,Land,1787198,Sold
P00146,"67108 Barbara Heights, New Martha, AR 33491",South Heather,Apartment,1288660,Rented
P00147,"393 Phillips Knoll Apt. 787, Jessicabury, RI 95027",Oliverfurt,Land,757693,Sold
P00148,"52141 Martinez Cliffs, South Amanda, IN 23124",Farleychester,Land,1717964,Sold
P00149,"32545 Rachel Mount Apt. 066, Montoyachester, CO 11524",Lake John,House,408946,Sold
P00150,"529 Megan Ridges Suite 731, West Jeanview, ND 50978",Brittanyhaven,Apartment,1787424,Available
P00151,"5368 Hayes Club, Kevinfort, VT 29267",Lake Joelhaven,Apartment,967364,Available
P00152,"96820 Anthony Summit, North Noah, UT 81017",Meganberg,House,1314781,Available
P00153,"69767 Mario Wall, South Michael, SD 17411",West Michele,Condo,670578,Available
P00154,"USNV Molina, FPO AA 96962",West Anthony,Land,1626999,Sold
P00155,"9233 Melissa Mills, Arthurmouth, GA 56165",North Brian,Apartment,1296820,Sold
P00156,"PSC 8796, Box 0586, APO AP 21475",Stewartburgh,Land,856968,Sold
P00157,"3529 Delgado Throughway, New Normafurt, HI 37110",Deniseshire,House,1181344,Sold
P00158,"270 Cathy Ridge Suite 462, East Benjamin, GA 85147",Taylorborough,Condo,717456,Sold
P00159,"PSC 1075, Box 1044, APO AE 64447",East Thomasfurt,Apartment,871252,Rented
P00160,"726 Good Forks, West Anthonymouth, PR 07491",North Natalie,Condo,1509375,Rented
P00161,"9757 Rachel Ways, West Tammyfort, SC 05201",Lake Cindymouth,Condo,1916820,Sold
P00162,"221 Gray Mountain Apt. 221, Aaronport, ND 01697",Thomasbury,Apartment,1882327,Rented
P00163,"51681 Williams Drive, Stewartside, MS 39025",South Davidburgh,Apartment,1051429,Available
P00164,"643 Brian Trafficway, Orozcoshire, IA 24016",Adammouth,Condo,1522010,Available
P00165,"Unit 6594 Box 0917, DPO AP 77524",Cooperborough,Condo,166063,Rented
P00166,"Unit 3537 Box 4821, DPO AE 07130",New Katiestad,Land,1348151,Available
P00167,"4613 Jones Landing, Silvashire, ND 92049",South Tyler,Land,178449,Rented
P00168,"496 Sims Course Suite 326, Sheritown, MA 43718",Jessicafurt,House,1994327,Sold
P00169,"18553 Hart Light, Jenkinsborough, UT 71436",Riddlechester,Land,726979,Rented
P00170,"49478 Rebecca Via Apt. 715, Mitchellberg, FM 34171",Mcfarlandchester,Condo,1541897,Rented
P00171,"2817 Tucker Locks Apt. 021, Brittanymouth, UT 89242",East Nicoletown,Condo,1140310,Available
P00172,"41585 Lisa Light Apt. 978, Williamsonchester, NH 62135",Suzanneport,House,1230897,Available
P00173,"8056 Regina Island, Port Erin, AR 26398",Wandahaven,Apartment,899989,Rented
P00174,"322 Johnson Pike, New Shellystad, NH 75827",Karlamouth,Condo,1147996,Available
P00175,"1842 Sutton Courts, West Makaylamouth, AR 02631",Mcculloughborough,Land,1330362,Sold
P00176,"38409 Brown Loop Suite 461, Douglasborough, NM 47769",North Scottborough,Condo,1222919,Available
P00177,"9755 Nathaniel Course, Travisbury, PW 21714",Lake Codyfurt,Condo,1493777,Available
P00178,"92100 Adam Stream, Lake Crystal, KS 25689",New Christie,House,324127,Rented
P00179,"567 Martinez Parkway Suite 766, Stephanieberg, LA 75805",West Jason,Land,1919078,Sold
P00180,"38772 Julian Junction, Lake Victorville, MN 31839",West Mitchell,Apartment,1949436,Sold
P00181,"3610 Crystal Alley Apt. 040, South Anthonyburgh, MP 38700",Pamelahaven,Condo,1170405,Sold
P00182,"71489 Harmon Point, Ryanmouth, HI 62826",New Angelicaburgh,Land,1780920,Available
P00183,"284 Yvonne Circles Apt. 121, Cruzburgh, LA 50483",South Kelliberg,Apartment,469043,Sold
P00184,"PSC 0140, Box 0605, APO AP 32914",East Jeffreyview,House,1236890,Sold
P00185,"99040 Gutierrez Path Apt. 518, West Shawnbury, MP 08953",Walkerton,House,194609,Sold
P00186,"1670 Tyler Bridge, East Kennethfurt, OK 32716",Martinezfort,Apartment,1129018,Rented
P00187,"Unit 5586 Box 3666, DPO AE 89566",Joshuaview,Condo,1212102,Rented
P00188,"27837 Cunningham Shoals Apt. 971, North Matthewmouth, GU 39043",Amybury,House,421232,Sold
P00189,"98304 Grimes Parkways Apt. 593, New Samantha, AR 46913",Clementsshire,Land,566862,Sold
P00190,"61506 Martin Canyon Suite 251, Lake James, OH 36281",North Michael,Land,1608598,Rented
P00191,"454 Hobbs Neck, West Morganview, ID 65918",Waltonburgh,Apartment,711518,Sold
P00192,"4568 Melanie Vista Suite 618, North Heidi, PA 42006",Greenehaven,House,1651775,Available
P00193,"USCGC Benton, FPO AA 01844",Nicholsonmouth,House,1587910,Available
P00194,"44636 Kim Flat Suite 054, South Margaret, SD 62054",South Christopher,Apartment,1725714,Rented
P00195,"38503 Nicholas Circles, West Jason, CT 03358",Lake Ronald,Apartment,104311,Sold
P00196,"214 Brooks Plains, Snyderview, OR 40023",Port Robertbury,Apartment,1694335,Rented
P00197,"15594 Lewis Circles, Mathisshire, OH 34924",New Justinland,Apartment,878183,Rented
P00198,"7992 Juan Corners, Jonesmouth, NH 79341",Mariabury,House,1101964,Available
P00199,"4627 Megan Common Suite 770, West Kathyhaven, NV 63640",Michelleside,House,1886083,Rented
P00200,"090 George Ford, South Mistyside, MI 70422",West Courtneyland,Land,422094,Available
P00201,"01900 Douglas Pass, South Stephanie, TN 06231",North Angela,Condo,1626078,Rented
P00202,"146 Eugene Meadow, South Anthony, OR 96309",Port Jonathanport,Apartment,1704826,Rented
P00203,"87992 Lutz Motorway Apt. 167, Lake Anthony, LA 79907",Vegabury,Apartment,820957,Rented
P00204,"8635 Tiffany Ridge, West Shawn, TN 58964",East Monicafort,House,1567612,Sold
P00205,"458 Moses Radial Suite 999, Port Seanshire, NE 05869",Lake Joshua,Apartment,1012194,Sold
P00206,"113 Crystal Flat, Lake Bradleyview, RI 35760",Perryfort,House,1443789,Available
P00207,"051 Callahan Junctions, Port Heather, MS 18818",Kington,Condo,1679943,Rented
P00208,"4095 William Rest, Baileymouth, MA 95880",Bruceside,House,1944299,Sold
P00209,"USNS Davidson, FPO AP 53278",Stanleystad,Land,506953,Available
P00210,"9325 Wilson Mission Apt. 975, Davidfurt, RI 98700",Christopherport,Condo,1024842,Rented
P00211,"207 Cox Ports Apt. 471, New Melissa, IN 67546",Boyleview,Apartment,1721641,Sold
P00212,"4402 Evelyn Villages Suite 086, Gordonberg, AZ 45740",Lake Cynthiamouth,Condo,1354040,Rented
P00213,"57390 Benjamin Square Apt. 717, Ericton, FM 49260",Ryanfurt,Land,1025458,Rented
P00214,"269 Robinson Vista Apt. 776, Lake Virginia, CO 19965",Jenniferport,Apartment,1088922,Rented
P00215,"95404 Perry Fort, Katherinemouth, DE 89532",Rossburgh,House,413977,Available
P00216,"56647 Anthony Hollow, Trevorview, MI 46616",North Timothy,Condo,1818268,Available
P00217,"10638 Yang Roads Apt. 483, Mccoymouth, AS 39757",Lindashire,Land,1360966,Sold
P00218,"326 Weaver Camp Apt. 606, East Stephen, ME 95125",Leeville,Apartment,1008957,Rented
P00219,"657 Ray Trail Suite 907, South Thomasstad, CO 81572",North Joann,House,82431,Rented
P00220,"1909 Miller Dam, Banksfurt, LA 72103",Port Olivia,Condo,1658045,Rented
P00221,"265 Tyler Walks Apt. 563, Rodriguezburgh, NE 33417",Craigchester,Apartment,1839132,Sold
P00222,"854 Harris Light, Beckerbury, KS 58807",North Alexis,Land,867076,Sold
P00223,"670 Stanley Mountain Apt. 163, Lake Samuel, FM 64161",South Robertbury,Apartment,986296,Available
P00224,"29783 Smith Port, Rogersville, RI 79736",West Brian,House,297300,Rented
P00225,"362 Walker Greens, Johnhaven, IL 82800",Lake Penny,Condo,1247504,Available
P00226,"951 Schroeder Passage Apt. 847, Erichaven, KS 31934",Thomasland,Land,1048388,Rented
P00227,"4940 Timothy Viaduct, Adamchester, PW 76033",Thomasview,Land,1454828,Available
P00228,"66432 Daniel Mills, Lake Kathyland, NH 93638",New Rebeccaburgh,Condo,1596369,Available
P00229,"5561 Richard Ways Apt. 072, Atkinshaven, OR 57198",Reesemouth,Condo,1360454,Sold
P00230,"5262 Marquez Shoals, Ramseyfurt, OH 64608",Bradleyfurt,Condo,521816,Available
P00231,"3102 Myers Ranch Apt. 475, Smithville, FM 07330",Reynoldsport,Land,1157946,Rented
P00232,"USNS Graves, FPO AA 43335",Melissatown,Condo,1855450,Rented
P00233,"536 Heath Pike, Port Richard, RI 23193",South Justin,Condo,1898434,Sold
P00234,"152 Poole Loaf, Parkermouth, FM 25346",Port Natalieport,Apartment,814076,Sold
P00235,"427 Paul Park, Carterburgh, PA 96203",West Victoriaport,House,940136,Sold
P00236,"380 Laura Streets, Woodchester, IA 49132",Melissaland,Condo,65492,Rented
P00237,"584 Jeffrey Village Apt. 107, Donaldmouth, ME 70462",East Heathermouth,House,1697536,Rented
P00238,"7177 Alyssa Ferry Apt. 252, Brentbury, WI 89802",Lake Roberthaven,Apartment,429925,Sold
P00239,"5032 Mark Land Suite 924, Hillfurt, ME 35385",New Crystal,Land,460966,Sold
P00240,"53837 Sylvia Ville, Port Harrymouth, NM 17579",Port Christy,Condo,597038,Rented
P00241,"9046 Jennifer Unions Suite 574, South Alexander, ME 86242",Edwardsfort,Condo,231890,Available
P00242,"72950 Luke Landing Suite 709, Port Cristina, VT 44029",West Michelleport,Land,1602115,Rented
P00243,"81406 Watson Pass, Wendyville, NE 29622",West Cherylport,Condo,491793,Sold
P00244,"11101 Donna Summit, Christopherchester, RI 85757",Oliverland,Land,502175,Rented
P00245,"132 Amanda Mills, Michaelfurt, AL 81720",Michaelberg,House,950498,Rented
P00246,"7504 Freeman Center, Bennettland, IN 95377",Butlerborough,Apartment,246772,Rented
P00247,"354 Smith Roads, East Melindaborough, WA 92577",Paulberg,Apartment,1089235,Available
P00248,"271 Williams Ranch Apt. 521, Port Matthew, AK 37229",Lake Amberbury,Land,534181,Available
P00249,"70069 Wiley Forge Apt. 313, Ashleytown, PW 64714",Dianamouth,Condo,1208381,Available
P00250,"22656 Morris Summit Apt. 298, Leonardchester, MA 91708",Michaelhaven,Condo,1139002,Available
P00251,"2996 Burgess Prairie, Paulside, TX 08430",South Maurice,House,67555,Rented
P00252,"USCGC Evans, FPO AP 63594",Kimberlyshire,House,1674189,Sold
P00253,"39381 Edwards Circles, Lisaport, AS 18739",North Danny,House,701937,Available
P00254,"4435 Margaret Shores Apt. 923, North David, NC 91323",East Johnny,Apartment,1258417,Sold
P00255,"Unit 8153 Box 3141, DPO AA 68536",Warnerton,Apartment,658360,Sold
P00256,"3805 Phillip Meadows, North Elizabethland, TN 45774",Lake Mark,Apartment,540368,Available
P00257,"1482 Richard Rest Suite 623, Jasonburgh, WI 05103",South Amy,Apartment,153684,Sold
P00258,"90555 Mcdowell Ford Apt. 177, North Julie, AS 31685",Olsonside,Apartment,556282,Available
P00259,"914 Grant Vista Suite 473, North Jonathan, KS 60640",Proctorview,Apartment,1913040,Rented
P00260,"7806 Mark Plain, Monicabury, UT 86847",Taylortown,Apartment,1171582,Sold
P00261,"923 Wright Burgs Apt. 357, Crystalstad, MA 36449",Lake Christopher,Apartment,1590425,Rented
P00262,"071 Chad Spring, New Peggy, CO 19314",South Steven,Condo,150225,Rented
P00263,"4484 Matthew Trail, Wallerburgh, ID 59798",New Robertshire,Apartment,262252,Sold
P00264,"406 Dennis Lodge Suite 018, Stephanieton, WA 36425",Rowlandshire,House,652187,Sold
P00265,"2988 Christopher Cape Apt. 446, East Shannonfort, TN 63644",Port Staceytown,Land,1698070,Rented
P00266,"620 Michael Mission, Scottmouth, DE 47647",West Stephanie,Condo,153451,Rented
P00267,"PSC 7042, Box 4779, APO AP 60723",Markside,Land,403534,Sold
P00268,"77069 Johnson Turnpike, West Nicholasmouth, WA 04437",Josestad,Apartment,284781,Available
P00269,"827 Alicia Wells, Joshuachester, AZ 34546",Rachelton,Land,1884676,Available
P00270,"68657 Michael Rest, Robertshaven, WV 88644",West Travisside,Condo,175254,Available
P00271,"44893 English Mountain, Melissaville, RI 80054",Nicolestad,Condo,1966372,Rented
P00272,"68737 Evan Meadow, Anthonytown, MS 38148",North Jason,House,1817227,Sold
P00273,"726 Hatfield Points Apt. 169, Patriciafort, NH 76362",Lake Jenniferstad,Land,1861910,Rented
P00274,"181 Lisa Mission Suite 984, Claudiaport, LA 87394",Bennettberg,Land,1130734,Available
P00275,"54890 Brown Dale, Port Wandaside, PA 31609",Stephaniemouth,Apartment,774852,Rented
P00276,"5189 Mark Crest Suite 550, Floresburgh, AR 52436",West Randy,Condo,1827884,Available
P00277,"253 David Expressway, New Tanyabury, SC 02903",Lake Waltershire,Apartment,405706,Sold
P00278,"528 Mcdonald Lights Suite 926, New Pamborough, MI 39839",New Dawnhaven,House,1168955,Sold
P00279,"266 Martinez Rapids, Ballardport, NY 61779",South Autumn,Land,1771894,Available
P00280,"63544 Gary River, East Stephanie, AK 23032",North Colleen,Apartment,319343,Rented
P00281,"3125 Flores Crossroad, Port Erika, SD 22389",East Albert,Land,1792573,Sold
P00282,"38048 James Ridge, New Michellestad, MN 57732",South Scott,Land,427724,Sold
P00283,"199 Michael Islands Suite 547, East Jennifer, PA 63999",West Jessica,Land,843499,Available
P00284,"84946 Crystal Brooks Apt. 542, Anitatown, LA 19478",South Jeffreyberg,Condo,1685478,Sold
P00285,"4724 Dean Island, East Jennifer, LA 72149",Johnton,Apartment,1116447,Rented
P00286,"USS Jones, FPO AP 44577",Garciatown,Apartment,285648,Rented
P00287,"413 Hernandez Rue Apt. 850, South Nicholasmouth, ME 76859",West Alfred,Condo,1428908,Sold
P00288,"4856 Cervantes Locks, Savannahview, SD 82666",West Paula,House,468456,Rented
