bookingID,guestID,roomID,checkIn,checkOut,status
B10101,G01562,R0182,2025-06-15,2025-06-15,Checked Out
B10102,G00946,R0289,2025-03-09,2025-03-09,Checked In
B10103,G01153,R0114,2023-08-14,2023-08-14,Checked Out
B10104,G00581,R0302,2024-04-13,2024-04-13,Confirmed
B10105,G00601,R0678,2024-03-16,2024-03-16,Cancelled
B10106,G01416,R0765,2025-05-12,2025-05-12,Checked In
B10107,G01526,R0014,2023-12-16,2023-12-16,Cancelled
B10108,G00089,R0718,2024-05-20,2024-05-20,Checked Out
B10109,G00715,R0634,2024-05-10,,Checked In
B10110,G00638,R0042,2023-12-01,2023-12-01,Cancelled
B10111,G01658,R0250,2024-06-02,2024-06-02,Checked Out
B10112,G00843,R0293,2024-02-07,2024-02-07,Cancelled
B10113,G00788,R0609,2024-01-03,2024-01-03,Confirmed
B10114,G00040,R0604,2023-12-16,2023-12-16,Cancelled
B10115,G00880,R0166,2023-07-24,,Checked Out
B10116,G00404,R0727,2024-12-01,,Checked In
B10117,G00449,R0759,2024-01-03,2024-01-03,Checked Out
B10118,G01449,R0454,2025-03-07,,Confirmed
B10119,G01689,R0263,2024-11-19,2024-11-19,Confirmed
B10120,G00622,R0711,2024-08-23,2024-08-23,Checked Out
B10121,G00149,R0257,2023-11-08,2023-11-08,Confirmed
B10122,G00754,R0912,2025-05-06,2025-05-06,Checked Out
B10123,G00834,R0886,2024-04-08,2024-04-08,Checked Out
B10124,G00408,R0383,2023-12-03,2023-12-03,Cancelled
B10125,G00679,R0550,2023-07-03,2023-07-03,Cancelled
B10126,G01760,R0773,2024-01-02,,Cancelled
B10127,G01060,R0246,2024-06-22,2024-06-22,Confirmed
B10128,G00109,R0171,2024-02-25,2024-02-25,Confirmed
B10129,G01804,R0494,2024-12-22,2024-12-22,Cancelled
B10130,G00883,R0355,2025-05-09,2025-05-09,Cancelled
B10131,G00561,R0077,2024-11-02,2024-11-02,Checked Out
B10132,G01548,R0168,2025-05-12,2025-05-12,Checked In
B10133,G01910,R0616,2025-05-20,2025-05-20,Checked In
B10134,G00649,R0101,2025-05-26,2025-05-26,Checked Out
B10135,G00443,R0066,2024-11-11,2024-11-11,Confirmed
B10136,G00569,R0228,2023-09-15,2023-09-15,Confirmed
B10137,G01042,R0815,2024-04-20,2024-04-20,Checked In
B10138,G00078,R0980,2025-03-02,2025-03-02,Checked Out
B10139,G01740,R0200,2025-01-31,,Cancelled
B10140,G01710,R0381,2025-06-10,2025-06-10,Checked In
B10141,G00416,R0038,2023-11-07,2023-11-07,Cancelled
B10142,G01513,R0914,2024-03-05,2024-03-05,Checked In
B10143,G00876,R0090,2024-07-23,2024-07-23,Cancelled
B10144,G01942,R0433,2023-09-25,2023-09-25,Checked Out
B10145,G01165,R0345,2024-07-07,2024-07-07,Checked In
B10146,G00386,R0189,2023-12-16,2023-12-16,Confirmed
B10147,G01839,R0732,2023-08-06,2023-08-06,Confirmed
B10148,G00496,R0204,2024-12-10,2024-12-10,Checked Out
B10149,G00424,R0772,2023-07-14,,Checked In
B10150,G00445,R0445,2024-05-10,2024-05-10,Confirmed
B10151,G01379,R0907,2024-10-20,2024-10-20,Checked Out
B10152,G00545,R0884,2024-02-23,2024-02-23,Checked Out
B10153,G00354,R0574,2024-08-21,2024-08-21,Checked In
B10154,G01985,R0070,2023-09-19,2023-09-19,Checked Out
B10155,G00595,R0075,2024-01-06,,Confirmed
B10156,G00201,R0631,2023-11-30,2023-11-30,Checked In
B10157,G00907,R0191,2024-12-28,2024-12-28,Checked Out
B10158,G01287,R0092,2023-09-21,2023-09-21,Checked Out
B10159,G01117,R0806,2024-05-14,2024-05-14,Cancelled
B10160,G00949,R0856,2024-03-02,2024-03-02,Checked In
B10161,G01298,R0897,2024-04-12,2024-04-12,Cancelled
B10162,G01322,R0561,2024-09-22,2024-09-22,Confirmed
B10163,G01215,R0297,2024-08-13,2024-08-13,Checked Out
B10164,G00931,R0631,2023-11-05,2023-11-05,Confirmed
B10165,G00350,R0078,2023-09-23,2023-09-23,Checked Out
B10166,G00236,R0588,2024-02-01,2024-02-01,Checked In
B10167,G01109,R0187,2024-11-09,2024-11-09,Checked In
B10168,G00309,R0825,2024-10-11,,Cancelled
B10169,G00457,R0781,2024-09-26,,Confirmed
B10170,G01810,R0500,2023-10-01,2023-10-01,Cancelled
B10171,G01092,R0501,2024-01-14,2024-01-14,Confirmed
B10172,G00372,R0834,2024-01-29,2024-01-29,Checked Out
B10173,G01882,R0009,2024-12-14,2024-12-14,Checked In
B10174,G01278,R0395,2024-04-05,,Cancelled
B10175,G01540,R0474,2024-05-10,,Checked In
B10176,G00308,R0717,2024-02-07,2024-02-07,Checked In
B10177,G01180,R0277,2024-09-01,,Checked In
B10178,G00114,R0891,2024-06-04,2024-06-04,Confirmed
B10179,G01476,R0342,2024-10-08,2024-10-08,Confirmed
B10180,G01620,R0348,2023-07-28,2023-07-28,Confirmed
B10181,G00562,R0613,2024-04-25,2024-04-25,Checked Out
B10182,G01164,R0326,2025-06-07,,Checked Out
B10183,G01514,R0541,2024-12-22,,Checked In
B10184,G00492,R0420,2024-09-14,2024-09-14,Checked Out
B10185,G00311,R0290,2024-11-13,,Confirmed
B10186,G00597,R0191,2024-08-11,,Cancelled
B10187,G01084,R0031,2025-05-02,2025-05-02,Checked In
B10188,G01069,R0562,2024-06-21,2024-06-21,Checked Out
B10189,G00451,R0441,2023-08-20,2023-08-20,Checked In
B10190,G00273,R0506,2025-01-12,2025-01-12,Cancelled
B10191,G00547,R0938,2024-04-26,2024-04-26,Confirmed
B10192,G01183,R0014,2024-02-22,2024-02-22,Checked Out
B10193,G01781,R0597,2024-12-16,2024-12-16,Confirmed
B10194,G01907,R0779,2023-07-23,2023-07-23,Cancelled
B10195,G00873,R0837,2023-09-28,,Checked Out
B10196,G00188,R0691,2023-09-05,2023-09-05,Cancelled
B10197,G01022,R0615,2024-09-01,2024-09-01,Confirmed
B10198,G01631,R0437,2023-06-28,2023-06-28,Cancelled
B10199,G00566,R0111,2025-03-31,2025-03-31,Checked In
B10200,G01968,R0445,2025-03-28,,Confirmed
B10201,G00722,R0739,2024-02-04,2024-02-04,Confirmed
B10202,G01537,R0728,2023-12-17,,Checked Out
B10203,G00874,R0501,2023-09-05,2023-09-05,Checked In
B10204,G00268,R0595,2024-02-02,2024-02-02,Checked Out
B10205,G00006,R0212,2025-02-16,2025-02-16,Cancelled
B10206,G00796,R0573,2024-06-19,2024-06-19,Cancelled
B10207,G01936,R0135,2024-04-09,2024-04-09,Cancelled
B10208,G00499,R0737,2024-07-13,2024-07-13,Confirmed
B10209,G00683,R0413,2023-08-13,2023-08-13,Confirmed
B10210,G00466,R0994,2023-12-28,2023-12-28,Confirmed
B10211,G00290,R0311,2025-05-29,2025-05-29,Checked In
B10212,G01417,R0920,2025-02-15,2025-02-15,Cancelled
B10213,G00488,R0392,2024-10-05,2024-10-05,Confirmed
B10214,G00348,R0516,2024-06-06,,Checked Out
B10215,G01959,R0504,2025-06-13,,Confirmed
B10216,G00878,R0223,2024-07-15,,Checked Out
B10217,G00095,R0524,2024-05-07,2024-05-07,Cancelled
B10218,G00046,R0479,2025-02-20,,Confirmed
B10219,G01257,R0301,2025-01-15,,Checked Out
B10220,G00255,R0713,2025-02-02,2025-02-02,Cancelled
B10221,G00900,R0315,2024-08-27,,Checked Out
B10222,G01553,R0178,2023-07-30,2023-07-30,Confirmed
B10223,G01264,R0411,2023-07-21,,Confirmed
B10224,G01653,R0608,2024-12-11,2024-12-11,Checked Out
B10225,G01616,R0573,2023-10-24,2023-10-24,Checked In
B10226,G01019,R0328,2024-11-28,2024-11-28,Confirmed
B10227,G01647,R0307,2023-12-28,2023-12-28,Checked Out
B10228,G00945,R0393,2025-02-20,2025-02-20,Checked In
B10229,G00382,R0862,2023-07-16,2023-07-16,Cancelled
B10230,G01105,R0501,2025-02-03,,Checked In
B10231,G01416,R0371,2024-10-14,2024-10-14,Confirmed
B10232,G00926,R0200,2025-05-11,2025-05-11,Checked Out
B10233,G01731,R0832,2024-01-03,2024-01-03,Checked In
B10234,G00762,R0535,2024-02-24,,Confirmed
B10235,G01524,R0226,2023-10-26,2023-10-26,Cancelled
B10236,G01951,R0275,2024-07-04,2024-07-04,Confirmed
B10237,G00068,R0916,2024-09-11,,Confirmed
B10238,G01487,R0317,2023-07-15,,Checked Out
B10239,G00325,R0229,2025-05-21,2025-05-21,Checked In
B10240,G01327,R0097,2023-09-30,2023-09-30,Confirmed
B10241,G01252,R0887,2024-10-15,2024-10-15,Cancelled
B10242,G00442,R0123,2023-11-28,,Cancelled
B10243,G00081,R0903,2024-09-22,2024-09-22,Cancelled
B10244,G00630,R0820,2023-10-15,2023-10-15,Checked Out
B10245,G00732,R0542,2025-05-31,2025-05-31,Checked In
B10246,G00674,R0203,2023-11-14,2023-11-14,Checked In
B10247,G01503,R0183,2024-05-24,2024-05-24,Cancelled
B10248,G01971,R0087,2024-04-12,2024-04-12,Checked In
B10249,G00709,R0435,2024-04-15,2024-04-15,Confirmed
B10250,G00427,R0865,2023-12-19,2023-12-19,Cancelled
B10251,G00578,R0083,2025-04-14,,Cancelled
B10252,G00489,R0549,2025-02-28,2025-02-28,Confirmed
B10253,G01822,R0347,2024-07-05,2024-07-05,Confirmed
B10254,G00054,R0266,2023-09-10,2023-09-10,Checked Out
B10255,G00010,R0382,2025-06-17,,Checked Out
B10256,G00017,R0947,2024-08-26,,Confirmed
B10257,G01306,R0167,2023-08-30,2023-08-30,Checked In
B10258,G01382,R0595,2023-07-23,2023-07-23,Checked In
B10259,G01076,R0595,2025-01-15,2025-01-15,Confirmed
B10260,G00940,R0077,2024-06-16,,Cancelled
B10261,G01157,R0897,2024-12-11,2024-12-11,Checked In
B10262,G00723,R0777,2025-05-15,2025-05-15,Cancelled
B10263,G01761,R0646,2024-09-24,2024-09-24,Cancelled
B10264,G00887,R0374,2024-07-06,,Checked Out
B10265,G00877,R0696,2024-03-13,2024-03-13,Cancelled
B10266,G00733,R0694,2025-05-29,2025-05-29,Confirmed
B10267,G01977,R0875,2024-10-25,2024-10-25,Cancelled
B10268,G00243,R0112,2024-06-12,2024-06-12,Confirmed
B10269,G01890,R0655,2025-04-09,,Checked In
B10270,G00112,R0365,2024-03-30,,Cancelled
B10271,G01406,R0490,2024-01-11,2024-01-11,Confirmed
B10272,G00720,R0976,2025-06-09,2025-06-09,Checked Out
B10273,G01282,R0733,2024-04-29,,Checked In
B10274,G01036,R0251,2024-08-28,2024-08-28,Checked Out
B10275,G01884,R0895,2023-12-02,,Cancelled
B10276,G01392,R0696,2024-02-10,,Confirmed
B10277,G01168,R0891,2023-08-29,2023-08-29,Checked Out
B10278,G01709,R0834,2025-01-24,2025-01-24,Checked Out
B10279,G00140,R0574,2024-02-15,,Checked In
B10280,G01301,R0830,2025-04-19,2025-04-19,Cancelled
B10281,G01935,R0774,2024-05-03,2024-05-03,Checked Out
B10282,G00211,R0208,2025-04-27,,Cancelled
B10283,G01076,R0292,2023-10-12,2023-10-12,Checked Out
B10284,G01104,R0491,2025-03-29,,Checked Out
B10285,G00009,R0219,2024-07-25,,Confirmed
B10286,G00118,R0602,2025-05-13,2025-05-13,Confirmed
B10287,G00587,R0345,2024-10-03,2024-10-03,Cancelled
B10288,G00099,R0531,2023-12-20,2023-12-20,Checked Out
B10289,G00144,R0144,2024-08-16,2024-08-16,Confirmed
B10290,G01756,R0365,2023-12-13,2023-12-13,Checked Out
B10291,G00049,R0808,2024-07-12,2024-07-12,Confirmed
B10292,G01276,R0867,2024-10-15,,Checked Out
B10293,G00699,R0019,2024-03-06,2024-03-06,Cancelled
B10294,G00352,R0912,2024-10-30,2024-10-30,Cancelled
B10295,G00672,R0526,2024-04-19,2024-04-19,Cancelled
B10296,G00552,R0225,2024-12-31,2024-12-31,Checked Out
B10297,G00532,R0732,2024-05-28,2024-05-28,Confirmed
B10298,G00072,R0988,2025-04-04,2025-04-04,Checked Out
B10299,G00575,R0914,2023-07-24,2023-07-24,Checked Out
B10300,G01344,R0063,2024-04-05,2024-04-05,Checked In
B10301,G01348,R0702,2023-06-19,,Cancelled
B10302,G01696,R0514,2024-10-11,2024-10-11,Checked In
B10303,G00994,R0392,2025-01-06,2025-01-06,Checked Out
B10304,G00104,R0781,2025-05-18,2025-05-18,Cancelled
B10305,G00584,R0461,2023-12-13,,Cancelled
B10306,G01462,R0808,2023-10-25,2023-10-25,Checked Out
B10307,G00119,R0227,2025-05-24,2025-05-24,Checked Out
B10308,G01888,R0905,2023-10-02,2023-10-02,Cancelled
B10309,G00155,R0522,2024-08-08,2024-08-08,Checked In
B10310,G01194,R0682,2023-11-18,2023-11-18,Checked Out
B10311,G00041,R0308,2024-05-09,2024-05-09,Confirmed
B10312,G00320,R0967,2024-12-01,2024-12-01,Cancelled
B10313,G01553,R0501,2024-04-08,2024-04-08,Checked In
B10314,G01035,R0084,2024-09-05,2024-09-05,Checked Out
B10315,G00932,R0269,2023-06-21,2023-06-21,Cancelled
B10316,G01959,R0892,2024-02-22,,Checked In
B10317,G00779,R0878,2024-06-21,2024-06-21,Checked In
B10318,G00419,R0211,2024-07-24,2024-07-24,Confirmed
B10319,G00755,R0872,2024-11-17,2024-11-17,Cancelled
B10320,G01853,R0435,2025-02-27,2025-02-27,Cancelled
B10321,G01955,R0334,2025-02-04,,Checked In
B10322,G00793,R0039,2023-11-27,2023-11-27,Checked In
B10323,G00273,R0404,2024-12-24,2024-12-24,Checked Out
B10324,G01658,R0713,2025-06-15,2025-06-15,Cancelled
B10325,G01871,R0246,2024-02-02,2024-02-02,Checked Out
B10326,G00010,R0456,2024-05-23,,Checked In
B10327,G01034,R0847,2024-10-09,2024-10-09,Confirmed
B10328,G00465,R0503,2025-02-23,2025-02-23,Confirmed
B10329,G01344,R0158,2024-01-08,2024-01-08,Checked Out
B10330,G00065,R0928,2024-09-21,2024-09-21,Cancelled
B10331,G01769,R0589,2023-12-05,2023-12-05,Confirmed
B10332,G01454,R0715,2025-06-05,2025-06-05,Checked In
B10333,G01396,R0286,2024-12-19,2024-12-19,Checked In
B10334,G01252,R1000,2023-10-13,2023-10-13,Cancelled
B10335,G00382,R0691,2024-05-27,2024-05-27,Cancelled
B10336,G00717,R0579,2025-01-22,2025-01-22,Checked In
B10337,G01325,R0425,2023-09-04,,Cancelled
B10338,G00445,R0328,2023-08-15,2023-08-15,Confirmed
B10339,G01166,R0948,2025-05-05,2025-05-05,Cancelled
B10340,G01619,R0286,2025-05-23,2025-05-23,Checked In
B10341,G01506,R0066,2024-04-05,,Confirmed
B10342,G00047,R0890,2024-06-11,,Confirmed
B10343,G00525,R0715,2024-11-14,,Checked Out
B10344,G01485,R0093,2023-11-27,2023-11-27,Checked In
B10345,G00449,R0711,2024-10-26,2024-10-26,Checked In
B10346,G01014,R0082,2024-04-13,2024-04-13,Checked Out
B10347,G00270,R0604,2025-06-18,2025-06-18,Confirmed
B10348,G01409,R0151,2024-12-23,2024-12-23,Checked Out
B10349,G00813,R0761,2023-11-26,2023-11-26,Checked Out
B10350,G01014,R0290,2023-06-22,,Checked In
B10351,G01493,R0281,2024-10-04,2024-10-04,Cancelled
B10352,G01892,R0141,2025-06-14,,Cancelled
B10353,G01032,R0064,2023-10-18,2023-10-18,Checked Out
B10354,G01706,R0303,2023-07-27,,Checked Out
B10355,G01654,R0170,2025-04-25,2025-04-25,Cancelled
B10356,G01190,R0173,2024-02-16,2024-02-16,Confirmed
B10357,G01735,R0228,2025-04-13,2025-04-13,Confirmed
B10358,G01688,R0076,2024-08-20,2024-08-20,Confirmed
B10359,G01983,R0357,2024-11-15,2024-11-15,Checked In
B10360,G01334,R0152,2025-03-13,2025-03-13,Checked Out
B10361,G01120,R0180,2024-03-17,2024-03-17,Cancelled
B10362,G00074,R0341,2025-02-21,2025-02-21,Checked Out
B10363,G01729,R0759,2024-08-06,2024-08-06,Checked In
B10364,G01548,R0085,2025-02-27,,Confirmed
B10365,G01457,R0771,2023-12-29,2023-12-29,Cancelled
B10366,G00293,R0739,2023-11-05,2023-11-05,Cancelled
B10367,G01573,R0011,2025-02-17,2025-02-17,Confirmed
B10368,G01763,R0176,2024-07-01,,Cancelled
B10369,G01648,R0448,2025-02-06,2025-02-06,Checked Out
B10370,G01640,R0112,2024-07-19,2024-07-19,Confirmed
B10371,G01046,R0971,2024-11-06,2024-11-06,Checked Out
B10372,G01858,R0022,2024-09-25,2024-09-25,Confirmed
B10373,G00307,R0734,2024-02-16,2024-02-16,Confirmed
B10374,G00890,R0813,2024-03-23,,Checked In
B10375,G00499,R0273,2025-06-01,2025-06-01,Checked Out
B10376,G00682,R0169,2025-02-03,,Cancelled
B10377,G01333,R0366,2025-04-03,,Checked Out
B10378,G00705,R0001,2023-06-22,2023-06-22,Checked In
B10379,G00277,R0478,2024-01-24,2024-01-24,Checked Out
B10380,G01144,R0969,2024-10-16,2024-10-16,Checked Out
B10381,G01654,R0822,2024-10-14,2024-10-14,Checked Out
B10382,G00935,R0803,2024-06-16,2024-06-16,Confirmed
B10383,G00302,R0859,2023-09-11,2023-09-11,Confirmed
B10384,G00874,R0705,2025-03-26,,Checked Out
B10385,G00704,R0464,2025-02-27,,Checked Out
B10386,G00618,R0554,2023-08-19,2023-08-19,Checked In
B10387,G01273,R0012,2023-08-11,2023-08-11,Cancelled
B10388,G00550,R0407,2024-07-03,2024-07-03,Cancelled
B10389,G00954,R0204,2024-06-06,2024-06-06,Confirmed
B10390,G00554,R0084,2024-01-30,2024-01-30,Cancelled
B10391,G01295,R0708,2023-12-29,2023-12-29,Checked Out
B10392,G01800,R0750,2024-02-28,2024-02-28,Checked Out
B10393,G00995,R0556,2025-01-05,2025-01-05,Cancelled
B10394,G00956,R0919,2025-01-27,2025-01-27,Checked In
B10395,G00650,R0827,2025-01-02,2025-01-02,Confirmed
B10396,G01467,R0640,2024-07-10,2024-07-10,Checked Out
B10397,G01457,R0421,2024-06-08,2024-06-08,Cancelled
B10398,G01711,R0378,2024-03-24,2024-03-24,Checked Out
B10399,G01183,R0287,2025-01-21,2025-01-21,Checked Out
B10400,G00156,R0042,2023-07-15,2023-07-15,Confirmed
B10401,G00620,R0833,2024-07-22,2024-07-22,Checked Out
B10402,G01804,R0192,2024-12-18,,Confirmed
B10403,G00175,R0199,2024-11-03,2024-11-03,Checked Out
B10404,G00763,R0742,2023-12-18,2023-12-18,Cancelled
B10405,G00441,R0101,2023-07-11,,Cancelled
B10406,G00557,R0477,2025-05-20,2025-05-20,Confirmed
B10407,G01049,R0523,2024-04-26,,Checked In
B10408,G01580,R0867,2024-04-12,,Checked In
B10409,G00829,R0284,2024-05-02,,Cancelled
B10410,G01379,R0747,2024-12-18,2024-12-18,Checked Out
B10411,G00608,R0526,2024-07-15,2024-07-15,Confirmed
B10412,G01350,R0434,2023-07-19,2023-07-19,Checked Out
B10413,G00882,R0205,2024-02-05,2024-02-05,Checked In
B10414,G00950,R0448,2024-12-23,2024-12-23,Checked In
B10415,G00030,R0805,2024-02-01,2024-02-01,Confirmed
B10416,G00135,R0116,2024-03-25,2024-03-25,Checked Out
B10417,G01675,R0828,2025-03-06,2025-03-06,Confirmed
B10418,G01296,R0473,2023-11-18,2023-11-18,Checked Out
B10419,G01157,R0064,2023-10-01,2023-10-01,Confirmed
B10420,G00699,R0833,2024-05-17,2024-05-17,Confirmed
B10421,G01465,R0876,2025-03-08,2025-03-08,Confirmed
B10422,G01506,R0345,2023-06-30,,Confirmed
B10423,G00231,R0645,2023-09-16,2023-09-16,Checked Out
B10424,G01770,R0965,2024-05-29,2024-05-29,Checked In
B10425,G00150,R0165,2023-07-05,,Cancelled
B10426,G00051,R0273,2023-09-18,,Cancelled
B10427,G00592,R0575,2024-01-04,2024-01-04,Cancelled
B10428,G00624,R0003,2023-12-29,2023-12-29,Cancelled
B10429,G01513,R0152,2024-12-24,2024-12-24,Checked In
B10430,G01766,R0029,2024-10-13,2024-10-13,Confirmed
B10431,G01557,R0297,2025-05-27,,Checked Out
B10432,G00872,R0123,2023-07-24,2023-07-24,Confirmed
B10433,G01239,R0220,2025-03-09,2025-03-09,Checked In
B10434,G01231,R0772,2024-04-01,2024-04-01,Checked In
B10435,G00886,R0047,2025-05-14,2025-05-14,Confirmed
B10436,G01785,R0065,2023-10-15,2023-10-15,Checked In
B10437,G01245,R0674,2024-02-18,2024-02-18,Cancelled
B10438,G00140,R0155,2024-10-31,,Cancelled
B10439,G01683,R0362,2023-08-01,2023-08-01,Cancelled
B10440,G00186,R0026,2023-10-15,2023-10-15,Checked Out
B10441,G00987,R0142,2024-06-26,2024-06-26,Checked Out
B10442,G01104,R0112,2024-01-30,,Cancelled
B10443,G01108,R0792,2024-07-03,2024-07-03,Cancelled
B10444,G01426,R0599,2024-12-07,2024-12-07,Cancelled
B10445,G01726,R0643,2023-10-13,2023-10-13,Cancelled
B10446,G01511,R0614,2024-01-10,2024-01-10,Confirmed
B10447,G00047,R0732,2024-05-09,,Cancelled
B10448,G01040,R0526,2023-11-08,2023-11-08,Confirmed
B10449,G00958,R0703,2024-06-09,2024-06-09,Checked In
B10450,G01745,R0669,2023-07-11,2023-07-11,Cancelled
B10451,G01558,R0264,2024-08-25,2024-08-25,Checked Out
B10452,G01336,R0256,2024-06-04,2024-06-04,Confirmed
B10453,G01597,R0970,2023-12-05,2023-12-05,Confirmed
B10454,G01508,R0739,2023-12-27,2023-12-27,Checked In
B10455,G00418,R0982,2024-11-27,2024-11-27,Checked In
B10456,G01213,R0893,2023-12-27,,Checked Out
B10457,G01440,R0846,2024-06-14,2024-06-14,Checked Out
B10458,G00272,R0343,2025-05-25,,Checked Out
