serviceID,bookingID,serviceType,amount,date
S20094,B12019,Restaurant,26,2025-04-05
S20095,B12345,Spa,337,2023-12-09
S20096,B13856,Laundry,102,2023-10-29
S20097,B13917,Laundry,445,2023-09-12
S20098,B12353,Restaurant,305,2024-07-10
S20099,B12317,Spa,145,2024-07-22
S20100,B12088,Room Service,264,2023-09-16
S20101,B10406,Transport,348,2025-05-21
S20102,B12667,Room Service,375,2024-04-30
S20103,B13506,Laundry,152,2023-07-20
S20104,B11974,Laundry,232,2025-05-26
S20105,B11649,Spa,102,2024-08-01
S20106,B12106,Transport,137,2024-08-28
S20107,B10281,Transport,26,2024-09-16
S20108,B11433,Spa,116,2025-04-22
S20109,B10508,Restaurant,132,2023-10-26
S20110,B13646,Spa,47,2023-07-09
S20111,B10108,Spa,300,2025-06-17
S20112,B10431,Transport,270,2025-05-16
S20113,B10002,Transport,328,2024-06-21
S20114,B11626,Restaurant,382,2024-07-15
S20115,B13754,Transport,412,2024-03-20
S20116,B13643,Transport,387,2024-02-06
S20117,B10031,Transport,39,2023-10-10
S20118,B10456,Spa,291,2025-05-15
S20119,B10353,Restaurant,198,2023-08-03
S20120,B11562,Restaurant,458,2024-04-14
S20121,B13290,Spa,350,2024-01-06
S20122,B10922,Restaurant,493,2024-08-09
S20123,B10027,Room Service,180,2024-12-18
S20124,B12950,Laundry,247,2024-05-31
S20125,B13520,Room Service,462,2024-01-19
S20126,B11799,Room Service,461,2024-11-17
S20127,B13830,Spa,316,2025-05-29
S20128,B11599,Transport,302,2023-12-17
S20129,B10287,Laundry,357,2023-10-12
S20130,B11481,Spa,406,2025-04-17
S20131,B10261,Spa,315,2025-03-07
S20132,B13268,Spa,157,2024-04-17
S20133,B13129,Spa,408,2024-03-29
S20134,B12461,Restaurant,200,2023-10-14
S20135,B13307,Laundry,248,2024-08-23
S20136,B11186,Spa,418,2025-05-15
S20137,B12608,Room Service,235,2023-11-20
S20138,B10782,Room Service,120,2024-01-02
S20139,B11834,Room Service,133,2023-12-02
S20140,B13592,Laundry,274,2024-10-03
S20141,B12007,Restaurant,300,2024-10-18
S20142,B11138,Room Service,41,2025-05-26
S20143,B10989,Spa,319,2025-04-02
S20144,B14000,Spa,71,2023-09-14
S20145,B10414,Restaurant,36,2024-09-09
S20146,B10276,Laundry,88,2025-05-20
S20147,B10306,Room Service,62,2023-07-28
S20148,B13285,Transport,318,2023-10-04
S20149,B10924,Spa,350,2024-06-24
S20150,B12091,Restaurant,342,2024-11-25
S20151,B13733,Restaurant,125,2024-03-28
S20152,B10536,Spa,351,2024-05-21
S20153,B13334,Spa,53,2024-01-03
S20154,B11261,Room Service,62,2024-06-26
S20155,B11126,Room Service,445,2025-05-22
S20156,B10185,Room Service,456,2025-05-08
S20157,B13805,Room Service,343,2024-01-06
S20158,B10029,Laundry,145,2024-01-26
S20159,B12827,Spa,151,2025-05-07
S20160,B11338,Transport,19,2024-02-16
S20161,B11790,Room Service,52,2025-03-02
S20162,B13388,Spa,371,2024-01-10
S20163,B11222,Laundry,396,2023-10-15
S20164,B13137,Spa,395,2025-02-25
S20165,B11283,Spa,84,2024-01-19
S20166,B10195,Transport,348,2024-12-17
S20167,B13266,Room Service,207,2024-12-21
S20168,B10123,Restaurant,230,2025-01-01
S20169,B10007,Restaurant,242,2024-11-07
S20170,B12509,Restaurant,366,2023-08-13
S20171,B12980,Room Service,136,2024-10-04
S20172,B10881,Transport,232,2024-07-05
S20173,B10926,Laundry,144,2023-09-01
S20174,B12160,Room Service,454,2024-10-10
S20175,B13344,Laundry,163,2025-01-25
S20176,B13079,Laundry,88,2025-04-25
S20177,B13877,Room Service,35,2024-07-31
S20178,B13131,Laundry,386,2023-09-01
S20179,B13733,Room Service,366,2024-05-25
S20180,B13021,Laundry,340,2023-11-04
S20181,B11324,Spa,165,2024-05-28
S20182,B10509,Transport,121,2024-01-06
S20183,B10301,Laundry,69,2024-10-06
S20184,B12135,Room Service,130,2024-07-12
S20185,B13922,Room Service,222,2024-12-08
S20186,B11361,Room Service,102,2024-08-26
S20187,B11313,Room Service,253,2024-02-19
S20188,B12132,Laundry,48,2024-04-08
S20189,B13977,Laundry,198,2024-10-10
S20190,B12142,Laundry,297,2024-06-11
S20191,B10459,Restaurant,101,2024-10-26
S20192,B11889,Laundry,409,2024-08-29
S20193,B12845,Room Service,424,2024-08-25
S20194,B11659,Laundry,328,2024-09-08
S20195,B12813,Transport,162,2024-08-25
S20196,B10287,Laundry,84,2025-05-23
S20197,B10603,Room Service,89,2024-08-29
S20198,B10685,Room Service,469,2023-07-12
S20199,B11255,Spa,281,2025-04-18
S20200,B10604,Spa,106,2024-05-01
S20201,B11965,Transport,182,2025-04-23
S20202,B13537,Spa,395,2024-04-09
S20203,B11128,Laundry,63,2024-07-25
S20204,B12328,Restaurant,461,2025-05-30
S20205,B13240,Room Service,37,2023-10-09
S20206,B10696,Transport,57,2024-12-01
S20207,B10683,Transport,69,2024-09-25
S20208,B10753,Restaurant,301,2024-01-20
S20209,B10487,Transport,110,2025-04-11
S20210,B11593,Restaurant,472,2024-08-14
S20211,B10244,Laundry,317,2025-02-19
S20212,B10467,Laundry,229,2025-04-29
S20213,B12423,Room Service,98,2024-05-05
S20214,B12047,Restaurant,409,2024-02-28
S20215,B11018,Room Service,435,2025-05-13
S20216,B10354,Transport,25,2024-11-14
S20217,B10673,Spa,222,2024-06-13
S20218,B12019,Transport,396,2024-07-16
S20219,B11835,Restaurant,78,2023-12-24
S20220,B10744,Spa,130,2023-11-09
S20221,B13375,Room Service,94,2025-04-27
S20222,B13853,Spa,22,2024-03-31
S20223,B13714,Spa,323,2024-05-09
S20224,B13823,Transport,470,2024-10-26
S20225,B10681,Spa,232,2025-02-25
S20226,B11966,Spa,220,2023-09-12
S20227,B12613,Transport,382,2024-03-15
S20228,B11549,Spa,143,2024-11-27
S20229,B11568,Restaurant,220,2024-07-24
S20230,B13147,Spa,283,2024-01-27
S20231,B10022,Room Service,217,2025-04-27
S20232,B12783,Restaurant,234,2023-07-25
S20233,B11529,Spa,246,2024-01-28
S20234,B13194,Transport,86,2024-08-06
S20235,B11920,Room Service,122,2024-05-09
S20236,B13100,Room Service,33,2023-12-01
S20237,B10244,Room Service,226,2024-04-01
S20238,B10373,Room Service,396,2024-07-13
S20239,B13472,Transport,79,2024-05-31
S20240,B11458,Restaurant,153,2025-02-05
S20241,B10055,Transport,389,2025-02-22
S20242,B13908,Laundry,275,2024-04-13
S20243,B13732,Restaurant,107,2025-03-13
S20244,B10788,Room Service,493,2025-01-15
S20245,B11577,Spa,137,2024-07-26
S20246,B10093,Restaurant,311,2025-05-03
S20247,B12859,Laundry,126,2024-04-28
S20248,B12275,Spa,183,2024-09-01
S20249,B11977,Laundry,168,2023-07-22
S20250,B11335,Restaurant,12,2024-07-19
S20251,B10535,Transport,49,2024-01-29
S20252,B12522,Spa,47,2023-08-28
S20253,B12849,Room Service,102,2024-03-18
S20254,B11683,Spa,253,2024-02-27
S20255,B13435,Transport,288,2023-09-19
S20256,B13188,Transport,438,2025-05-12
S20257,B11117,Transport,198,2025-01-23
S20258,B11911,Transport,107,2024-08-26
S20259,B10625,Restaurant,159,2024-06-01
S20260,B10490,Room Service,457,2024-01-23
S20261,B13459,Restaurant,34,2025-05-08
S20262,B11480,Restaurant,408,2023-12-27
S20263,B10754,Spa,215,2024-01-25
S20264,B10633,Room Service,345,2025-03-16
S20265,B10914,Spa,460,2024-08-02
S20266,B11042,Transport,336,2024-04-14
S20267,B11140,Room Service,343,2024-12-20
S20268,B12557,Room Service,346,2024-03-01
S20269,B11226,Transport,202,2024-03-22
S20270,B13806,Spa,301,2023-10-28
S20271,B12915,Room Service,285,2024-06-20
S20272,B11291,Laundry,439,2024-01-13
S20273,B13282,Spa,361,2024-02-10
S20274,B12381,Room Service,97,2024-10-05
S20275,B10511,Restaurant,135,2023-08-02
S20276,B13842,Room Service,399,2023-09-28
S20277,B11699,Spa,259,2023-11-17
S20278,B13269,Room Service,97,2024-05-07
S20279,B13928,Transport,68,2024-10-24
S20280,B11768,Transport,49,2025-04-14
S20281,B11229,Spa,480,2023-11-24
S20282,B11426,Spa,10,2024-10-15
S20283,B11064,Room Service,273,2023-09-15
S20284,B13509,Laundry,145,2024-01-26
S20285,B13548,Laundry,369,2024-08-04
S20286,B10124,Restaurant,377,2024-09-07
S20287,B13705,Restaurant,430,2024-06-13
S20288,B13859,Restaurant,154,2025-06-06
S20289,B12191,Transport,294,2024-11-02
S20290,B11358,Transport,98,2023-11-23
S20291,B10643,Restaurant,487,2023-06-21
S20292,B12816,Room Service,130,2023-09-17
S20293,B11596,Laundry,17,2024-07-29
S20294,B12404,Transport,175,2025-04-16
S20295,B13526,Room Service,387,2024-01-21
S20296,B13010,Room Service,181,2025-05-23
S20297,B11639,Room Service,499,2024-12-22
S20298,B11428,Room Service,241,2024-07-06
S20299,B11751,Restaurant,385,2024-12-11
S20300,B11220,Laundry,79,2023-12-25
S20301,B12829,Room Service,466,2023-11-24
S20302,B11626,Transport,184,2025-04-18
S20303,B10052,Restaurant,80,2025-04-10
S20304,B13438,Restaurant,296,2023-12-11
S20305,B11051,Transport,10,2025-05-10
S20306,B10490,Laundry,126,2023-07-21
S20307,B13080,Room Service,310,2024-02-24
S20308,B11966,Laundry,465,2024-02-27
S20309,B13137,Transport,68,2024-08-25
S20310,B12245,Spa,208,2024-07-23
S20311,B12276,Spa,228,2024-07-26
S20312,B13885,Laundry,398,2024-12-24
S20313,B11093,Room Service,263,2025-06-05
S20314,B13284,Spa,37,2023-12-06
S20315,B12284,Restaurant,459,2024-10-20
S20316,B11566,Room Service,131,2024-11-27
S20317,B12915,Restaurant,316,2023-11-15
S20318,B11750,Transport,141,2024-10-06
S20319,B13692,Laundry,254,2024-11-22
S20320,B11900,Spa,307,2023-07-11
S20321,B12505,Restaurant,267,2025-03-14
S20322,B13809,Spa,496,2025-03-19
S20323,B11512,Room Service,341,2024-08-01
S20324,B11703,Spa,257,2023-11-26
S20325,B12542,Restaurant,18,2024-09-01
S20326,B13753,Spa,240,2023-07-25
S20327,B12172,Laundry,328,2025-01-10
S20328,B13550,Restaurant,171,2024-04-04
S20329,B13488,Transport,218,2025-05-16
S20330,B10182,Transport,188,2024-06-18
S20331,B10079,Laundry,474,2024-04-17
S20332,B11300,Room Service,18,2023-07-26
S20333,B11091,Room Service,197,2025-06-14
S20334,B11070,Transport,474,2024-12-14
S20335,B13262,Room Service,101,2024-09-01
S20336,B10220,Room Service,391,2024-10-19
S20337,B13248,Laundry,142,2024-04-07
S20338,B10687,Room Service,137,2025-03-26
S20339,B10797,Room Service,323,2023-07-22
S20340,B11540,Room Service,345,2023-09-06
S20341,B11077,Spa,221,2024-06-13
S20342,B13965,Laundry,335,2024-05-02
S20343,B11800,Laundry,239,2024-05-06
S20344,B11090,Laundry,382,2024-09-17
S20345,B13485,Restaurant,103,2024-07-16
S20346,B10468,Transport,373,2024-11-10
S20347,B11753,Restaurant,419,2025-05-18
S20348,B11519,Spa,487,2023-10-16
S20349,B12306,Room Service,379,2023-10-17
S20350,B10455,Spa,404,2024-04-19
S20351,B11006,Restaurant,59,2023-08-19
S20352,B11322,Transport,211,2024-11-05
S20353,B11107,Laundry,159,2025-01-20
S20354,B10341,Room Service,395,2024-06-18
S20355,B13320,Room Service,230,2024-02-24
S20356,B13019,Transport,445,2024-07-17
S20357,B10746,Spa,231,2024-04-15
S20358,B13892,Transport,62,2025-01-28
S20359,B10880,Spa,165,2025-02-08
S20360,B13090,Room Service,477,2025-05-16
S20361,B11359,Room Service,54,2023-12-06
S20362,B11449,Transport,89,2025-01-09
S20363,B11824,Transport,343,2025-04-25
S20364,B10751,Transport,234,2023-07-21
S20365,B11194,Laundry,26,2025-02-02
S20366,B10416,Laundry,333,2024-04-18
S20367,B13652,Room Service,149,2023-10-04
S20368,B11769,Laundry,301,2024-12-13
S20369,B11065,Restaurant,133,2023-08-31
S20370,B10438,Spa,348,2023-12-09
S20371,B11606,Laundry,426,2023-10-18
S20372,B13644,Restaurant,132,2023-08-23
S20373,B11814,Spa,14,2023-07-27
S20374,B11745,Room Service,410,2024-02-29
S20375,B12673,Room Service,437,2024-08-30
S20376,B11885,Room Service,327,2023-08-08
S20377,B12828,Room Service,339,2024-01-01
S20378,B11624,Room Service,376,2024-07-28
S20379,B11517,Laundry,44,2025-01-17
S20380,B12263,Room Service,405,2023-10-26
S20381,B11867,Spa,454,2024-05-03
S20382,B12044,Room Service,38,2025-04-17
S20383,B11223,Laundry,349,2023-06-30
S20384,B13933,Laundry,393,2023-08-05
S20385,B12496,Spa,263,2023-12-30
S20386,B13154,Spa,153,2024-01-30
S20387,B11890,Spa,353,2023-07-01
S20388,B11213,Spa,210,2024-03-06
S20389,B11652,Room Service,70,2024-06-04
S20390,B11068,Spa,144,2024-08-19
S20391,B13436,Transport,38,2024-04-15
S20392,B12575,Spa,212,2024-11-08
S20393,B10124,Spa,499,2024-02-07
S20394,B12156,Room Service,335,2024-05-08
S20395,B13786,Laundry,223,2024-07-05
S20396,B13874,Room Service,11,2023-12-09
S20397,B10390,Room Service,208,2024-03-26
S20398,B10662,Laundry,261,2025-04-26
S20399,B12409,Transport,268,2023-06-25
S20400,B11089,Restaurant,490,2023-06-24
S20401,B13507,Spa,201,2025-03-13
S20402,B13449,Room Service,28,2025-03-14
S20403,B12543,Transport,366,2024-06-02
S20404,B11055,Restaurant,40,2024-12-03
S20405,B13464,Laundry,435,2024-04-24
S20406,B12630,Restaurant,376,2023-10-11
S20407,B12187,Room Service,424,2024-06-04
S20408,B12093,Transport,408,2023-12-20
S20409,B11697,Spa,233,2024-10-12
S20410,B10627,Restaurant,381,2025-01-10
S20411,B12309,Spa,133,2023-08-14
S20412,B10156,Restaurant,50,2024-06-10
S20413,B13878,Restaurant,292,2024-11-15
S20414,B13424,Spa,443,2023-08-07
S20415,B11433,Laundry,199,2024-03-26
S20416,B10286,Room Service,407,2025-03-12
S20417,B10498,Room Service,378,2025-05-21
S20418,B12253,Restaurant,296,2024-06-18
S20419,B12266,Transport,234,2023-09-10
S20420,B12608,Transport,148,2025-02-08
S20421,B10725,Transport,122,2024-03-27
S20422,B11374,Laundry,485,2024-11-12
S20423,B11056,Room Service,305,2024-06-08
S20424,B11601,Spa,132,2025-06-08
S20425,B11931,Transport,115,2024-09-01
S20426,B13376,Laundry,261,2024-01-22
S20427,B13348,Spa,246,2025-05-11
S20428,B12744,Laundry,275,2023-06-26
S20429,B11756,Room Service,100,2024-10-17
S20430,B12381,Restaurant,458,2024-10-06
S20431,B11640,Restaurant,340,2023-12-09
S20432,B12992,Restaurant,53,2024-12-28
S20433,B11694,Laundry,375,2023-12-01
S20434,B11096,Room Service,235,2024-08-03
S20435,B13704,Transport,165,2025-05-02
S20436,B10654,Spa,128,2023-10-08
S20437,B13616,Laundry,304,2023-07-26
S20438,B11329,Transport,96,2023-11-21
S20439,B11625,Restaurant,46,2023-07-20
S20440,B11003,Spa,78,2024-03-04
S20441,B11925,Laundry,91,2023-06-30
S20442,B12059,Laundry,106,2024-12-09
S20443,B12694,Spa,300,2024-12-01
S20444,B13694,Laundry,369,2025-03-18
S20445,B11019,Room Service,253,2023-07-03
S20446,B13766,Spa,403,2025-05-12
S20447,B12154,Transport,313,2023-12-30
S20448,B12452,Transport,151,2023-09-07
S20449,B12285,Spa,198,2024-10-24
S20450,B13136,Laundry,353,2024-08-16
S20451,B11386,Room Service,273,2023-08-28
S20452,B10503,Spa,286,2024-06-11
S20453,B11872,Laundry,184,2024-12-19
S20454,B11541,Restaurant,476,2024-04-21
S20455,B10692,Laundry,184,2023-09-03
S20456,B12779,Laundry,33,2023-10-11
S20457,B13333,Spa,124,2024-10-19
S20458,B13460,Spa,102,2023-06-28
S20459,B10901,Laundry,242,2024-04-15
S20460,B10822,Laundry,272,2023-10-05
S20461,B11684,Laundry,311,2024-06-25
S20462,B11395,Laundry,373,2024-07-04
S20463,B11986,Restaurant,28,2023-11-09
S20464,B11101,Spa,113,2024-12-01
S20465,B11014,Spa,330,2023-09-08
S20466,B12369,Spa,326,2023-09-02
S20467,B13730,Restaurant,61,2024-06-14
S20468,B10125,Room Service,398,2023-11-29
S20469,B13075,Transport,146,2023-11-15
S20470,B12316,Restaurant,66,2024-08-24
S20471,B12629,Laundry,98,2024-04-25
S20472,B13115,Transport,386,2023-11-26
S20473,B12468,Room Service,479,2025-03-21
S20474,B10446,Restaurant,144,2024-05-01
S20475,B13014,Room Service,222,2023-07-25
S20476,B13386,Spa,304,2024-06-24
S20477,B10059,Restaurant,342,2023-10-29
S20478,B10380,Restaurant,422,2024-11-19
S20479,B13882,Spa,100,2023-12-30
S20480,B11947,Laundry,462,2024-09-20
S20481,B11350,Restaurant,93,2024-01-03
S20482,B12563,Transport,331,2023-06-23
S20483,B10763,Transport,136,2023-09-09
S20484,B11778,Room Service,20,2025-01-30
S20485,B12051,Restaurant,365,2025-06-18
S20486,B13336,Laundry,404,2025-06-10
S20487,B10351,Laundry,393,2023-12-21
S20488,B11243,Room Service,278,2025-01-07
S20489,B13253,Transport,83,2024-07-30
S20490,B11642,Room Service,99,2024-11-19
S20491,B13007,Transport,135,2024-03-08
S20492,B12176,Room Service,182,2024-04-07
S20493,B10520,Room Service,330,2024-04-18
S20494,B12657,Transport,478,2024-04-23
S20495,B12123,Restaurant,434,2024-03-31
S20496,B11070,Transport,241,2024-09-22
S20497,B13788,Room Service,13,2024-09-05
S20498,B13546,Transport,179,2023-11-30
S20499,B10217,Transport,186,2024-01-22
S20500,B10202,Restaurant,403,2023-12-13
S20501,B10500,Room Service,306,2023-07-23
S20502,B11862,Spa,201,2024-05-26
S20503,B10379,Room Service,426,2024-01-09
S20504,B11573,Transport,144,2023-08-23
S20505,B10873,Restaurant,45,2024-06-19
S20506,B10348,Room Service,352,2024-11-11
S20507,B12785,Room Service,500,2024-01-15
S20508,B11898,Laundry,33,2023-11-12
S20509,B12543,Spa,445,2023-09-10
S20510,B12304,Laundry,309,2024-06-29
S20511,B12017,Spa,132,2025-01-23
S20512,B11986,Laundry,191,2023-11-25
S20513,B12172,Laundry,484,2023-07-01
S20514,B12604,Restaurant,212,2025-05-16
S20515,B12783,Restaurant,168,2023-08-13
S20516,B13696,Restaurant,187,2024-03-22
S20517,B13086,Transport,218,2025-05-14
S20518,B10821,Laundry,219,2023-09-29
S20519,B11680,Room Service,461,2024-06-09
S20520,B13256,Spa,331,2024-03-26
S20521,B12639,Restaurant,407,2023-10-02
S20522,B10630,Spa,252,2025-02-07
S20523,B11097,Transport,191,2025-02-09
S20524,B13731,Restaurant,94,2024-10-31
S20525,B10948,Restaurant,405,2023-08-27
S20526,B12382,Restaurant,278,2025-01-19
S20527,B12367,Spa,352,2024-03-18
S20528,B10243,Restaurant,255,2023-08-03
S20529,B13104,Laundry,243,2024-02-07
S20530,B12786,Transport,237,2024-09-08
S20531,B11905,Restaurant,174,2023-10-23
S20532,B13820,Transport,351,2025-06-01
S20533,B11810,Laundry,333,2024-02-28
S20534,B12739,Spa,468,2023-12-07
S20535,B11449,Laundry,258,2025-04-15
S20536,B13728,Laundry,181,2023-12-02
S20537,B11597,Transport,97,2023-10-16
S20538,B12043,Transport,134,2023-10-01
S20539,B12164,Room Service,436,2025-01-12
S20540,B13359,Spa,173,2025-03-12
S20541,B12524,Spa,238,2023-11-02
S20542,B12836,Laundry,445,2024-07-27
S20543,B10919,Laundry,462,2024-08-06
S20544,B12299,Restaurant,492,2024-01-19
S20545,B10679,Room Service,480,2024-10-20
S20546,B13869,Restaurant,271,2024-06-04
S20547,B11654,Spa,415,2024-12-11
S20548,B11612,Laundry,308,2025-05-14
S20549,B10867,Transport,387,2025-05-10
S20550,B12621,Spa,117,2024-07-22
S20551,B12548,Transport,81,2025-03-21
S20552,B11207,Laundry,92,2024-10-31
S20553,B13505,Restaurant,51,2025-01-28
S20554,B11681,Room Service,356,2024-02-23
S20555,B11731,Laundry,207,2024-05-09
S20556,B12457,Transport,57,2023-09-13
S20557,B12710,Room Service,314,2024-11-01
S20558,B12176,Laundry,248,2024-08-12
S20559,B13047,Laundry,268,2025-03-03
S20560,B11673,Restaurant,272,2024-12-19
S20561,B13934,Room Service,384,2024-07-17
S20562,B11103,Spa,285,2024-10-27
S20563,B13390,Spa,291,2024-07-22
S20564,B12414,Transport,325,2023-07-31
S20565,B11547,Room Service,203,2024-07-23
S20566,B11921,Spa,491,2024-05-21
S20567,B13265,Room Service,432,2023-09-24
S20568,B13210,Restaurant,54,2024-11-17
S20569,B13108,Restaurant,249,2025-04-21
S20570,B11892,Spa,434,2023-10-21
S20571,B10335,Transport,329,2024-01-12
S20572,B11990,Transport,263,2024-02-02
S20573,B12713,Transport,404,2023-08-24
S20574,B11159,Transport,299,2024-08-24
S20575,B12991,Transport,299,2023-07-07
S20576,B13417,Laundry,257,2024-09-19
S20577,B13987,Transport,213,2024-05-22
S20578,B13036,Transport,238,2024-01-02
S20579,B13335,Room Service,354,2025-03-03
S20580,B12646,Spa,355,2024-12-16
S20581,B12167,Spa,204,2024-05-19
S20582,B10533,Room Service,294,2024-01-25
S20583,B12739,Laundry,33,2024-12-25
S20584,B13331,Spa,453,2024-06-26
S20585,B13356,Spa,136,2023-10-09
S20586,B13140,Room Service,340,2024-07-07
S20587,B11565,Restaurant,317,2023-10-07
S20588,B10244,Laundry,23,2025-01-03
S20589,B13732,Transport,22,2024-03-17
S20590,B13172,Laundry,83,2023-09-09
S20591,B11917,Room Service,276,2024-07-24
S20592,B12408,Spa,80,2024-06-27
S20593,B12070,Spa,392,2023-11-29
S20594,B12248,Laundry,327,2025-04-30
S20595,B11092,Spa,193,2023-08-24
S20596,B10492,Spa,133,2023-11-05
S20597,B12998,Transport,379,2023-11-26
S20598,B10814,Laundry,486,2025-02-23
S20599,B13529,Laundry,218,2023-09-04
S20600,B13178,Room Service,263,2023-11-24
S20601,B13396,Restaurant,248,2024-06-09
S20602,B13176,Restaurant,370,2023-11-04
S20603,B10870,Spa,209,2025-04-01
S20604,B11587,Transport,318,2025-05-16
S20605,B10194,Spa,246,2024-03-12
S20606,B10505,Room Service,124,2024-11-28
S20607,B10147,Transport,495,2024-09-03
S20608,B11595,Restaurant,169,2023-07-25
S20609,B13007,Restaurant,399,2024-07-12
S20610,B13337,Laundry,85,2024-08-07
S20611,B13238,Laundry,242,2024-04-22
S20612,B11475,Room Service,434,2025-06-03
S20613,B13736,Spa,495,2024-10-21
S20614,B10348,Laundry,82,2025-05-31
S20615,B10220,Restaurant,412,2024-12-08
S20616,B13240,Restaurant,412,2023-07-03
S20617,B11806,Transport,299,2024-08-20
S20618,B13153,Restaurant,310,2024-06-19
S20619,B12553,Transport,230,2024-03-09
S20620,B13891,Restaurant,129,2024-05-25
S20621,B13788,Room Service,119,2024-03-27
S20622,B13549,Restaurant,347,2024-10-26
S20623,B13556,Laundry,67,2023-11-04
S20624,B10337,Spa,72,2023-12-11
S20625,B10693,Spa,293,2023-12-06
S20626,B13213,Restaurant,373,2024-03-12
S20627,B11261,Transport,66,2023-09-02
S20628,B11904,Room Service,487,2025-03-23
S20629,B12944,Restaurant,344,2023-07-16
S20630,B10663,Room Service,20,2023-08-06
S20631,B10036,Laundry,153,2024-03-30
S20632,B10772,Transport,32,2023-11-30
S20633,B13448,Laundry,453,2023-10-08
S20634,B12863,Restaurant,424,2024-06-10
S20635,B12455,Spa,201,2023-12-22
S20636,B11391,Laundry,200,2024-03-16
S20637,B11333,Transport,342,2024-08-19
S20638,B11819,Room Service,195,2023-09-10
S20639,B13410,Restaurant,463,2025-05-25
S20640,B10905,Transport,99,2025-03-26
