shipmentID,vehicleID,driverID,routeID,date,status
SH10071,V0222,DR0247,R188,2023-11-01,In Transit
SH10072,V0472,DR0123,R147,2024-07-03,Delivered
SH10073,V0155,DR0263,R084,2023-11-16,Delayed
SH10074,V0417,DR0084,R196,2024-10-21,Cancelled
SH10075,V0388,DR0089,R180,2023-06-26,In Transit
SH10076,V0415,DR0245,R131,2024-07-20,In Transit
SH10077,V0138,DR0111,R009,2024-12-24,Cancelled
SH10078,V0070,DR0107,R174,2025-06-11,In Transit
SH10079,V0420,DR0248,R030,2024-09-18,Cancelled
SH10080,V0132,DR0202,R149,2025-04-19,Cancelled
SH10081,V0349,DR0236,R100,2023-06-29,Delivered
SH10082,V0474,DR0142,R071,2025-04-07,Delayed
SH10083,V0323,DR0202,R125,2023-09-12,Cancelled
SH10084,V0306,DR0256,R191,2023-11-16,Delayed
SH10085,V0178,DR0300,R031,2024-05-20,In Transit
SH10086,V0173,DR0070,R027,2023-11-24,Delayed
SH10087,V0440,DR0271,R185,2025-04-04,Delivered
SH10088,V0090,DR0043,R107,2024-02-05,Delayed
SH10089,V0093,DR0029,R158,2025-03-25,In Transit
SH10090,V0432,DR0014,R116,2025-04-27,Delayed
SH10091,V0085,DR0045,R185,2023-06-27,Delivered
SH10092,V0091,DR0062,R028,2024-02-16,Delayed
SH10093,V0029,DR0049,R046,2023-11-26,Cancelled
SH10094,V0048,DR0026,R103,2024-02-04,Delayed
SH10095,V0241,DR0084,R047,2024-12-24,In Transit
SH10096,V0152,DR0227,R013,2023-07-18,Delivered
SH10097,V0250,DR0198,R141,2025-04-11,In Transit
SH10098,V0050,DR0290,R159,2025-03-08,Delivered
SH10099,V0232,DR0225,R043,2024-12-27,Delivered
SH10100,V0070,DR0057,R170,2024-10-31,Delivered
SH10101,V0062,DR0113,R093,2023-10-19,Delivered
SH10102,V0186,DR0244,R121,2024-07-23,In Transit
SH10103,V0011,DR0018,R073,2024-03-13,Delayed
SH10104,V0472,DR0073,R059,2024-10-17,Delayed
SH10105,V0250,DR0262,R104,2024-09-29,In Transit
SH10106,V0460,DR0283,R099,2023-07-20,Delivered
SH10107,V0417,DR0209,R001,2024-11-07,Delivered
SH10108,V0242,DR0009,R128,2023-10-23,Cancelled
SH10109,V0330,DR0194,R137,2024-02-10,Delivered
SH10110,V0411,DR0245,R038,2023-12-08,Cancelled
SH10111,V0318,DR0056,R044,2023-09-29,Cancelled
SH10112,V0186,DR0292,R146,2024-01-04,Cancelled
SH10113,V0202,DR0079,R052,2024-12-13,Delayed
SH10114,V0159,DR0216,R180,2023-10-24,In Transit
SH10115,V0352,DR0051,R187,2023-11-02,Delivered
SH10116,V0055,DR0276,R159,2024-02-10,Delivered
SH10117,V0237,DR0099,R122,2024-01-24,Delayed
SH10118,V0446,DR0114,R139,2024-10-27,Cancelled
SH10119,V0486,DR0261,R100,2025-01-11,Delivered
SH10120,V0093,DR0187,R078,2023-12-20,In Transit
SH10121,V0218,DR0025,R175,2024-03-26,Delayed
SH10122,V0039,DR0080,R140,2023-09-08,In Transit
SH10123,V0390,DR0273,R087,2025-03-19,Delivered
SH10124,V0374,DR0092,R149,2024-04-08,Cancelled
SH10125,V0092,DR0258,R040,2023-10-22,In Transit
SH10126,V0147,DR0284,R047,2023-10-25,Cancelled
SH10127,V0043,DR0093,R071,2025-05-17,In Transit
SH10128,V0360,DR0213,R188,2025-01-03,Cancelled
SH10129,V0177,DR0120,R093,2024-05-31,In Transit
SH10130,V0190,DR0237,R171,2024-01-05,Delayed
SH10131,V0289,DR0211,R057,2024-12-06,Delayed
SH10132,V0452,DR0051,R152,2025-02-13,In Transit
SH10133,V0439,DR0233,R113,2023-10-16,Delayed
SH10134,V0412,DR0082,R135,2024-04-18,Delayed
SH10135,V0404,DR0189,R011,2023-11-26,In Transit
SH10136,V0269,DR0004,R030,2025-05-17,Delivered
SH10137,V0262,DR0013,R011,2024-01-15,In Transit
SH10138,V0218,DR0195,R036,2024-08-22,Delivered
SH10139,V0018,DR0125,R009,2025-01-30,Cancelled
SH10140,V0220,DR0261,R145,2023-09-29,Cancelled
SH10141,V0219,DR0082,R015,2023-06-22,Delayed
SH10142,V0436,DR0032,R126,2024-03-31,In Transit
SH10143,V0227,DR0011,R072,2023-12-04,Cancelled
SH10144,V0251,DR0176,R157,2023-07-12,Cancelled
SH10145,V0324,DR0049,R063,2023-08-20,Cancelled
SH10146,V0248,DR0062,R046,2024-08-29,Delivered
SH10147,V0286,DR0183,R050,2023-08-19,In Transit
SH10148,V0239,DR0276,R023,2023-09-23,Delayed
SH10149,V0480,DR0072,R141,2023-08-04,Delayed
SH10150,V0267,DR0211,R003,2024-06-11,Delayed
SH10151,V0008,DR0119,R136,2024-04-23,Delayed
SH10152,V0023,DR0262,R038,2025-04-14,Cancelled
SH10153,V0130,DR0253,R048,2025-01-07,Delivered
SH10154,V0167,DR0112,R061,2024-06-06,Delivered
SH10155,V0234,DR0144,R029,2025-01-28,Cancelled
SH10156,V0275,DR0284,R037,2024-01-05,In Transit
SH10157,V0483,DR0298,R061,2025-04-26,Delayed
SH10158,V0009,DR0289,R055,2024-08-08,Delivered
SH10159,V0038,DR0287,R133,2025-06-01,In Transit
SH10160,V0239,DR0011,R008,2024-10-19,Cancelled
SH10161,V0161,DR0252,R177,2023-10-29,Cancelled
SH10162,V0126,DR0008,R133,2024-12-19,Cancelled
SH10163,V0334,DR0121,R003,2023-12-28,In Transit
SH10164,V0191,DR0239,R158,2024-12-24,In Transit
SH10165,V0107,DR0202,R109,2025-03-11,In Transit
SH10166,V0164,DR0111,R180,2024-08-16,In Transit
SH10167,V0036,DR0201,R030,2025-04-23,In Transit
SH10168,V0202,DR0287,R185,2025-05-20,Cancelled
SH10169,V0037,DR0167,R023,2023-09-24,Delayed
SH10170,V0338,DR0099,R056,2024-08-25,Delayed
SH10171,V0339,DR0281,R027,2023-12-07,Delayed
SH10172,V0090,DR0074,R113,2024-01-16,In Transit
SH10173,V0161,DR0080,R154,2024-11-05,Delivered
SH10174,V0226,DR0081,R091,2023-09-07,In Transit
SH10175,V0335,DR0175,R191,2024-07-05,Delayed
SH10176,V0271,DR0189,R114,2024-04-03,In Transit
SH10177,V0161,DR0015,R139,2024-03-01,Delivered
SH10178,V0164,DR0133,R121,2023-09-25,Delivered
SH10179,V0108,DR0172,R168,2024-06-15,In Transit
SH10180,V0114,DR0063,R110,2025-06-13,Delayed
SH10181,V0011,DR0124,R178,2024-05-19,Cancelled
SH10182,V0277,DR0069,R056,2024-12-19,In Transit
SH10183,V0418,DR0009,R083,2024-10-22,Delayed
SH10184,V0220,DR0063,R165,2025-03-19,Cancelled
SH10185,V0347,DR0115,R192,2024-01-15,Delayed
SH10186,V0025,DR0168,R187,2023-11-11,Delivered
SH10187,V0156,DR0156,R160,2024-09-02,Delayed
SH10188,V0128,DR0235,R171,2025-05-05,In Transit
SH10189,V0104,DR0014,R168,2025-06-18,Cancelled
SH10190,V0208,DR0252,R139,2025-01-12,Cancelled
SH10191,V0415,DR0294,R018,2024-02-23,Delivered
SH10192,V0240,DR0088,R137,2025-03-04,In Transit
SH10193,V0435,DR0289,R113,2024-05-15,Delivered
SH10194,V0389,DR0292,R011,2024-02-24,In Transit
SH10195,V0440,DR0186,R168,2023-12-10,Delivered
SH10196,V0222,DR0298,R060,2023-12-03,Cancelled
SH10197,V0225,DR0183,R073,2024-05-26,Delivered
SH10198,V0310,DR0167,R045,2025-02-07,In Transit
SH10199,V0414,DR0201,R043,2024-07-16,In Transit
SH10200,V0249,DR0218,R167,2023-09-21,Delivered
SH10201,V0356,DR0175,R154,2024-11-27,Delayed
SH10202,V0288,DR0204,R026,2025-04-04,Delivered
SH10203,V0039,DR0071,R023,2025-01-02,Cancelled
SH10204,V0248,DR0035,R063,2024-05-15,Delayed
SH10205,V0119,DR0099,R112,2024-11-16,In Transit
SH10206,V0268,DR0070,R047,2024-06-16,Delivered
SH10207,V0036,DR0156,R124,2024-03-13,In Transit
SH10208,V0152,DR0282,R200,2024-09-05,In Transit
SH10209,V0126,DR0140,R022,2024-10-24,Delivered
SH10210,V0167,DR0034,R074,2024-04-22,Delayed
SH10211,V0033,DR0156,R064,2024-06-17,Delayed
SH10212,V0475,DR0178,R063,2023-10-11,In Transit
SH10213,V0390,DR0174,R102,2023-11-27,Delivered
SH10214,V0334,DR0106,R139,2024-08-11,Cancelled
SH10215,V0155,DR0019,R152,2024-12-08,In Transit
SH10216,V0065,DR0277,R136,2024-11-25,In Transit
SH10217,V0277,DR0216,R159,2023-09-09,Delivered
SH10218,V0406,DR0289,R194,2024-07-05,Delayed
SH10219,V0479,DR0134,R012,2024-12-24,Cancelled
SH10220,V0309,DR0101,R122,2024-01-06,In Transit
SH10221,V0175,DR0070,R001,2023-12-18,Cancelled
SH10222,V0039,DR0115,R005,2023-08-07,In Transit
SH10223,V0145,DR0050,R145,2024-07-03,Delivered
SH10224,V0051,DR0126,R162,2024-06-27,Cancelled
SH10225,V0337,DR0245,R190,2024-03-20,In Transit
SH10226,V0361,DR0223,R155,2024-11-01,Delayed
SH10227,V0182,DR0081,R041,2025-02-20,Delayed
SH10228,V0363,DR0087,R030,2024-06-16,In Transit
SH10229,V0435,DR0119,R057,2024-09-16,Delivered
SH10230,V0377,DR0300,R093,2025-02-09,Delivered
SH10231,V0324,DR0282,R139,2023-10-02,Cancelled
SH10232,V0210,DR0227,R033,2025-05-05,Delayed
SH10233,V0450,DR0171,R149,2023-08-24,Delivered
SH10234,V0314,DR0154,R096,2024-05-08,Delayed
SH10235,V0224,DR0235,R195,2023-10-26,Cancelled
SH10236,V0188,DR0224,R026,2024-11-04,Delivered
SH10237,V0073,DR0054,R018,2024-05-02,In Transit
SH10238,V0023,DR0186,R169,2024-08-16,Delayed
SH10239,V0298,DR0151,R031,2023-09-04,Delayed
SH10240,V0311,DR0070,R128,2024-07-23,Delivered
SH10241,V0349,DR0105,R030,2025-02-12,In Transit
SH10242,V0132,DR0008,R188,2024-06-24,Delayed
SH10243,V0225,DR0058,R164,2024-05-10,In Transit
SH10244,V0307,DR0119,R091,2023-10-10,Cancelled
SH10245,V0500,DR0187,R178,2025-05-25,In Transit
SH10246,V0181,DR0062,R011,2025-04-24,Delayed
SH10247,V0359,DR0140,R071,2025-01-21,Cancelled
SH10248,V0118,DR0284,R179,2024-05-03,In Transit
SH10249,V0471,DR0125,R132,2024-02-15,Delayed
SH10250,V0176,DR0128,R052,2023-10-14,In Transit
SH10251,V0469,DR0018,R129,2024-05-25,In Transit
SH10252,V0486,DR0200,R171,2024-08-09,Delivered
SH10253,V0216,DR0265,R014,2023-12-29,Cancelled
SH10254,V0467,DR0271,R138,2023-09-13,Delivered
SH10255,V0301,DR0077,R046,2024-10-09,Delivered
SH10256,V0409,DR0208,R045,2024-01-26,Delayed
SH10257,V0016,DR0077,R068,2024-04-18,Delayed
SH10258,V0413,DR0185,R156,2024-01-01,Delivered
SH10259,V0206,DR0291,R017,2024-01-28,Delayed
SH10260,V0454,DR0272,R080,2024-04-11,In Transit
SH10261,V0098,DR0139,R137,2025-02-03,Cancelled
SH10262,V0486,DR0253,R111,2025-03-22,Delayed
SH10263,V0202,DR0098,R122,2024-03-17,Cancelled
SH10264,V0380,DR0068,R090,2024-11-13,Delayed
SH10265,V0179,DR0188,R074,2024-10-01,Delayed
SH10266,V0357,DR0299,R179,2025-04-30,Cancelled
SH10267,V0072,DR0164,R164,2023-09-21,In Transit
SH10268,V0017,DR0286,R073,2024-04-02,Cancelled
SH10269,V0320,DR0149,R139,2024-09-24,Delayed
SH10270,V0323,DR0156,R199,2025-05-23,In Transit
SH10271,V0209,DR0097,R045,2023-10-31,Cancelled
SH10272,V0321,DR0084,R153,2023-11-17,In Transit
SH10273,V0199,DR0060,R119,2023-07-03,Cancelled
SH10274,V0158,DR0212,R070,2024-10-01,Cancelled
SH10275,V0164,DR0185,R131,2024-10-24,In Transit
SH10276,V0267,DR0236,R002,2024-06-02,Cancelled
SH10277,V0091,DR0165,R119,2024-05-01,Delayed
SH10278,V0499,DR0257,R085,2024-11-14,Delivered
SH10279,V0389,DR0073,R098,2025-05-04,Delayed
SH10280,V0017,DR0019,R011,2024-02-19,Delivered
SH10281,V0396,DR0021,R177,2024-08-25,In Transit
SH10282,V0400,DR0050,R143,2023-08-06,Cancelled
SH10283,V0330,DR0092,R036,2024-01-12,Delivered
SH10284,V0069,DR0224,R077,2023-07-05,Cancelled
SH10285,V0088,DR0009,R197,2023-12-17,Delayed
SH10286,V0419,DR0082,R187,2024-04-23,Delivered
SH10287,V0013,DR0274,R178,2024-06-08,Delivered
SH10288,V0192,DR0202,R032,2024-04-16,In Transit
SH10289,V0305,DR0149,R146,2023-12-19,In Transit
SH10290,V0353,DR0105,R113,2023-08-22,In Transit
SH10291,V0405,DR0215,R131,2025-01-02,Delayed
SH10292,V0286,DR0263,R187,2024-10-12,Cancelled
SH10293,V0122,DR0191,R151,2024-08-30,Delayed
SH10294,V0223,DR0140,R177,2025-05-02,Delivered
SH10295,V0139,DR0280,R165,2023-11-10,Delayed
SH10296,V0133,DR0051,R137,2024-02-24,Cancelled
SH10297,V0165,DR0110,R022,2025-05-15,In Transit
SH10298,V0034,DR0065,R183,2024-01-10,Cancelled
SH10299,V0057,DR0270,R081,2024-10-11,In Transit
SH10300,V0324,DR0123,R081,2023-12-26,In Transit
SH10301,V0434,DR0143,R065,2023-08-19,Delayed
SH10302,V0406,DR0162,R088,2024-04-28,In Transit
SH10303,V0390,DR0126,R090,2023-08-05,Delayed
SH10304,V0163,DR0258,R022,2024-09-26,In Transit
SH10305,V0476,DR0131,R150,2025-04-08,Delivered
SH10306,V0215,DR0164,R034,2024-11-08,In Transit
SH10307,V0390,DR0274,R063,2024-04-11,Delivered
SH10308,V0453,DR0187,R116,2024-05-18,Delayed
SH10309,V0371,DR0036,R143,2023-12-29,Delivered
SH10310,V0188,DR0296,R112,2024-07-15,Delivered
SH10311,V0389,DR0233,R040,2024-10-21,Delayed
SH10312,V0329,DR0280,R128,2024-08-06,Delayed
SH10313,V0500,DR0158,R180,2024-04-16,Cancelled
SH10314,V0170,DR0004,R140,2024-09-10,Delivered
SH10315,V0144,DR0031,R029,2025-03-06,Delayed
SH10316,V0452,DR0275,R131,2023-07-18,Cancelled
SH10317,V0341,DR0179,R001,2025-02-08,In Transit
SH10318,V0244,DR0186,R148,2025-04-19,Cancelled
SH10319,V0011,DR0075,R167,2024-10-23,Cancelled
SH10320,V0362,DR0203,R189,2025-02-06,Cancelled
SH10321,V0381,DR0128,R163,2024-06-22,Delayed
SH10322,V0376,DR0032,R092,2023-07-10,In Transit
SH10323,V0463,DR0178,R114,2024-09-19,Cancelled
SH10324,V0030,DR0258,R081,2024-05-05,Delayed
SH10325,V0349,DR0068,R191,2023-09-03,In Transit
SH10326,V0267,DR0075,R180,2023-08-07,In Transit
SH10327,V0294,DR0299,R158,2023-09-27,Delayed
SH10328,V0286,DR0245,R183,2024-12-24,Delivered
SH10329,V0039,DR0019,R065,2023-10-14,In Transit
SH10330,V0080,DR0187,R024,2023-10-28,In Transit
SH10331,V0379,DR0030,R199,2023-10-28,Cancelled
SH10332,V0330,DR0098,R097,2025-05-05,Delayed
SH10333,V0271,DR0013,R122,2025-04-15,Delivered
SH10334,V0003,DR0164,R070,2024-09-17,Delivered
SH10335,V0023,DR0125,R095,2024-05-22,Cancelled
SH10336,V0017,DR0128,R182,2025-06-10,Cancelled
SH10337,V0377,DR0082,R089,2025-05-22,In Transit
SH10338,V0289,DR0154,R043,2023-12-29,Delivered
SH10339,V0237,DR0093,R159,2024-06-05,In Transit
SH10340,V0374,DR0061,R166,2024-04-23,In Transit
SH10341,V0132,DR0074,R046,2025-01-30,In Transit
SH10342,V0195,DR0249,R066,2023-07-19,In Transit
SH10343,V0002,DR0158,R036,2024-05-14,Delayed
SH10344,V0478,DR0194,R046,2024-11-19,Delivered
SH10345,V0393,DR0098,R030,2023-09-25,Delayed
SH10346,V0095,DR0087,R175,2023-09-16,Delivered
SH10347,V0287,DR0117,R122,2025-04-20,Delayed
SH10348,V0496,DR0134,R029,2025-05-05,Cancelled
SH10349,V0224,DR0140,R095,2025-02-22,In Transit
SH10350,V0171,DR0273,R139,2023-08-04,Delivered
SH10351,V0500,DR0205,R006,2023-11-02,Cancelled
SH10352,V0093,DR0266,R111,2023-06-29,Cancelled
SH10353,V0455,DR0025,R134,2024-11-05,Cancelled
SH10354,V0169,DR0017,R159,2024-01-18,Cancelled
SH10355,V0360,DR0165,R080,2025-04-04,Delivered
SH10356,V0442,DR0152,R038,2024-01-03,Delayed
SH10357,V0176,DR0129,R058,2023-12-05,Cancelled
SH10358,V0196,DR0293,R182,2024-07-15,Delivered
SH10359,V0435,DR0177,R064,2023-07-30,In Transit
SH10360,V0318,DR0129,R025,2024-05-27,Delivered
SH10361,V0199,DR0289,R150,2024-10-28,Delivered
SH10362,V0111,DR0128,R168,2024-03-23,In Transit
SH10363,V0161,DR0190,R013,2024-05-05,Cancelled
SH10364,V0322,DR0247,R070,2023-11-14,Delayed
SH10365,V0271,DR0010,R102,2024-08-31,In Transit
SH10366,V0175,DR0269,R171,2023-11-27,In Transit
SH10367,V0056,DR0197,R048,2025-02-03,In Transit
SH10368,V0442,DR0273,R154,2023-10-09,Delayed
SH10369,V0418,DR0256,R096,2024-10-11,Delivered
SH10370,V0133,DR0291,R133,2023-07-21,Delayed
SH10371,V0375,DR0133,R151,2024-11-03,Cancelled
SH10372,V0485,DR0060,R075,2023-09-07,In Transit
SH10373,V0153,DR0248,R136,2023-12-16,Delayed
SH10374,V0217,DR0172,R145,2025-04-13,In Transit
SH10375,V0170,DR0147,R142,2024-08-19,Cancelled
SH10376,V0077,DR0176,R072,2024-01-29,In Transit
SH10377,V0413,DR0128,R023,2024-03-21,Cancelled
SH10378,V0454,DR0287,R116,2024-10-24,Delivered
SH10379,V0372,DR0273,R096,2024-10-31,Delayed
SH10380,V0037,DR0251,R162,2023-07-30,In Transit
SH10381,V0433,DR0063,R161,2023-09-24,Delivered
SH10382,V0072,DR0100,R155,2023-07-09,In Transit
SH10383,V0311,DR0137,R040,2024-11-10,In Transit
SH10384,V0117,DR0085,R161,2025-02-28,Delivered
SH10385,V0064,DR0101,R033,2024-11-19,In Transit
SH10386,V0432,DR0027,R030,2024-06-16,In Transit
SH10387,V0274,DR0188,R103,2025-01-25,Delivered
SH10388,V0425,DR0173,R022,2023-10-07,Delivered
SH10389,V0191,DR0256,R190,2023-10-20,Cancelled
SH10390,V0250,DR0249,R066,2024-06-25,Delivered
SH10391,V0452,DR0114,R157,2025-01-26,Cancelled
SH10392,V0203,DR0244,R009,2023-09-11,Delivered
SH10393,V0302,DR0108,R195,2025-05-03,Delivered
SH10394,V0116,DR0098,R126,2024-07-19,In Transit
SH10395,V0461,DR0045,R073,2024-11-25,Cancelled
SH10396,V0119,DR0249,R173,2023-12-14,Delayed
SH10397,V0117,DR0292,R043,2024-04-06,Delivered
SH10398,V0380,DR0078,R128,2024-04-08,Delayed
SH10399,V0032,DR0128,R185,2024-05-22,Delivered
SH10400,V0249,DR0115,R034,2024-08-31,Delivered
SH10401,V0093,DR0240,R191,2023-11-27,Cancelled
SH10402,V0165,DR0078,R011,2023-08-31,Cancelled
SH10403,V0212,DR0049,R082,2024-08-05,Delivered
SH10404,V0325,DR0024,R006,2025-04-17,Delayed
SH10405,V0374,DR0102,R155,2024-03-01,In Transit
SH10406,V0484,DR0030,R111,2024-03-01,Delayed
SH10407,V0039,DR0199,R127,2024-11-28,Delivered
SH10408,V0257,DR0193,R177,2024-09-23,Cancelled
SH10409,V0411,DR0145,R047,2025-06-02,Delayed
SH10410,V0232,DR0178,R080,2024-06-07,In Transit
SH10411,V0055,DR0113,R005,2024-10-28,Cancelled
SH10412,V0050,DR0230,R112,2024-06-05,Cancelled
SH10413,V0390,DR0089,R133,2024-04-14,Delayed
SH10414,V0271,DR0142,R019,2025-06-16,Cancelled
SH10415,V0272,DR0170,R021,2024-08-14,Delivered
SH10416,V0424,DR0061,R194,2023-07-28,Delivered
SH10417,V0049,DR0188,R099,2024-07-03,In Transit
SH10418,V0351,DR0021,R039,2024-01-19,Delayed
SH10419,V0017,DR0128,R128,2023-10-18,Delayed
SH10420,V0136,DR0089,R162,2024-07-03,Delivered
SH10421,V0211,DR0285,R078,2025-03-14,Delayed
SH10422,V0164,DR0098,R050,2024-11-28,Delayed
SH10423,V0357,DR0055,R199,2024-09-07,Delayed
SH10424,V0137,DR0231,R108,2024-09-06,In Transit
SH10425,V0242,DR0207,R192,2024-05-05,Cancelled
SH10426,V0261,DR0130,R124,2023-08-21,Cancelled
SH10427,V0202,DR0055,R072,2023-09-30,Delayed
SH10428,V0374,DR0161,R010,2023-09-12,In Transit
SH10429,V0079,DR0030,R043,2025-05-10,Delivered
SH10430,V0399,DR0148,R085,2024-12-22,Cancelled
SH10431,V0095,DR0242,R119,2024-12-16,Delivered
SH10432,V0168,DR0126,R022,2024-01-01,In Transit
SH10433,V0067,DR0034,R123,2024-08-22,Delivered
SH10434,V0321,DR0086,R122,2025-02-03,Delayed
SH10435,V0059,DR0068,R027,2025-03-06,Delivered
SH10436,V0117,DR0202,R038,2024-09-04,Cancelled
SH10437,V0364,DR0108,R109,2023-11-12,Delayed
SH10438,V0049,DR0235,R003,2024-02-12,Delivered
SH10439,V0217,DR0018,R133,2023-10-12,In Transit
SH10440,V0329,DR0137,R118,2023-08-25,Delivered
SH10441,V0233,DR0201,R011,2024-09-04,In Transit
SH10442,V0081,DR0232,R027,2024-05-25,Delivered
SH10443,V0430,DR0120,R091,2024-06-06,Cancelled
SH10444,V0225,DR0264,R065,2024-11-25,In Transit
SH10445,V0232,DR0182,R057,2023-10-22,Delayed
SH10446,V0223,DR0099,R131,2025-02-04,Cancelled
SH10447,V0422,DR0169,R089,2024-01-23,Cancelled
SH10448,V0021,DR0223,R001,2024-06-02,Cancelled
SH10449,V0072,DR0161,R147,2023-07-11,In Transit
SH10450,V0385,DR0248,R011,2023-12-01,Cancelled
SH10451,V0401,DR0297,R097,2024-09-23,Delayed
SH10452,V0470,DR0171,R045,2024-09-05,In Transit
SH10453,V0074,DR0078,R076,2024-09-17,Delivered
SH10454,V0491,DR0120,R196,2024-10-04,Delivered
SH10455,V0329,DR0048,R013,2023-07-22,Delayed
SH10456,V0494,DR0060,R069,2024-06-25,Cancelled
SH10457,V0010,DR0154,R099,2023-08-20,Delivered
SH10458,V0110,DR0175,R050,2025-04-24,In Transit
SH10459,V0048,DR0177,R110,2024-08-12,In Transit
SH10460,V0326,DR0043,R120,2023-12-19,Delayed
SH10461,V0070,DR0297,R055,2023-10-18,Delivered
SH10462,V0018,DR0004,R178,2025-04-15,Cancelled
SH10463,V0336,DR0239,R052,2023-12-16,Cancelled
SH10464,V0101,DR0299,R127,2023-06-28,In Transit
SH10465,V0117,DR0247,R007,2024-04-03,Delayed
SH10466,V0255,DR0134,R190,2024-04-19,Cancelled
SH10467,V0127,DR0047,R182,2024-12-14,In Transit
SH10468,V0094,DR0251,R013,2025-06-14,Cancelled
SH10469,V0397,DR0287,R157,2024-02-12,In Transit
SH10470,V0115,DR0266,R111,2024-05-29,In Transit
SH10471,V0262,DR0119,R177,2025-06-13,Delivered
SH10472,V0452,DR0182,R001,2023-08-15,In Transit
SH10473,V0108,DR0208,R193,2024-03-31,Delivered
SH10474,V0126,DR0177,R143,2024-05-28,Cancelled
SH10475,V0375,DR0238,R099,2025-05-06,Delayed
SH10476,V0460,DR0101,R151,2024-08-15,In Transit
SH10477,V0174,DR0144,R019,2024-04-25,In Transit
