callID,customerID,planID,callDate,durationMin,callType
CA10157,C0307,PL0185,2024-12-21,35,ISD
CA10158,C1121,PL0990,2025-03-15,56,Local
CA10159,C1069,PL0823,2023-12-29,19,STD
CA10160,C2823,PL0687,2024-07-12,40,ISD
CA10161,C2937,PL0017,2025-06-15,9,STD
CA10162,C1094,PL0624,2025-05-01,52,STD
CA10163,C3145,PL0937,2024-01-21,55,STD
CA10164,C1843,PL0357,2025-05-20,12,STD
CA10165,C1189,PL0319,2024-12-18,59,Local
CA10166,C1797,PL0835,2024-03-07,53,Local
CA10167,C3107,PL0834,2023-07-31,41,ISD
CA10168,C3022,PL0739,2024-06-14,54,ISD
CA10169,C2036,PL0324,2024-11-04,12,Local
CA10170,C2705,PL0359,2024-01-05,20,STD
CA10171,C0777,PL0474,2023-12-10,38,ISD
CA10172,C1767,PL0049,2025-06-04,14,STD
CA10173,C1376,PL0371,2024-11-19,1,Local
CA10174,C2267,PL0973,2024-12-08,11,Local
CA10175,C2733,PL0641,2025-04-01,34,ISD
CA10176,C1489,PL0565,2025-06-14,40,ISD
CA10177,C1287,PL0986,2024-06-03,30,STD
CA10178,C0014,PL0733,2024-11-28,13,ISD
CA10179,C2731,PL0798,2024-07-06,49,STD
CA10180,C0141,PL0495,2024-01-05,27,STD
CA10181,C2594,PL0246,2023-10-08,51,Local
CA10182,C1433,PL0277,2023-06-19,7,Local
CA10183,C1003,PL0358,2024-08-03,60,STD
CA10184,C0195,PL0917,2024-01-09,39,STD
CA10185,C2746,PL0163,2023-09-16,40,ISD
CA10186,C1338,PL0829,2024-05-21,48,ISD
CA10187,C1912,PL0598,2024-11-07,18,ISD
CA10188,C2991,PL0589,2023-07-23,50,STD
CA10189,C0355,PL0867,2025-04-29,23,Local
CA10190,C2265,PL0653,2025-01-03,31,ISD
CA10191,C1076,PL0566,2023-07-28,31,Local
CA10192,C2304,PL0432,2024-11-07,49,STD
CA10193,C2891,PL0309,2025-01-29,34,ISD
CA10194,C2602,PL0715,2024-08-16,59,STD
CA10195,C0680,PL0880,2024-05-02,37,Local
CA10196,C2694,PL0766,2024-08-29,5,ISD
CA10197,C3261,PL0687,2024-09-24,31,Local
CA10198,C1764,PL0045,2024-03-12,20,ISD
CA10199,C0539,PL0397,2024-06-26,22,ISD
CA10200,C2284,PL0021,2024-07-14,39,ISD
CA10201,C0624,PL0483,2024-09-11,15,Local
CA10202,C1874,PL0595,2024-03-01,22,ISD
CA10203,C1733,PL0348,2023-10-12,4,ISD
CA10204,C1568,PL0395,2024-12-09,28,STD
CA10205,C3211,PL0967,2023-11-15,8,ISD
CA10206,C1177,PL0677,2024-07-27,26,STD
CA10207,C3307,PL0135,2025-01-18,58,ISD
CA10208,C3371,PL0062,2023-11-07,60,ISD
CA10209,C0643,PL0892,2024-12-28,5,STD
CA10210,C0563,PL0637,2024-08-26,18,STD
CA10211,C3292,PL0647,2024-02-10,1,ISD
CA10212,C1180,PL0989,2024-04-18,58,STD
CA10213,C2926,PL0496,2024-10-24,46,STD
CA10214,C3372,PL0485,2023-07-08,30,ISD
CA10215,C1063,PL0980,2024-04-13,29,STD
CA10216,C3464,PL0818,2024-11-09,9,Local
CA10217,C3096,PL0998,2023-07-08,24,ISD
CA10218,C3433,PL0035,2025-03-26,8,ISD
CA10219,C1046,PL0858,2024-07-10,17,ISD
CA10220,C1517,PL0559,2023-10-30,5,ISD
CA10221,C0698,PL0390,2025-03-12,45,ISD
CA10222,C1051,PL0494,2024-02-28,45,Local
CA10223,C2242,PL0281,2023-11-13,13,ISD
CA10224,C0556,PL0328,2023-11-29,18,Local
CA10225,C2549,PL0359,2024-05-14,25,ISD
CA10226,C1314,PL0381,2024-01-07,40,STD
CA10227,C0816,PL0579,2024-01-02,49,Local
CA10228,C2821,PL0266,2024-07-12,51,Local
CA10229,C0724,PL0492,2024-07-24,22,Local
CA10230,C2649,PL0628,2024-12-07,5,Local
CA10231,C0495,PL0271,2025-05-07,24,Local
CA10232,C2096,PL0674,2023-11-08,15,ISD
CA10233,C0233,PL0908,2024-04-12,22,STD
CA10234,C1260,PL0225,2025-03-03,31,Local
CA10235,C3294,PL0460,2024-10-07,47,Local
CA10236,C0928,PL0200,2024-07-28,10,Local
CA10237,C2418,PL0003,2024-10-24,49,ISD
CA10238,C2780,PL0973,2023-09-17,19,Local
CA10239,C2669,PL0496,2023-11-02,23,ISD
CA10240,C2674,PL0435,2023-09-18,23,Local
CA10241,C1448,PL0883,2024-10-20,31,STD
CA10242,C0137,PL0442,2024-12-22,40,STD
CA10243,C1877,PL0168,2023-06-28,11,ISD
CA10244,C3268,PL0433,2025-06-08,2,ISD
CA10245,C1152,PL0141,2024-09-12,38,ISD
CA10246,C0697,PL0819,2025-03-29,11,STD
CA10247,C3263,PL0385,2025-01-20,27,STD
CA10248,C0314,PL0086,2023-09-20,32,STD
CA10249,C2124,PL0280,2024-05-20,56,STD
CA10250,C1686,PL0667,2024-01-29,33,ISD
CA10251,C3039,PL0772,2025-02-02,11,STD
CA10252,C2067,PL0726,2025-04-19,59,ISD
CA10253,C3348,PL0872,2024-05-11,53,ISD
CA10254,C2245,PL0460,2024-10-07,38,Local
CA10255,C0197,PL0985,2024-01-28,52,Local
CA10256,C2892,PL0122,2024-02-24,41,ISD
CA10257,C1304,PL0006,2024-09-25,19,ISD
CA10258,C0711,PL0158,2025-05-09,21,ISD
CA10259,C0669,PL0527,2025-06-18,55,Local
CA10260,C3288,PL0697,2024-06-20,11,Local
CA10261,C1861,PL0260,2023-08-01,30,ISD
CA10262,C2388,PL0283,2023-07-25,2,STD
CA10263,C1647,PL0485,2025-03-03,57,ISD
CA10264,C2475,PL0767,2024-06-05,3,Local
CA10265,C2714,PL0429,2023-07-10,52,ISD
CA10266,C0554,PL0801,2025-05-24,9,ISD
CA10267,C2773,PL0364,2023-08-07,20,Local
CA10268,C2699,PL0906,2024-07-11,58,Local
CA10269,C2118,PL0948,2023-08-20,10,ISD
CA10270,C0839,PL0841,2024-09-28,34,STD
CA10271,C0260,PL0568,2024-06-25,52,Local
CA10272,C1844,PL0663,2025-04-10,41,STD
CA10273,C1008,PL0711,2023-09-01,35,ISD
CA10274,C1572,PL0750,2023-09-30,58,ISD
CA10275,C1123,PL0333,2024-03-25,35,ISD
CA10276,C0001,PL0360,2024-07-15,39,STD
CA10277,C1581,PL0185,2025-06-07,42,STD
CA10278,C0094,PL0911,2025-05-06,14,ISD
CA10279,C2008,PL0974,2023-07-14,16,STD
CA10280,C2649,PL0991,2023-07-30,20,ISD
CA10281,C2411,PL0687,2024-07-30,50,STD
CA10282,C0256,PL0437,2024-05-24,36,STD
CA10283,C2666,PL0966,2024-06-09,45,STD
CA10284,C1472,PL0042,2025-04-15,20,STD
CA10285,C1737,PL0034,2025-02-27,12,ISD
CA10286,C0229,PL0353,2024-04-07,7,ISD
CA10287,C0808,PL0330,2025-01-21,27,ISD
CA10288,C1561,PL0295,2023-08-08,56,Local
CA10289,C0369,PL0869,2025-05-29,15,ISD
CA10290,C0455,PL0261,2023-09-15,30,ISD
CA10291,C1986,PL0112,2025-03-15,36,Local
CA10292,C3058,PL0216,2023-07-19,3,Local
CA10293,C2954,PL0162,2024-12-13,6,ISD
CA10294,C1499,PL0281,2024-11-19,48,STD
CA10295,C1816,PL0311,2024-05-13,13,Local
CA10296,C3469,PL0183,2024-06-13,30,Local
CA10297,C2037,PL0945,2023-10-02,20,ISD
CA10298,C3414,PL0967,2024-07-02,49,ISD
CA10299,C2437,PL0164,2024-06-28,45,Local
CA10300,C0880,PL0385,2024-01-29,18,ISD
CA10301,C2035,PL0495,2023-08-13,21,STD
CA10302,C2998,PL0714,2024-06-25,19,ISD
CA10303,C1462,PL0928,2024-04-20,20,STD
CA10304,C3384,PL0587,2023-08-15,50,ISD
CA10305,C2504,PL0457,2025-01-10,13,Local
CA10306,C3500,PL0221,2024-09-06,42,ISD
CA10307,C2385,PL0363,2023-08-22,45,Local
CA10308,C1289,PL0935,2025-05-20,31,Local
CA10309,C1684,PL0954,2024-10-14,36,ISD
CA10310,C0441,PL0502,2024-07-09,8,Local
CA10311,C1481,PL0584,2025-04-25,21,Local
CA10312,C2187,PL0597,2023-06-25,1,STD
CA10313,C2266,PL0643,2024-11-10,6,STD
CA10314,C3375,PL0687,2024-12-07,24,ISD
CA10315,C1164,PL0946,2025-02-12,26,STD
CA10316,C2951,PL0194,2025-05-07,59,STD
CA10317,C3145,PL0018,2023-07-12,32,STD
CA10318,C1286,PL0144,2025-06-16,49,Local
CA10319,C1355,PL0559,2023-12-18,19,Local
CA10320,C3418,PL0331,2023-08-04,31,STD
CA10321,C0355,PL0503,2025-02-06,59,STD
CA10322,C3358,PL0045,2024-09-17,6,STD
CA10323,C1413,PL0430,2023-11-11,7,Local
CA10324,C3341,PL0600,2025-02-10,25,Local
CA10325,C1434,PL0149,2023-12-29,11,STD
CA10326,C3168,PL0596,2024-01-08,7,ISD
CA10327,C1637,PL0915,2023-08-27,6,ISD
CA10328,C2792,PL0671,2024-04-29,60,STD
CA10329,C0741,PL0135,2024-08-04,28,Local
CA10330,C1582,PL0784,2024-09-03,47,ISD
CA10331,C2671,PL0830,2025-02-21,40,Local
CA10332,C2643,PL0053,2024-03-12,41,STD
CA10333,C3389,PL0125,2024-02-23,39,Local
CA10334,C1210,PL0687,2024-12-30,3,STD
CA10335,C0394,PL0188,2023-12-28,17,Local
CA10336,C1428,PL0216,2024-06-09,2,ISD
CA10337,C2439,PL0778,2024-08-31,40,ISD
CA10338,C3215,PL0797,2024-03-23,37,Local
CA10339,C2220,PL0657,2024-12-02,2,ISD
CA10340,C3379,PL0250,2023-12-15,59,STD
CA10341,C3026,PL0732,2023-10-22,18,Local
CA10342,C3378,PL0958,2023-10-07,21,Local
CA10343,C1325,PL0243,2024-04-11,53,STD
CA10344,C0199,PL0724,2023-09-09,54,ISD
CA10345,C1605,PL0009,2024-01-30,31,ISD
CA10346,C0930,PL0405,2024-08-17,33,Local
CA10347,C0563,PL0921,2024-03-14,1,ISD
CA10348,C2505,PL0544,2024-06-18,54,ISD
CA10349,C0325,PL0886,2024-05-12,7,Local
CA10350,C1613,PL0745,2023-07-13,45,STD
CA10351,C2584,PL0844,2024-03-22,26,Local
CA10352,C1432,PL0932,2024-07-29,32,ISD
CA10353,C0885,PL0338,2024-10-10,22,ISD
CA10354,C2175,PL0457,2024-01-12,53,Local
CA10355,C1625,PL0153,2025-06-06,52,Local
CA10356,C1577,PL0001,2024-09-07,52,Local
CA10357,C0306,PL0657,2025-03-27,38,STD
CA10358,C0891,PL0596,2025-05-18,48,Local
CA10359,C2629,PL0674,2024-11-06,1,Local
CA10360,C0238,PL0504,2024-10-30,24,Local
CA10361,C0407,PL0725,2025-03-26,35,ISD
CA10362,C3314,PL0147,2024-09-22,26,Local
CA10363,C0430,PL0372,2025-01-02,57,STD
CA10364,C1651,PL0506,2025-02-18,4,Local
CA10365,C2477,PL0694,2024-06-15,42,ISD
CA10366,C0724,PL0030,2023-09-20,26,Local
CA10367,C2001,PL0461,2024-08-22,16,Local
CA10368,C0641,PL0449,2025-01-14,38,STD
CA10369,C2465,PL0675,2024-07-09,5,Local
CA10370,C1733,PL0516,2024-08-02,51,ISD
CA10371,C1774,PL0883,2024-09-30,24,ISD
CA10372,C2124,PL0121,2024-11-20,31,ISD
CA10373,C2638,PL0263,2023-12-21,44,Local
CA10374,C3235,PL0068,2023-08-21,52,Local
CA10375,C1734,PL0135,2023-12-19,10,STD
CA10376,C0886,PL0199,2024-06-14,10,Local
CA10377,C0599,PL0830,2024-11-13,27,STD
CA10378,C0231,PL0857,2023-10-03,45,ISD
CA10379,C0719,PL0788,2025-04-17,9,Local
CA10380,C0137,PL0954,2024-12-07,56,STD
CA10381,C0879,PL0755,2024-12-21,4,Local
CA10382,C1797,PL0201,2025-04-09,47,ISD
CA10383,C0438,PL0758,2024-04-08,23,STD
CA10384,C1659,PL0413,2023-11-03,27,STD
CA10385,C0076,PL0408,2023-09-03,50,STD
CA10386,C2415,PL0714,2023-12-28,52,STD
CA10387,C1048,PL0735,2024-06-20,51,Local
CA10388,C0637,PL0577,2023-12-10,47,Local
CA10389,C0498,PL0635,2024-08-18,36,STD
CA10390,C0387,PL0408,2024-06-26,6,ISD
CA10391,C3441,PL0325,2023-09-08,36,ISD
CA10392,C2556,PL0226,2024-05-04,14,ISD
CA10393,C0141,PL0589,2024-03-26,5,Local
CA10394,C1195,PL0918,2025-05-20,50,Local
CA10395,C0945,PL0038,2024-04-16,8,ISD
CA10396,C1485,PL0515,2024-11-06,38,ISD
CA10397,C2419,PL0903,2023-08-01,34,Local
CA10398,C2823,PL0523,2024-01-30,50,Local
CA10399,C0018,PL0042,2023-07-18,60,STD
CA10400,C0893,PL0854,2023-07-08,17,ISD
CA10401,C1770,PL0188,2024-09-05,31,ISD
CA10402,C2475,PL0740,2024-10-09,57,ISD
CA10403,C3492,PL0194,2024-10-13,56,ISD
CA10404,C2186,PL0432,2024-09-12,35,Local
CA10405,C2042,PL0684,2023-08-29,5,ISD
CA10406,C1410,PL0149,2023-08-23,7,ISD
CA10407,C1497,PL0161,2025-04-14,49,ISD
CA10408,C2157,PL0728,2023-10-03,48,Local
CA10409,C2497,PL0282,2023-10-08,24,STD
CA10410,C3472,PL0943,2024-03-16,19,STD
CA10411,C2551,PL0979,2023-07-26,28,Local
CA10412,C0581,PL0273,2025-05-05,4,Local
CA10413,C3225,PL0499,2023-08-22,42,ISD
CA10414,C0781,PL0620,2025-05-31,58,Local
CA10415,C1487,PL0652,2024-10-27,26,Local
CA10416,C1010,PL0549,2024-08-25,5,ISD
CA10417,C2030,PL0319,2024-04-21,41,ISD
CA10418,C1691,PL0660,2024-11-23,32,Local
CA10419,C0854,PL0891,2025-06-12,11,Local
CA10420,C2727,PL0650,2025-05-05,5,STD
CA10421,C2260,PL0246,2023-09-04,60,Local
CA10422,C2049,PL0294,2024-03-23,59,Local
CA10423,C0610,PL0247,2024-01-12,34,Local
CA10424,C2246,PL0919,2024-12-13,42,ISD
CA10425,C0336,PL0250,2023-11-22,4,ISD
CA10426,C1794,PL0956,2024-01-10,31,STD
CA10427,C2339,PL0477,2024-02-12,6,Local
CA10428,C1899,PL0471,2023-12-27,13,ISD
CA10429,C0242,PL0659,2024-02-08,57,STD
CA10430,C2351,PL0277,2024-11-11,41,ISD
CA10431,C1123,PL0076,2025-05-27,43,Local
CA10432,C0444,PL0857,2023-07-19,31,STD
CA10433,C1367,PL0711,2025-02-11,5,STD
CA10434,C0800,PL0992,2024-12-13,12,STD
CA10435,C0452,PL0323,2025-04-22,31,STD
CA10436,C0798,PL0517,2025-03-13,36,Local
CA10437,C3140,PL0422,2024-05-14,6,Local
CA10438,C0511,PL0202,2025-03-03,11,Local
CA10439,C1358,PL0375,2023-06-21,60,ISD
CA10440,C1311,PL0353,2023-12-01,27,Local
CA10441,C2788,PL0249,2024-11-08,47,Local
CA10442,C0608,PL0233,2023-07-21,27,STD
CA10443,C0363,PL0440,2025-02-13,31,ISD
CA10444,C3429,PL0246,2025-01-16,7,Local
CA10445,C0413,PL0860,2024-11-19,19,ISD
CA10446,C1316,PL0461,2023-09-10,35,ISD
CA10447,C2033,PL0155,2023-08-11,45,Local
CA10448,C2721,PL0274,2024-09-09,13,Local
CA10449,C2215,PL0194,2025-01-28,29,STD
CA10450,C1623,PL0687,2023-08-28,53,STD
CA10451,C2860,PL0803,2023-10-06,53,ISD
CA10452,C0505,PL0904,2024-08-03,58,STD
CA10453,C0990,PL0458,2025-04-23,19,STD
CA10454,C0371,PL0790,2025-03-10,18,ISD
CA10455,C0995,PL0731,2023-10-29,18,STD
CA10456,C0159,PL0667,2024-11-21,6,STD
CA10457,C1379,PL0075,2023-12-14,26,STD
CA10458,C0371,PL0742,2024-06-26,6,STD
CA10459,C3016,PL0308,2025-03-27,27,Local
CA10460,C1702,PL0446,2025-04-04,10,Local
CA10461,C2841,PL0401,2024-01-11,12,Local
CA10462,C0603,PL0196,2023-11-11,7,Local
CA10463,C0890,PL0262,2025-01-28,49,STD
CA10464,C3285,PL0162,2023-12-18,32,STD
CA10465,C2458,PL0021,2023-11-22,9,ISD
CA10466,C1294,PL0380,2023-11-04,31,ISD
CA10467,C1453,PL0045,2024-08-14,23,STD
CA10468,C1162,PL0338,2024-06-17,16,Local
CA10469,C0362,PL0498,2023-07-30,31,ISD
CA10470,C0708,PL0069,2024-07-30,1,Local
CA10471,C3103,PL0304,2024-11-16,5,ISD
CA10472,C0251,PL0505,2025-04-07,52,Local
CA10473,C1581,PL0883,2023-10-19,40,Local
CA10474,C0779,PL0203,2024-10-31,44,Local
CA10475,C0069,PL0400,2024-08-05,22,ISD
CA10476,C0009,PL0793,2023-10-18,16,STD
CA10477,C0253,PL0629,2024-11-11,1,ISD
CA10478,C3141,PL0956,2024-06-25,39,Local
CA10479,C0209,PL0737,2024-03-07,60,STD
CA10480,C1896,PL0593,2023-11-15,56,ISD
CA10481,C2617,PL0193,2025-02-07,31,STD
CA10482,C0328,PL0810,2024-10-06,29,ISD
CA10483,C0415,PL0988,2024-02-09,35,ISD
CA10484,C3109,PL0863,2023-09-28,13,Local
CA10485,C1736,PL0289,2024-08-24,49,ISD
CA10486,C1306,PL0632,2024-07-17,49,STD
CA10487,C2424,PL0722,2024-12-21,6,ISD
CA10488,C0051,PL0614,2025-05-05,4,ISD
CA10489,C0709,PL0493,2025-05-19,17,ISD
CA10490,C2521,PL0546,2024-01-18,19,ISD
CA10491,C2737,PL0569,2024-05-25,15,ISD
CA10492,C0035,PL0001,2024-09-23,25,Local
CA10493,C0936,PL0283,2024-06-21,29,ISD
CA10494,C3333,PL0065,2025-01-26,40,Local
CA10495,C2788,PL0348,2024-10-16,11,Local
CA10496,C3121,PL0355,2023-08-21,19,Local
CA10497,C0762,PL0879,2024-04-27,21,Local
CA10498,C1440,PL0439,2025-05-01,21,Local
CA10499,C1970,PL0565,2023-11-06,54,ISD
CA10500,C1129,PL0748,2025-01-17,32,Local
CA10501,C3137,PL0662,2023-07-17,53,Local
CA10502,C0120,PL0119,2024-02-02,60,STD
CA10503,C1252,PL0472,2024-05-27,44,STD
CA10504,C3437,PL0918,2023-11-17,8,STD
CA10505,C2574,PL0778,2025-04-04,21,Local
CA10506,C2543,PL0824,2023-11-19,16,Local
CA10507,C0984,PL0127,2025-03-15,38,ISD
CA10508,C3008,PL0950,2024-05-23,58,Local
CA10509,C1815,PL0153,2024-03-22,4,ISD
CA10510,C3118,PL0936,2023-07-07,36,Local
CA10511,C1369,PL0052,2024-07-16,41,STD
CA10512,C3145,PL0257,2025-01-15,14,STD
CA10513,C0536,PL0620,2024-08-06,55,Local
CA10514,C3486,PL0527,2025-01-28,40,STD
CA10515,C3271,PL0622,2025-01-19,55,ISD
CA10516,C0849,PL0234,2025-03-28,53,Local
CA10517,C1097,PL0658,2025-04-03,21,Local
CA10518,C1762,PL0856,2025-01-10,57,ISD
CA10519,C3233,PL0540,2023-07-30,21,Local
CA10520,C1176,PL0366,2025-06-02,26,Local
CA10521,C2702,PL0994,2024-08-01,56,ISD
CA10522,C2448,PL0808,2024-10-23,21,ISD
CA10523,C1207,PL0925,2023-09-11,24,ISD
CA10524,C2032,PL0660,2024-01-05,52,STD
CA10525,C0931,PL0916,2024-01-14,8,Local
CA10526,C1511,PL0486,2024-06-13,53,ISD
CA10527,C2016,PL0678,2025-01-01,24,Local
CA10528,C0605,PL0602,2024-06-27,18,ISD
CA10529,C0728,PL0163,2024-08-14,23,STD
